Word,Sense,Base_Precision,Base_Recall,Base_F1,Context_Precision,Context_Recall,Context_F1
ಅಡಿ,1,0.9666666666666667,0.8055555555555556,0.8787878787878789,0.875,0.9333333333333333,0.9032258064516129
ಅಡಿ,2,0.9,0.984375,0.9402985074626866,0.9705882352941176,0.9428571428571428,0.9565217391304348
ಗುಂಡಿ,1,0.9736842105263158,0.925,0.9487179487179489,0.9166666666666666,0.868421052631579,0.8918918918918918
ಗುಂಡಿ,2,0.75,0.9,0.8181818181818182,0.6428571428571429,0.75,0.6923076923076924
ಮಂಡಿ,1,1.0,0.9166666666666666,0.9565217391304348,0.9615384615384616,0.9090909090909091,0.9345794392523366
ಮಂಡಿ,2,0.8888888888888888,1.0,0.9411764705882353,0.8958333333333334,0.9555555555555556,0.924731182795699
ಮತ,1,1.0,0.9270833333333334,0.9621621621621621,0.9340659340659341,0.9550561797752809,0.9444444444444444
ಮತ,2,0.36363636363636365,1.0,0.5333333333333333,0.5555555555555556,0.45454545454545453,0.5
ಮುತ್ತು,1,0.9178082191780822,0.9305555555555556,0.9241379310344828,0.9577464788732394,0.9315068493150684,0.9444444444444444
ಮುತ್ತು,2,0.8148148148148148,0.7857142857142857,0.7999999999999999,0.8275862068965517,0.8888888888888888,0.8571428571428572
