Word,Sense,Support,Precision,Recall,F1
ಅಡಿ,1,30,0.875,0.9333333333333333,0.9032258064516129
ಅಡಿ,2,70,0.9705882352941176,0.9428571428571428,0.9565217391304348
ಗುಂಡಿ,1,76,0.9166666666666666,0.868421052631579,0.8918918918918918
ಗುಂಡಿ,2,24,0.6428571428571429,0.75,0.6923076923076924
ಮಂಡಿ,1,55,0.9615384615384616,0.9090909090909091,0.9345794392523366
ಮಂಡಿ,2,45,0.8958333333333334,0.9555555555555556,0.924731182795699
ಮತ,1,89,0.9340659340659341,0.9550561797752809,0.9444444444444444
ಮತ,2,11,0.5555555555555556,0.45454545454545453,0.5
ಮುತ್ತು,1,73,0.9577464788732394,0.9315068493150684,0.9444444444444444
ಮುತ್ತು,2,27,0.8275862068965517,0.8888888888888888,0.8571428571428572
