word,sentence,sense,llm_annotation
ಅಡಿ,ಸದ್ಯ ಮಿರ್ಲೆ ವರದರಾಜ್ನನ್ನು ಲ್ಯಾಂಡ್ ಗ್ರಾಬಿಂಗ್ ಆ್ಯಕ್ಟ್ ಅಡಿ ಸಿಸಿಬಿ ಅಧಿಕಾರಿಗಳು ಬಂಧಿಸಿದ್ದಾರೆ.,1,1
ಅಡಿ,ಯುನೈಟೆಡ್ ಸ್ಟೇಟ್ಸ್‌ನ ಹೊರಗೆ ಬಹುತೇಕ ದೇಶಗಳಲ್ಲಿ ಮತ್ತು ಎಫ್‌ಐಬಿಎ ಸ್ಫರ್ಧೆಗಳಲ್ಲಿ ಪ್ರಸ್ತುತ ಉಪಯೋಗಿಸಲಾಗುತ್ತಿದ್ದ ಅಂತರರಾಷ್ಟ್ರೀಯ ಅಂತರವು 20.5 ಅಡಿ (6.25 ಮೀ).,2,2
ಅಡಿ,ಮನೆಯ ಹಾಲ್‍ನ ಒಳಗೆ ಸಿಕ್ಕಿತು ವಿಗ್ರಹ- ಭೂಮಿ ಅಗೆದಾಗ 6 ಅಡಿ ಕೆಳಗೆ ಸಿಕ್ಕಿತು ಸಾವಿರ ವರ್ಷದ ಹಿಂದಿನ ಬಿಂಬ,2,2
ಅಡಿ,ಪರ್ವತದ ಒಳಗೆಯೇ ಸುಮಾರು 460 ಅಡಿ ಎತ್ತರದಿಂದ ಈ ಜಲಪಾತ ಧುಮ್ಮಿಕ್ಕುತ್ತದೆ.,2,2
ಅಡಿ,ಗೂಡ್ಸ್ ರೈಲಿನ ಅಡಿ ಮಲಗಿ ಪ್ರಾಣ ಉಳಿಸಿಕೊಂಡ- ವೈರಲ್ ವಿಡಿಯೋ ನೋಡಿ,1,1
ಅಡಿ,ಗದಗಿನ ಭೀಷ್ಮ ಕೆರೆಯ ಮಧ್ಯದಲ್ಲಿ 116 ಅಡಿ ಎತ್ತರದಲ್ಲಿ ರಾರಾಜಿಸುತ್ತಿದೆ..,2,2
ಅಡಿ,ಪ್ರಸಿದ್ಧವಾದ ಲಿಮ್ಕ ದಾಖಲೆ ಪುಸ್ತಕದಲ್ಲಿ ಭಾರತದಲ್ಲೇ ಅತ್ಯಂತ ಎತ್ತರದ ಮರದ ಬಾಗಿಲೆಂದು ಹೇಳಲಾದ 37 ಅಡಿ ಎತ್ತರದ ಬಾಗಿಲಿನ ಮೂಲಕ ಪ್ರವೇಶಿಸಿ ಈ ಕೋಟೆಯೊಳಗೆ ಇಂದಿನದರೊಂದಿಗೆ ಮಿಶ್ರಗೊಂಡ ಹಿಂದಿನದರ ಹಿತವಾದ ಲವಲವಿಕೆಯುಳ್ಳ ಕುರುಹುಗಳನ್ನು ಕಾಣಬಹುದು.,2,2
ಅಡಿ,"ವಿರಾಜಪೇಟೆ ತಾಲೋಕು ಮಾಯಮುಡಿ ಗ್ರಾಮದಲ್ಲಿ ಎನ್.ಹೆಚ್.ನಾಸರ್‌ ಎಂಬವರ ಕಾಫಿ ತೋಟದಲ್ಲಿ ಅಂದಾಜು 45-50 ವರ್ಷದ ಒಂದು ಕಾಡಾನೆ ವಿದ್ಯುತ್‌ ಸ್ಪರ್ಶದಿಂದ ಮೃತಪಟ್ಟಿದ್ದು, ಸದರಿ ತೋಟದಲ್ಲಿ ಸುಮಾರು 12 ಅಡಿ ಎತ್ತರದಲ್ಲಿ ಹಾದು ಹೋದ ವಿದ್ಯುತ್‌ ತಂತಿಗೆ ಸ್ಪರ್ಷಗೊಂಡ ಆನೆ ಸಾವನಪ್ಪಿರುವುದು ಕಂಡು ಬಂದಿದ್ದು ಗೋಣಿಕೊಪ್ಪ ಪೊಲೀಸ್‌ ಠಾಣೆಯಲ್ಲಿ ಪ್ರಕರಣ ದಾಖಲಿಸಿದ ಪೊಲೀಸರು ತನಿಖೆ ಕೈಗೊಂಡಿರುತ್ತಾರೆ.",2,2
ಅಡಿ,ಸುಮಾರು 950 ಅಡಿ,2,2
ಅಡಿ,ಬದರಿನಾಥ ದೇವಾಲಯ ಸಮುದ್ರ ಮಟ್ಟದಿಂದ ಹನ್ನೆರಡು ಸಾವಿರ ಅಡಿ ಎತ್ತರದಲ್ಲಿದೆ.,2,2
ಅಡಿ,ಮಹದಾಯಿ ನದಿಯಲ್ಲಿ ಹರಿಯುವ ಒಟ್ಟು ಸರಾಸರಿ 200 ಟಿಎಂಸಿ ಅಡಿ ನೀರಿನಲ್ಲಿ ಕರ್ನಾಟಕದಿಂದ ಸರಾಸರಿ 45 ಟಿಎಂಸಿ ಅಡಿ ನೀರು ಸೇರ್ಪಡೆಯಾಗುತ್ತದೆ.,2,2
