word,sentence,label,kannada_meaning,english_meaning
ಯಜಮಾನ,ಜೊತೆಗೆ ಮನೆಯ ಯಜಮಾನ ನಿಧನ ಹೊಂದಿದರೆ ಆ ಕುಟುಂಬಕ್ಕೆ ರಾಷ್ಟ್ರೀಯ ಕುಟುಂಬ ಯೋಜನೆಯಡಿ 25 ಸಾವಿರದಿಂದ 50 ಸಾವಿರ ರೂ.,2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,ಹೊರಗೆ ಮನೆ ಯಜಮಾನ ಆಕಳಿಸುತ್ತಾ ಬಂದು ಬಾತ್ರೂಂ ಗೆ ಹೋದ.,4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,"ಹೀಗಾಗಿ ಇದೀಗ ಬಯೋ ಮೆಟ್ರಿಕ್ ದಾಖಲಾತಿಯ ಸಂದರ್ಭದಲ್ಲಿ ಆಹಾರ ಮತ್ತು ನಾಗರೀಕ ಪೂರಕೇ ಇಲಾಖೆಯ ಅಧಿಕಾರಿಗಳು ಸೂಚಿಸಿದಂತೆ, ಕುಟುಂಬದ ಯಜಮಾನ ತಂದೆ, ಮಗನಿದ್ದ ಸ್ಥಾನಕ್ಕೆ, ಯಜಮಾನಿಯಾಗಿ ಮಹಿಳೆಯನ್ನು ಸೂಚಿಸಲಾಗುತ್ತಿದೆ.",2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,"ಈ ರೂಮ್ ಬಾಯ್ ಯಾವಾಗ ಬಂದ ಗೊತ್ತಾಗದು) ಗೌಡರ ಬ್ರಾಂದಿ ದಾಹವನ್ನೂ, ನಡತೆಯನ್ನೂ ಖಂಡಿಸಿ ನಿಂದಿಸಿ ಯೋಚಿಸಿದನಂತೆ – ಯಜಮಾನ ಆ ಹೋಟಲಿಗೆ ಯಜಮಾನ ತಮಗೆ ಅನ್ನ ಕೊಟ್ಟವರು, ಅವರ ಬಗ್ಗೆ ದುರಾಲೋಚನೆ ನಡೆಸುವುದೆ ತಪ್ಪು.",4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,ಈ ಪ್ರಕರಣದಲ್ಲಿ ಮನೆಯ ಯಜಮಾನ ಮತ್ತು ಈ ಸಾಮೂಹಿಕ ಆತ್ಮಹತ್ಯೆ ಪ್ರಕರಣದ ರೂವಾರಿ ಎನ್ನಲಾಗುತ್ತಿರುವ ಲಲಿತ್ ಭಾಟಿಯಾ ತಮ್ಮ ನಂಬಿಕೆಗಳನ್ನು ಕುಟುಂಬದ ಇತರ ಸದಸ್ಯರಿಗೆ ವರ್ಗಾಯಿಸಿದ್ದಾರೆ ಎನ್ನಲಾಗುತ್ತಿದೆ!,2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,ಗಂಡನು ಈ ಕುಟುಂಬಗಳಲ್ಲಿ ಯಜಮಾನ ಅನ್ನುವುದಕ್ಕಿಂತ ಹೆಂಡತಿಯ ವ್ಯಾಪಾರಕ್ಕೆ ಸಾಥ್ ನೀಡುವುದೇ ಹೆಚ್ಚು ಕಂಡುಬರುತ್ತದೆ.,2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,ಅದೇ ಊರಿನ ಯಜಮಾನ ಬಿಳಿ ಪಂಚೆಯಲ್ಲಿ ಹುರಿಮೀಸೆ ತಿರುವುತ್ತಾ ಟೀಚರಮ್ಮನನ್ನು ಫಾಲೋ ಮಾಡುತ್ತಾನೆ.,4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,"ಬಳಿಕ ಮನೆಯ ಯಜಮಾನ ಸುದರ್ಶನ್ ಅವರು ಬೆಳಗ್ಗೆ ಬಂದು ನೋಡಿದಾಗ ಅಪರಿಚಿತ ವ್ಯಕ್ತಿ ನಿದ್ರಿಸಿದ್ದನ್ನು ಕಂಡು, ಬಳಿಕ ಈತ ಕಳ್ಳ ಎಂದು ಧೃಡಪಟ್ಟ ಬಳಿಕ ಧರ್ಮದೇಟು ನೀಡಿ ಸ್ಥಳೀಯ ಪೊಲೀಸರಿಗೆ ಒಪ್ಪಿಸಿದ್ದಾರೆ.",4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,ಯಾಕೆಂದರೆ ವಿರೋಧಿ ಅಭ್ಯರ್ಥಿಯು ಡೆಪಾಸಿಟ್ ಕಳೆದುಕೊಳ್ಳಲು ಯಜಮಾನ ಅಥವಾ ಗ್ರಾಮಸ್ಥರ ಜನಾದೇಶವು ಈ ರೀತಿ ಸಹಕಾರಿಯಾಗುವುದಾದರೆ ಜನತಾಂತ್ರಿಕ ವ್ಯವಸ್ಥೆಯನ್ನು ನಾವು ಪರಿಹಾಸ್ಯ ಮಾಡಿದಂತಾಗುತ್ತದೆ.,2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,ಮನೆ ಯಜಮಾನ ಅಲ್ಲಿರಲಿಲ್ಲ.,4,ಮಾಲೀಕ,Owner
