           word  frequency
310      ಕುಮಾರಿ       2483 no
290        ಕಾವು       1958 no
684       ನೆನಪು      18401 no
1497        ಸಾರ       2240 maybe
911       ಬಿಂದು       2088 maybe
731   ಪರಿವರ್ತನೆ       3241 no 
948       ಬೊಗಳೆ       1247 maybe
1057     ಮುಕ್ತಿ       5200 no
316        ಕೂಲಿ       5393 maybe
398       ಗುಂಟೆ       1019 yes
340       ಕೊಪ್ಪ       1409 no
1235      ವಿಧಾನ      37275 no
1206       ವಾಣಿ       2740 no
1050        ಮೀನ       1410 no
777        ಪೋಲು       1384 no
155      ಈಶಾನ್ಯ       7064 maybe
745         ಪಾಠ      17268 no
1219       ವಾಹನ      42628 no
1223      ವಿಕೃತ       1223 no
789     ಪ್ರಕೃತಿ       9765 no
            word  frequency
1404      ಸಂಭ್ರಮ      18880 no
1643      ಹೊರಗಡೆ       4001 no
549        ದತ್ತಿ       1799 maybe
1106       ಯಜಮಾನ       3192 yes
1488       ಸಾಧ್ಯ      24823 no
440        ಚಡ್ಡಿ       2705 no
258         ಕಳವಳ       2142 no
1631        ಹೃದಯ      15999 maybe
1129         ರತಿ       2220 maybe
970          ಭಾವ      10965 yes
1508        ಸಿಡಿ       3926 maybe
984   ಭ್ರಷ್ಟಾಚಾರ      13360 no
1580      ಸ್ವರೂಪ       4738 no
1561      ಸ್ತ್ರೀ       4028 no
805     ಪ್ರತಿರೋಧ       1581 no
1140      ರಾಕ್ಷಸ       2232 no
1440        ಸಮಾಜ      31558 no
1417        ಸಚಿವ     117668 no
1622       ಹಿರಿಯ      80207 maybe
415       ಗೊತ್ತು      14545 no
           word  frequency
954        ಭಟ್ಟ       3894 maybe
1423        ಸದನ       1468 no
595     ದ್ವಂದ್ವ       1088 no
1052    ಮುಂಗಾರು       7482 no
404      ಗುಡುಗು       2048 maybe
873       ಬತ್ತಿ       1375 no
1359    ಸಂಕೀರ್ಣ       2771 no 
1098        ಮೋಸ       9687 no
1362  ಸಂಕ್ಷಿಪ್ತ       3380 no
168         ಉದಯ       5369 yes
2           ಅಂಗ       3070 maybe
631        ನಾಟಿ       3785 no
1347      ಶ್ರವಣ       1687 no
40       ಅಧ್ಯಾಯ       4923 no
949      ಬೊಜ್ಜು       3110 no
1237       ವಿನಯ       2125 no
363       ಖರೀದಿ      20050 no
146       ಆಶ್ರಮ       1636 no
219        ಕಂಬಳ       1048 maybe
364       ಖಾತರಿ       2506 no
          word  frequency
786     ಪ್ರಕಾರ      65035 no
961       ಭವ್ಯ       3624 no
1260       ವಿಷ       8139 no
205      ಒಟ್ಟು      52113 no
988      ಮಂತ್ರ       5565 no
1116     ಯೋಗ್ಯ       2158 no
397       ಗೀತೆ       4891 no
1407     ಸಂವಾದ      10069 no
1142    ರಾಗಿಣಿ       3955 no
991        ಮಕರ       3019 no
1525  ಸುತ್ತೋಲೆ       2872 no
1594    ಹಣಾಹಣಿ       1014 no
358      ಕ್ಷಮೆ       8676 no 
288       ಕಾಳು       3396 yes
771       ಪೂರಕ       5408 no
938   ಬೆರಳಚ್ಚು       1424 no
1174     ಲೆಕ್ಕ      11353 no
1338     ಶೂನ್ಯ       3343 no
896      ಬಹುಮತ       7806 no
811      ಪ್ರಥಮ      28300 no
          word  frequency
705      ಪಟ್ಟಿ      56020 yes
426      ಗ್ರಹಣ       3011 no
221      ಕಚೇರಿ      23857 no
524      ತುಂಡು       3273 no
1378  ಸಂಜೀವಿನಿ       1027 no
642       ನಿಗಮ       5673 no
1329    ಶಿಲ್ಪಿ       1578 no
1170     ಲಾಂಛನ       1245 no
1526   ಸುದರ್ಶನ       1090 no
737     ಪರಿಹಾರ      44846 no
1047     ಮಿಥುನ       1786 no
1207   ವಾಣಿಜ್ಯ      88373 no
1065    ಮುತ್ತು       4643 yes
454       ಚೇತನ       3038 no
1027      ಮಾತೃ       2007 no 
334       ಕೊಂಡ       1429 maybe
402     ಗುಟ್ಟು       3695 no
1058       ಮುಖ      23816 no
