lemma,sense,sentence_count
ಅಕ್ಷರ,1,25
ಅಕ್ಷರ,2,36
ಅಡಿ,1,47
ಅಡಿ,2,34
ಆಟ,1,46
ಆಟ,2,19
ಉತ್ತರ,1,47
ಉತ್ತರ,2,40
ಎಳೆ,1,48
ಎಳೆ,2,38
ಕಣ,1,12
ಕಣ,2,43
ಕಣ,3,47
ಕರ,1,40
ಕರ,2,40
ಕರ್ಮ,1,40
ಕರ್ಮ,2,40
ಕಲೆ,1,36
ಕಲೆ,2,40
ಕಳೆ,1,51
ಕಳೆ,2,51
ಕಸರತ್ತು,1,40
ಕಸರತ್ತು,2,40
ಕೂಲಿ,1,39
ಕೂಲಿ,2,40
ಕೇಸರಿ,1,48
ಕೇಸರಿ,2,38
ಕೈಲಾಸ,1,24
ಕೈಲಾಸ,2,49
ಕೈಲಾಸ,3,46
ಗಜ,1,40
ಗಜ,2,40
ಗುಂಡಿ,1,11
ಗುಂಡಿ,2,40
ಗುಂಡಿ,3,40
ಗುಂಡು,1,46
ಗುಂಡು,2,21
ಗುಡುಗು,1,40
ಗುಡುಗು,2,40
ಗುರು,1,40
ಗುರು,2,37
ತಿಳಿ,1,40
ತಿಳಿ,2,50
ತೀರ್ಥ,1,32
ತೀರ್ಥ,2,37
ತುರಿ,1,10
ತುರಿ,2,47
ದಂತ,1,45
ದಂತ,2,49
ದಳ,1,16
ದಳ,2,34
ದಿವಾಳಿ,1,46
ದಿವಾಳಿ,2,5
ಧರಣಿ,1,2
ಧರಣಿ,2,46
ನರ,1,40
ನರ,2,34
ನಾಮ,1,28
ನಾಮ,2,32
ನಾಮ,3,40
ನಿರ್ಮಾಪಕ,1,46
ನಿರ್ಮಾಪಕ,2,12
ನೆರೆ,1,35
ನೆರೆ,2,39
ನೇರ,1,40
ನೇರ,2,40
ಪೂರ್ವ,1,47
ಪೂರ್ವ,2,31
ಬಂಡವಾಳ,1,42
ಬಂಡವಾಳ,2,21
ಬದಿ,1,1
ಬದಿ,2,40
ಬಯಲು,1,46
ಬಯಲು,2,46
ಬರೆ,1,40
ಬರೆ,2,34
ಬೆಳೆ,1,21
ಬೆಳೆ,2,40
ಭಾವ,1,17
ಭಾವ,2,40
ಭಾವ,3,6
ಭಾವ,4,2
ಭೂತ,1,46
ಭೂತ,2,40
ಮಂಡಿ,1,47
ಮಂಡಿ,2,41
ಮತ,1,21
ಮತ,2,40
ಮದ್ದು,1,36
ಮದ್ದು,2,43
ಮುತ್ತು,1,39
ಮುತ್ತು,2,39
ಮೃಗ,1,40
ಮೃಗ,2,40
ಯಂತ್ರ,1,33
ಯಂತ್ರ,2,4
ಯಜಮಾನ,1,28
ಯಜಮಾನ,2,6
ಯಜಮಾನ,3,31
ರಂಗ,1,41
ರಂಗ,2,5
ರಾಶಿ,1,45
ರಾಶಿ,2,40
ಲಿಂಗ,1,40
ಲಿಂಗ,2,40
ವರ,1,34
ವರ,2,48
ವರ್ಷ,1,3
ವರ್ಷ,2,71
ವಿಧಿ,1,42
ವಿಧಿ,2,44
ವಿಧಿ,3,63
ವಿಧಿ,4,49
ಸರಿ,1,2
ಸರಿ,2,40
ಸೀಮೆ,1,39
ಸೀಮೆ,2,11
ಸುಪಾರಿ,1,8
ಸುಪಾರಿ,2,47
ಹಸಿ,1,8
ಹಸಿ,2,51
ಹುಟ್ಟು,1,40
ಹುಟ್ಟು,2,7
ಹೃದಯ,1,40
ಹೃದಯ,2,40
ಹೊಳೆ,1,36
ಹೊಳೆ,2,40
