word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಅಕ್ಷರ,"ಅವರು ಚಕ್ರವರ್ತಿ ಎನಿಸಿಕೊಂಡಳು ಮೊದಲು ಸುಧಾರಕ ತ್ಸಾರ್ ಪೀಟರ್ I ರೊಂದಿಗೆ ರಶಿಯಾದಲ್ಲಿ ಸಾಂಕೇತಿಕಾಕ್ಷರಗಳನ್ನೊಳಗೊಂಡಿದೆ ನೋಟವನ್ನು ಸಾಮಾನ್ಯವಾಗಿ ಸಂಬಂಧ, ವೈಯಕ್ತಿಕ ಸಾಂಕೇತಿಕಾಕ್ಷರಗಳ ಪೀಟರ್ ನಾನು ಲ್ಯಾಟಿನ್ ಅಕ್ಷರ ಪಿ ಪ್ರತಿಬಿಂಬದ ಒಳಗೊಂಡಿತ್ತು.",ಲಿಪಿ,Font,Yes,Darshan R K,2025-02-08 19:10:34
ಅಕ್ಷರ,"ಯಾವಾಗಲೋ ತಂದಿಟ್ಟುಕೊಂಡಿದ್ದ ಎರಡೂವರೆ ರೂಪಾಯಿಯ ತಿಳಿನೀಲಿ ಅಂತರ್ದೇಶಿ ಪತ್ರದಲ್ಲಿ, ಸಾಲು ಡೊಂಕಾಗದ ಹಾಗೆ, ಒತ್ತಕ್ಷರ ಕೆಳಗಿನ ಸಾಲಿಗೆ ಅಡ್ಡಿಪಡಿಸದ ಹಾಗೆ, ಅಕ್ಷರ ವಕ್ರ ಹೋಗದ ಹಾಗೆ, ವ್ಯಾಕರಣ ತಪ್ಪಾಗದ ಹಾಗೆ ಎಚ್ಚರಿಕೆಯಿಂದ ಯೋಚಿಸಿ ಯೋಚಿಸಿ ಬರೆಯುತ್ತಿದ್ದಾಳೆ.",ಲಿಪಿ,Font,Yes,Darshan R K,2025-02-08 19:10:34
ಅಕ್ಷರ,"ಇನ್ನು ತುಳು ಓದಲು ಬರೆಯಲು ಆಸಕ್ತಿ ಇರುವವರಿಗಾಗಿ ಸ್ವರಗಳು, ವ್ಯಂಜನಗಳು, ಇತರ ಅಕ್ಷರಗಳು, ಲೇಖನ ಚಿಹ್ನೆಗಳು, ಉದ್ಧರಣ ಚಿಹ್ನೆಗಳು ಹಾಗೂ ಅಕ್ಷರ ಬಳಕೆಯ ವಿಧಾನಗಳನ್ನು ಕೂಡ ಇದರಲ್ಲಿ ವಿವರಿಸಲಾಗಿದೆ.",ಲಿಪಿ,Font,Yes,Darshan R K,2025-02-08 19:10:34
ಅಕ್ಷರ,"ಇದರ ಜೊತೆಯಲ್ಲಿ, ಅಕ್ಷರ ಬರವಣಿಗೆಯಲ್ಲಿ ಸ್ವರಗಳ ಹೆಸರಿನ ಹಲವು ರೂಢಿಗಳು ಒತ್ತಡದ ಉಪಸ್ಥಿತಿ ಅಥವಾ ಅನುಪಸ್ಥಿತಿಯನ್ನು ಅವಲಂಬಿಸಿರುತ್ತದೆ.",ಲಿಪಿ,Font,Yes,Darshan R K,2025-02-08 19:10:35
ಅಕ್ಷರ,ಅದೇ ಯೋಜನೆಯ ಪ್ರಕಾರ ಮತ್ತು ದೊಡ್ಡ ಅಕ್ಷರ ಡಿ ಚಿತ್ರಿಸುವ ಲೋಗೋ ಮಾಸ್ಕೋ ಡೈನಮೊ ಹೋದರು.,ಲಿಪಿ,Font,Yes,Darshan R K,2025-02-08 19:10:35
ಅಕ್ಷರ,ಅದೂ ಅಕ್ಷರ ರೂಪದ ಮಾತೇ ಅಲ್ಲವೇ?,ಲಿಪಿ,Font,Yes,Darshan R K,2025-02-08 19:10:35
ಅಕ್ಷರ,ಮಕ್ಕಳು ಇಂಗ್ಲಿಷ್‌ ಅಕ್ಷರ ಗುರುತಿಸುತ್ತಾರೆ.,ಲಿಪಿ,Font,Yes,Darshan R K,2025-02-08 19:10:35
ಅಕ್ಷರ,"ಸಮಾಜ ಕಲ್ಯಾಣ ಇಲಾಖೆಯಲ್ಲಿ ಅಕ್ಷರ ಬರದವರಿಗೆ ವಾರ್ಡನ್ ಜವಾಬ್ದಾರಿ ನೀಡಿದ್ದು, ಅವರ ಬದಲಿಗೆ ಹೊಸದಾಗಿ ನೇಮಕವಾಗಿರುವ ಅಡುಗೆಯವರು ಪಿಯುಸಿ, ಪದವಿ ಶಿಕ್ಷಣ ಪಡೆದಿದ್ದು, ಅಂತಹವರಿಗೆ ಜವಾಬ್ದಾರಿ ನೀಡುವಂತೆ ಸಮಾಜ ಕಲ್ಯಾಣ ಇಲಾಖೆಯ ಜಂಟಿ ನಿರ್ದೇಶಕರಾದ ಸಿಂಧು ಅವರಿಗೆ ತಿಳಿಸಿದರು.",ಲಿಪಿ,Font,Yes,Darshan R K,2025-02-08 19:10:35
ಅಕ್ಷರ,"- ಹೆಸರು ಆರಂಭದಲ್ಲಿ ಅಕ್ಷರ ಅಥವಾ ಅಂಕಿಯ ಎಂದು, ಮತ್ತು ಇದು ಬಾಹ್ಯಾಕಾಶ ಮತ್ತು ವಿಶೇಷ ಐಟಂಗಳನ್ನು ಜೊತೆಗೆ, ಯಾವುದೇ ASCII ಅಕ್ಷರ ಹಾಜರಿದ್ದರು ಮಾಡಬಹುದು ಇನ್ ಮಾಡಬೇಕು;",ಲಿಪಿ,Font,Yes,Darshan R K,2025-02-08 19:10:35
ಅಕ್ಷರ,ಈ ಗ್ರಂಥವನ್ನು ಅಂದವಾಗಿ ಅಕ್ಷರ ಜೋಡಣೆ ಹಾಗೂ ಮುದ್ರಣ ಮಾಡಿಕೊಟ್ಟ ಮಿತ್ರರಿಗೂ ವಂದನೆಗಳು,ಲಿಪಿ,Font,Yes,Darshan R K,2025-02-08 19:10:35
ಅಕ್ಷರ,"ನೀವು ಚಿತ್ರವನ್ನು ತೆರೆಯಲು, ನೀವು ಏನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವ, ಆದರೆ ಆಟದ ಉದಾಹರಣೆಗೆ ಕೈಯನ್ನು, ಕಣ್ಣು, ಕಿರೀಟವನ್ನು ಹೀಗೆ ಪುಟ್ಟ ಅಂಶಗಳನ್ನು ಸೆಟ್ ಲೋಡ್ ವೇಳೆ, ಕಂಪ್ಯೂಟರ್ ಅಕ್ಷರ ರೂಪ ಗುರುತಿಸುತ್ತದೆ ಮತ್ತು ನಿಮ್ಮ ಪ್ರಮುಖ ಪಾತ್ರ ಇದು ಅನ್ವಯಿಸುವುದಿಲ್ಲ.",ಲಿಪಿ,Font,Yes,Darshan R K,2025-02-08 19:10:35
ಅಕ್ಷರ,ಇತಿಹಾಸದ ಪುಟಗಳಲ್ಲಿ ಅಕ್ಷರ ಬರೆಸಿಕೊಂಡಿರುವ ಕಿತ್ತೂರನ್ನು ಅಕ್ಟೋಬರ್ 25ರಂದು 177ನೇ ತಾಲೂಕಾಗಿ ಮುಖ್ಯಮಂತ್ರಿ ಜಗದೀಶ್ ಶೆಟ್ಟರ್ ಅವರು ಘೋಷಿಸಿದ್ದಾರೆ.,ಲಿಪಿ,Font,Yes,Darshan R K,2025-02-08 19:10:35
