word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಅಡಿ,"ಮುಜರಾಯಿ ಇಲಾಖೆಗೆ ಒಳಪಟ್ಟಿರುವ ಈ ದೇವಾಲಯದ ವೀರಾಂಜನೇಯ ವಿಗ್ರಹವನ್ನು ಸಾಲಿಗ್ರಾಮ ಕಲ್ಲಿನಲ್ಲಿ ಒಂಭತ್ತುವರೆ ಅಡಿ ಎತ್ತರ, ಆರುವರೆ ಅಡಿ ಅಗಲ, ಎರಡುವರೆ ಇಂಚು ದಪ್ಪದ ಕಲ್ಲಿನಲ್ಲಿ ಕೆತ್ತಲಾಗಿದ್ದು ,ಬಲಗೈ ಅಭಯ ಹಸ್ತ, ಎಡಗೈ ಸೊಂಟದ ಮೇಲೆ ಇದ್ದು ಲಾಂಗೋಲ ಮುಖದ ಪಕ್ಕದಲ್ಲಿರುವಂತೆ ಆಕರ್ಷಕವಾಗಿ ಕೆತ್ತನೆ ಮಾಡಲಾಗಿದೆ.",12 ಅಂಗುಲದ ಉದ್ದಳತೆ,Feet - 12 inches long measurement unit,Yes,Darshan R K,2025-02-07 18:25:07
ಅಡಿ,ದೇಶದ ನಾಗರಿಕರ ಆಧಾರ್​​ ಮಾಹಿತಿ 13 ಅಡಿ ಎತ್ತರದ ಕಟ್ಟಡವೊಂದರ 5 ಅಡಿ ದಪ್ಪದ ಗೋಡೆಗಳ ನಡುವೆ ಸುರಕ್ಷಿತವಾಗಿದೆ ಎಂದು ಬುಧವಾರ ಸುಪ್ರೀಂಕೋರ್ಟ್​ಗೆ ಹೇಳಿರುವ ಅಟಾರ್ನಿ ಜನರಲ್​ ಕೆ.,12 ಅಂಗುಲದ ಉದ್ದಳತೆ,Feet - 12 inches long measurement unit,Yes,Darshan R K,2025-02-07 18:25:07
ಅಡಿ,ಮೌಲ್ಯದ ಈ ವಿಗ್ರಹ 7 ಅಡಿ ಎತ್ತರವಿದೆ.,12 ಅಂಗುಲದ ಉದ್ದಳತೆ,Feet - 12 inches long measurement unit,Yes,Darshan R K,2025-02-07 18:25:07
ಅಡಿ,ವಿವೇಕರ ಕಲಾಕೃತಿ: ಪ್ರದರ್ಶನದಲ್ಲಿ ಮೈಸೂರಿನ ಕಲಾವಿದೆ ಗೌರಿ ಅವರು ಸ್ವಾಮಿ ವಿವೇಕಾನಂದರ 15 ಅಡಿ ಉದ್ದ ಮತ್ತು 15 ಅಡಿ ಎತ್ತರದ ಮರಳಿನ ಕಲಾಕೃತಿ ತಯಾರಿಸಿದ್ದಾರೆ.,12 ಅಂಗುಲದ ಉದ್ದಳತೆ,Feet - 12 inches long measurement unit,Yes,Darshan R K,2025-02-07 18:25:07
ಅಡಿ,ಗೋಕಾಕ: ತಾಲೂಕಿನ ಬೆಟಗೇರಿಗ್ರಾಮದ ಶ್ರೀ ಬಸವೇಶ್ವರ ವೃತ್ತದಲ್ಲಿ ನೂತನವಾಗಿ ಪ್ರತಿಷ್ಠಾಪಿಸಿದ 9 ಅಡಿ ಎತ್ತರದ ಸುಮಾರು 15 ಲಕ್ಷರೂಪಾಯಿ ವೆಚ್ಚದಲ್ಲಿ ನಿರ್ಮಿಸಿದ ಅಶ್ವಾರೂಢ ಶ್ರೀ ಬಸವೇಶ್ವರ ಕಂಚಿನ ಪುತ್ಥಳಿ ಅನಾವರಣ ಸಮಾರಂಭ ಇದೇ ಶುಕ್ರವಾರ ಸೆ 18 ರಂದು ಮುಂಜಾನೆ 9 ಗಂಟೆಗೆ ವಿಜೃಂಭಣೆಯಿಂದ ಜರುಗಲಿದೆ.,12 ಅಂಗುಲದ ಉದ್ದಳತೆ,Feet - 12 inches long measurement unit,Yes,Darshan R K,2025-02-07 18:25:07
ಅಡಿ,"ಇದಲ್ಲದೆ ರಿಲಯನ್ಸ್ ರಿಟೇಲ್ 6,700 ಕ್ಕೂ ಹೆಚ್ಚು ನಗರಗಳಲ್ಲಿ 10,644 ಚಿಲ್ಲರೆ ಅಂಗಡಿಗಳನ್ನು 23 ದಶಲಕ್ಷ ಚದರ ಅಡಿ ಮತ್ತು 516 ಪೆಟ್ರೋ ಚಿಲ್ಲರೆ ಮಾರಾಟ ಮಳಿಗೆಗಳನ್ನು ಹೊಂದಿದೆ.",12 ಅಂಗುಲದ ಉದ್ದಳತೆ,Feet - 12 inches long measurement unit,Yes,Darshan R K,2025-02-07 18:25:07
ಅಡಿ,ಬೆಳ್ತಂಗಡಿ: ಇಂದಬೆಟ್ಟು ಪಡಂಬಿಲ ಪಾಲೆದಬೆಟ್ಟು ಎಂಬಲ್ಲಿ ವೇಗವಾಗಿ ಚಲಿಸಿದ ರಿಕ್ಷಾವೊಂದು ಸ್ಕಿಡ್ ಆಗಿ 25 ಅಡಿ ಆಳವಾದ ಕಮರಿಗೆ ಬಿದ್ದ ಪರಿಣಾಮ ಇಬ್ಬರು ಮಹಿಳೆಯರು ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ.,12 ಅಂಗುಲದ ಉದ್ದಳತೆ,Feet - 12 inches long measurement unit,Yes,Darshan R K,2025-02-07 18:25:07
ಅಡಿ,"ನಿಮ್ಮ ಕೆಳಗಿಳಿಯುವಿಕೆಯು ಮನೆಯಿಂದ ನಾಲ್ಕರಿಂದ ಐದು ಅಡಿ ವಿಸ್ತರಿಸಿದೆ, ಇಲ್ಲದಿದ್ದರೆ ನೀರನ್ನು ನಿಮ್ಮ ನೆಲಮಾಳಿಗೆಯಲ್ಲಿ ಹಾದುಹೋಗುವುದು.",12 ಅಂಗುಲದ ಉದ್ದಳತೆ,Feet - 12 inches long measurement unit,Yes,Darshan R K,2025-02-07 18:25:07
ಅಡಿ,"ರಾಜ ಅಂದಮಾತ್ರಕ್ಕೆ, ಈತನ ಅರಮನೆಯೇನು, ಊರಿನಗಲ ಹಬ್ಬಿಲ್ಲ; ಒಂದು ಸಮುದ್ರ ತೀರದಲ್ಲಿ ಎಂಟತ್ತು ಅಡಿ ಮಾತ್ರವೇ….",12 ಅಂಗುಲದ ಉದ್ದಳತೆ,Feet - 12 inches long measurement unit,Yes,Darshan R K,2025-02-07 18:25:07
ಅಡಿ,ಇದರ ಗುಮ್ಮಟ ಭಾರತದಲ್ಲಿಯೇ ಅತ್ಯಂತ ದೊಡ್ಡದು ತಳದಲ್ಲಿ ೧೨೪ ಅಡಿ ವ್ಯಾಸ ಉಳ್ಳದ್ದಾಗಿರುತ್ತದೆ.,12 ಅಂಗುಲದ ಉದ್ದಳತೆ,Feet - 12 inches long measurement unit,Yes,Darshan R K,2025-02-07 18:25:07
