word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಅಶೋಕ,ಈ ಕುರಿತು ಅಶೋಕ ನಗರ ಠಾಣೆಯಲ್ಲಿ ದೂರು ದಾಖಲಾಗಿತ್ತು.,ಒಂದು ಜಾತಿಯ ಮರ,A species of tree,No,Darshan R K,2025-02-08 14:38:28
ಅಶೋಕ,"ಪಾಟೀಲ, ಅಶೋಕ ಬಳಿಗೇರ ಉಪಸ್ಥಿತರಿದ್ದರು.",ಒಂದು ಜಾತಿಯ ಮರ,A species of tree,No,Darshan R K,2025-02-08 14:38:28
ಅಶೋಕ,"ಫಿರೋಜ್ ಷಾ ತುಘಲಕ್ ನು ಈ ಅಶೋಕ ಸ್ಥಂಭದ ಕೆಳಭಾಗವನ್ನು ಫಾತೆಹಾಬಾದ್ ಗೆ ಸಾಗಿಸಿ, ಅಲ್ಲಿ ಮತ್ತೊಂದು ಲ್ಯಾಟ್ ಅನ್ನು ನಿರ್ಮಿಸಲು ಇದನ್ನು ಬಳಸಿಕೊಂಡನು.",ಒಂದು ಜಾತಿಯ ಮರ,A species of tree,No,Darshan R K,2025-02-08 14:38:28
ಅಶೋಕ,ದೇವರಾಜ ಅರಸ್ ಹಿಂದುಳಿದ ಅಭಿವೃದ್ದಿ ನಿಗಮದ ಅಧ್ಯಕ್ಷ ಅಶೋಕ ಕಾಟವೆ ಸೇರಿದಂತೆ ಮತ್ತಿತರರು ಉಪಸ್ಥಿತರಿದ್ದರು.,ಒಂದು ಜಾತಿಯ ಮರ,A species of tree,No,Darshan R K,2025-02-08 14:38:28
ಅಶೋಕ,ಅಶೋಕ ಗಿಡಗಳು ಶಾಲೆಯ ಎತ್ತರಕ್ಕೆ ಬೆಳೆದು ಅಂದ ಹೆಚ್ಚಿಸಿವೆ.,ಒಂದು ಜಾತಿಯ ಮರ,A species of tree,Yes,Darshan R K,2025-02-08 14:38:28
ಅಶೋಕ,ಅಶೋಕ ನಗರ ಬೆಂಗಳೂರು ಫುಟ್‌ಬಾಲ್ ಕ್ರೀಡಾಂಗಣದಲ್ಲಿ ಶುಕ್ರವಾರ ನಡೆದ ಪಂದ್ಯದ 43ನೇ ನಿಮಿಷದಲ್ಲಿ ಜಯವಂದನ್ ಪೆನಾಲ್ಟಿ ಅವಕಾಶದಲ್ಲಿ ಗೋಲು ಗಳಿಸಿ ಸ್ಟೂಡೆಂಟ್ಸ್ ಯೂನಿಯನ್‌ಗೆ ಮುನ್ನಡೆ ತಂದಿತ್ತರು.,ಒಂದು ಜಾತಿಯ ಮರ,A species of tree,No,Darshan R K,2025-02-08 14:38:28
ಅಶೋಕ,Home ಕನ್ನಡ ವಾರ್ತೆಗಳು ಕರಾವಳಿ ಅಶೋಕ ಚಕ್ಕೆಯ ಚೂರ್ಣಕ್ಕೆ ಸ್ವಲ್ಪ ಕಲ್ಲುಸಕ್ಕರೆ ಪುಡಿ ಸೇರಿಸಿ ಸೇವಿಸಿದರೆ ರಕ್ತ ಪಿತ್ತ ಸಮಸ್ಯೆ ನಿವಾರಣೆ,ಒಂದು ಜಾತಿಯ ಮರ,A species of tree,Yes,Darshan R K,2025-02-08 14:38:28
ಅಶೋಕ,"ಆರ್‌ಬಿಐ ಮುದ್ರೆಯ ಬದಲು ಪಿಕೆ ಎಂಬ ಲೋಗೊ, ಅಶೋಕ ಚಕ್ರದ ಬದಲು ಚುರಾನ್ ಲೇಬಲ್, ಕ್ರಮಸಂಖ್ಯೆ ಬದಲು ಸೊನ್ನೆಯಂಥ ಅಂಶಗಳು ಈ ನಕಲಿ ನೋಟುಗಳಲ್ಲಿ ಎದ್ದು ಕಾಣುತ್ತಿದ್ದವು.",ಒಂದು ಜಾತಿಯ ಮರ,A species of tree,No,Darshan R K,2025-02-08 14:38:28
ಅಶೋಕ,ಇಲ್ಲಿರುವ ಆಳೆತ್ತರದ ಅಶೋಕ ಮತ್ತು ಅವನ ರಾಣಿಯ ಶಿಲ್ಪ ಈ ಸ್ತೂಪಕ್ಕೆ ಚಾರಿತ್ರಿಕ ಮಹತ್ವವನ್ನು ತಂದು ಕೊಟ್ಟಿದೆ.,ಒಂದು ಜಾತಿಯ ಮರ,A species of tree,No,Darshan R K,2025-02-08 14:38:29
ಅಶೋಕ,ಬುದ್ಧನ ಸುಟ್ಟುಹೋದ ಮೂಳೆ ತುಣುಕುಗಳೊಡನೆ ಪರಸ್ಪರ ಮಿಶ್ರಣಗೊಂಡಿದ್ದ ಅವಶೇಷಗಳಲ್ಲಿ ಇನ್ನಷ್ಟು ಚದುರಿಹೋಗಿವೆ: ಬುದ್ಧನ ಮರಣದ 250 ವರ್ಷಗಳ ನಂತರ ಬುದ್ಧನ ಅನುಯಾಯಿಯಾದ ಕಿಂಗ್ ಅಶೋಕ ಈ ಸಮಾಧಿಯನ್ನು ಇಲ್ಲಿ ಇರಿಸಲಾಗಿದೆ ಎಂದು ನಂಬಲಾಗಿದೆ.,ಒಂದು ಜಾತಿಯ ಮರ,A species of tree,No,Darshan R K,2025-02-08 14:38:29
ಅಶೋಕ,"ಮಧ್ಯದಲ್ಲಿ ಅಶೋಕ ಸ್ತಂಭ, ಅದರ ಮೇಲೆ ಹಾಗೂ ಕೆಳಗೆ ಒಂದೊಂದು ಗೆರೆ ಎಳೆಯಲಾಗಿತ್ತು.",ಒಂದು ಜಾತಿಯ ಮರ,A species of tree,No,Darshan R K,2025-02-08 14:38:29
ಅಶೋಕ,"ಬೇವಿನಮರದ ನೆರಳಿನಲ್ಲಿ ಗ್ರಾಮಸ್ಥರ ಮಧ್ಯೆ, ಅಶೋಕ ಅವರು ಕುಳಿತುಕೊಂಡರು.",ಒಂದು ಜಾತಿಯ ಮರ,A species of tree,No,Darshan R K,2025-02-08 14:38:29
ಅಶೋಕ,"ಶಾಸಕರ ಭವನದ ನಾಲ್ಕು ಮಹಡಿಗಳ ಎತ್ತರಕ್ಕೆ ಬೆಳೆದುನಿಂತಿದ್ದ ಅಶೋಕ ವೃಕ್ಷಗಳನ್ನು 4 ಅಡಿಗೆ ತುಂಡರಿಸಿ, ಮಧ್ಯೆ ಇದ್ದ ಮರಗಿಡಗಳನ್ನು ತೆರವುಗೊಳಿಸಿ ಒಂದೂವರೆ ವರ್ಷದ ಹಿಂದೆ ಇಲ್ಲಿ ಆಕರ್ಷಕ ಉದ್ಯಾನ ನಿರ್ಮಿಸಲಾಗಿತ್ತು.",ಒಂದು ಜಾತಿಯ ಮರ,A species of tree,Yes,Darshan R K,2025-02-08 14:38:29
ಅಶೋಕ,"ಚನ್ನರಾಯಪಟ್ಟಣ ಹೋಬಳಿ ಚೌಡಪ್ಪನಹಳ್ಳಿ ಅಶೋಕ ಬುದ್ಧ ವಿಹಾರದಲ್ಲಿ ಸಮ್ಮಾಸಂಬುದ್ಧ ಬುದ್ಧಬಿಕ್ಕುಗಳ ಸಂಘ ಹಾಗೂ ಲುಂಬಿನಿ ಸೇವಾ ಟ್ರಸ್ಟ್, ವತಿಯಿಂದ ಆಯೋಜಿಸಿದ್ದ ಧಮ್ಮಚಕ್ಕ ಪವತ್ತನ (ಧಮ್ಮಚಕ್ರ ಪ್ರವರ್ತನ) ದಿನಾಚರಣೆ ಕಾರ್ಯಕ್ರಮದಲ್ಲಿ ಅವರು ಮಾತನಾಡಿದರು.",ಒಂದು ಜಾತಿಯ ಮರ,A species of tree,No,Darshan R K,2025-02-08 14:38:29
ಅಶೋಕ,"ಈ ಆಡಿಯೊ ವಾಕ್‌ನಲ್ಲಿ ಹಲಸಿನ ಮರ, ಅಲಂಕಾರಿಕ ಅಶೋಕ ಮರ, ಆಲದ ಮರ, ಮಾವಿನ ಮರ, ಛತ್ರಿ ಮರ ಹೀಗೆ ಐದು ಮರಗಳು ತಾವು ಹೇಗೆಲ್ಲ ಬದುಕುತ್ತಿದ್ದೇವೆ ಎಂಬ ಬಗ್ಗೆ ಚಿಕ್ಕದಾಗಿ ಚೊಕ್ಕವಾಗಿ ಪರಿಚಯ ಮಾಡಿಕೊಂಡವು.",ಒಂದು ಜಾತಿಯ ಮರ,A species of tree,Yes,Darshan R K,2025-02-08 14:38:29
ಅಶೋಕ,ಅಶೋಕ ರಸ್ತೆಯ ಮೂಲಕ ಜಿಲ್ಲಾಧಿಕಾರಿ ಕಚೇರಿಯವರೆಗೆ ಮೆರವಣಿಗೆ ನಡೆಸಿದರು.,ಒಂದು ಜಾತಿಯ ಮರ,A species of tree,No,Darshan R K,2025-02-08 14:38:29
