word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಉತ್ತರ,"ಆಂಧ್ರಪ್ರದೇಶ, ರಾಜಸ್ಥಾನ ಮತ್ತು ಉತ್ತರ ಪ್ರದೇಶದ ಫಲಿತಾಂಶ ಕಾಂಗ್ರೆಸ್ ಹಣೆಬರಹವನ್ನು ನಿರ್ಧರಿಸಲಿದೆ.",ಉತ್ತರದಿಕ್ಕು,Direction West,Yes,Darshan N,2025-02-12 14:32:09
ಉತ್ತರ,ಮತ್ತೊಂದು ಕಡೆ ಉತ್ತರ ಕರ್ನಾಟಕ ಭಾಗದಲ್ಲಿ ಕಾಂಗ್ರೆಸ್ ಶಾಸಕರ ಬಂಡಾಯ ತೀವ್ರಗೊಂಡಿದೆ.,ಉತ್ತರದಿಕ್ಕು,Direction West,Yes,Darshan N,2025-02-12 14:32:09
ಉತ್ತರ,ಇದನ್ನು ಕೂಡ ಶಿವಮೊಗ್ಗ ತಾಲೂಕಿನ ಉತ್ತರ ಭಾಗದಲ್ಲಿನ ಮುದುವಳಲು ಗ್ರಾಮವನ್ನು ರಾಜಧಾನಿಯಾಗಿ ಹೊಂದಿದ ಪ್ರದೇಶವಾಗಿ ಸಧ್ಯಕ್ಕೆ ಗುರ್ತಿಸಬಹುದು.,ಉತ್ತರದಿಕ್ಕು,Direction West,Yes,Darshan N,2025-02-12 14:32:09
ಉತ್ತರ,ಹಂತ ಹಂತವಾಗಿ ನೀರು ಬಿಡುವ ಮೂಲಕ ಗೇರುಸೊಪ್ಪೆ ಮೊದಲಾದ ಉತ್ತರ ಕನ್ನಡದ ಭಾಗಗಳಲ್ಲಿ ಪ್ರವಾಹವನ್ನ ನಿಯಂತ್ರಿಸಬಹುದಾಗಿದೆ.,ಉತ್ತರದಿಕ್ಕು,Direction West,Yes,Darshan N,2025-02-12 14:32:09
ಉತ್ತರ,"ಬಿದಿರಿನ ಉತ್ಪನ್ನಗಳು, ಜೈಪುರದ ಪಾಟರಿ, ಪಶ್ಚಿಮ ಬಂಗಾಲದ ದೋಕ್ರಾ, ಉತ್ತರ ಪ್ರದೇಶದ ಅಮೃತಶಿಲೆ, ತಂಜಾವೂರು ಕಲಾ ಪ್ರಕಾರಗಳು, ಮೈಸೂರು ಚಿತ್ರಕಲೆ ಹಾಗೂ ಬೇರೆ ಬೇರೆ ರಾಜ್ಯಗಳ ಕೈಮಗ್ಗ, ಮಹಿಳೆಯರಿಗಾಗಿ ಅಲಂಕಾರಿಕ ವಸ್ತುಗಳು, ಬಟ್ಟೆಗಳು, ಪೀಠೋಪಕರಣಗಳು, ಫ್ಯಾಷನ್ ಮತ್ತು ಸಾಂಪ್ರದಾಯಿಕ ಶೈಲಿಯ ಆಭರಣಗಳು ಇಲ್ಲಿನ ಆಕರ್ಷಣೆ.",ಉತ್ತರದಿಕ್ಕು,Direction West,Yes,Darshan N,2025-02-12 14:32:09
ಉತ್ತರ,ಉತ್ತರ ಭಾರತದ ಸ್ಪೆಷಲ್ ತರ್ಕಾದಾಲ್,ಉತ್ತರದಿಕ್ಕು,Direction West,Yes,Darshan N,2025-02-12 14:32:09
ಉತ್ತರ,ಈ ಪೈಕಿ ಒಂದಷ್ಟು ನೀರನ್ನು ಉತ್ತರ ಕರ್ನಾಟಕ ಭಾಗದ ಜನರ ಕುಡಿಯುವ ಉದ್ದೇಶಕ್ಕೆ ಮಲಪ್ರಭಾ ನದಿಗೆ ತಿರುಗಿಸಬೇಕು.,ಉತ್ತರದಿಕ್ಕು,Direction West,Yes,Darshan N,2025-02-12 14:32:09
ಉತ್ತರ,"ಬಾಗಲಕೋಟೆ,20- ಸರ್ಕಾರಿ ಮತ್ತು ಖಾಸಗಿ ಸಂಘ-ಸಂಸ್ಥೆಗಳಲ್ಲಿ ಗುತ್ತಿಗೆ ಆಧಾರದ ಮೇಲೆ ಕೆಲಸ ಮಾಡುವ ಕಾರ್ಮಿಕರಿಗೆ ಕೆಲಸಕ್ಕೆ ತಕ್ಕ ವೇತನ ನೀಡಬೇಕು ಎಂದು ಉತ್ತರ ಕರ್ನಾಟಕ ಜಿಲ್ಲಾ ಪೌರ ಕಾರ್ಮಿಕರ ಅಧ್ಯಕ್ಷ ಹರೀಶ ನಾಯಕ ಆಗ್ರಹಿಸಿದರು.",ಉತ್ತರದಿಕ್ಕು,Direction West,Yes,Darshan N,2025-02-12 14:32:09
ಉತ್ತರ,ವೆಚ್ಚದ ಮೊದಲ ಹಂತದ ನೂತನ ಮಾರುಕಟ್ಟೆ ಕಾಮಗಾರಿಗೆ ಮಂಗಳೂರು ಉತ್ತರ ವಲಯ ಶಾಸಕ ಮೊಯ್ದಿನ್ ಬಾವಾ ಚಾಲನೆ.,ಉತ್ತರದಿಕ್ಕು,Direction West,Yes,Darshan N,2025-02-12 14:32:09
ಉತ್ತರ,ಉತ್ತರ ಪ್ರದೇಶ ಮತ್ತು ಪಂಜಾಬಿನಲ್ಲೂ ಕೆಲವೆಡೆಗಳಲ್ಲಿ ಇದನ್ನು ಬೆಳೆಯುತ್ತಾರೆ.,ಉತ್ತರದಿಕ್ಕು,Direction West,Yes,Darshan N,2025-02-12 14:32:09
ಉತ್ತರ,"ಕೇಂದ್ರ ಸರ್ಕಾರ, ಉತ್ತರ ಪ್ರದೇಶ ರಾಜ್ಯ ಸರ್ಕಾರ ಹಾಗೂ ಎಲ್ಲ ಅರ್ಜಿದಾರರ ವಾದ ಆಲಿಕೆ",ಉತ್ತರದಿಕ್ಕು,Direction West,Yes,Darshan N,2025-02-12 14:32:09
ಉತ್ತರ,ಗುಡುಗುಡುಚಂಡಕ್ಕೆ : ಉತ್ತರ ಕರ್ನಾಟಕದ ಎಳೆದಾಟದ ಒಂದು ಬಗೆ.,ಉತ್ತರದಿಕ್ಕು,Direction West,Yes,Darshan N,2025-02-12 14:32:09
ಉತ್ತರ,ಬಿಎಸ್ ವೈಗೆ ಉತ್ತರ ಕನ್ನಡ ಸಂಸದ ಅನಂತ ಕುಮಾರ ಹೆಗಡೆ ಸಾಥ್ ನೀಡಿದರು.,ಉತ್ತರದಿಕ್ಕು,Direction West,Yes,Darshan N,2025-02-12 14:32:09
ಉತ್ತರ,"ಆದ್ದರಿಂದ, ನೀವು ಈ ಉದ್ದಿಮೆಯಲ್ಲಿ ಪಡೆಯಲು ಬಯಸಿದರೆ, ನೀವು ತುಂಬಾ ದೀರ್ಘಕಾಲ ದೇಶದ ಉತ್ತರ ಪ್ರದೇಶಗಳ ಕಳುಹಿಸಲಾಗುವುದು ಎಂದು ತಯಾರಿಸಬಹುದು.",ಉತ್ತರದಿಕ್ಕು,Direction West,Yes,Darshan N,2025-02-12 14:32:09
ಉತ್ತರ,2-3 ವರ್ಷಗಳಲ್ಲಿ ವಿಶೇಷವಾಗಿ ಉತ್ತರ ಕರ್ನಾಟಕದಲ್ಲಿ ಈ ಕ್ಲಸ್ಟರ್‌ಗಳ ಮೂಲಕ ಸುಮಾರು 10ಲಕ್ಷ ಉದ್ಯೋಗಗಳನ್ನು ಸೃಷ್ಟಿ ಮಾಡುವ ವಿಶ್ವಾಸ ನನ್ನದು.,ಉತ್ತರದಿಕ್ಕು,Direction West,Yes,Darshan N,2025-02-12 14:32:09
ಉತ್ತರ,"ಉಳಿದಂತೆ ಕಳೆದ ಬಾರಿ ಉತ್ತರ ಕರ್ನಾಟಕ ಪ್ರದೇಶದಲ್ಲಿ ಸಚಿವರಾಗಿದ್ದ ವಿನಯ್‌ ಕುಲಕರ್ಣಿ, ಬಸವರಾಜ ರಾಯರೆಡ್ಡಿ, ಕೋಳಿವಾಡ, ಉಮಾಶ್ರೀ, ಶರಣ ಪ್ರಕಾಶ್ ಪಾಟೀಲ್ ಈ ಬಾರಿ ಪರಾಭವಗೊಂಡಿರುವುದು ಈ ಭಾಗದ ಜಿಲ್ಲೆಗಳಲ್ಲಿ ಸಚಿವ ಪ್ರಾತಿನಿಧ್ಯಕ್ಕೆ ಹೆಚ್ಚಿನ ಅವಕಾಶ ಇಲ್ಲವಾಗಿದೆ.",ಉತ್ತರದಿಕ್ಕು,Direction West,Yes,Darshan N,2025-02-12 14:32:09
ಉತ್ತರ,"ಈ ಕುರಿತು ಸಾಮಾಜಿಕ ಜಾಲ ತಾಣಗಳಲ್ಲಿ ಅಭಿಮಾನಿಗಳು ಹಾಗೂ ರಾಜ್ಯದ ಜನತೆಗೆ ಮನವಿ ಮಾಡಿರುವ ನಟ ದರ್ಶನ್, ನಮ್ಮ ಉತ್ತರ ಕರ್ನಾಟಕ ಭಾಗದ ಜಿಲ್ಲೆಗಳ ಹಲವು ಹಳ್ಳಿಗಳು ಪ್ರವಾಹದ ಅಬ್ಬರಕ್ಕೆ ನೀರಿನಲ್ಲಿ ಮುಳುಗಿ ಹೋಗಿವೆ.",ಉತ್ತರದಿಕ್ಕು,Direction West,Yes,Darshan N,2025-02-12 14:32:09
ಉತ್ತರ,ಉತ್ತರ ಕರ್ನಾಟಕ ಭಾಗಕ್ಕೆ ಸೇರಿದ 13 ಜಿಲ್ಲೆಗಳ ಪೈಕಿ ಎಲ್ಲೂ ಕೂಡ ಬಂದ್‌ ಆಗಲಿಲ್ಲ.,ಉತ್ತರದಿಕ್ಕು,Direction West,Yes,Darshan N,2025-02-12 14:32:09
