word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಕಣ,"ಜೀವಸತ್ವ B9 (ಫಾಲಿಕ್ ಆಮ್ಲ) ಬಿಳಿ ರಕ್ತ ಕಣ ಅಭಿವೃದ್ಧಿಯಲ್ಲಿ ಕೋಶಗಳ ವಿಭಜನೆಯ ಪ್ರಕ್ರಿಯೆಯಲ್ಲಿ, ಚಯಾಪಚಯ ಒಳಗೊಂಡಿರುವ ಪ್ರವಾಹವನ್ನು ಸಂಶ್ಲೇಷಣೆಯಲ್ಲಿ ಕಾಣಬರುತ್ತದೆ ಇದೆ.",ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:23
ಕಣ,ಲ್ಯೂಕೊಸೈಟೊಸಿಸ್ ಪ್ರಕಾರಕ್ಕೆ ಅನುಗುಣವಾಗಿ ವಿಭಿನ್ನವಾಗಿ ರಕ್ತ ಪರೀಕ್ಷೆಯಲ್ಲಿ ಬಿಳಿ ರಕ್ತ ಕಣ ಮೌಲ್ಯವನ್ನು ಡೀಕೋಡ್ ಫಲಿತಾಂಶಗಳು ವ್ಯಾಖ್ಯಾನಿಸುವ ಅಗತ್ಯ.,ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:23
ಕಣ,"ನಿಯಮದಂತೆ, ಮಕ್ಕಳ ಬಿಳಿ ರಕ್ತ ಕಣ ವೈರಲ್ ಸೋಂಕು, ಉರಿಯೂತ, ಕರುಳಿನ ಸಮಸ್ಯೆಗಳು ವಿವಿಧ ಸೂಚಿಸುತ್ತದೆ ಹೆಚ್ಚಾಯಿತು.",ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:23
ಕಣ,ಲಿಂಫೋಸೈಟ್ಸ್ ಸಾಮಾನ್ಯ ಸಂಖ್ಯೆ ಯಾವುದೇ ವಯಸ್ಕ ರಕ್ತದ ಒಟ್ಟು ಬಿಳಿ ರಕ್ತ ಕಣ ಶೇಕಡಾ ನಲವತ್ತು ಒಳಗೆ ರಲ್ಲಿ.,ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:23
ಕಣ,ಪ್ರೋಟಾನ್ ಕಣ ತೂಕದ ಕಣ ; ಎಲೆಕ್ಟ್ರಾನ್‌ಗಿ೦ತ ಸುಮಾರು ೨೦೦೦ದಷ್ಟು ಹೆಚ್ಚು ತೂಕ.,ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:23
ಕಣ,"* ಇದರಲ್ಲಿರುವ ವಿಟಮಿನ್ ಸಿ ಜೀವಸತ್ವವು ಮೂಳೆ, ಹಲ್ಲಿನ ರಚನೆ, ಜೀರ್ಣಕ್ರಿಯೆ ಮತ್ತು ರಕ್ತ ಕಣ ರಚನೆಯಲ್ಲಿ ಪ್ರಮುಖ ಪಾತ್ರವಹಿಸುತ್ತದೆ.",ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:23
ಕಣ,"ಸ್ಥೂಲಕಾಯತೆ, ಮೂಗಿನ ಅಲರ್ಜಿಗಳು, ನರಸ್ನಾಯುಕ ರೋಗಗಳು, ನಿದ್ರಾಜನಕ ಪರಿಣಾಮಗಳೊಂದಿಗೆ ಔಷಧಿಗಳ ಬಳಕೆ, ಕುಡಗೋಲು ಕಣ ರಕ್ತಹೀನತೆ, ಮತ್ತು ಒಎಸ್ಎಯ ಕುಟುಂಬದ ಇತಿಹಾಸವು ಮಕ್ಕಳಲ್ಲಿ ಸ್ಲೀಪ್ ಅಪ್ನಿಯ ಬೆಳವಣಿಗೆಗೆ ಅಪಾಯಕಾರಿ ಅಂಶಗಳಾಗಿವೆ.",ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:23
ಕಣ,ಫಿಸಿಶಿಯನ್ಸ್ ಕೆಳಗಿನ ಮೂತ್ರದಲ್ಲಿ ಬಿಳಿ ರಕ್ತ ಕಣ ತಕ್ಷಣದ ಹೆಚ್ಚಳವನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ ಇವೆ:,ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:23
ಕಣ,ಹೇಗ್ ಕೆಲ್ಸ ಮಾಡತ್ತೆ : ಆವಿ ನಮ್ ಚರ್ಮದ್ ಕಣ ಕಣಕ್ಕೂ ಆಳವಾಗಿ ತೂರತ್ತೆ.,ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:23
ಕಣ,ಬಿಳಿ ರಕ್ತ ಕಣ ಸಂಖ್ಯೆ ಮೂತ್ರ ಅಂಗಗಳಲ್ಲಿ ಉರಿಯೂತದ ಪ್ರಕ್ರಿಯೆಗಳಲ್ಲಿ ಹೆಚ್ಚಿಸುತ್ತದೆ.,ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:23
ಕಣ,ಸ್ವಯಂ ಪ್ರೇರಿತ ರಕ್ತದಾನ ಶಿಬಿರ ರಕ್ತದ ಕಣ ಕಣವೂ ಬದುಕಿನ ಜೀವಿತಾವಧಿಯ ಕುರುಹು.,ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:23
ಕಣ,"ಕೆನ್ - ಕೂದಲು ಆಳವಾಗಿ ವ್ಯಾಪಿಸಿರುವ ಮತ್ತು ಐದು ಬೃಹತ್ ಕಣ ಹೊರಹೊಮ್ಮುವ ಒಂದು ಅನನ್ಯ ಅಣು nitrone, ಒಳಗೊಂಡಿರುವ ಕೂದಲು ಡೈ.",ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:23
ಕಣ,"ಸಾಮಾನ್ಯವಾಗಿ, ರೋಗ ಉಪಸ್ಥಿತಿಯಲ್ಲಿ ಇದು, ಬಿಳಿ ರಕ್ತ ಕಣ ಅತಿ ಹೆಚ್ಚಿನ ಮಟ್ಟವನ್ನು ತೋರಿಸುತ್ತದೆ ಕ್ಷಿಪ್ರ ಇಳಿಮುಖ ಕಾಣಬರುತ್ತದೆ.",ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:23
ಕಣ,ಏಕ ಕಣ ಜೀವಿಗಳಾದ ಫ್ರೋಟೋಜೋವಾದಿಂದ ಹಿಡಿದು ಮನುಷ್ಯನವರೆಗೆ ವ್ಯಾಪಿಸಿರುವ ಹನ್ನೊಂದು ಮಿಲಿಯನ್ ಪ್ರಾಣಿಸಂಕುಲಗಳನ್ನು ಈ ಭೂಮಿ ಪೋಷಿಸುತ್ತಿದೆ.,ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:23
ಕಣ,"ಮಕ್ಕಳು ಮತ್ತು ವಯಸ್ಕರಲ್ಲಿ ವಿವರಣೆ ವೈಯಕ್ತಿಕ ರೂಪಗಳು ಬಿಳಿ ರಕ್ತ ಕಣ (ಬಾಸೊಫಿಲ್, ನ್ಯೂಟ್ರೋಫಿಲ್ಸ್ಗಳಲ್ಲಿ ಮೋನೊಸೈಟ್ಸ್, ಲಿಂಫೋಸೈಟ್ಸ್, ಇತ್ಯಾದಿ) ಡೇಟಾವನ್ನು ಹೊಂದಿರುತ್ತದೆ ನಿಯತಾಂಕಗಳನ್ನು ಲ್ಯೂಕೊಸೈಟ್ ಗುಂಪು ಸೂಚಿಸುವ ಒಳಗೊಂಡಿರುತ್ತದೆ.",ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:23
ಕಣ,Home ಕನ್ನಡ ವಾರ್ತೆಗಳು ಕರಾವಳಿ ಬಿಳಿ ರಕ್ತ ಕಣ ಹೆಚ್ಚು ಮಾಡಿಕೊಂಡರೆ ದೇಹಕ್ಕೆ ಯಾವುದೇ ಖಾಯಿಲೆ ಬರೋದಿಲ್ಲ ನಿಜಾನಾ.,ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:24
ಕಣ,"ರಕ್ತ, ಒಂದು ವಸ್ತು ವಸ್ತುವನ್ನು ರಕ್ತಪರಿಚಲನಾ ವ್ಯವಸ್ಥೆಯ ಎರಡು ಭಾಗಗಳನ್ನು ಒಳಗೊಂಡಿದೆ: ಎ ದೃವ ಅಥವಾ ಪ್ಲಾಸ್ಮಾ, ಹಾಗೂ ಒಣ ಕೋಳಿ ರೂಪುಗೊಂಡ ಅಂಶಗಳನ್ನು (ಕಿರುಬಿಲ್ಲೆಗಳು, ಬಿಳಿ ರಕ್ತ ಕಣ ಮತ್ತು ಎರಿಥ್ರೋಸೈಟ್).",ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:24
ಕಣ,ಕೆಂಪು ರಕ್ತ ಕಣಗಳು ಶ್ವಾಸಕೋಶದಿಂದ ಆಮ್ಲಜನಕವನ್ನು ದೇಹದ ಕಣ ಕಣ ಗಳಿಗೂ ಸಾಗಿಸುವ ವಾಹಕವಾದರೆ ಬಿಳಿರಕ್ತ ಕಣಗಳು ರೋಗಾಣುಗಳನ್ನು ನಾಶ ಪಡಿಸುವ ಸೈನಿಕರಾಗಿರುತ್ತವೆ.,ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:24
ಕಣ,ಬಿಳಿ ರಕ್ತ ಕಣ ಮತ್ತು ಕಿರುಬಿಲ್ಲೆಗಳು ರಚನೆಯನ್ನು ಭಿನ್ನವಾಗಿದೆ.,ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:24
ಕಣ,ತರುವಾಯ ಕ್ಯಾನ್ಸರ್ ಕಣ ರೂಪಾಂತರವು ಸಂಭವಿಸುತ್ತದೆ.,ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,Particle,Yes,Darshan R K,2025-02-08 17:55:24
