word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಕರ,"ಈ ಸೌಲಭ್ಯ ಮಂಡಳಿಯ ಕ್ಯಾಶ ಕೌಂಟರಗಳಲ್ಲಿ ಲಭ್ಯವಿದ್ದು ಸಾರ್ವಜನಿಕರು ತಮ್ಮ ಡೆಬಿಟ್ ಕಾರ್ಡ, ಎಟಿಎಮ್ ಕಾರ್ಡ ಮುಖಾಂತರ ನೀರಿನ ಕರ ತುಂಬ ಬಹುದು ಎಂದು ಜಲಮಂಡಳಿ ಪ್ರಕಟಣೆಯಲ್ಲಿ ತಿಳಿಸಿದೆ.",ತೆರಿಗೆ,tax,Yes,a,2025-02-07 11:11:02
ಕರ,ಆದರೆ ಕೆಲ ಜಾಣರು ಭಾರತದಿಂದ ಹೊರಕ್ಕೆ ಹೋಗಿ ವಿಶ್ವ ಪರ್ಯಟನೆ ಮಾಡುತ್ತಾ ಯಾವುದೇ ದೇಶದ ಕರ ನಿವಾಸಿಗಳಾಗಿರುವುದಿಲ್ಲ.,ತೆರಿಗೆ,tax,Yes,a,2025-02-07 11:11:02
ಕರ,ಹತ್ತು ವರ್ಷಗಳಲ್ಲಿ ಸರ್ಕಾರಿ ವಸತಿ ಗೃಹಗಳ ನೀರಿನ ಕರ ₹15 ಲಕ್ಷದಷ್ಟು ಬಾಕಿ ಇದೆ.,ತೆರಿಗೆ,tax,Yes,a,2025-02-07 11:11:02
ಕರ,ಅವ್ಯವಹಾರ ಆರೋಪದ ಮೇಲೆ ಕರ ಸಂಗ್ರಹಕಾರ ವಾಸುದೇವ ಜಾಧವ್ ಎಂಬಾತನನ್ನು ಗ್ರಾಪಂ ಆಡಳಿತವು ಅಮಾನತುಗೊಳಿಸಿತ್ತು.,ತೆರಿಗೆ,tax,Yes,a,2025-02-07 11:11:02
ಕರ,ಈ ಅವಧಿಯಲ್ಲಿ ಕೂಡಾ ಅವರು ನಿವಾಸಿಗಳಾದರೂ ಕೂಡಾ ಅನಿವಾಸಿಗಳಂತೆಯೇ ಕರ ಕಾನೂನು ಲಾಗೂ ಆಗುತ್ತದೆ.,ತೆರಿಗೆ,tax,Yes,a,2025-02-07 11:11:02
ಕರ,ಇದೇ ವೇಳೆ ನೌಕರ ವರ್ಗ ಆದಾಯ ಕರ ಮಿತಿ ಏರಿಕೆ ನಿರೀಕ್ಷೆಯಲ್ಲಿದೆ.,ತೆರಿಗೆ,tax,Yes,a,2025-02-07 11:11:02
ಕರ,ವಿದ್ಯುತ್‌ ವಾಹನ ಬಳಸಿ-ಪರಿಸರ ಉಳಿಸಿ ಕುರಿತ ಕರ ಪತ್ರವನ್ನು ಇದೇ ಸಂದರ್ಭದಲ್ಲಿ ಬಿಡುಗಡೆ ಮಾಡಿದರು.,ತೆರಿಗೆ,tax,Yes,a,2025-02-07 11:11:02
ಕರ,"ಇದು ನೀವು ಕಟ್ಟಿದ ಕರ ಸರಿಯಾಗಿದೆಯೇ, ಕಡಿಮೆಯಾಗಿದೆಯೇ ಅಥವಾ ಹೆಚ್ಚಾಗಿದೆಯೇ ಎನ್ನುವ ಮಾಹಿತಿಯನ್ನು ನೀಡುತ್ತದೆ.",ತೆರಿಗೆ,tax,Yes,a,2025-02-07 11:11:02
ಕರ,"ಇಂತಿಪ್ಪ ಸಂದರ್ಭದಲ್ಲಿ, ಕೇವಲ ವಿಮೆಯನ್ನು ಪೋಷಿಸುವ ಉದ್ದೇಶದಿಂದ ನೀಡಲ್ಪಟ್ಟ ಕರ ವಿನಾಯಿತಿಗಳು ಇಂತಹ ಕುಡಿಕೆ ತುಂಬಿಸುವ ಯೋಜನೆಗಳಿಗೆ ದಯಮಾಡಿಸಬೇಕೇ ಎಂಬ ಮೂಲಭೂತ ಚಿಂತನೆ ನಮ್ಮ ಘನ ಸರಕಾರದ ಮಂಡೆಯೊಳಗೆ ನಿಧಾನವಾಗಿ ಹೊಳೆಯಲಾರಂಭಿಸಿತು.",ತೆರಿಗೆ,tax,Yes,a,2025-02-07 11:11:02
ಕರ,"ಕಲಬುರಗಿ: ಕಲಬುರಗಿ ಮಹಾನಗರ ಪಾಲಿಕೆ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಪಾಲಿಕೆಯ ಕರ ವಸೂಲಾತಿಯನ್ನು ಮತ್ತಷ್ಟು ಸರಳೀಕರಣ ಮಾಡಲು ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಡೇಟಾ ಮಷಿನ್ ಸಾಫ್ಟವೇರ್ ಪರಿಚಯಿಸಲಾಗಿದ್ದು, ಮನೆ ಮನೆಗೆ ತೆರಳಿ ಸ್ಥಳದಲ್ಲಿಯೆ ಕಂದಾಯ ಹಣ ಪಾವತಿಸುವ ವ್ಯವಸ್ಥೆ ಜಾರಿಗೆ ತರಲಾಗುತ್ತಿದೆ ಎಂದು ಕಲಬುರಗಿ ಮಹಾನಗರ ಪಾಲಿಕೆಯ ಆಯುಕ್ತೆ ಬಿ.",ತೆರಿಗೆ,tax,Yes,a,2025-02-07 11:11:02
