word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಕರ,ಬೆಳಿಗ್ಗೆ ಎದ್ದ ತಕ್ಷಣ ನಮ್ಮ ಹಸ್ತವನ್ನು ನೋಡ್ತಾ ಕರಾಗ್ರೆ ವಸತೇ ಲಕ್ಷ್ಮಿ: ಕರ ಮಧ್ಯೆ ಸರಸ್ವತಿ ಕರ ಮೂಲೆ ಸ್ಥಿತೆ ಗೌರಿ: ಪ್ರಭಾತೆ ಕರ ದರ್ಶನಂ ಎಂಬ ಮಂತ್ರವನ್ನು ಪಠಿಸಬೇಕು.,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ಕಾಸ್ನ ಧೂಪ ಹಾಕಿ ಕರ ಎತ್ತಿ ಕೈ ಮುಗಿದು,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,|| ಕ || ಕರಿಪತಿ ಕರ ಪುಷ್ಕರದಿಂ,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,"ಪ್ರಜೆಗಳು, ಪ್ರಜಾಪ್ರತಿನಿಧಿಗಳು, ಸರಕಾರ, ಕೃಷಿ, ಮುಜರಾಯಿ ಇಲಾಖೆಗಳು ಕಲೆತು ವರುಣನ ಕೃಪೆ ಬೇಡಿ ಕರ ಜೋಡಿಸಿ ಮುಗಿಲತ್ತ ಕಣ್ಣುನೆಟ್ಟವು.",ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ಬೋಲಾ ಬಚನ ಜೋರಿ ಕರ ಕೀಸಾ।।,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ಮಾರವೈರಿಯ ಕರ ಭಿಕ್ಷವ ಗೈದುದು | ಬೇರಾರನುಳಿಸುವುದು ||35||,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ಕರ ಮಿರುಗುವೈವಾಯ ಶಂಖವ ಬಲದಕೈಯಿಂದ ||,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ಜನು ಅಸೋಕ ಅಂಗಾರ ದೀನ್ಹಿ ಹರಷಿ ಉಠಿ ಕರ ಗಹೇಉ।।12।।,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ದೋ0- ಹನೂಮಾನ ತೇಹಿ ಪರಸಾ ಕರ ಪುನಿ ಕೀನ್ಹ ಪ್ರನಾಮ।,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ತರುಣಿಯನು ಪಣದಂತೆ ವರಿಸುವೆನೆನುತ ಕರ ಜಡಿದಾ ||೧೩೪||,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ಭೀಷಣನ ಕರ ಕೊಂಡು ಬಂದು ವಿ | ಲಾಸದಿಂದ ||4||,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,"ರಾಷ್ಟ್ರೀಯ ಮತ್ತು ರಾಜ್ಯ ಪ್ರಶಸ್ತಿಗಳನ್ನು ಪಡೆದಿರುವ ದೇಶದ ವಿವಿಧ ರಾಜ್ಯಗಳ 60 ಕರ ಕುಶಲ ಕರ್ಮಿಗಳು ಕರಕುಶಲ ವಸ್ತುಪ್ರದರ್ಶನದಲ್ಲಿ ಭಾಗಿಯಾಗಿದ್ದು, ಪರಿಶಿಷ್ಟ ಜಾತಿ ಮತ್ತು ಪಂಗಡದವರು ಉದ್ಯೋಗಿಗಳಿಗೆ ಹೆಚ್ಚಿನ ಅವಕಾಶ ನೀಡಲಾಗಿದೆ.",ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ಕ್ರಾಂತಿನಾಗಲು ಮುನಿ ನೋಡುತಲಿ | ಕರ,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ಜೋಡಿಸಿ ಕರ ಮುಗಿದು ಶೃಂಗಾರವಾಗಿ ನಡೆಯಲು | ಮೂರಾರು ಸಾವಿರ ಬಲದಿ || ೨೪ ||,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ನಿನ್ನ ಕರದಿ ದೇವನ ಕರ ಹಿಡಿದಿರಲು ಇಹುದು ಭಯವು,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ಹೊಡೆದರು ತಮ್ಮೆರಡು ಕರ ಮನಸು ದಣಿವಂತೆ | ಹರದಾರಿ ಅಡ್ಡಗಲ ಭೂಮಿ |,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ನಿಂದಿದಿರ್ಗೊಂಡು ಮಣಿದು | ಹರಿಯ ಕರ | ತಂದು ಸಂತಸದಿ ಕುಣಿದು ||೫೮||,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ನೋಡಿ ಪಾಡಿ ಕರ ಜೋಡಿಸಿ ದೈನ್ಯದಿ ಬೇಡಿ ಗೃಹಗೆ ತಂದಾಡುತರ್ಚಿಸುತಲಿ || ಪ ||,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ಕರ ಕಮಲಂಗಳ ಮುಗಿದು ಬಿನ್ನೆಯಿಸಲು,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ಕಡಿದು ಹಸ್ತಿಯ ನೂಂಕಲು | ಆನೆಯ ಕರ,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ಭುವನೇಸ್ವರ ಕಾಲಹು ಕರ ಕಾಲಾ।।,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,"ಕೈ ಕನ್ನಡ, ಕರ ಸಂಸ್ಕೃತ ಆಗಿರುವುದೇ ಕಾರಣವೇ?",ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,"ಪೊರೆಗಳಚಿ ಹೊರಬರುವ ಕಾಳೋರಗನ ನೆ‌ನಪಿಸುವ, ಶಿಶುಶಿವನ ವರಖಡ್ಗವು ಒರೆಗಳಚಿ ಹೊರಬಂದು, ಕರ ಸೇರಿ, ಮುಗಿಲಮುಖಿಯಾಗಿ ಮೇಲೆದ್ದಿತು.",ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ಗಿರಿಧರನ ಹಲಧರನನಾ ಭೀ | ಕರ ಖಗೇಂದ್ರನ ಪಕ್ಷ ಮೂಲದ |,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ಜಿಮಿ ಅಮೋಘ ರಘುಪತಿ ಕರ ಬಾನಾ।,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ಪೂತುರೆನುತ ಕರ | ಘಾತಿಯ ತಾಳದಿ |,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,"ಇನ್ನು ಕೆಲವರು ಟೈಲರಿಂಗ್‌, ಕರ ಕುಶಲ ತರಬೇತಿ ಪಡೆದು ಸ್ವಂತ ಉದ್ಯೋಗ ನಿರ್ವಹಿಸುತ್ತಿದ್ದಾರೆ ಎನ್ನುತ್ತಾರೆ ಅವರು.",ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ಕಟ್ಟಿಹ ಕೋಟೆಯ ನೋಡಿ | ಕರ | ತಟ್ಟುತ ಶಿರವೊಲೆದಾಡಿ ||,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,"ವಿಕ್ರಮ: ಅಯ್ಯ ಮಂತ್ರಿ ಇಂದ್ರ ಭವನದಂತೆ ಸೌಂದರ‌್ಯಮಾಗಿ ಅಂದ ಚಂದಗಳಿಂದ ಹೊಂದಿ ಇರುವ ಕುಂದಣದ ಮಣಿಮಂಚದ ಮೇಲೆ ಸುಂದರ ಚಂದ್ರಕಾಂತೆ ಸಮೇತನಾಗಿ ಹೊಂದಿ ನಿದ್ರೆಯನ್ನು ಪೋಗುತ್ತಿರುವಲ್ಲಿ ಬಂದಿದ್ದ ಚೋರರು ಬೇಳ್ವೆ ಚೆಲ್ಲಿದರಾದ ಕಾರಣ, ಮಂದಮತಿ ಕವಿದಿರುವ ಸಮಯದಲ್ಲಿ ಯನ್ನ ಕರ ಕಂಕಣಕ್ಕೆ ಓಲೆಯನ್ನು ಬಂಧಿಸಿ ಧನಕನಕ ವಜ್ರ ವೈಢೂರ‌್ಯ ಮುಂತಾದ ಚಂದ್ರಾಯುಧಗಳನ್ನು ಸಹ ಕದ್ದುಕೊಂಡು ಪೋದರಾದ ಕಾರಣ ಮುಂದಿನ ಯೋಚನೆಯನ್ನು ತಿಳಿಸೋ ಪ್ರಧಾನಿ – ವಾರುಧಿ ಸಮಾನಿ ॥",ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ಕಳುಹೆಂದೆನುತ ಕರ ಮುಗಿದು ಧರ್ಮಜಗೆರಗಿ ಭಕ್ತಿಯಲಿ॥,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,"ವಿಜಯ ಕರ್ನಾಟಕ ಪತ್ರಿಕೆಯನ್ನು ಕೈಯಲ್ಲಿ ಹಿಡಿದು, ಓಡಾಡಿ ನನ್ನ ಕರ ಪತ್ರಗಳನ್ನು ಹಂಚಿದೆ.",ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:36
ಕರ,ಕೊಡುವೆನು ಕಪ್ಪವನೆನುತಲಿ | ತಡಗೈಯದೆ ವಾಜಿಯ ಕರ ||,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:37
ಕರ,"ಚಿತ್ರಕಲೆ, ಕರ ಕುಶಲ ಕಲೆ ( ಕ್ರಾಫ್ಟ್), ಮುಖವಾಡ ತಯಾರಿ, ಆವೆ ಮಣ್ಣಿನ ಕಲೆ, ಸಂಗೀತ, ನೃತ್ಯ, ನಾಟಕ, ಯಕ್ಷಗಾನ, ಮುಖವರ್ಣಿಕೆ ಮತ್ತು ಆಟಗಳನ್ನು ಕಲಿಸುವ ಶಿಬಿರಗಳು ಮಕ್ಕಳಿಗೆ ಬಲು ಇಷ್ಟ.",ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:37
ಕರ,ಕರ ಕರ್ಮಾರಿಯನಿಕ್ಕಿ ಮಿಕ್ಕಜಯಮಂ ಕೆಯ್ಕೊಳ್ವೆನಾನಂತಱಿಂ || ೬೧,ಹಸ್ತ,palm,Yes,a,2025-02-07 14:07:37
