word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಕಲೆ,"-ಜೀರಿಗೆಯನ್ನು ನುಣ್ಣಗೆ ಅರೆದು, ನೀರಿನಲ್ಲಿ ಬೆರೆಸಿ ಆ ನೀರಿನಿಂದ ಮುಖ ತೊಳೆಯುತ್ತಿದ್ದರೆ ಕಲೆ ಮಾಯವಾಗುತ್ತದೆ.","ಕೊಳೆ, ಕಳಂಕ","Dirt, Stain",Yes,a,2025-02-07 15:04:21
ಕಲೆ,"ಆದರೂ, ತನ್ನ ಗಾಯದ ಕಲೆ ನೋಡಿಕೊಂಡಾಗ ಜೇಗೆಲ್ ಬಿಕ್ಕಳಿಸಿ ಅಳುತ್ತಿದ್ದ.","ಕೊಳೆ, ಕಳಂಕ","Dirt, Stain",Yes,a,2025-02-07 15:04:21
ಕಲೆ,ಕಲೆ ತೆಗೆಯಲು ಮನೆ ಕೃತಕ ಕಾರ್ಪೆಟ್ ಕಷ್ಟ ಪಾಲಿಪ್ರೊಪಿಲೀನ್ ಆಗಿದೆ.,"ಕೊಳೆ, ಕಳಂಕ","Dirt, Stain",Yes,a,2025-02-07 15:04:21
ಕಲೆ,ಫುಲ್ ಕವರೇಜ್ ಮೇಕಪ್ ನಿಂದ ತ್ವಚೆಯ ಗುರುತು ಹಾಗು ಕಲೆ ನಿವಾರಣೆ ಮಾಡಬಹುದು.,"ಕೊಳೆ, ಕಳಂಕ","Dirt, Stain",Yes,a,2025-02-07 15:04:22
ಕಲೆ,ಬಾಳೆಹಣ್ಣನ್ನು ತೆಗೆದುಕೊಂಡು ಅದರ ಸಿಪ್ಪೆಯನ್ನು ಸುಳಿದುಕೊಂಡು ಅದರ ಸಿಪ್ಪಿಯಿಂದ ಕಂಕಳಲ್ಲಿನ ಕಪ್ಪು ಕಲೆಯನ್ನು ಮಸಾಜ್ ಮಾಡಿದರೆ ಕಪ್ಪು ಕಲೆ ಹೋಗುತ್ತದೆ.,"ಕೊಳೆ, ಕಳಂಕ","Dirt, Stain",Yes,a,2025-02-07 15:04:22
ಕಲೆ,ಆದರೆ ಅಡುಗೆ ಮನೆಯಲ್ಲಿ ಸಿಗುವ ಸಾಮಗ್ರಿಯನ್ನು ಬಳಸಿ ತುಂಬಾ ಪರಿಣಾಮಕಾರಿಯಾಗಿ ಕಲೆ ನಿವಾರಣೆ ಮಾಡಬಹುದು.,"ಕೊಳೆ, ಕಳಂಕ","Dirt, Stain",Yes,a,2025-02-07 15:04:22
ಕಲೆ,"ಒಂದುವೇಳೆ ಕಲೆ ಹೋಗದಿದ್ದರೆ, ಅದು ಬಾಯಿ ಹುಣ್ಣು ಆಗಿರುವ ಸಾಧ್ಯತೆಗಳಿವೆ.","ಕೊಳೆ, ಕಳಂಕ","Dirt, Stain",Yes,a,2025-02-07 15:04:22
ಕಲೆ,ಇದರೊಂದಿಗೆ ಚರ್ಮದಲ್ಲಿ ಕೆಲವೊಂದು ಕಲೆ ಹಾಗೂ ಗಾಐಗಳು ಕೂಡ ಉಂಟಾಗಬಹುದು.,"ಕೊಳೆ, ಕಳಂಕ","Dirt, Stain",Yes,a,2025-02-07 15:04:22
ಕಲೆ,ಈ ಮರದ ತುಂಬ ರಕ್ತದ ರೀತಿ ಕೆಂಪು ಬಣ್ಣ ಕಲೆ ಇದೆ.,"ಕೊಳೆ, ಕಳಂಕ","Dirt, Stain",Yes,a,2025-02-07 15:04:22
ಕಲೆ,ಈ ಪ್ರಕ್ರಿಯೆಯನ್ನು ಪ್ರತಿದಿನ ಅನುಸರಿಸಿದರೆ ನಿಮ್ಮ ಹಳದಿ ಉಗುರುಗಳ ಕಲೆ ಮಾಯವಾಗುತ್ತದೆ.,"ಕೊಳೆ, ಕಳಂಕ","Dirt, Stain",Yes,a,2025-02-07 15:04:22
