word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಕಲೆ,ಕತ್ತಲೆಯಲ್ಲಿ ಚಾಪೆ ಹೆಣೆಯುವ ಕಲೆ,"ಲಲಿತವಿದ್ಯೆ, ಕುಶಲವಿದ್ಯೆ",art,Yes,a,2025-02-07 15:17:57
ಕಲೆ,"ನಟಿ, ನೃತ್ಯಗಾರ್ತಿಯಾಗಿರುವ ಶ್ರುತಿ ಹರಿಹರನ್ ಅವರು ಮಾಡಿರುವ ಆರೋಪಗಳೇನೆಂದರೆ, ವಿಸ್ಮಯ ಚಿತ್ರೀಕರಣದ ಸಂದರ್ಭದಲ್ಲಿ ಅರ್ಜುನ್ ಸರ್ಜಾ ಅವರು ರಿಹರ್ಸಲ್ ಮಾಡುವಾಗ ಕಲೆ ಮತ್ತು ಕಾಮದ ನಡುವಿನ ಗೆರೆಯನ್ನು ಮೀರಿದ್ದರು.","ಲಲಿತವಿದ್ಯೆ, ಕುಶಲವಿದ್ಯೆ",art,Yes,a,2025-02-07 15:17:57
ಕಲೆ,ದೇಶದಲ್ಲೇ ಮಲ್ಲಗಂಭ ಸಾಹಸ ಕಲೆ ಪ್ರದರ್ಶನ ನೀಡುವ ಅಂಧ ಮಕ್ಕಳ ತಂಡ ನಮ್ಮ ಶಾಲೆಯ ವಿದ್ಯಾರ್ಥಿ ತಂಡ ಒಂದೇ ಇರಬೇಕು ಎಂದು ಸಂತಸ ವ್ಯಕ್ತಪಡಿಸಿದರು.,"ಲಲಿತವಿದ್ಯೆ, ಕುಶಲವಿದ್ಯೆ",art,Yes,a,2025-02-07 15:17:57
ಕಲೆ,"ಯೋಗ, ಧ್ಯಾನ, ಸಂಗೀತ, ಕಲೆ ಇವುಗಳ ಬಗ್ಗೆ ಹೆಚ್ಚು ಆಸಕ್ತಿ ವಹಿಸುವುದರಿಂದ ಒತ್ತಡ ಕಡಿಮೆಯಾಗುತ್ತದೆ.","ಲಲಿತವಿದ್ಯೆ, ಕುಶಲವಿದ್ಯೆ",art,Yes,a,2025-02-07 15:17:57
ಕಲೆ,ಸ್ಟಿಕ್ಲೇ ಶೈಲಿ: ಕಲಾಕಾರರು ಸಂಪ್ರದಾಯದಲ್ಲಿ ಕಲೆ ಮತ್ತು ಕರಕುಶಲ ಮನೆಗಳು,"ಲಲಿತವಿದ್ಯೆ, ಕುಶಲವಿದ್ಯೆ",art,Yes,a,2025-02-07 15:17:57
ಕಲೆ,"ಅವರು ಚಟುವಟಿಕೆಗಳನ್ನು ಸಕ್ರಿಯವಾಗಿ ಬೋಧನೆ ಆಸಕ್ತಿಗೊಂಡನು ಮತ್ತು ಅವರ ಕಲೆ ಇದೀಗ ಥಿಯೇಟರ್ಗಳಲ್ಲಿ ಹಾಗೂ ದೂರದರ್ಶನದಲ್ಲಿ ಪ್ರೇಕ್ಷಕರು ಸಂತೋಷಪಡಿಸಿ ಉತ್ತಮ ನಟರು, ಸಾಕಷ್ಟು ತರಬೇತಿ ನೀಡಿದೆ.","ಲಲಿತವಿದ್ಯೆ, ಕುಶಲವಿದ್ಯೆ",art,Yes,a,2025-02-07 15:17:57
ಕಲೆ,ಕಲೆ ರೂಪದ ಆರಿಸುವಾಗ ಆಫ್ ಒರಿಗಮಿ ಕ್ರಿಸ್ಮಸ್ ಗೊಂಬೆಗಳು ಮಾಡ್ಯೂಲ್ ಎಲ್ಲಾ ಇತರರ ಹೆಚ್ಚು ಸುಂದರ ಮತ್ತು ಅಸಾಮಾನ್ಯ ಪಡೆಯಬಹುದು.,"ಲಲಿತವಿದ್ಯೆ, ಕುಶಲವಿದ್ಯೆ",art,Yes,a,2025-02-07 15:17:58
ಕಲೆ,ಅವರು ಕಲೆ ನೋಡಲು ಇಷ್ಟಪಡುತ್ತಾರೆ ಮತ್ತು ಅವರು ನಿಮ್ಮ ಕೆಲಸವನ್ನು ನೋಡುತ್ತಾರೆ.,"ಲಲಿತವಿದ್ಯೆ, ಕುಶಲವಿದ್ಯೆ",art,Yes,a,2025-02-07 15:18:00
ಕಲೆ,ಈ ಕಲೆ ಉಳಿಸಲು ಸಾಕಷ್ಟು ಹೋರಾಟ ನಡೆಸುತ್ತಿದ್ದೇನೆ.,"ಲಲಿತವಿದ್ಯೆ, ಕುಶಲವಿದ್ಯೆ",art,Yes,a,2025-02-07 15:18:00
ಕಲೆ,"ಈ ಕಲೆ ಮತ್ತು ಎಲ್ಲರೂ ಮಾಡಬಹುದು ಮಾಸ್ಟರ್, ಆದರೆ ಸಾಧಿಸು ಪ್ರಯತ್ನದಲ್ಲಿ ಮಾಡಲು ಹೊಂದಿರುತ್ತದೆ.","ಲಲಿತವಿದ್ಯೆ, ಕುಶಲವಿದ್ಯೆ",art,Yes,a,2025-02-07 15:18:00
