word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಕಳೆ,ರಾಜ್ಯೋತ್ಸವ ಸಂಭ್ರಮದ ಕಳೆ ಹೆಚ್ಚಿಸಿದ ಚಿಣ್ಣರಿವರು.,"ಕಾಂತಿ, ತೇಜಸ್ಸು",Radiance,Yes,Darshan R K,2025-02-08 08:05:44
ಕಳೆ,ತರುಣಿಯ ಬಿಂಬದಲ್ಲಿಯೂತೇಜಸ್ವಿಗಳಾಗಿ ಕಣ್ಣುಗಳಲ್ಲಿಯೂ ಆ ದಿನ ಏನೋ ಒಂದು ವಿಧವಾದ ತೃಪ್ತಿ ಸಂತೋಷಗಳ ಹೊಸ ಕಳೆ ಮೊಳೆದೋರಿತ್ತು.,"ಕಾಂತಿ, ತೇಜಸ್ಸು",Radiance,Yes,Darshan R K,2025-02-08 08:05:44
ಕಳೆ,ಪೊಲೀಸ್ ಇಲಾಖೆಯ ವಾದ್ಯವೃಂದ ಹಿಮ್ಮೇಳನ ಸಾಂಸ್ಕೃತಿಕ ಕಾರ್ಯಕ್ರಮಗಳಿಗೆ ಕಳೆ ಕಟ್ಟಿತು.,"ಕಾಂತಿ, ತೇಜಸ್ಸು",Radiance,Yes,Darshan R K,2025-02-08 08:05:44
ಕಳೆ,"ತಮಟೆ, ಮಂಗಳವಾದ್ಯ, ಡೊಳ್ಳು, ಜಾಂಚ್ ಹಾಗೂ ನಾಸಿಕ್ ಡೋಲಿನ ತಂಡ, ದಾಸ ಸಮೂಹದ ಹರಿಸೇವೆ ಕಳೆ ತಂದಿದ್ದವು.","ಕಾಂತಿ, ತೇಜಸ್ಸು",Radiance,Yes,Darshan R K,2025-02-08 08:05:44
ಕಳೆ,"ಹಂಪಿ ಉತ್ಸವಕ್ಕೆ ಈಗ ಜನಸಾಗರವೇ ಹರಿಬರುತ್ತಿದ್ದು, ಉತ್ಸವಕ್ಕೆ ಕಳೆ ಬಂದಿದೆ.","ಕಾಂತಿ, ತೇಜಸ್ಸು",Radiance,Yes,Darshan R K,2025-02-08 08:05:44
ಕಳೆ,"ಒಂದೇ ಎರಡೇ ಮೈಸೂರಿಗೆ ದಸರಾ ಕಳೆ ಬಂದಿದ್ದು, ಸಂಭ್ರಮ ಮನೆ ಮಾಡಿದೆ.","ಕಾಂತಿ, ತೇಜಸ್ಸು",Radiance,Yes,Darshan R K,2025-02-08 08:05:44
ಕಳೆ,ಮನೋಹರ್ ಕಾರ್ಯಕ್ರಮಕ್ಕೆ ಇನ್ನಷ್ಟು ಕಳೆ ಮೆರಗು ತಂದಿದ್ದಾರೆ ಎನ್ನುತ್ತಾರೆ ಜನಶ್ರೀ ಚಾನೆಲ್ ನ ಸಿಇಒ ಹಾಗೂ ಪ್ರಧಾನ ಸಂಪಾದಕರಾದ ಅನಂತ್ ಚಿನಿವಾರ್.,"ಕಾಂತಿ, ತೇಜಸ್ಸು",Radiance,Yes,Darshan R K,2025-02-08 08:05:44
ಕಳೆ,ಜೀರ್ಣೊದ್ಧಾರಗೊಳಿಸಿದ ನಂತರ ಇಡೀ ದೇಗುಲಕ್ಕೆ ವಿಶೇಷ ಕಳೆ ಬಂದಿತ್ತು.,"ಕಾಂತಿ, ತೇಜಸ್ಸು",Radiance,Yes,Darshan R K,2025-02-08 08:05:44
ಕಳೆ,ಮಂಜೂರಾಗಿದ್ದು ಸ್ಥಗಿತಗೊಂಡಿದ್ದ ಕೆರೆಯ ಹೂಳೆತ್ತುವ ಕಾರ್ಯಕ್ಕೆ ಜೀವ ಕಳೆ ಬಂದಂತಾಗಿದೆ.,"ಕಾಂತಿ, ತೇಜಸ್ಸು",Radiance,Yes,Darshan R K,2025-02-08 08:05:44
ಕಳೆ,"ಬೆಳಗಾವಿ 10: ಕಳೆದ ಸಾಲಿನಲ್ಲಿ ಮುಂಗಾರು ಹಾಗೂ ಹಿಂಗಾರು ಮಳೆ ಕೈಕೊಟ್ಟಿದ್ದರಿಂದ ಬರಗಾಲದ ಛಾಯೆಯನ್ನು ಎದುರಿಸಿದ ರೈತ ಸಮುದಾಂiÀ,ು ಕಳೆದ ಮೂರನಾಲ್ಕು ದಿನಗಳಿಂದ ಸುರಿಯುತ್ತಿರುವ ಮಳೆಯು ರೈತರ ಮುಖದಲ್ಲಿ ಸಂತೋಷದ ಕಳೆ ಮೂಡಿಸಿದೆ.","ಕಾಂತಿ, ತೇಜಸ್ಸು",Radiance,Yes,Darshan R K,2025-02-08 08:05:44
