word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಕೂಲಿ,ಕೂಲಿ ಮಾಡಿಕೊಂಡು ಜೀವನ ಸಾಗಿಸುವ ನಾವು ಬಿಂದಿಗೆ ನೀರಿಗಾಗಿ ಇಡಿ ದಿನ ಅಲೆದಾಡುವ ಸ್ಥಿತಿ ಎದುರಾಗಿದೆ ಎನ್ನುತ್ತಾರೆ ಗ್ರಾಮದ ಹೊನ್ನಮ್ಮ.,ಕೂಲಿಯಾಳು,labourer,Yes,qwerty,2025-02-07 16:22:14
ಕೂಲಿ,"ಬಾಗಲಕೋಟೆ, ಜುಲೈ, 11 : ಹುನಗುಂದ ತಾಲೂಕಿನ ಧನ್ನೂರ ಗ್ರಾಮ ಪಂಚಾಯತಿ ವ್ಯಾಪ್ತಿಯ ಇದ್ದಲಗಿ ಗ್ರಾಮದ ಕರಿಯಮ್ಮದೇವಿ ಕೂಲಿ ಕಾರ್ಮಿಕರ ಸಂಘಟನೆಯ 15 ಕುಟುಂಬಗಳ 32 ಕಾರ್ಮಿಕರಿಗೆ ಒಟ್ಟು 36960 ರೂ.",ಕೂಲಿಯಾಳು,labourer,Yes,qwerty,2025-02-07 16:22:14
ಕೂಲಿ,"ನಮ್ಮ ಕೂಲಿ ಕಾರ್ಮಿಕರು, ರಿಕ್ಷಾ ಗಾಡಿ ಎಳೆಯುವ ದೃಶ್ಯಗಳನ್ನೋ ಅಥವಾ ಗೋದಾಮುಗಳಲ್ಲಿ ತಾವು ಎತ್ತುವ ಹೆಣ ಭಾರದ ಮೂಟೆಗಳ ದೃಶ್ಯಗಳನ್ನೊ ಬಿತ್ತರಿಸಿ ತಾವೂ ಫಿಟ್- ತಮ್ಮ ದೇಶವೂ ಫಿಟ್ ಎಂದು ಘೋಷಿಸಬಹುದು.",ಕೂಲಿಯಾಳು,labourer,Yes,qwerty,2025-02-07 16:22:14
ಕೂಲಿ,ಕಳೆದ ಒಂದುವರೆ ತಿಂಗಳ ಹಿಂದೆ ಕೂಲಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದ ಮಹಿಳೆಯನ್ನು ಬಲಿ.,ಕೂಲಿಯಾಳು,labourer,Yes,qwerty,2025-02-07 16:22:14
ಕೂಲಿ,ಹಾಗಾಗಿ ಕೂಲಿ ಮಾಡಿದ್ರೂ ಮಕ್ಕಳಿಗೆ ಶಿಕ್ಷಣ ಕೊಡಿಸಿ ಎಂದರು.,ಕೂಲಿಯಾಳು,labourer,Yes,qwerty,2025-02-07 16:22:14
ಕೂಲಿ,ನಮ್ಮ ತಂದೆ ಅಗರ್ಭ ಶ್ರೀಮಂತರಲ್ಲ ಕೂಲಿ ಮಾಡಿ ಈ ಮಟ್ಟಿಗೆ ಬಂದಿದ್ದೇವೆ ಎಂದು ತಂದೆ-ತಾಯಿ ನೆನೆದು ಭಾವುಕರಾದರು.,ಕೂಲಿಯಾಳು,labourer,Yes,qwerty,2025-02-07 16:22:14
ಕೂಲಿ,"ಕೂಲಿ ಕೆಲಸ ಮಾಡುವವರ ಹೆಸರು, ತೆಂಗಿನ ಮರದ ಬುಡಕ್ಕೆ ಕಾಸರಕ ಮರದ ಸೊಪ್ಪು ತಂದವರ ವಿವರಗಳು ನಮಗೆ ತಿಳಿದಿದ್ದವು.",ಕೂಲಿಯಾಳು,labourer,Yes,qwerty,2025-02-07 16:22:14
ಕೂಲಿ,ಸಂಜೆ ಸಂತೆಗೆ ಬಂದ ಕೂಲಿ ಕಾರ್ಮಿಕರು ಸಂತೆಯಲ್ಲಿ ಕೊಳ್ಳಲು ಪರದಾಡುತ್ತಿದ್ದರು.,ಕೂಲಿಯಾಳು,labourer,Yes,qwerty,2025-02-07 16:22:14
ಕೂಲಿ,ಇವರೆಲ್ಲಾ ಕೂಲಿ ಕೆಲಸವನ್ನೇ ಆಶ್ರಯಿಸಿ ಜೀವನ ನಿರ್ವಹಣೆ ಮಾಡುತ್ತಿದ್ದಾರೆ.,ಕೂಲಿಯಾಳು,labourer,Yes,qwerty,2025-02-07 16:22:14
ಕೂಲಿ,"ಕರೆಗಳು ಬಂದಾಗ ಕೂಲಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದರೆ, ಉಳಿದ ದಿನಗಳಲ್ಲಿ ಪತ್ನಿ ಲಲಿತಾ ಅವರ ದುಡಿಮೆಯೇ ಜೀವನಕ್ಕೆ ಆಧಾರ.",ಕೂಲಿಯಾಳು,labourer,Yes,qwerty,2025-02-07 16:22:14
