word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಕೇಸರಿ,ತುಪ್ಪದಲ್ಲಿ ಹುರಿದ ದ್ರಾಕ್ಷಿ ಗೋಡಂಬಿ ಸೇರಿಸಿ ಏಲಕ್ಕಿ ಪುಡಿ ಕೇಸರಿ ಹಾಕಿ ಚೆನ್ನಾಗಿ ಮಿಕ್ಸ್‌ ಮಾಡಿ ಬಿಸಿಬಿಸಿಯಾಗಿ ಕುಡಿದರೆ ತುಂಬ ರುಚಿ.,ಮಸಾಲೆ ಪದಾರ್ಥ,Safforn,Yes,Darshan R K,2025-02-08 11:01:21
ಕೇಸರಿ,"ವೃಶ್ಚಿಕ ರಾಶಿಯವರು ಈ ಮಂತ್ರವನ್ನು ಉಚ್ಛರಿಸುವುದರಿಂದ ಉತ್ತಮ ಫಲವನ್ನು ಕಂಡುಕೊಳ್ಳಬಹುದಾಗಿದೆ: ಆಮ್ ಏಂಗ್ ಕ್ಲಿಂಗ್ ಶ್ರಿಂಗ್ ಶ್ರೀಗಂಧ, ಹವಳ, ಕೇಸರಿ ಮೊದಲಾದವನ್ನು ಈ ರಾಶಿಯವರು ದಾನ ಮಾಡಬಹುದು.",ಮಸಾಲೆ ಪದಾರ್ಥ,Safforn,Yes,Darshan R K,2025-02-08 11:01:21
ಕೇಸರಿ,"ಹುಟ್ಟುವ ಮಗು ಕೆಂಪಗೆ, ದುಂಡಗೆ ಇರಬೇಕು ಎಂದರೆ ಹಾಲಿಗೆ ಕೇಸರಿ ಹಾಕಿ ಗರ್ಭಿಣಿಯರಿಗೆ ನಮ್ಮ ಅಜ್ಜಿಯಂದಿರ ಕಾಲದಿಂದಲೂ ನೀಡುತ್ತಿದ್ದಾರೆ.",ಮಸಾಲೆ ಪದಾರ್ಥ,Safforn,Yes,Darshan R K,2025-02-08 11:01:21
ಕೇಸರಿ,2)ತುಳಸಿ ಎಲೆಗಳನ್ನು ಕೇಸರಿ ಜತೆ ಸೇರಿಸಿ ಪೇಸ್ಟ್ ಮಾಡಿಕೊಳ್ಳಿ.,ಮಸಾಲೆ ಪದಾರ್ಥ,Safforn,Yes,Darshan R K,2025-02-08 11:01:21
ಕೇಸರಿ,"ಈ ಆಲ್ಕೊಹಾಲ್‌ಯುಕ್ತ ಪಾನೀಯವನ್ನು ಡ್ರೈಫ್ರೂಟ್ಸ್‌, ಬೇರುಗಳು, ಕೇಸರಿ ಮತ್ತು ಇತರ ಮಸಾಲೆಗಳಂತಹ ವಿಲಕ್ಷಣ ಪದಾರ್ಥಗಳನ್ನು ಬಳಸಿ ತಯಾರಿಸಲಾಗುತ್ತದೆ.",ಮಸಾಲೆ ಪದಾರ್ಥ,Safforn,Yes,Darshan R K,2025-02-08 11:01:21
ಕೇಸರಿ,ನಿಯಮಿತವಾಗಿ ಕೇಸರಿ ನೀರನ್ನು ಸೇವಿಸುವುದರಿಂದ ಎಲ್ಲ ವಿಧಗಳ ಕಾಯಿಲೆಗಳಿಂದ ಮುಕ್ತಿ ಪಡೆಯಬಹುದು.,ಮಸಾಲೆ ಪದಾರ್ಥ,Safforn,Yes,Darshan R K,2025-02-08 11:01:21
ಕೇಸರಿ,ಆಲಿಕಲ್ಲು ಮಳೆಯಲ್ಲ ಇಲ್ಲಿ ಕೇಸರಿ ಹಾಗೂ ಚಂದನದ ಮಳೆಯಾಗುತ್ತಂತೆ !,ಮಸಾಲೆ ಪದಾರ್ಥ,Safforn,Yes,Darshan R K,2025-02-08 11:01:21
ಕೇಸರಿ,ಆ ಕಾಲದಿಂದ ಇಂದಿನವರೆಗೂ ಕೇಸರಿ ಹಾಲನ್ನು ಆಯುರ್ವೇದದಲ್ಲಿ ಅತ್ಯುತ್ತಮ ರೋಗ ನಿರೋಧಕ ಔಷಧ ಎಂದು ಪರಿಗಣಿಸಲಾಗುತ್ತದೆ.,ಮಸಾಲೆ ಪದಾರ್ಥ,Safforn,Yes,Darshan R K,2025-02-08 11:01:21
ಕೇಸರಿ,ನಂತರ ಒಂದು ಬಾಣಲೆಯನ್ನು ಸ್ಟವ್‌ ಮೇಲಿಟ್ಟು ಅದು ಸ್ವಲ್ಪ ಬಿಸಿಯಾಗುವಾಗ ಅದಕ್ಕೆ ಸಕ್ಕರೆ ಹಾಕಿ ಅದು ಮುಳುಗುವಷ್ಟು ನೀರು ಹಾಕಿ ಕಲಕುತ್ತ ಇರಬೇಕು ಇದು ಪಾಕ ಹದಕ್ಕೆ ಬಂದಾಗ ಅದಕ್ಕೆ ಕೇಸರಿ ಹಾಕಿ ಸ್ವಲ್ಪ ಹೊತ್ತು ಬಿಟ್ಟು ಸ್ಟವ್ ಮೇಲಿಂದ ಕೆಳಗೆ ಇಳಿಸಬೇಕು.,ಮಸಾಲೆ ಪದಾರ್ಥ,Safforn,Yes,Darshan R K,2025-02-08 11:01:21
ಕೇಸರಿ,"ಕೊನೆಯ ಪದರವಾಗಿ ಅನ್ನ ಹಾಕಿ ನಂತರ ಕೇಸರಿ ಹಾಕಿ ಹಾಲು ಹಾಕಿ, ಅದರ ಮೇಲೆ ಉಳಿದ ಗ್ರೇವಿ ಹಾಕಿ ಪಾತ್ರೆಯ ಬಾಯಿ ಮುಚ್ಚಿ ಕಡಿಮೆ ಉರಿಯಲ್ಲಿ 10 ನಿಮಿಷ ಬೇಯಿಸಿದರೆ ಕಡಲೆ ಬಿರಿಯಾನಿ ರೆಡಿ.",ಮಸಾಲೆ ಪದಾರ್ಥ,Safforn,Yes,Darshan R K,2025-02-08 11:01:21
