word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಕೈಲಾಸ,ಕಾಯಕವೇ ಕೈಲಾಸ ಎಂದು ಕಾಂಗ್ರೆಸ್ ಪಕ್ಷವು ಸಾಕಷ್ಟು ಕೆಲಸಗಳನ್ನು ಮಾಡಿದೆ.,"ಸುಖ, ಆನಂದ","Happiness, pleasure",Yes,Darshan R K,2025-02-08 16:38:47
ಕೈಲಾಸ,ಕಾಯಕವೇ ಕೈಲಾಸ ಎಂಬ ತತ್ವಕ್ಕೆ ಮಾದರಿಯಂತೆ ಬದುಕಿ ತೋರಿಸಿದ್ದಾರೆ.,"ಸುಖ, ಆನಂದ","Happiness, pleasure",Yes,Darshan R K,2025-02-08 16:38:47
ಕೈಲಾಸ,ಸಮಾಜದಲ್ಲಿ ಸಮಾನತೆಗಾಗಿ ತಮ್ಮ ಜೀವನವನ್ನು ಮುಡಿಪಾಗಿಟ್ಟು ಎಲ್ಲಿರಿಗೂ ಕಾಯಕವೇ ಕೈಲಾಸ ಎಂಬ ಮಹಾ ಆದರ್ಶವನ್ನಿತ್ತ ಶ್ರೀ ಕ್ರಾಂತಿ ಯೋಗಿ ಬಸವಣ್ಣರ ಚರಿತ್ರೆಯನ್ನು ತೆಲಂಗಾಣದ ಸರಕಾರ ಶಾಲಾ ಪಠ್ಯದಲ್ಲಿ ಸೇರಿಸಲು ಒಪ್ಪಿಗೆ ನೀಡಿದೆ.,"ಸುಖ, ಆನಂದ","Happiness, pleasure",Yes,Darshan R K,2025-02-08 16:38:47
ಕೈಲಾಸ,ಕಾಯಕವೇ ಕೈಲಾಸ ಎಂಬ ಬಸವಣ್ಣನವರ ವಚನವನ್ನು ಉಲ್ಲೇಖಿಸಿದ ಮಾತ್ರಕ್ಕೆ ಉದ್ಯೋಗ ಸೃಷ್ಟಿಯಾಗುವುದಿಲ್ಲ ಎನ್ನುವುದು ಹಣಕಾಸ ಸಚಿವೆ ನಿರ್ಮಲಾ ಸೀತಾರಾಮನ್ ಅವರಿಗೆ ತಿಳಿದಿರಲಿ.,"ಸುಖ, ಆನಂದ","Happiness, pleasure",Yes,Darshan R K,2025-02-08 16:38:47
ಕೈಲಾಸ,"111) ಪ್ರತಿನಿತ್ಯ ಯೋಗ, ಧ್ಯಾನದ ದಿನಚರಿ, ಸರಳ ಜೀವನ, ಸೇವೆ ಮೂಲಕ ಸಮಾಜಕ್ಕೆ ಕಾಯಕವೇ ಕೈಲಾಸ ಎಂಬ ಸಂದೇಶವನ್ನು ಸಿದ್ದಗಂಗಾ ಶ್ರೀಗಳು ಸಾರಿದ್ದರು.","ಸುಖ, ಆನಂದ","Happiness, pleasure",Yes,Darshan R K,2025-02-08 16:38:47
ಕೈಲಾಸ,ಆಫೀಸಿಗೆ ಹೋಗುವ ಜನಗಳೇ ಹೆಚ್ಚು ಅವರು ಕಾಯಕವೇ ಕೈಲಾಸ ಎಂದು ತಿಳಿದಿರುವವರು ಇದ್ದರೆ.,"ಸುಖ, ಆನಂದ","Happiness, pleasure",Yes,Darshan R K,2025-02-08 16:38:47
ಕೈಲಾಸ,"ಹಣಕ್ಕಾಗಿ, ಹೆಸರಿಗಾಗಿ ಒಮ್ಮೆಯೂ ಹಂಬಲಿಸದೆ ಕೆಲಸವನ್ನೇ ಕೈಲಾಸ ಎಂದವ.","ಸುಖ, ಆನಂದ","Happiness, pleasure",Yes,Darshan R K,2025-02-08 16:38:47
ಕೈಲಾಸ,"ಕೈಲಾಸ ಎಂಬುವುದು ಮತ್ತಾವುದೂ ಅಲ್ಲ, ಅನ್ನ ದಾನ, ಸತ್ಯನಿಷ್ಠೆ, ತನ್ನಂತೆ ಪರರನ್ನೂ ಭಾವಿಸುವುದು - ಇದೇ ಕೈಲಾಸ ಎಂದು ಎಲ್ಲ ಕಾಲಕ್ಕೂ ಎಲ್ಲ ದೇಶಕ್ಕೂ ಸರಿಹೊಂದುವ ಸತ್ಯವಾದ ಮಾತನ್ನು ಆಡಿದ್ದಾನೆ.","ಸುಖ, ಆನಂದ","Happiness, pleasure",Yes,Darshan R K,2025-02-08 16:38:47
ಕೈಲಾಸ,ಕಾಯಕವೇ ಕೈಲಾಸ ಎಂಬುದು ನನ್ನ ನೀತಿ.,"ಸುಖ, ಆನಂದ","Happiness, pleasure",Yes,Darshan R K,2025-02-08 16:38:47
ಕೈಲಾಸ,"ಅದೊಂದೇ ನನ್ನ ಸ್ಟ್ರೆಂಥ್‌ ಎನ್ನುವ ಶ್ರೀಧರ್‌, ಕಾಯಕವೇ ಕೈಲಾಸ ಎಂದು ನಂಬಿದವನು ನಾನು, ನನಗೆ ಸಂಗೀತ ಬಿಟ್ಟರೆ ಬೇರೇನೂ ಗೊರತ್ತಿಲ್ಲ.","ಸುಖ, ಆನಂದ","Happiness, pleasure",Yes,Darshan R K,2025-02-08 16:38:47
