word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಗಜ,"ನೀವೇನಾದರೂ ಅಲ್ಲಿದ್ದಲ್ಲಿ , ಗುಲಾಮ್ ಅಲಿಯ ಗೋರಿಯನ್ನು ಪರಿಶೀಲಿಸಬಹುದು, ಈ ಹಿರಿಮೆಯ ಗಜ ಸುಮಾರು 1565 ರಲ್ಲಿ ನಡೆದ ವಿಜಯನಗರ ರಾಜರ ವಿರುದ್ಧದ ಯುದ್ಧದಲ್ಲಿ ತನ್ನ ಕೊನೆಯುಸಿರೆಳೆಯಿತು.",ಆನೆ,Elephant,Yes,a,2025-02-04 17:01:51
ಗಜ,ಚಿನ್ನದ ಅಂಬಾರಿ ಹಾಗೂ ಅದರಲ್ಲಿ ಚಾಮುಂಡೇಶ್ವರಿಯ ವಿಗ್ರಹ ಹೊತ್ತ ಗಜ ಪಡೆಯು ನಂದಿ ಧ್ವಜ ಪೂಜೆಯ ನಂತರ ಮೈಸೂರು ಅರಮನೆಯಿಂದ ಸಾಗುತ್ತದೆ.,ಆನೆ,Elephant,Yes,a,2025-02-04 17:01:51
ಗಜ,"ಗಜ ಚರ್ಮಾಂಬರನಾದ ಶಿವನ ವೇಶ, ಭುಜಕೀರ್ತಿ ಮುಂತಾದ ದಿರಿಸುಗಳಿಂದ ಪರಂಪರೆಯ ಶಿವನ ವೇಶ, ಕೆಲವು ಕಡೆ ಸನ್ಯಾಸಿ ವೇಶವನ್ನೇ ಅಲ್ಪ ಸ್ವಲ್ಪ ಮಾರ್ಪಾಟು ಮಾಡಿ ಶಿವನ ವೇಶ ಧರಿಸುವುದು ಇದೆ.",ಆನೆ,Elephant,Yes,a,2025-02-04 17:01:51
ಗಜ,ಗಾಂಭೀರ್ಯದಲ್ಲಿ ಗಜ,ಆನೆ,Elephant,Yes,a,2025-02-04 17:01:51
ಗಜ,"ದೇವಸ್ಥಾನ ಕಟ್ಟುವ ಕಲೆ, ಗಜ ಲಕ್ಷಣ ಶಾಸ್ತ್ರ, ಶಕುನ ಶಾಸ್ತ್ರ ಹೀಗೆ ನಾನಾ ಬಗೆಯನ್ನು ಒಂದೇ ಕೃತಿಯಲ್ಲಿ ಹೇಳಲಾಗುತ್ತದೆ.",ಆನೆ,Elephant,Yes,a,2025-02-04 17:01:51
ಗಜ,"ಜಿಲ್ಲಾಡಳಿತದಿಂದ ಗಜ ಪಡೆಗೆ ಸ್ವಾಗತ ಸಮಾರಂಭ ಏರ್ಪಡಿಸಲಾಗುತ್ತಿದ್ದು, ಜಿಲ್ಲಾ ಉಸ್ತುವಾರಿ ಸಚಿವ ಜಿ.",ಆನೆ,Elephant,Yes,a,2025-02-04 17:01:51
ಗಜ,ಮೈಸೂರು: ಗಜ ಪಡೆಯ ಆಗಮಕ್ಕೆ ಕೆಲವೇ ಕ್ಷಣಗಳಲ್ಲಿ ಚಾಲನೆ,ಆನೆ,Elephant,Yes,a,2025-02-04 17:01:51
ಗಜ,"ಹಾಸನ: ಜಿಲ್ಲೆಯ ಮಲೆನಾಡು ಭಾಗದಲ್ಲಿ ಉಪಟಳ ನೀಡುತ್ತಿದ್ದ ಗಜ ಗಲಾಟೆ, ಈಗ ನಗರಕ್ಕೂ ವ್ಯಾಪಿಸಿದೆ.",ಆನೆ,Elephant,Yes,a,2025-02-04 17:01:51
ಗಜ,ಗಜ ನೋಡಿದರೆ ನಿಮಗೆ ಹಾಗನ್ನಿಸುತ್ತದೆ.,ಆನೆ,Elephant,Yes,a,2025-02-04 17:01:51
ಗಜ,ಗಜ ಪಡೆಯ ಮೂರು ಆನೆಗಳನ್ನು ನಿನ್ನೆಯೇ ಚಾಮರಾಜನಗರಕ್ಕೆ ಹುಲಿ ಹಿಡಿಯುವ ಕಾರ್ಯಾಚರಣೆಗಾಗಿ ಕಳುಹಿಸಲಾಗಿದೆ.,ಆನೆ,Elephant,Yes,a,2025-02-04 17:01:51
