word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಗುಂಡಿ,"ವಿದ್ಯುನ್ಮಾನ ಮತ ಯಂತ್ರದ (ಇವಿಎಂ) ಮೂಲಕ ಮತ ಚಲಾಯಿಸುವಾಗ, ಅಭ್ಯರ್ಥಿ ಹೆಸರಿನ ಮುಂದೆ ಗುಂಡಿ ಒತ್ತಿದಾಗ ಆಯ್ಕೆ ಮಾಡಿಕೊಂಡ ಅಭ್ಯರ್ಥಿ ಹಾಗೂ ಪಕ್ಷದ ಚಿಹ್ನೆ ಒಳಗೊಂಡ ಕಾಗದದ ತುಂಡೊಂದು ಇದೇ ಯಂತ್ರದಿಂದ ಕಾಣಿಸಿಕೊಳ್ಳುತ್ತದೆ.",ಒತ್ತುವ ಗುಬುಟು,Button - to press,Yes,a,2025-02-07 14:22:24
ಗುಂಡಿ,"ಮಹಿಳಾ ಸಹಾಯವಾಣಿ, ಪೊಲೀಸ್‌ ಇಲಾಖೆಯಲ್ಲಿ ಮಹಿಳೆಯರಿಗೆ ಮೀಸಲಾತಿ, ತುರ್ತು ಸಂದರ್ಭಗಳಲ್ಲಿ ನೆರವು ಪಡೆಯಲು ಅನುಕೂಲವಾಗುವಂತೆ ಮೊಬೈಲ್‌ಗಳಲ್ಲಿ ಎಚ್ಚರಿಕೆಯ ಗುಂಡಿ ಒದಗಿಸುವುದು– ಮುಂತಾದ ಕ್ರಮಗಳನ್ನು ಜಾರಿಗೊಳಿಸುವ ಪ್ರಸ್ತಾವ ನೀತಿಯಲ್ಲಿದೆ ಎಂದು ತಿಳಿಸಿದರು.",ಒತ್ತುವ ಗುಬುಟು,Button - to press,Yes,a,2025-02-07 14:22:24
ಗುಂಡಿ,"ನಾವು ಈಗಾಗಲೇ ಟೊರೆಂಟ್ ಒಂದು ಮ್ಯಾಗ್ನೆಟ್ ಗುಂಡಿ ಕೋಡ್ ಒಳಗೊಂಡಿರುವ, ಮತ್ತು ಕ್ಲೈಂಟ್ ಕಾನ್ಫಿಗರ್ ಮಾಡಬೇಕು ಉಲ್ಲೇಖಿಸಿರುವ.",ಒತ್ತುವ ಗುಬುಟು,Button - to press,Yes,a,2025-02-07 14:22:24
ಗುಂಡಿ,"ಕನ್ನೇಗೌಡನಕೊಪ್ಪಲಿನಲ್ಲಿನ ಕಾಮಾಕ್ಷಿ ಆಸ್ಪತ್ರೆಯ ಬಳಿ ಒಂದನೇ ಕ್ರಾಸ್ ನಲ್ಲಿ ಬ್ರಾಹ್ಮಣ ಸೊಸೈಟಿ ವತಿಯಿಂದ ಸ್ಥಾಪಿಸಲಾದ ಶುದ್ಧ ನೀರಿನ ಘಟಕಕ್ಕೆ ಆದಿಚುಂಚನಗಿರಿ ಶಾಖಾಮಠದ ಸೋಮನಾಥ ಸ್ವಾಮೀಜಿ ರಿಬ್ಬನ್ ಕತ್ತರಿಸಿ, ಘಟಕದ ಗುಂಡಿ ಒತ್ತುವ ಮೂಲಕ ಚಾಲನೆ ನೀಡಿದರು.",ಒತ್ತುವ ಗುಬುಟು,Button - to press,Yes,a,2025-02-07 14:22:24
ಗುಂಡಿ,ಅದನ್ನು ದೃಢಪಡಿಸಲು ಬೋರ್ಡ್‌ನ ಬಲಬದಿಯಲ್ಲಿರುವ ಡನ್ ಎಂಬ ಗುಂಡಿ ಒತ್ತಬೇಕು.,ಒತ್ತುವ ಗುಬುಟು,Button - to press,Yes,a,2025-02-07 14:22:25
ಗುಂಡಿ,ಯಾವುದೇ ಪಕ್ಷದ ಗುಂಡಿ ಒತ್ತಿದರೂ ಬಿಜೆಪಿಗೆ ಮತ ಬೀಳುವ ವಿದ್ಯಮಾನ ನಡೆದಿದೆ ಎಂಬ ವಿಷಯ ಜನರ ಮನಸ್ಸಿನಲ್ಲಿ ನೂರಾರು ಪ್ರಶ್ನೆಗಳನ್ನು ಹುಟ್ಟುಹಾಕಿದೆ.,ಒತ್ತುವ ಗುಬುಟು,Button - to press,Yes,a,2025-02-07 14:22:25
ಗುಂಡಿ,"ಮತಯಂತ್ರಗಳನ್ನು ತಿರುಚಲು ಸಾಧ್ಯವಿದೆ, ಯಾವುದೇ ಗುಂಡಿ ಒತ್ತಿದರೂ ಒಬ್ಬನೇ ಅಭ್ಯರ್ಥಿಗೆ ಮತ ಬೀಳುವಂತೆ ಅದರಲ್ಲಿರುವ ಆಂತರಿಕ ವ್ಯವಸ್ಥೆಯನ್ನು ಬದಲಾ­ಯಿಸಿ­ಕೊಳ್ಳ­ಬಹುದು ಎಂಬ ಆರೋಪವನ್ನು ಪ್ರತಿಪಕ್ಷಗಳು ಮಾಡಿದಾಗ…",ಒತ್ತುವ ಗುಬುಟು,Button - to press,Yes,a,2025-02-07 14:22:25
ಗುಂಡಿ,ಯಾವುದೇ ಗುಂಡಿ ಒತ್ತಿದರೂ ಬಿಜೆಪಿಗೆ ಮತ ಚಲಾವಣೆಯಾಗಿರುವ ರಸೀದಿ ಬರುತ್ತಿತ್ತು.,ಒತ್ತುವ ಗುಬುಟು,Button - to press,Yes,a,2025-02-07 14:22:25
ಗುಂಡಿ,ಬಹಳಷ್ಟು ಮೊಬೈಲ್ ಮತ್ತು ವೆಬ್ಸೈಟ್ ಗುಂಡಿ ವಿನ್ಯಾಸಗಳು ಅಥವಾ ಪುಟ ಘಟಕಗಳಲ್ಲಿ ಕಾರ್ಬನ್ ಫೈಬರ್ ಫಿಲ್ ಅನ್ನು ನೀವು ಬಳಸಿದ್ದೀರಿ.,ಒತ್ತುವ ಗುಬುಟು,Button - to press,Yes,a,2025-02-07 14:22:25
ಗುಂಡಿ,ದೋಣಿಯಲ್ಲಿ ಬೆಂಕಿ ಕಾಣಿಸಿಕೊಂಡರೆ ತಕ್ಷಣ 1ನೇ ಗುಂಡಿ ಒತ್ತಬೇಕು.,ಒತ್ತುವ ಗುಬುಟು,Button - to press,Yes,a,2025-02-07 14:22:25
