word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಗುಂಡಿ,ಗುಂಡಿ ಪದ್ಧತಿ : ನೆಲದಲ್ಲಿ ಸಾಮಾನ್ಯವಾಗಿ 3 ರಿಂದ 4 ಅಡಿ ಅಗಲ.,"ಬಿಲ, ಡೊಗರು, ಗುಣಿ","Hole, Pothole",Yes,a,2025-02-07 14:16:57
ಗುಂಡಿ,ಕೃಷ್ಣ ನಗರದಲ್ಲೊಂದು ಕೊಳಚೆ ಗುಂಡಿ,"ಬಿಲ, ಡೊಗರು, ಗುಣಿ","Hole, Pothole",Yes,a,2025-02-07 14:16:57
ಗುಂಡಿ,"ಆದರೆ, ನಗರದ ಮುಖ್ಯ ಭಾಗದಲ್ಲಿ ಗುಂಡಿ ಬಿದ್ದಿದ್ದು, ವಾಹನ ಸವಾರರಿಗೆ ತಲೆನೋವಾಗಿದೆ.","ಬಿಲ, ಡೊಗರು, ಗುಣಿ","Hole, Pothole",Yes,a,2025-02-07 14:16:57
ಗುಂಡಿ,"ಸಂಚಾರ ಸಮಸ್ಯೆ, ಗುಂಡಿ ಬಿದ್ದ ರಸ್ತೆಗಳು, ಕೆರೆಗಳ ಸಂರಕ್ಷಣೆ ಹೀಗೆ ಹಲವಾರು ಪ್ರಚಲಿತ ಸಮಸ್ಯೆಗಳ ಕುರಿತು ವಿದ್ಯಾರ್ಥಿಗಳೊಂದಿಗೆ ಸಂವಾದವನ್ನು ನಡೆಸಲಾಯಿತು.","ಬಿಲ, ಡೊಗರು, ಗುಣಿ","Hole, Pothole",Yes,a,2025-02-07 14:16:57
ಗುಂಡಿ,ಆಗ ರಸ್ತೆ ಗುಂಡಿ ಸಮಸ್ಯೆ ಇರುವುದಿಲ್ಲ ಎಂದರು.,"ಬಿಲ, ಡೊಗರು, ಗುಣಿ","Hole, Pothole",Yes,a,2025-02-07 14:16:57
ಗುಂಡಿ,ಗುಂಡಿ ಬಿದ್ದು ಹದಗೆಟ್ಟಿರುವ ರಸ್ತೆಯ ಅರ್ಧ ಭಾಗವನ್ನು ರಸ್ತೆ ದುರಸ್ತಿಗೆ ಬಂದ್ ಮಾಡಿದ ಕಾರಣ ವಾಹನ ಸವಾರರು ಅಕ್ಷರಶಃ ಪರದಾಡಬೇಕಾಯಿತು.,"ಬಿಲ, ಡೊಗರು, ಗುಣಿ","Hole, Pothole",Yes,a,2025-02-07 14:16:57
ಗುಂಡಿ,"ಭಾಗಮಂಡಲ, ಅಪ್ಪಂಗಾಲ, ಉಡೋತ್‌ ಮೊಟ್ಟೆ, ಹಾಗೂ ಚೇರಂಬಾಣೆಯಲ್ಲಿ ವರ್ಷಕ್ಕೆ ಮೂರು ಬಾರಿಯಾದರೂ ರಸ್ತೆ ಗುಂಡಿ ಬೀಳುತ್ತಿದೆ ಎಂದು ಸ್ಥಳೀಯ ಗ್ರಾಮಸ್ಥರು ಆರೋಪಿಸುತ್ತಾರೆ.","ಬಿಲ, ಡೊಗರು, ಗುಣಿ","Hole, Pothole",Yes,a,2025-02-07 14:16:57
ಗುಂಡಿ,"ಇದರ ಜೊತೆಗೆ ಆರು ಅಡಿ ಉದ್ದ, ನಾಲ್ಕು ಅಡಿ ಅಗಲದ ಆಳವಾದ ಗುಂಡಿ ತೋಡಿದ್ದಾರೆ.","ಬಿಲ, ಡೊಗರು, ಗುಣಿ","Hole, Pothole",Yes,a,2025-02-07 14:16:57
ಗುಂಡಿ,"ರಸ್ತೆ ಕ್ಲೀನ್, ಪೇಂಟಿಂಗ್, ಗುಂಡಿ ಮುಚ್ಚಲು ಬಿಬಿಎಂಪಿ ಎರಡೂವರೆ ಕೋಟಿ ಖರ್ಚು ಮಾಡಿದೆ.","ಬಿಲ, ಡೊಗರು, ಗುಣಿ","Hole, Pothole",Yes,a,2025-02-07 14:16:57
ಗುಂಡಿ,ಹೊಸ ಬಸ್‌ ನಿಲ್ದಾಣ ಪರಿಸರದಲ್ಲೂ ಬೃಹತ್‌ ಗುಂಡಿ ನಿರ್ಮಾಣವಾಗಿದೆ.,"ಬಿಲ, ಡೊಗರು, ಗುಣಿ","Hole, Pothole",Yes,a,2025-02-07 14:16:57
ಗುಂಡಿ,15ರಮದು ಮುಂಜಾನೆ ಗುಂಡಿ ಹಾರಿಸಿದ ಘಟನೆಗೆ ಸಂಬಂಧಿಸಿದಂತೆ ಪ್ರಮುಖ ಆರೋಪಿಯ ಸಹಿತ ನಾಲ್ವರನ್ನು ಕುಂಬಳೆ ಪೊಲೀಸರು ವಶಕ್ಕೆ ತೆಗೆದುಕೊಂಡಿದ್ದಾರೆ.,"ಬಿಲ, ಡೊಗರು, ಗುಣಿ","Hole, Pothole",Yes,a,2025-02-07 14:16:57
ಗುಂಡಿ,ಹುಳಿಯಾರಿನ ಗುಂಡಿ ಬಿದ್ದು ಓಡಾಡಲು ದುಸ್ತರವಾಗಿರುವ ಡಾಂಬರ್ ಕಾಣದ ರಸ್ತೆಗಳಿಗೆ ಕಾಯಕಲ್ಪ ನೀಡಲು ತಾವು ಮುಂದಾಗಿದ್ದು ಸದ್ಯಕ್ಕೆ ಮುಖ್ಯಮಂತ್ರಿ ಗ್ರಾಮ ವಿಕಾಸ ಯೋಜನೆಯಡಿ ಗಾಂಧಿ ಪೇಟೆ ರಸ್ತೆ ಹಾಗೂ 14 ನೇ ಹಣಕಾಸು ಯೋಜನೆ ಅಡಿ ರಾಜಕುಮಾರ್ ರಸ್ತೆಯ ಆಸ್ಪತ್ರೆ ಕಾಂಪೌಂಡ್ ಪಕ್ಕದ ರಸ್ತೆಗಳನ್ನು ಕಾಂಕ್ರೀಟ್ ರಸ್ತೆ ಮಾಡಲು ಹಣ ಬಿಡುಗಡೆಗೊಳಿಸುವಂತೆ ಪತ್ರ ಬರೆಯಲಾಗಿದೆ ಎಂದು ಶಾಸಕ ಜೆ.,"ಬಿಲ, ಡೊಗರು, ಗುಣಿ","Hole, Pothole",Yes,a,2025-02-07 14:16:57
