word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಗುಡುಗು,"ಹವಾಮಾನ ಕಚ್ಚುವಿಕೆ ಬದಲಾವಣೆ ಮೊದಲು ಗುಡುಗು ಅದರ ಬಲಪಡಿಸುವ ಆಚರಿಸಲಾಗುತ್ತದೆ ಸಮಯದಲ್ಲಿ, ದುರ್ಬಲಗೊಳಿಸುತ್ತದೆ.",ಮೇಘಗರ್ಜನೆ,Thunder,Yes,k,2025-02-02 07:10:50
ಗುಡುಗು,ಗುಡುಗು ಸಿಡಿಲು ಕಾರ್ಗತ್ತಲು,ಮೇಘಗರ್ಜನೆ,Thunder,Yes,k,2025-02-02 07:10:50
ಗುಡುಗು,"ಸಂಜೆ ವೇಳೆ ಭಾರಿ ಬಿರುಗಾಳಿ, ಗುಡುಗು ಮಿಂಚಿನ ಆರ್ಭಟ ಶುರುವಾಯಿತು.",ಮೇಘಗರ್ಜನೆ,Thunder,Yes,k,2025-02-02 07:10:50
ಗುಡುಗು,ಗುಡುಗು ಕಾಲದಲ್ಲಿ ಸರಿಯಾದ ನಡವಳಿಕೆ ವಾಸ್ತವವಾಗಿ ಕೆಲವೊಮ್ಮೆ ಜೀವನ ಮತ್ತು ಮರಣದ ಬಗ್ಗೆ ನಿರ್ಧರಿಸುತ್ತದೆ.,ಮೇಘಗರ್ಜನೆ,Thunder,Yes,k,2025-02-02 07:10:50
ಗುಡುಗು,"ಮಹಾನಗರ: ಅರಬ್ಬಿ ಸಮುದ್ರದಲ್ಲಿ ವಾಯುಭಾರ ಕುಸಿತ ಉಂಟಾದ ಪರಿಣಾಮದಿಂದಾಗಿ ನಗರದಲ್ಲಿ ಗುರುವಾರ ಸಂಜೆ ವೇಳೆಗೆ ಗುಡುಗು ಸಿಡಿಲಿನಿಂದ ಕೂಡಿದ ಭಾರೀ ಗಾಳಿ ಮಳೆಯಾಗಿದ್ದು, ಜನಜೀವನ ಕೂಡ ಸ್ವಲ್ಪ ಮಟ್ಟಿಗೆ ಅಸ್ತವ್ಯಸ್ಥಗೊಂಡಿತ್ತು.",ಮೇಘಗರ್ಜನೆ,Thunder,Yes,k,2025-02-02 07:10:50
ಗುಡುಗು,100ಕ್ಕೂ ಹೆಚ್ಚು ಮನೆಗೆ ನೀರು: ಗುಡುಗು -ಮಿಂಚಿನೊಂದಿಗೆ ಗುರುವಾರ ರಾತ್ರಿ 11 ಗಂಟೆಗೆ ಆರಂಭವಾದ ಮಳೆ ಬಿರುಸಾಗಿಯೇ ಸುರಿಯಿತು.,ಮೇಘಗರ್ಜನೆ,Thunder,Yes,k,2025-02-02 07:10:50
ಗುಡುಗು,ರಾಜ್ಯದ ವಿವಿಧ ಪ್ರದೇಶಗಳಲ್ಲಿ ಗುಡುಗು ಸಹಿತ ಭಾರೀ ಮಳೆ ಅಬ್ಬರಿಸಲಿದೆ ಎಂದು ಹವಾಮಾನ ಇಲಾಖೆ ಎಚ್ಚರಿಕೆ ನೀಡಿದೆ.,ಮೇಘಗರ್ಜನೆ,Thunder,Yes,k,2025-02-02 07:10:50
ಗುಡುಗು,"ಕಟ್ಟಡ ಕುಸಿತಕ್ಕೆ ಮಳೆ, ಸಿಡಿಲು, ಗುಡುಗು ಕಾರಣವಲ್ಲ, ಕಳಪೆ ಕಾಮಗಾರಿಯೇ ಕಾರಣ ಎಂದು ಪೊಲೀಸರು ಹೇಳಿದ್ದಾರೆ.",ಮೇಘಗರ್ಜನೆ,Thunder,Yes,k,2025-02-02 07:10:50
ಗುಡುಗು,"ಶುಕ್ರವಾರ ಕೂಡ ಕೆಲವು ಗಂಟೆ ಕಾಲ ಗುಡುಗು ಸಹಿತ ಮಳೆಯಾಗಿದ್ದು, ನಿರೀಕ್ಷೆ ಹೆಚ್ಚಿಸಿದೆ.",ಮೇಘಗರ್ಜನೆ,Thunder,Yes,k,2025-02-02 07:10:50
ಗುಡುಗು,"ಒಂದು ದಿನ ಸಾಧಾರಣ ಮಳೆಯಾದರೆ ಇನ್ನೊಂದು ದಿನ ಆಲಿಕಲ್ಲು, ಗುಡುಗು ಸಹಿತ ಮಳೆ ಬೀಳುತ್ತಿದೆ.",ಮೇಘಗರ್ಜನೆ,Thunder,Yes,k,2025-02-02 07:10:50
