word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಗುರು,ಇದರ ಉದ್ದೇಶ ಅನೇಕ ಯುವ ಗುರು ಮತ್ತು ಯುವ ಕಲಾವಿದರಿಗೆ ನೃತ್ಯ ಪ್ರಸುತ್ತಪಡಿಸಲು ಅವಕಾಶ ಮಾಡಿಕೊಡುವುದು.,ಉಪಾಧ್ಯಾಯ,Teacher,Yes,a,2025-02-06 13:34:28
ಗುರು,ಉಪೇಂದ್ರ ತಮ್ಮ ಗುರು ಕಾಶೀನಾಥ್ ಬಗ್ಗೆ ಮಾತನಾಡಿದ ಒಂದು ಪ್ರೋಮೋ ದೊಡ್ಡ ಮಟ್ಟದಲ್ಲಿ ಕ್ಲಿಕ್ ಆಗಿತ್ತು.,ಉಪಾಧ್ಯಾಯ,Teacher,Yes,a,2025-02-06 13:34:28
ಗುರು,ಪರಿಹಾರದ ಅಕೌಂಟ್​ ಗುರು ತಮ್ಮ ನೋಡಿಕೊಳ್ಳುತ್ತಾನೆ.,ಉಪಾಧ್ಯಾಯ,Teacher,Yes,a,2025-02-06 13:34:28
ಗುರು,ಮೇಘನಾದನು ಸ್ವತಃ ದೈತ್ಯ ಗುರು ಶುಕ್ರಾಚಾರ್ಯರಿಂದಲೇ ಶಿಕ್ಷಣವನ್ನು ಪಡೆದಿದ್ದ.,ಉಪಾಧ್ಯಾಯ,Teacher,Yes,a,2025-02-06 13:34:28
ಗುರು,ಎಂಬ ವಿಲಕ್ಷಣ ಪ್ರಶ್ನೆಗೆ ಉತ್ತರ ನೀಡಲು ಗುರು ಬೇಕಿಲ್ಲ.,ಉಪಾಧ್ಯಾಯ,Teacher,Yes,a,2025-02-06 13:34:28
ಗುರು,"ಪ್ರವೇಶ ಪತ್ರ, ಗುರು ತಿನ ಚೀಟಿ ನಿಮಗೆ ತಲುಪುತ್ತದೆ.",ಉಪಾಧ್ಯಾಯ,Teacher,Yes,a,2025-02-06 13:34:28
ಗುರು,"ಯೋಗ ಗುರು ರಾಘವೇಂದ್ರ ಶೆಣೈ, ಸುದೀಂದ್ರ ಹೊಳ್ಳ, ಜನಾರ್ಧನ ಹಂದೆ, ಸುಜಯೀಂದ್ರ ಹಂದೆ, ಕೃಷ್ಣಮೂರ್ತಿ ಉಪ್ಪೂರ ಮತ್ತು ವಿಶ್ವಾನಾಥ ಉಪಸ್ಥಿತರಿದ್ದರು.",ಉಪಾಧ್ಯಾಯ,Teacher,Yes,a,2025-02-06 13:34:28
ಗುರು,ಕಬಡ್ಡಿ ಆಟದಲ್ಲಿ ಗುರು ಶಿಷ್ಯ ಪರಂಪರೆಗೆ ಉನ್ನತ ಸ್ಥಾನವಿದೆ.,ಉಪಾಧ್ಯಾಯ,Teacher,Yes,a,2025-02-06 13:34:28
ಗುರು,ಗುರು ಪರಂಪರೆಯ ಹಿನ್ನೆಲೆಯೊಂದಿಗೆ ಉಪ್ಪಿನಂಗಡಿ ಪರಿಸರಕ್ಕೆ ಆಗಮಿಸಿದ ಸಿಮಾಮ್ ಮುಕ್ರಿ ಎಂಬವರ ಕುಟುಂಬ ವೃಕ್ಷವು ಧಾರ್ಮಿಕ ಹಾಗೂ ಶೈಕ್ಷಣಿಕ ಕ್ಷೇತ್ರಗಳಲ್ಲಿ ಅನುಪಮ ಕೊಡುಗೆ ಸಲ್ಲಿಸುತ್ತಾ ಬದಲಾದ ಕಾಲಘಟ್ಟದಲ್ಲಿ ಅನನ್ಯ ಕ್ಷೇತ್ರಗಳಲ್ಲಿ ಗುರುತಿಸಿಕೊಂಡು ದೇಶ ಹಾಗೂ ಹೊರದೇಶಗಳಲ್ಲಿ ನೆಲೆಸಿಕೊಂಡಿದ್ದಾರೆ.,ಉಪಾಧ್ಯಾಯ,Teacher,Yes,a,2025-02-06 13:34:28
ಗುರು,ಕಮಲಾ ಅವರ ಸಂಶೋಧನೆ ಹಾಗೂ ಚಿಂತನೆಗಳು ಅವರಿಗೆ ಕಲಿಸಿದ ಬಹುದೊಡ್ಡ ಗುರು ಪರಂಪರೆಯಿಂದ ಪ್ರೇರಿತವಾಗಿದೆ.,ಉಪಾಧ್ಯಾಯ,Teacher,Yes,a,2025-02-06 13:34:28
ಗುರು,"ಕ್ಷೇತ್ರ ಶಿಕ್ಷಣಾಧಿಕಾರಿ ಸಿದ್ದವೀರಯ್ನಾ ರುದನೂರ ಕಾರ್ಯಕ್ರಮ ಉದ್ಘಾಟಿಸಿ ಮಾತನಾಡಿ, ವಿದ್ಯಾರ್ಥಿಗಳು ಸದಾ ಸಕಾರತ್ಮಕ ವಿಚಾರಗಳನ್ನು ಮಾಡಿ, ಗುರು ಹಿರಿಯರನ್ನು ಶ್ರದ್ಧೆ, ಭಕ್ತಿಯಿಂದ ಕಾಣಬೇಕು.",ಉಪಾಧ್ಯಾಯ,Teacher,Yes,a,2025-02-06 13:34:28
