word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಗುರು,ಅಕ್ಟೋಬರ್ 11ಕ್ಕೆ ಗುರು ಗ್ರಹವು ವೃಶ್ಚಿಕ ರಾಶಿಗೆ ಪ್ರವೇಶ ಮಾಡುವ ವಿಚಾರ ನಿಮಗೆ ಈಗಾಗಲೇ ಗೊತ್ತಾಗಿರಬಹುದು.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,"ಏಪ್ರಿಲ್ ಮಧ್ಯದಿಂದ ಜೂನ್‌ವರೆಗೆ ಮತ್ತು ನವೆಂಬರ್ ಮಧ್ಯದಿಂದ ವರ್ಷದ ಅಂತ್ಯದವರೆಗೆ ಏಳನೇ ಮನೆಯಲ್ಲಿ ಗುರು ಮತ್ತು ಶನಿಯ ಸಂಯೋಜಿತ ಸಾಗಣೆಯಿಂದಾಗಿ, ನಿಮಗೆ ಮದುವೆಯ ಯೋಗವು ರೂಪುಗೊಳ್ಳುತ್ತದೆ ಮತ್ತು ನೀವು ಇದಕ್ಕೆ ಪ್ರಯತ್ನಿಸುತ್ತಿದ್ದರೆ, ನೀವು ಯಶಸ್ಸನ್ನು ಪಡೆಯಬಹುದು.",ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,"ಜುಲೈ 29, 1938 11:01 PM ಗುರು ರಾಕ್ಸ್ ಅಕ್ವೇರಿಯಸ್ಗೆ ಪ್ರವೇಶಿಸುತ್ತಾನೆ",ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,* ಗುರು ಚಾಂಡಾಲ ಯೋಗ ಇರುವಾಗ ಎಷ್ಟು ಎತ್ತರಕ್ಕೆ ಏರಿದರೂ ಮತ್ತೆ ಕೆಳ ಮಟ್ಟಕ್ಕೆ ತಲುಪುತ್ತದೆ,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,ಲಗ್ನಾಧಿಪತಿ ಗುರು ಪಂಚಮದಲ್ಲಿ ಉಚ್ಛಾಂಶದಲ್ಲಿ ರವಿಯೊಡನೆ ಸ್ಥಿತರಿದ್ದಾರೆ.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,1989ರಲ್ಲಿ ಹಾರಿಸಲಾದ ಗಲೀಲಿಯೊ ಸುಮಾರು ಒಂದು ದಶಕದ ಕಾಲ ಗುರು ಗ್ರಹಕ್ಕೆ ಪ್ರದಕ್ಷಿಣೆ ಬಂದಿತ್ತು.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,"ಪ್ರತೀ ವರ್ಷ ಗುರು ಬ್ರುಹಸ್ಪತಿಯು ತನ್ನ ಪಥವನ್ನು ಬದಲಿಸಿದಾಗ, ಭಕ್ತಾದಿಗಳು ಒಳ್ಳೆಯದನ್ನು ಬರಮಾಡಿಕೊಳ್ಳುತ್ತಾ ಮತ್ತು ಕೆಡಕುಗಳನ್ನು ನಿವಾರಿಸಿಕೊಳ್ಳುವ ಉದ್ದೇಶದಿಂದ ಈ ದೇವಸ್ಥಾನಕ್ಕೆ, ಗುರು ಬ್ರುಹಸ್ಪತಿಯನ್ನು ಪೂಜಿಸಲು ತಂಡೊಪತಂಡವಾಗಿ ಬರುತ್ತಾರೆ.",ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,"ಮಿಥುನ ರಾಶಿಯಲ್ಲಿ ರವಿ ಇದ್ದು, ಕರ್ಕಟಕ ರಾಶಿಯಲ್ಲಿ ಬುಧ, ಶುಕ್ರ, ರಾಹುಗಳಿದ್ದು, ತುಲಾ ರಾಶಿಯಲ್ಲಿ ಗುರು ಇದ್ದು, ಇಂದೂ ಕೂಡ ಧನಸ್ಸು ರಾಶಿಯಲ್ಲಿ ಶನಿಯರು ಹಾಗೂ ಮಕರ ರಾಶಿಯಲ್ಲಿ ಚಂದ್ರ-ಕುಜ-ಕೇತುಗಳ ಯುತಿ ಇದೆ.",ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,"ಅವರು ಪ್ರಮುಖ ಗ್ರಹಗಳ ರಚನೆಯ ನಂತರ ಕಾಸ್ಮಿಕ್ ಮ್ಯಾಟರ್ ಅವಶೇಷಗಳನ್ನು ರೂಪುಗೊಂಡ ಭಾವಿಸಲಾಗಿದೆ, ಅಥವಾ ಇದು ಮಂಗಳ ಮತ್ತು ಗುರು ಗ್ರಹಗಳ ನಡುವಿನ ಇದೆ ಗ್ರಹದ ತುಣುಕುಗಳನ್ನು ಇದೆ.",ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,ಗುರು ಎರಡನೇ ಮನೆಯಲ್ಲಿದ್ದರೆ ಕುಟುಂಬ ಸೌಖ್ಯ.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,ಲಾಭ ಸ್ಥಾನದ ಗುರು ನಿಮ್ಮ ಮನೋಕಾಮನೆಯನ್ನು ಪೂರ್ಣಗೊಳಿಸಿಧಿಯಾನು.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,ಗುರು ಗ್ರಹವು ಸಾಮಾಜಿಕ ಗೌರವ ಮತ್ತು ಅದೃಷ್ಟ ಪಡೆಯಲು ನೆರವಾಗುವುದು.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,ತುಲಾ:ಈ ರಾಶಿಯಿಂದ 2ನೇ ರಾಶಿಗೆ ಗುರು ಪ್ರವೇಶ.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,"ಗುರು ಬೃಹತ್ ಗಾತ್ರದಿಂದಾಗಿ ಕೀಳು ಮತ್ತು ಚಲನಚಿತ್ರಗಳು, ಟಿವಿ ಪ್ರದರ್ಶನಗಳು, ವಿಡಿಯೋ ಆಟಗಳು ಮತ್ತು ಕಾಮಿಕ್ಸ್ ಸೇರಿದಂತೆ ಜನಪ್ರಿಯ ಸಂಸ್ಕೃತಿ, ತನ್ನ ಮಹತ್ವದ ಅಸ್ತಿತ್ವ ಇವೆ.",ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,ಇಪ್ಪತ್ತೇಳು ವರ್ಷಗಳ ನಂತರ ಗುರು ಗ್ರಹವು ಚಿತ್ರಾ ನಕ್ಷತ್ರದಲ್ಲಿ ಸ್ಥಿತನಿದ್ದು.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,"ಗುರು - ಉದಾರತೆ, ಉದಾರತೆಗಾಗಿ ಮತ್ತು ಆತ್ಮ ವಿಶ್ವಾಸವನ್ನು ಗ್ರಹದ.",ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,ಇಲ್ಲದಿದ್ದರೆ ಆ ನಂತರ ಶನಿ ದಶೆ ಗುರು ಭಕ್ತಿ ಆರಂಭವಾಗುತ್ತದೆ.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,ಇದಕ್ಕೆ ಗಂಗೆಯು ಒಪ್ಪಿ ಅವರನ್ನು ಕುರಿತು ನೀವು ನನ್ನ ಜೊತೆ ನೆಲೆಸಬೇಕೆಂದು ವಿನಂತಿಸಿದಾಗ ಅದಕ್ಕೊವರೊಪ್ಪಿ ಯಾವಾಗ ಸೂರ್ಯ ಹಾಗೂ ಗುರು ಸೀಂಹ ರಾಶಿಯನ್ನು ಪ್ರವೇಶಿಸುತ್ತಾರೊ ಅಂದು ನಾವು ನಿನ್ನ ಜೊತೆ ಭೂಮಿಯ ಮೇಲಿರುತ್ತೇವೆಂದು ಅಭಯ ನೀಡಿದರು.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,"ಗುರು ನೀಚನಾಗಿರುವುದರಿಂದ ಶುಭ ಕಾರ್ಯಗಳು ಹಿನ್ನಡೆ, ಸ್ಥಗಿತ ಅಥವಾ ಕಾರ್ಯಗಳು ಕೈಗೊಡದಿರುವಿಕೆ ಆಗುತ್ತದೆ.",ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,"ವರ್ಷದ ಆರಂಭದಲ್ಲಿ, ಜನವರಿ 24 ರಂದು ಶನಿದೇವ ನಿಮ್ಮ ಮೂರನೇ ಮನೆಗೆ ಪ್ರವೇಶಿಸಲಿದ್ದಾರೆ, ಮತ್ತೊಂದೆಡೆ, ಗುರು ಮಾರ್ಚ್ 30 ರಂದು ಮೂರನೇ ಮನೆಗೆ ಪ್ರವೇಶಿಸಲಿದ್ದಾರೆ ಮತ್ತು ಮೇ 14 ವಕ್ರೀಯರಾಗುತ್ತಾರೆ.",ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,ಶನಿಯು ಜೂನ್‌ 2017ರಿಂದ ನವೆಂಬರ್‌ 2017ರವರೆಗೆ ಧನು ರಾಶಿಯಿಂದ ವ್ಯಯ ಭಾವದಲ್ಲಿ ಇರುವುದರಿಂದ ಈ ಸಮಯದಲ್ಲಿ ಗುರು ಅನುಗ್ರಹಿಸಿದ ಲಾಭಾದಿಗಳು ಖರ್ಚಾಗುತ್ತವೆ ಎಂದು ತಿಳಿಯಬೇಕು.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,"ಮೀನ : ಹಣಕಾಸಿನ ತೊಂದರೆ, ಲಾಭಕ್ಕೆ ಕತ್ತರಿ ಬೀಳಲಿದೆ, ಉದ್ಯೋಗದಲ್ಲಿ ಅಸಮಾಧಾನ, ಗುರು ಪ್ರಾರ್ಥನೆ ಮಾಡಿ",ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,ಲಗ್ನಾಧಿಪತಿ ಶನಿ ಪುಷ್ಕರ ನವಾಂಶದಲ್ಲಿ ಗುರು ಒಡನೆ ಅಷ್ಟಮಸ್ಥಿತರಿದ್ದಾರೆ.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,ಅಕ್ಟೋಬರ್ ನಲ್ಲಿ ಗುರು ಏಳನೇ ಮನೆಗೆ ಬಂದಾಗ ಸ್ವಲ್ಪ ಮಟ್ಟಗಿನ ಅನುಕೂಲ ನಿರೀಕ್ಷೆ ಮಾಡಬಹುದು.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,ಇದ್ರಿಂದ ಗುರು ಗ್ರಹದ ದೋಷ ನಿವಾರಣೆಯಾಗುತ್ತದೆ.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,"ನವೆಂಬರ್ 24, 2006 -1: 43 ಎಎಮ್ ಗುರು ಧೂಮಕೇತು ಪ್ರವೇಶಿಸುತ್ತದೆ",ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:51
ಗುರು,ಲಾಭ ಸ್ಥಾನಕ್ಕೆ ಗುರು ಅನಿಷ್ಟ ಸ್ಥಿತಿಯೂ ಷಷ್ಟಾಧಿಪತಿಯೂ ಆಗಿರುವಂತಹ ಮುಹೂರ್ತ ಕಾಲ.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:52
ಗುರು,"ನಾನು ಹೇಗೆ ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞರು ಪತ್ತೆ ಇಲ್ಲ, ಅವುಗಳೆಂದರೆ ಗುರು ಅಯೊಲೈಟ್ ನಿಯಮಗಳು.",ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:52
ಗುರು,ಕೊನೆಯದಾಗಿ ಜನ್ಮ ರಾಶಿಯಲ್ಲಿನ ಗುರು ಇತರರ ಸಹಾಯದಿಂದಾಗಿ ನಿಮಗೆ ಉದ್ಯೋಗ ಸಿಗುವಂತೆ ಮಾಡುತ್ತದೆ.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:52
ಗುರು,ನಿಮ್ಮ ಜನ್ಮ ಜಾತಕದಲ್ಲಿ ಗುರು ಯಾವ ಸ್ಥಾನದಲ್ಲಿದ್ದಾನೆ ಎಂಬುದನ್ನು ನೋಡಿಕೊಳ್ಳಿ.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:52
ಗುರು,ಈ ವರ್ಷದ ಅಕ್ಟೋಬರ್ ನಲ್ಲಿ ಗುರು ಬಲ ಬರುತ್ತದೆ.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:52
ಗುರು,"ಇಷ್ಟಲ್ಲದೇ ಸಪ್ತಮಾಧಿಪತಿಯ ದೆಸೆ ಮತ್ತು ಸಪ್ತಮ ಸ್ಥಾನದಲ್ಲಿರುವ ಗ್ರಹಗಳ ಅಂತರ್ದೆಸೆ ಶುಕ್ರಯುಕ್ತನಾಗಿರುವ ಸಪ್ತಮಾಧಿಪತಿಯು ದಶಾಭುಕ್ತಿ, ಸಪ್ತಮಾಧಿಪತಿಯ ಮೇಲೆ ಗುರು ಸಂಚಾರ ಮಾಡುವ ಕಾಲದಲ್ಲಿ ಅಥವಾ ಸಪ್ತಮಾಧಿಪತಿಯು ಯಾವ ನಕ್ಷತ್ರದಲ್ಲಿರುತ್ತಾನೋ, ಆ ದಶಾ ನಕ್ಷತ್ರಗಳ ಮೇಲೆ ಗುರು ಸಂಚಾರ ಮಾಡುವ ಕಾಲದಲ್ಲಿ, ವಿವಾಹ ಸಮಯವನ್ನು ನಿಗದಿಪಡಿಸುವ ಕ್ರಮವೂ ಇದೆ.",ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:52
ಗುರು,"ಅಕ್ಟೋಬರ್ 16, 1976 4:24 PM ಗುರು ರಾಕ್ಸ್ ಟಾರಸ್ಗೆ ಪ್ರವೇಶಿಸುತ್ತಾನೆ",ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:52
ಗುರು,"ಪ್ರತಿ ಗುರುವಾರ ಗುರು ಗ್ರಹವನ್ನು ಅರ್ಚಿಸಿ, ನವಗ್ರಹ ಸುತ್ತಿರಿ.",ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:52
ಗುರು,ಅಲ್ಲದೇ ಈ ನಕ್ಷತ್ರದ ಅಧಿಪತಿ ಗುರು ಆಗಿರುವುದರಿಂದ ಇವರಲ್ಲಿ ಕಲಿಯುವುದು ಮತ್ತು ಕಲಿಸುವ ಗುಣ ಜನ್ಮದಿಂದಲೇ ಬಂದಿರುತ್ತದೆ.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:52
ಗುರು,ಪರಿಹಾರ :- ಆಜ್ಯಕ್ತ ತಿಲ ವ್ರೀಹಿ ದ್ರವ್ಯದಲ್ಲಿ ರುದ್ರ ಹವನ ಸಹಿತ ಗುರು ಶಾಂತಿ ಹವನವನ್ನು ಮಾಡಿಸಿದರೆ ಉತ್ತಮ.,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:52
ಗುರು,"ಸೆಪ್ಟಂಬರ್ 9, 2010 12:49 ಎಎಮ್ ಗುರು ರಾಕ್ಸ್ ಮೀನುಗಳಿಗೆ ಪ್ರವೇಶಿಸುತ್ತಾನೆ",ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,One of the planets,Yes,a,2025-02-06 13:47:52
