word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ದಿವಾಳಿ,"ನವಕರ್ನಾಟಕ ದ ಹೆಸರಿನಲ್ಲಿ ಸರ್ಕಾರವನ್ನು ದಿವಾಳಿ ಮಾಡುತ್ತಿದ್ದಾರೆ, ಇದುವರೆಗೂ ಒಂದು ಎಕರೆ ಭೂಮಿಗೆ ನೀರು ಕೊಟ್ಟಿಲ್ಲ.",ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಳ್ಳುವಿಕೆ,Losing everything,Yes,Darshan R K,2025-02-05 18:12:38
ದಿವಾಳಿ,"ಭಾರತ ಮತ್ತು ಚೀನಾ ಸ್ಮಾರ್ಟ್‌ಫೋನ್ ಮಾರುಕಟ್ಟೆಗಳಲ್ಲಿ ಭಾರೀ ಹೆಸರುಗಳಿಸಿದ್ದ ಜಿಯೋನಿ ದಿವಾಳಿ ಕೋರಿ ಅರ್ಜಿ ಸಲ್ಲಿಸಿ ಸಲ್ಲಿಸಿದ್ದು, ನನ್ನನ್ನು ದಿವಾಳಿ ಎಂದು ಪರಿಗಣಿಸುವಂತೆ ಕೋರಿ ಕಂಪೆನಿ ಸಲ್ಲಿಸಿದ ಅರ್ಜಿಯನ್ನು ಕೋರ್ಟ್‌ ಮಾನ್ಯ ಮಾಡಿದೆ.",ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಳ್ಳುವಿಕೆ,Losing everything,Yes,Darshan R K,2025-02-05 18:12:38
ದಿವಾಳಿ,ಕೆಲಸ ಮಾಡದೇ ಇದ್ದುದರಿಂದಲೇ ಉಳಿದ ಬ್ಯಾಂಕುಗಳು ದಿವಾಳಿ ಎದ್ದಿವೆ.,ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಳ್ಳುವಿಕೆ,Losing everything,Yes,Darshan R K,2025-02-05 18:12:38
ದಿವಾಳಿ,"2018ರಲ್ಲಿ ತನ್ನನ್ನ ದಿವಾಳಿ ಎಂದು ಘೋಷಿಸಿಕೊಂಡಿದ್ದ, ಹೆಚ್ಚು ಕಡಿಮೆ ಸ್ಮಾರ್ಟ್‌ಫೋನ್‌ ಮಾರುಕಟ್ಟೆಯಿಂದಲೆ ಮರೆಯಾಗಿತ್ತು ಜಿಯೋನಿ ಕಂಪೆನಿ.",ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಳ್ಳುವಿಕೆ,Losing everything,Yes,Darshan R K,2025-02-05 18:12:38
ದಿವಾಳಿ,ಕಿಂಗ್ ಫಿಶರ್ ಏರ್ಲೈನ್ಸ್ ದಿವಾಳಿ ಸಮಯದಲ್ಲಿ ಮಲ್ಯ ಬ್ಯಾಂಕ್ ನಿಂದ ಸಾಲ ಪಡೆದಿದ್ದರು.,ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಳ್ಳುವಿಕೆ,Losing everything,Yes,Darshan R K,2025-02-05 18:12:38
ದಿವಾಳಿ,ಸಾಮರಾ (ರಷ್ಯಾ): ರಷ್ಯಾದ ಸಾಮರಾದಲ್ಲಿನ ಆಲ್ವಿ ಗ್ಯಾಸ್​ ಸ್ಟೇಷನ್​ ಎಂಬ ಪೆಟ್ರೋಲ್​ ಬಂಕ್​ ಮಾಲೀಕ ಬಿಸಿನೆಸ್​ ಇಲ್ಲದೆ ದಿವಾಳಿ ಏಳುವ ಭೀತಿಗೆ ಸಿಲುಕಿದ್ದ.,ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಳ್ಳುವಿಕೆ,Losing everything,Yes,Darshan R K,2025-02-05 18:12:38
ದಿವಾಳಿ,"₹2 ಸಾವಿರ ಕೋಟಿ ಮೊತ್ತಕ್ಕಿಂತ ಹೆಚ್ಚಿನ ಸುಸ್ತಿಸಾಲದ ಪ್ರಕರಣಗಳಲ್ಲಿ 180 ದಿನಗಳಲ್ಲಿ ಪರಿಹಾರ ಕಂಡುಕೊಳ್ಳದಿದ್ದರೆ, ಅಂತಹ ಸಾಲದ ಖಾತೆಗಳನ್ನು ರಾಷ್ಟ್ರೀಯ ಕಂಪನಿ ಕಾಯ್ದೆ ನ್ಯಾಯಮಂಡಳಿಗೆ ಇಲ್ಲವೇ ದಿವಾಳಿ ಕೋರ್ಟ್‌ಗೆ ಕಡ್ಡಾಯವಾಗಿ ಶಿಫಾರಸು ಮಾಡಬೇಕಾಗಿತ್ತು.",ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಳ್ಳುವಿಕೆ,Losing everything,Yes,Darshan R K,2025-02-05 18:12:38
ದಿವಾಳಿ,"ಅರ್ಧಲಕ್ಷ ಕೋಟಿಗೂ ಹೆಚ್ಚು ನಷ್ಟ ಘೋಷಣೆ ಮಾಡಿದ ವೋಡಾಫೋನ್- ಐಡಿಯಾ ಕೇಂದ್ರ ಸರ್ಕಾರ ನೆರವು ನೀಡದಿದ್ದರೆ, ದಿವಾಳಿ ಸಂಹಿತೆ ಮಂಡಳಿ (ಐಬಿಸಿ) ಮುಂದೆ ಹೋಗುವುದಾಗಿ ಹೇಳಿದೆ.",ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಳ್ಳುವಿಕೆ,Losing everything,Yes,Darshan R K,2025-02-05 18:12:38
ದಿವಾಳಿ,ವಿಜಯ್ ಮಲ್ಯರನ್ನು ದಿವಾಳಿ ಎಂದು ಘೋಷಿಸಲು ಬ್ಯಾಂಕ್ ಅಪೀಲು,ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಳ್ಳುವಿಕೆ,Losing everything,Yes,Darshan R K,2025-02-05 18:12:38
ದಿವಾಳಿ,"ಗುಜರಾತ್‌ನಲ್ಲಿ ಹಿಂದಿನ 22 ವರ್ಷಗಳಲ್ಲಿ ಹಲವು ಸಾವಿರ ರೈತರು ಆತ್ಮಹತ್ಯೆ ಮಾಡಿಕೊಂಡಿದ್ದಾರೆ, ಈಗ 60 ಲಕ್ಷ ಯುವಕರು ನಿರುದ್ಯೋಗಿಯಾಗಿದ್ದಾರೆ, ನೋಟು ರದ್ದತಿಯಿಂದ ಗುಜರಾತ್‌ಒಂದರಲ್ಲಿಯೇ 15 ಲಕ್ಷ ಕಾರ್ಮಿಕರು ಕೆಲಸ ಕಳೆದುಕೊಂಡು ಬೀದಿಗೆ ಬಿದ್ದಿದ್ದಾರೆ ಹಾಗೂ 10 ಲಕ್ಷ ಸಣ್ಣ ವ್ಯಾಪಾರಿಗಳು ದಿವಾಳಿ ಎದ್ದು ತಮ್ಮ ವ್ಯಾಪಾರ ಬಂದ್ ಮಾಡಿ ಮನೆ ಸೇರಿದ್ದಾರೆ.",ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಳ್ಳುವಿಕೆ,Losing everything,Yes,Darshan R K,2025-02-05 18:12:38
ದಿವಾಳಿ,ಇದೇ ವೇಳೆ ದಿವಾಳಿ ಕಾಯ್ದೆಗೆ ಏಳು ತಿದ್ದುಪಡಿಗೆ ಸಂಪುಟ ಸಭೆ ಸಮ್ಮತಿ ಸೂಚಿಸಿದೆ.,ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಳ್ಳುವಿಕೆ,Losing everything,Yes,Darshan R K,2025-02-05 18:12:38
ದಿವಾಳಿ,"ಇನ್ನು ಸ್ವತಃ ರಾಹುಲ್, ಬ್ಯಾಂಕಿನ ಸಾಲ ಪಡೆದು ದಿವಾಳಿ ಎನ್ನಿಸಿಕೊಂಡಿರುವವರಿಂದ ಹಣ ವಸೂಲು ಮಾಡಿ ಅದನ್ನು ಹಂಚುತ್ತೇವೆ ಎಂದಿದ್ದಾರೆ.",ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಳ್ಳುವಿಕೆ,Losing everything,Yes,Darshan R K,2025-02-05 18:12:38
ದಿವಾಳಿ,"ಮಂಗಳವಾರ ಧರಣಿ ಉದ್ದೇಶಿಸಿ ಮಾತನಾಡಿದ ಸಹಕಾರಿ ಸಾರಿಗೆ ಸಂಸ್ಥೆಯ ಮಾಲಕರು, ಇತ್ತೀಚಿನ ಆರ್ಥಿಕ ಸಂಕಷ್ಟ, ಬಿಡಿ ಬಾಗಗಳ ಬೆಲೆ ಏರಿಕೆ, ತೈಲಬೆಲೆ ಏರಿಕೆ, ಜಿಎಸ್‌ಟಿ, ಸಿಬ್ಬಂದಿ ವೇತನ ವೆಚ್ಚ ಏರಿಕೆಯ ಹೊಡೆತ ಸಹಿಸಲಾಗದೆ ಸಾರಿಗೆ ಸಂಸ್ಥೆ ದಿವಾಳಿ ಹಂತಕ್ಕೆ ತಲುಪಿದೆ.",ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಳ್ಳುವಿಕೆ,Losing everything,Yes,Darshan R K,2025-02-05 18:12:38
ದಿವಾಳಿ,"₹ 2 ಸಾವಿರ ಕೋಟಿಗಿಂತ ಹೆಚ್ಚಿನ ಸುಸ್ತಿಸಾಲದ ಪ್ರಕರಣಗಳಲ್ಲಿ 180 ದಿನಗಳಲ್ಲಿ ಪರಿಹಾರ ಕಂಡುಕೊಳ್ಳದಿದ್ದರೆ, ಅಂತಹ ಸಾಲದ ಖಾತೆಗಳನ್ನು ರಾಷ್ಟ್ರೀಯ ಕಂಪನಿ ಕಾಯ್ದೆ ನ್ಯಾಯಮಂಡಳಿಗೆ ಇಲ್ಲವೆ ದಿವಾಳಿ ಕೋರ್ಟ್‌ಗೆ ಕಡ್ಡಾಯವಾಗಿ ಶಿಫಾರಸು ಮಾಡಬೇಕಾಗಿತ್ತು.",ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಳ್ಳುವಿಕೆ,Losing everything,Yes,Darshan R K,2025-02-05 18:12:38
ದಿವಾಳಿ,2008ರ ಅಮೆರಿಕದ ಲೆಮನ್ಸ್ ಬ್ರದರ್ಸ್ ಬ್ಯಾಂಕ್ ದಿವಾಳಿ ನಂತರ ಆರ್ಥಿಕ ಮುಗ್ಗಟ್ಟು ಈಗ ಮತ್ತೇ ತೀವ್ರವಾಗುತ್ತಾ ಹೋಗುತ್ತಿದೆ.,ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಳ್ಳುವಿಕೆ,Losing everything,Yes,Darshan R K,2025-02-05 18:12:38
