word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ನರ,ನರ ಸತ್ತ ನಪುಸಂಕರಾಗಬೇಡಿ…ಕೆಚ್ಚೆದೆಯ ವೀರ ಸಿಂಹಗಳಾಗಿ ದೇಶ -ಧರ್ಮದ ರಕ್ಷಣೆ ಮಾಡಿ ಹಿಂದೂಗಳೆ.,ಮನುಷ್ಯ,Human,Yes,a,2025-02-07 18:36:04
ನರ,"ವಾನರ ನರನಾದದ್ದು, ನರ ಮಾನವನಾದದ್ದು ಒಂದು ಘಟ್ಟವಾದರೆ ವ್ಯಕ್ತಿಗತ ಸ್ವಾರ್ಥಕ್ಕೆ ತನ್ನನ್ನು ಒಡ್ಡಿಕೊಂಡ ಮನುಷ್ಯ ಮಾನವತೆಯನ್ನು ಮರೆತು ಅನಾಗರೀಕತೆಯ ಕಡೆಗೆ ಸರಿದಿದ್ದು ಸಂಸ್ಕೃತಿಯ ವಿರೂಪಗಳಿಗೆ ಹೇಗೆ ಕಾರಣವಾಯಿತು ಎಂಬುದು ಅವರ ಅಧ್ಯಯನದ ಇನ್ನೊಂದು ಘಟ್ಟ.",ಮನುಷ್ಯ,Human,Yes,a,2025-02-07 18:36:04
ನರ,ಇದೇ ಅಕ್ಟೋಬರ್ ೯ ರಂದು ನರ ರಾಕ್ಷಸ ತಾಲಿಬಾನಿಗರಿಂದ ಗುಂಡೇಟು ತಿಂದು ಸದ್ಯ ಜೀವನ್ಮರಣ ಹೋರಾಟದಲ್ಲಿರುವ 14ರ ಹರೆಯದ ಪುಟ್ಟ ಪಾಕಿಸ್ತಾನಿ ಮಾನವ ಹಕ್ಕುಗಳ ಹೋರಾಟಗಾರ್ತಿಯದು.,ಮನುಷ್ಯ,Human,Yes,a,2025-02-07 18:36:04
ನರ,ಆರನೆ ದಿನಕ್ಕೆ ನಾವೆಲ್ಲ ನರ ಮುನಿಯ ತಪದ ಜಾಗದಿಂದ ಅರ್ಧ ಯೋಜನ ದೂರದಲ್ಲಿರುತ್ತೇವೆ.,ಮನುಷ್ಯ,Human,Yes,a,2025-02-07 18:36:04
ನರ,ಇಲ್ಲಿ ನರ ಶಬ್ಧವು ಪುರುಷ ಅಂತಲೂ ಮುಡಿ ಶಬ್ಧವು ಸ್ತ್ರೀ ಅಂತಲೂ ಇಲ್ಲಿನ ಸ್ಥಳೀಯ ಭಾಷೆಯಲ್ಲಿ ಪರಿಗಣಿಸಲಾಗುತ್ತದೆ.,ಮನುಷ್ಯ,Human,Yes,a,2025-02-07 18:36:04
ನರ,ಇವರು ತಮ್ಮ ನಿಜ ಜೀವನದಲ್ಲಿ ಒಬ್ಬ ನರ ರೂಪ ರಾಕ್ಷಸರು ಮತ್ತು ಸರಣಿ ಕೊಲೆಗಾರ.,ಮನುಷ್ಯ,Human,Yes,a,2025-02-07 18:36:04
ನರ,ಬಾಯ ಹೊಗಳಿಕೆ ಬಿಡು ವಥಾ ನರ |,ಮನುಷ್ಯ,Human,Yes,a,2025-02-07 18:36:04
ನರ,ನರ ವೃಕೋದರರೌಡುಗಚ್ಚುತ,ಮನುಷ್ಯ,Human,Yes,a,2025-02-07 18:36:04
ನರ,ಆ ನರ ರಾಕ್ಷಸರ ಹಿಂದೆ ಯಾರೆಲ್ಲ ಇದ್ದಾರೆ.,ಮನುಷ್ಯ,Human,Yes,a,2025-02-07 18:36:04
ನರ,ತಿಳಿದಿಲ್ಲ ನರ ಚಂದ ಜನಸ್ಥಾನದ ಬಗೆಯ | ಹರನಿಂದ ಪಡೆದು ಬಂದಿಹನು |,ಮನುಷ್ಯ,Human,Yes,a,2025-02-07 18:36:04
