word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ನಾಮ,"ಬದಲಿಗೆ ಕ್ರಿಕೆಟ್ ಬೆಟ್ಟಿಂಗ್, ಬ್ಲಾಕ್ ಅಂಡ್ ವೈಟ್ ದಂಧೆಯಲ್ಲೂ ಎಕ್ಸ್ ಪರ್ಟ್ ಆಗಿದ್ದು, ದೊಡ್ಡ ಕುಳಗಳಿಗೆ ನಾಮ ಇಟ್ಟಿದ್ದಾನೆ.",ಮೋಸ,cheating,Yes,qwerty,2025-02-05 15:07:16
ನಾಮ,ಅಣ್ಣಾರವರ ಆಂದೋಲನವನ್ನು ಮೊದ ಮೊದಲು ಅವಗಣನೆ ಮಾಡಿ ನಂತರ ಪರಿಸ್ಥಿತಿ ವಿಕೋಪಕ್ಕೆ ಹೋಗಬಹುದು ಎಂದು ಭಯ ಬಿದ್ದು ಲೋಕಪಾಲ್ ಮಸೂದೆಗೆ ಒಪ್ಪುವ ನಾಟಕ ಆಡಿ ಅಣ್ಣಾ ರಿಗೆ ಸೊಗಸಾಗಿ ನಾಮ ಬಳಿದರು.,ಮೋಸ,cheating,Yes,qwerty,2025-02-05 15:07:16
ನಾಮ,ನೀರವ್ ಮೋದಿಗಿಂತಲೂ ಸಂದೇಸರಾ ಸೋದರರು ಬ್ಯಾಂಕುಗಳಿಗೆ ಹಾಕಿದ ನಾಮ ದೊಡ್ಡದು!,ಮೋಸ,cheating,Yes,qwerty,2025-02-05 15:07:16
ನಾಮ,ಲಕ್ಷ ನಾಮ ಹಾಕಿದ ಕನ್ನಡದ ನಟಿ ಈಗ ಪೊಲೀಸ್ ವಶಕ್ಕೆ.,ಮೋಸ,cheating,Yes,qwerty,2025-02-05 15:07:16
ನಾಮ,"ಯಾವುದೇ ಮೂಲಸೌಲಭ್ಯಗಳಿಲ್ಲದೇ ಅಗತ್ಯ ಪರಿಣಿತರಿಲ್ಲದೇ ಕನ್ನಡ ಮಾಧ್ಯಮದ ಶಾಲೆಗಳೆಂದು ಪರವಾನಗಿ ಪಡೆದು ಸರಕಾರಕ್ಕೆ ಮತ್ತು ಸರಕಾರದ ನಿಯಮಾವಳಿಗಳಿಗೆ ನಾಮ ಹಾಕಿ ಇಂಗ್ಲಿಷ್‌ ಮಾಧ್ಯಮ ಶಾಲೆಗಳಾಗಿ ಪರಿವರ್ತಿಸಿ ಜನತೆಯನ್ನು ಲೂಟಿ ಮಾಡುತ್ತಿದ್ದು, ಇವುಗಳನ್ನು ತಡೆಯುವಲ್ಲಿ ಸರಕಾರ ಕಣ್ಣಿದ್ದು ಕುರುಡನಂತೆ ವರ್ತಿಸುತ್ತಿದೆ.",ಮೋಸ,cheating,Yes,qwerty,2025-02-05 15:07:16
ನಾಮ,ಆಸ್ಪತ್ರೆಯ ಸಿಬ್ಬಂದ್ದಿಗಳು ಪೋಲೀಸರಿಗೆ ಉಂಡೆ ನಾಮ ತಿಕ್ಕಿದ್ದಾರೆ.,ಮೋಸ,cheating,Yes,qwerty,2025-02-05 15:07:16
ನಾಮ,ಕೆಲಸದ ಆಮೀಷ ಒಡ್ಡಿ 5 ಲಕ್ಷಕ್ಕೆ ನಾಮ ಹಾಕಿದ ನಟ,ಮೋಸ,cheating,Yes,qwerty,2025-02-05 15:07:16
ನಾಮ,ನಕಲಿ ಚಿನ್ನಾಭರಣ ನೀಡಿ ಮಲಬಾರ್ ಗೋಲ್ಡ್ ಸಂಸ್ಥೆಗೆ ನಾಮ ಹಾಕಿದ ಮಹಿಳೆ!,ಮೋಸ,cheating,Yes,qwerty,2025-02-05 15:07:16
ನಾಮ,"17ಟಿಎಂಸಿ ಬದಲಿಗೆ 45 ಟಿಎಂಸಿ ನೀರನ್ನು ಉಪಯೋಗಿಸಿಕೊಂಡು ಎಲ್ಲರಿಗೂ ನಾಮ ಹಾಕ್ಕೊಂಡು, ನಾಲೆ ಒಡೆಯುವಂಥವರಿಗೆ ನಾವು ಬಲಿಯಾಗಲ್ಲ , ಅವರಂತೆ ಸ್ವಾರ್ಥಕ್ಕಾಗಿ ಮೂರ್ಖತನದ ಪರಮಾವಧಿ ಮಾಡಲ್ಲ ಎಂದು ಆಕ್ರೋಶ ಹೊರಹಾಕಿದರು.",ಮೋಸ,cheating,Yes,qwerty,2025-02-05 15:07:16
ನಾಮ,"ಆಸ್ತಿ ತೆರಿಗೆ: ಮಧ್ಯವರ್ತಿಗಳಿಂದ ವಂಚನೆ, ನಗರಸಭೆ ಸದಸ್ಯನಿಗೇ ನಾಮ",ಮೋಸ,cheating,Yes,qwerty,2025-02-05 15:07:16
