word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ನಾಮ,"ಈ ಹಿಂದೆ ಯಾವುದೇ ಸಮಾರಂಭ, ಪೂಜೆ ಅಥವಾ ಜಾತ್ರಾ ಮಹೋತ್ಸವಗಳಲ್ಲಿ ಭಾಗಿಯಾದರೆ ನಾಮ ಹಾಕಿಕೊಳ್ಳುವುದಿಲ್ಲ ಎನ್ನುವ ಮೂಲಕ ಮೂಲಭೂತವಾದ ಮತ್ತು ಕಠೋರ ಹಿಂದುತ್ವದ ವಿರುದ್ಧ ನಿಲುವು ತಾಳುತ್ತಿದ್ದ ಸಿದ್ದರಾಮಯ್ಯ ಈಗ ಬದಲಿಗಾದ್ದಾರ?",ಹಣೆಯಲ್ಲಿ ಧರಿಸುವ ಲಾಂಛನ,An emblem worn on the forehead,Yes,qwerty,2025-02-05 15:25:36
ನಾಮ,ಮಂಗಳೂರಿನ style ನಲ್ಲಿ ಉದ್ದನೆ ಕುಂಕುಮ ನಾಮ ಬೇರೆ ಹಾಕಿದ್ವಿ (ಅಲ್ಲಿದ್ದಾಗ ಯಾಕೋ ದೈವ ಭಕ್ತಿ ಜಾಸ್ತಿನೇ ಉಕ್ಕಿ ಬಂದಿತ್ತು !).,ಹಣೆಯಲ್ಲಿ ಧರಿಸುವ ಲಾಂಛನ,An emblem worn on the forehead,Yes,qwerty,2025-02-05 15:25:36
ನಾಮ,ನಾಮಪತ್ರ ಹಾಕುವಾಗ ಸಿದ್ದರಾಮಯ್ಯ ನಾಮ ಧರಿಸಿದ್ದನ್ನು ಕಂಡಿದ್ದೇನೆ.,ಹಣೆಯಲ್ಲಿ ಧರಿಸುವ ಲಾಂಛನ,An emblem worn on the forehead,Yes,qwerty,2025-02-05 15:25:36
ನಾಮ,"ಟೌನ್‍ಹಾಲ್ ಸಮೀಪ ಕನ್ನಡಪರ ಹೋರಾಟಗಾರರು ಹಾಗೂ ಚಾಲಕರು ಕಾರುಗಳಿಗೆ ಹಗ್ಗ ಕಟ್ಟಿ ಎಳೆಯುವ ಮೂಲಕ ವಿನೂತನವಾಗಿ ಪ್ರತಿಭಟನೆ ನಡೆಸಿದರೆ, ಇನ್ನೂ ಕೆಲವರು ಗ್ಯಾಸ್ ಸಿಲಿಂಡರ್‍ಗಳಿಗೆ ತಿರುಪತಿ ನಾಮ ಬಳಿದು ತಾವೂ ನಾಮ ಹಾಕಿಕೊಂಡು ಪ್ರತಿಭಟನೆ ನಡೆಸಿದರು.",ಹಣೆಯಲ್ಲಿ ಧರಿಸುವ ಲಾಂಛನ,An emblem worn on the forehead,Yes,qwerty,2025-02-05 15:25:36
ನಾಮ,ಯಾಕೆಂದರೆ ಮೂರು ನಾಮ ಇಟ್ಟುಕೊಂಡು ದೇವೇಗೌಡರು ತಿರುಪತಿಯ ಬೆಟ್ಟ ಹತ್ತಿದರೂ ಅನಂತಮೂರ್ತಿಗಳಿಗೆ ನೋಬೆಲ್ ಅವಾರ್ಡು ಕೊಡಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ.,ಹಣೆಯಲ್ಲಿ ಧರಿಸುವ ಲಾಂಛನ,An emblem worn on the forehead,Yes,qwerty,2025-02-05 15:25:36
ನಾಮ,"ಬದಲಾಗಿ ನಾನಾ ತರಹದ ವೇಷಭೂಷಣಗಳಿಂದ ಕಂಗೊಳಿಸುವಂತಹ, ಹಣೆಗೆ ಅಡ್ಡನಾಮ, ಉದ್ದುದ್ದ ನಾಮ (ಕೆಲವರದ್ದು ಯು ಆಕಾರದ ನಾಮವಾದರೆ, ಕೆಲವರದ್ದು ವಿ ನಾಮ, ಇನ್ನು ಕೆಲವರದ್ದು ಸೂರ್ಯ ನಾಮ!) ಇಂಥಹ ತರಾತರದ ನಾಮಗಳಿಂದ ಅಲಂಕೃತವಾದ ವಿಧ ವಿಧದ ಸೈಜುಗಳ ದೇಹದ ಜ್ಯೋತಿಷಿಗಳು.",ಹಣೆಯಲ್ಲಿ ಧರಿಸುವ ಲಾಂಛನ,An emblem worn on the forehead,Yes,qwerty,2025-02-05 15:25:36
ನಾಮ,"ನೀಲಿ ಬಣ್ಣದ ಜರಿಯಂಚಿನ ಕಚ್ಚೆ ಉಟ್ಟು ನಾಮ ಹಾಕಿಕೊಂಡ ನನಗೆ, ತುಳುನಾಡಿನ ದೈವ ಸಿರಿಯ ಮಗ ಕುಮಾರನೇ ಮೈಹೊಕ್ಕ ಹಾಗೆ ಅನ್ನಿಸುತ್ತಿತ್ತು.",ಹಣೆಯಲ್ಲಿ ಧರಿಸುವ ಲಾಂಛನ,An emblem worn on the forehead,Yes,qwerty,2025-02-05 15:25:36
ನಾಮ,"ಹಣೆ ತುಂಬ ನಾಮ ಹಾಕುವವನು, ದೇವರ ಹೆಸರನ್ನೇ ಎಲ್ಲ ಕಡೆ, ಎಲ್ಲ ಕಾಲ ಉಸಿರುವವನು, ಇನ್ನೊಬ್ಬರನ್ನು ಕ್ರೂರವಾಗಿ ಟೀಕಿಸುವುದರಲ್ಲಿ ಹಿಂದೆ ಬಿದ್ದಿಲ್ಲ ಮಾತ್ರವಲ್ಲ, ಎಲ್ಲರಿಗಿಂತ ಮುಂದೆ ಇದ್ದಾನೆ.",ಹಣೆಯಲ್ಲಿ ಧರಿಸುವ ಲಾಂಛನ,An emblem worn on the forehead,Yes,qwerty,2025-02-05 15:25:36
ನಾಮ,ನಾಮ ಇಟ್ಟವರನ್ನ ಕಂಡ್ರೆ ಭಯವಾಗುತ್ತೆ – ಪರೋಕ್ಷವಾಗಿ ಬಿಜೆಪಿಗರನ್ನ ಕಿಚಾಯಿಸಿದ ಸಿದ್ದರಾಮಯ್ಯ,ಹಣೆಯಲ್ಲಿ ಧರಿಸುವ ಲಾಂಛನ,An emblem worn on the forehead,Yes,qwerty,2025-02-05 15:25:36
ನಾಮ,"ಕಾವಿ ಹಾಕಲಿಲ್ಲ, ನಾಮ ಬಳಿದುಕೊಳ್ಳಲಿಲ್ಲ ಆದರೆ ಅವರುಗಳು ನಾಚಿಸುವ ರೀತಿಯಲ್ಲಿ ಹಿಂದುತ್ವದ ವಿಚಾರಧಾರೆಗಳನ್ನು ಸಮರ್ಥವಾಗಿ , ತಲೆದೂಗುವಂತೆ ಮಂಡಿಸಿ ಸೈ ಎನಿಸಿಕೊಂಡವರು.",ಹಣೆಯಲ್ಲಿ ಧರಿಸುವ ಲಾಂಛನ,An emblem worn on the forehead,Yes,qwerty,2025-02-05 15:25:36
