word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ನಾಮ,ಈ ಗುಣವನ್ನು ಇದುವರೆಗಾಗಲೇ ನಾಮ ೬೩ ಹಾಗು ೫೬೭ರಲ್ಲಿ ಚರ್ಚಿಸಲಾಗಿದೆ.,ಹೆಸರು,Name,Yes,qwerty,2025-02-05 06:41:22
ನಾಮ,ಕಾರಿನ ನಾಮ ಫಲಕ ತೆಗೆದ ಅಧಿಕಾರಿಗೆ ಥಳಿಸಿದ ಬಿಜೆಪಿ ನಾಯಕ!,ಹೆಸರು,Name,Yes,qwerty,2025-02-05 06:41:22
ನಾಮ,ಅಷ್ಟೇ ಅಲ್ಲ ವಿಠ್ಠಲನ ನಾಮ ಸದಾಕಾಲ ಶುಭದಾಯಕ.,ಹೆಸರು,Name,Yes,qwerty,2025-02-05 06:41:22
ನಾಮ,ಇಂದು ಮನೆಯಲ್ಲಿ ಇರೋ ಶಿವಲಿಂಗಕ್ಕೆ ತಪ್ಪದೆ ನಾಲ್ಕು ಉದ್ದರಣೆ ಹಾಲು ಮತ್ತು ಎಂಟು ಉದ್ದರಣೆ ನೀರಿನಿಂದ ಅಭಿಷೇಕ ಮಾಡುತ್ತಾ ಓಂ ನಮಃ ಶಿವಾಯ ಪಂಚಾಕ್ಷರಿ ನಾಮ ಪಾರಾಯಣ ಮಾಡುವುದು ಮರೆಯಬೇಡಿ.,ಹೆಸರು,Name,Yes,qwerty,2025-02-05 06:41:22
ನಾಮ,ಓಂ ನಾಮ ಸ್ಮರಣೆಯೊಂದಿಗೆ ಅಕ್ಷರ ಲೋಕಕ್ಕೆ ಕಾಲಿರಿಸಿದ ಪುಟಾಣಿಗಳು – ಕಹಳೆ ನ್ಯೂಸ್,ಹೆಸರು,Name,Yes,qwerty,2025-02-05 06:41:23
ನಾಮ,ರಾಮಾ ನಿನ್ನ ನಾಮ ಸ್ಮರಣೆಯೇ ಸಾಕು,ಹೆಸರು,Name,Yes,qwerty,2025-02-05 06:41:24
ನಾಮ,"ಇದು ಗಮನಿಸಬೇಕು, BRIC ಆ - ಇದು ಅವರು ವೇದಿಕೆ ನಾಮ ನಂತರ ಬಳಸಿದ ಹೆಸರು ನಟಿ ಅಜ್ಜಿ.",ಹೆಸರು,Name,Yes,qwerty,2025-02-05 06:41:24
ನಾಮ,"ದೇವನೊಬ್ಬನೇ ನಾಮ ಹಲವು ಎಂದು ನಂಬಿದವನು, ಎಂದು ಸಿದ್ದರಾಮಯ್ಯ ವಿವರಿಸಿದರು.",ಹೆಸರು,Name,Yes,qwerty,2025-02-05 06:41:24
ನಾಮ,"ಗಕಾರ ಗಣಪತಿ ಸಹಸ್ರ ನಾಮ ಪಾರಾಯಣ, ಗಣಪತಿ ಬೀಜ ಮಂತ್ರ ಪಠಿಸಬೇಕು.",ಹೆಸರು,Name,Yes,qwerty,2025-02-05 06:41:24
ನಾಮ,ಹಿಂದು ಗೋತ್ರವು ನಾಮ ಮಾತ್ರದೊಳಗೇನು ||೧||,ಹೆಸರು,Name,Yes,qwerty,2025-02-05 06:41:24
ನಾಮ,ಪುತ್ರಿ ಹುಟ್ಟುಹಬ್ಬದ ಸಂದರ್ಭ 2019ರ ವರ್ಷ ರೋಹಿತ್​ ಶರ್ಮಾ ನಾಮ ಸಂವತ್ಸರ ಆಗಿ ರೂಪುಗೊಂಡಿದೆ.,ಹೆಸರು,Name,Yes,qwerty,2025-02-05 06:41:24
ನಾಮ,ಕೃಷ್ಣ ನಾಮ ಸ್ಮರಣೆಯ ಜತೆಗೆ ನಂಬಿದೆ ನಿನ್ನ ನಾದ ದೇವತೆಯೆ~ ಎಂದು ಹಾಡಿದ ಗಾಯಕ ನಿಶಾಂತ್ ಅವರ ಗಾಯನದಿಂದ ಇಡೀ ಸಭಾಂಗಣವು ನಾದ ಲೋಕದಲ್ಲಿ ಮುಳುಗಿ ಹೋಯಿತು.,ಹೆಸರು,Name,Yes,qwerty,2025-02-05 06:41:24
ನಾಮ,ನಮ್ಮಲ್ಲಿ ಪ್ರತಿಯೊಬ್ಬರೂ ಈ ಸಂಸಾರದಲ್ಲಿ ನಾಮ ರೂಪ ಜಗತ್ತಿನಲ್ಲಿ ಇದ್ದೇವೆ.,ಹೆಸರು,Name,Yes,qwerty,2025-02-05 06:41:24
ನಾಮ,ರಾಜ್ಯ ಸಭೆಗೆ ವಿವಿಧ ಕ್ಷೇತ್ರಗಳಲ್ಲಿ ಸೇವೆ ಸಲ್ಲಿಸಿರುವ 12 ಮಂದಿಯನ್ನು ನಾಮ ನಿರ್ದೇಶನ ಮಾಡಲಾಗುತ್ತದೆ.,ಹೆಸರು,Name,Yes,qwerty,2025-02-05 06:41:24
ನಾಮ,ನಾಮ ಸ್ಮರಣೆ,ಹೆಸರು,Name,Yes,qwerty,2025-02-05 06:41:24
