word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ನೆರೆ,ಈ ಮಾದರಿಯನ್ನು ಈಗಾಗಲೇ ನೆರೆ ರಾಜ್ಯಗಳಾದ ತಮಿಳುನಾಡು ಹಾಗೂ ಮಹಾರಾಷ್ಟ್ರ ಸರ್ಕಾರಗಳು ಅನುಷ್ಠಾನಗೊಳಿಸಿವೆ.,ಪಕ್ಕ,Side,Yes,Darshan R K,2025-02-08 14:59:42
ನೆರೆ,"ಹುಬ್ಬಳ್ಳಿಯ ಪತ್ರಿಕಾ ಛಾಯಾಗ್ರಾಹಕರ ವತಿಯಿಂದ ನೆರೆ ಛಾಯಾ ಛಾಯಾಚಿತ್ರ ಪ್ರದರ್ಶನವನ್ನು ಅಕ್ಟೋಬರ್ 19, 20 ಕ್ಕೆ ಇಂದಿರಾ ಗಾಜಿನ ಮನೆಯಲ್ಲಿ ಪ್ರದರ್ಶನ ಮಾಡಲಾಗುತ್ತಿದೆ.",ಪಕ್ಕ,Side,Yes,Darshan R K,2025-02-08 14:59:42
ನೆರೆ,ರಾಜ್ಯ ಮತ್ತು ನೆರೆ ರಾಜ್ಯಗಳಿಂದ ಹೆಸರಾಂತ ಜಟ್ಟಿಗಳು ಭಾಗವಹಿಸುತ್ತಾರೆ.,ಪಕ್ಕ,Side,Yes,Darshan R K,2025-02-08 14:59:42
ನೆರೆ,"ಮತ್ತು ಕೋನದ ನೆರೆ ಬದಿಯ ಉದ್ದ , ನನ್ನ ಮತ್ತು ಮರದ ತಳದವರೆಗಿನ ಸರಳ ದೂರವಾಗಿರುತ್ತದೆ.",ಪಕ್ಕ,Side,No,Darshan R K,2025-02-08 14:59:42
ನೆರೆ,ಇದೇ ವೇಳೆ ನೆರೆ ದೇಶಗಳ ನಡುವಿನ ಬಂಡವಾಳ ಹರಿವಿನ ಸಮಗ್ರತೆಗೆ ಸಂಬಂಧಿಸಿದಂತೆ ಯಾವುದೇ ರಾಜಿ ಮಾಡಿಕೊಳ್ಳದೆ,ಪಕ್ಕ,Side,Yes,Darshan R K,2025-02-08 14:59:42
ನೆರೆ,ವಿಶ್ವ ಸಂಸ್ಥೆಯ ಮಹಾಧಿವೇಶನದಲ್ಲಿ ಮಾತನಾಡಿದ ಪಾಕಿಸ್ಥಾನವು ತನ್ನ ನೆಲದಲ್ಲಿನ ಜಿಹಾದಿ ಮೂಲಭೂತವಾದವನ್ನು ಮತ್ತು ನೆರೆ ಪ್ರದೇಶಗಳಲ್ಲಿನ ಉಗ್ರವಾದವನ್ನು ಕೊನೆಗೊಳಿಸುವುದಾಗಿ ಭರವಸೆ ನೀಡಿದೆ.,ಪಕ್ಕ,Side,Yes,Darshan R K,2025-02-08 14:59:42
ನೆರೆ,"ಸ್ಪಾನಿಯಲ್, ಅನಗತ್ಯ ಆಕ್ರಮಣಶೀಲತೆ ತೋರಿಸಬೇಡಿ ಅವರು ತಮ್ಮ ನೆರೆ ಕಾನ್ಫ್ಲಿಕ್ಟ್ ಮಾಡುವುದಿಲ್ಲ.",ಪಕ್ಕ,Side,No,Darshan R K,2025-02-08 14:59:42
ನೆರೆ,"ಸಿಡ್ರಿಕ್ ಜಾಕೋಬ ಮಾತನಾಡಿ, ಇತರರ ಓರೆಕೋರೆ ಬದಲಿಸುವ ಮೊದಲು ತನ್ನನ್ನು ತಾನು ಬದಲಿಸಬೇಕು, ನೆರೆ ಹೊರೆಯವರನ್ನು ಪ್ರೀತಿಸು, ಸಮರ್ಪಣಾ ಭಾವನೆ, ನಮ್ಮಲ್ಲಿ ಅಳವಡಿಸಿಕೊಳ್ಳಬೇಕೆಂದರು.",ಪಕ್ಕ,Side,Yes,Darshan R K,2025-02-08 14:59:42
ನೆರೆ,ನೆರೆ ಮಾವಿನ ಮರದ ಬುಡವನ್ನು ಮುಚ್ಚಿಬಿಟ್ಟಿತ್ತು.,ಪಕ್ಕ,Side,No,Darshan R K,2025-02-08 14:59:42
ನೆರೆ,"ಈ ಬೆಳವಣಿಗೆ, ಗೊಂದಲಕ್ಕೆ ಕಾಂಗ್ರೆಸ್ ಕಾರಣ ನಾವಲ್ಲ, ಈ ವಿವಾದ ಸುಪ್ರೀಮ್ ಕೋರ್ಟಗೆ ಕಾರಣರಾದ ಕಾಂಗ್ರೆಸ್‌ನವರೊಂದಿಗೆ ಹೋಗಿ ನೆರೆ ರಾಜ್ಯಗಳ ಒಪ್ಪಿಸಲು ಸಿದ್ದರಿದ್ದೇವೆ ಎಂದರು.",ಪಕ್ಕ,Side,Yes,Darshan R K,2025-02-08 14:59:42
