word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ನೇರ,ಕಾಲಕಳೆದಂತೆ ಬುದ್ಧನ ನೇರ ಅನುಯಾಯಿಗಳ ಹೀನಯಾನ ಪಂಥವು ಕಣ್ಮರೆಯಾಗಿ ಮಹಾಯಾನ ಪಂಥವು ಬೇರು ಬಿಟ್ಟು ಬೆಳೆಯತೊಡಗಿತು.,"ನಿಜ, ಸತ್ಯ, ಕಾಲ, ಸಮಯ",Live,Yes,a,2025-02-07 21:11:50
ನೇರ,ಡ್ರಾಪ್ಬಾಕ್ಸ್ನಂತಹ ಸೇವೆಗಳು ವಿಭಿನ್ನ ಫೋಲ್ಡರ್ಗಳಿಗೆ ಚಿತ್ರಗಳನ್ನು ಮತ್ತು ವೀಡಿಯೊಗಳನ್ನು ಅಪ್ಲೋಡ್ ಮಾಡಲು ಮಾತ್ರವಲ್ಲದೆ ನಿಮಗೆ ವಿಷಯವನ್ನು ತೋರಿಸಲು ನೀವು ಬಯಸುವಂತಹ ನೇರ ಡೌನ್ಲೋಡ್ ಲಿಂಕ್ಗಳನ್ನು ನಿಮಗೆ ಒದಗಿಸುತ್ತದೆ.,"ನಿಜ, ಸತ್ಯ, ಕಾಲ, ಸಮಯ",Live,Yes,a,2025-02-07 21:11:50
ನೇರ,"ಇದು ಹದಿಮೂರು ವಸಾಹತುಗಳ ಮೇಲೆ ನೇರ ಪರಿಣಾಮವನ್ನು ಹೊಂದಿಲ್ಲವಾದರೂ, ಕ್ವಿಬೆಕ್ ಆಕ್ಟ್ ಅನ್ನು ಅಮೆರಿಕನ್ ವಸಾಹತುಗಾರರು ಅಸಹನೀಯ ಕಾಯಿದೆಗಳ ಭಾಗವೆಂದು ಪರಿಗಣಿಸಲಾಯಿತು.","ನಿಜ, ಸತ್ಯ, ಕಾಲ, ಸಮಯ",Live,Yes,a,2025-02-07 21:11:51
ನೇರ,"ಮಿನಿ ಉದ್ಯೋಗ ಮೇಳೆದಲ್ಲಿ ಬೆಂಗಳೂರಿನ ಅಪೋಲೋ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಖಾಲಿಯಿರುವ ಸ್ಟಾಫ್‍ನರ್ಸ್ ಹುದ್ದೆಗೆ ಪುರುಷ, ಮಹಿಳಾ ಅಭ್ಯರ್ಥಿಗಳನ್ನು ನೇರ ಸಂದರ್ಶನದ ಮೂಲಕ ಆಯ್ಕೆ ಮಾಡಿಕೊಳ್ಳಲಾಗುತ್ತದೆ.","ನಿಜ, ಸತ್ಯ, ಕಾಲ, ಸಮಯ",Live,Yes,a,2025-02-07 21:11:51
ನೇರ,ಬಿಜೆಪಿ ಹಾಗೂ ಕಾಂಗ್ರೆಸ್ ನಡುವಿನ ನೇರ ಹೋರಾಟದ ಈ ಕಣದಲ್ಲಿ ಜಾ.,"ನಿಜ, ಸತ್ಯ, ಕಾಲ, ಸಮಯ",Live,Yes,a,2025-02-07 21:11:51
ನೇರ,"ಜಿಲ್ಲಾಧಿಕಾರಿಯಾಗಿ ತುಮಕೂರು ಜಿಲ್ಲೆಯಲ್ಲಿ ಕರ್ತವ್ಯ ವಹಿಸಿಕೊಂಡ ನಂತರ ಚುನಾವಣಾ ಕರ್ತವ್ಯದ ಜೊತೆಯಲ್ಲಿ ಜಿಲ್ಲೆಯಲ್ಲಿ 174ಮಂದಿ ನೇರ ನೇಮಕಾತಿಯಡಿ ಹಾಗೂ 549 ಮಂದಿ ನೇರ ಪಾವತಿ, ಒಟ್ಟು 723 ಮಂದಿ ಪೌರ ನೌಕರರಿಗೆ ಆದೇಶ ನೀಡಲಾಗಿದೆ.","ನಿಜ, ಸತ್ಯ, ಕಾಲ, ಸಮಯ",Live,Yes,a,2025-02-07 21:11:51
ನೇರ,"ಕಾರ್ಯಕ್ರಮದ ಮುಖ್ಯ ಅತಿಥಿಗಳಾಗಿ ಆಗಮಿಸಿದ್ದ ಕೇಂದ್ರ ರಸಗೊಬ್ಬರ ಖಾತೆ ಸಚಿವ ಅನಂತ ಕುಮಾರ್ ಅವರು ಮಾತನಾಡಿ 7 ದಶಕಗಳಿಂದ ಗಾಂಧಿ ತತ್ವಗಳನ್ನು ಪಾಲನೆ ಮಾಡಿಕೊಂಡು ಅದರಂತೆ ಬದುಕುತ್ತಿರುವ ಚನ್ನಮ್ಮ ನಂತವರು ನಮಗೆ ಗಾಂಧಿಜಿಯ ನೇರ ಬಾತ್ಮೀದಾರರಿದ್ದಂತೆ, ಇವತ್ತಿನ ನೆಡೆದಾಡುವ ಗಾಂಧಿ ಅವರು, ಅವರಿಗೆ ಪ್ರಶಸ್ತಿಯನ್ನು ನೀಡಿ ಗೌರವಿಸುತ್ತಿರುವುದು ಕರ್ನಾಟಕ ಸರಕಾರದ ಗೌರವ ಹೆಚ್ಚಿಸಿದೆ ಎಂದು ಹೇಳಿದರು.","ನಿಜ, ಸತ್ಯ, ಕಾಲ, ಸಮಯ",Live,Yes,a,2025-02-07 21:11:51
ನೇರ,ಹೀಗಾಗಿ ನನ್ನಂಥವರ ಅನುಕೂಲಕ್ಕಾಗಿ ಸಮ್ಮೇಳನವನ್ನು ಯೂ-ಟ್ಯೂಬ್‌ನಲ್ಲಿ ನೇರ ಪ್ರಸಾರ ಗೊಳಿಸುವಂತೆ ಮನು ಬಳಿಗಾರ್ ಅವರಿಗೆ ಮೊಬೈಲ್ ಸಂದೇಶವನ್ನು ಕಳುಹಿಸಿದ್ದೆ.,"ನಿಜ, ಸತ್ಯ, ಕಾಲ, ಸಮಯ",Live,Yes,a,2025-02-07 21:11:51
ನೇರ,ಹುಮನಾಬಾದ್: ಬೀದರ್ ಜಿಲ್ಲೆಯಲ್ಲಿ ಕಾಂಗ್ರೆಸ್ ಪಕ್ಷ ಹೀನಾಯ ಸೋಲು ಅನುಭವಿಸುವುದಕ್ಕೆ ಸಂಸದ ಹಾಗೂ ಮಾಜಿ ಮುಖ್ಯಮಂತ್ರಿ ಧರ್ಮಸಿಂಗ್ ಹಾಗೂ ಜಿಲ್ಲಾ ಕಾಂಗ್ರೆಸ್ ಅಧ್ಯಕ್ಷ ಈಶ್ವರ ಖಂಡ್ರೆ ನೇರ ಹೊಣೆಗಾರರು ಎಂದು ಶಾಸಕ ರಾಜಶೇಖರ ಪಾಟೀಲ ಆರೋಪಿಸಿದರು.,"ನಿಜ, ಸತ್ಯ, ಕಾಲ, ಸಮಯ",Live,Yes,a,2025-02-07 21:11:51
ನೇರ,"ನೇರ ವ್ಯಾಪಾರವು ನಿರ್ಮಾಪಕರ ಪಾಕೆಟ್ಸ್ ಮತ್ತು ಸಮುದಾಯಗಳಿಗೆ ಹೆಚ್ಚು ಹಣವನ್ನು ಪೂರೈಕೆ ಸರಪಳಿಯಿಂದ ಮಧ್ಯವರ್ತಿಗಳನ್ನು ಕಡಿತಗೊಳಿಸಿ, ಮತ್ತು ನ್ಯಾಯೋಚಿತ ವ್ಯಾಪಾರ ಬೆಲೆಗಿಂತ ಹೆಚ್ಚಾಗಿ ಪಾವತಿಸುವ ಮೂಲಕ ಇರಿಸುತ್ತದೆ.","ನಿಜ, ಸತ್ಯ, ಕಾಲ, ಸಮಯ",Live,Yes,a,2025-02-07 21:11:51
