word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ನೇರ,"ವಿಜ್ಞಾನ ವಿಷಯಕ್ಕೆ ತಕ್ಕಂತೆ ನೇರ ಚಲನೆ, ವಕ್ರ ಚಲನೆ, ಗ್ರಹಣ ಸೇರಿದಂತೆ ವಿವಿಧ ವಿಷಯಗಳಿಗೆ ಸಂಬಂಧಿಸಿದಂತೆ ಪ್ರಯೋಗಗಳನ್ನು ಮಾಡಿಸಿದ್ದಾರೆ ಎನ್ನುತ್ತಾರೆ 5ನೇ ತರಗತಿ ವಿದ್ಯಾರ್ಥಿನಿ ಪವಿತ್ರಾ ಬೆಟಗೇರಿ.","ನೆಟ್ಟಗಿರುವಿಕೆ, ಡೊಂಕಿಲ್ಲದಿರುವಿಕೆ","Erect, not bent",Yes,a,2025-02-07 21:18:59
ನೇರ,ತಮ್ಮ ವ್ಯವಹಾರವನ್ನು ನೇರ ಮತ್ತು ಸರಾಸರಿ ಮತ್ತು ತೇಲುವಂತೆ ಇರಿಸಿಕೊಳ್ಳಲು ಅಗ್ಗದ ಮಾರ್ಗವನ್ನು ಹುಡುಕುತ್ತಾರೆ.,"ನೆಟ್ಟಗಿರುವಿಕೆ, ಡೊಂಕಿಲ್ಲದಿರುವಿಕೆ","Erect, not bent",Yes,a,2025-02-07 21:18:59
ನೇರ,"in) : ಉತ್ತಮ ನಡೆ ನುಡಿಯ ನೇರ ವ್ಯಕ್ತಿತ್ವವನ್ನು ಹೊಂದಿರುವ ಒಬ್ಬ ನಿಷ್ಟಾವಂತ ನ್ಯಾಯಾವಾದಿಯಾಗಿ ಕಳೆದ ಹಲವಾರು ವರ್ಷದಿಂದ ಪುತ್ತೂರು ವರ್ತಕ ಸಂಘದಲ್ಲಿ ಕಾನೂನು ಸಲಹೆಗಾರರಾಗಿ, ಹಲವು ಸಂಘ ಸಂಸ್ಥೆಗಳಲ್ಲಿ ಹಲವಾರು ಹುದ್ದೆಗಳನ್ನು ಅಲಂಕರಿಸಿ ಸಕ್ರೀಯ ಜನಸೆವಕರಾಗಿ ಇದೀಗ ರಾಜ್ಯ ಕಾನೂನು ಮತ್ತು ಮಾನವ ಹಕ್ಕುಗಳ ವಿಬಾಗದ ರಾಜ್ಯ ಸಂಘಟನಾ ಕಾರ್ಯದರ್ಶಿಯಾಗಿ ನೆಮಕಗೊಂಡ ಫ಼ಜ಼ಲ್ ರಹೀಮ್ ರವರಿಗೆ ವಾಣಿಜ್ಯ ಮತ್ತು ಕೈಗಾರಿಕಾ ಸಂಘದ ವತಿಯಿಂದ ಅವರ ಕಚೇರಿಯಲ್ಲಿ ಸನ್ಮಾನಿಸಲಾಯಿತು.","ನೆಟ್ಟಗಿರುವಿಕೆ, ಡೊಂಕಿಲ್ಲದಿರುವಿಕೆ","Erect, not bent",Yes,a,2025-02-07 21:18:59
ನೇರ,ಕುದುಮುಸರಿಗೆ ಯಾವುದೇ ನೇರ ರಸ್ತೆ ಸಂಪರ್ಕವಿಲ್ಲ.,"ನೆಟ್ಟಗಿರುವಿಕೆ, ಡೊಂಕಿಲ್ಲದಿರುವಿಕೆ","Erect, not bent",Yes,a,2025-02-07 21:18:59
ನೇರ,"ವಿಜಯಪುರದಿಂದ ಮುಂಬಯಿಗೆ ದಿನನಿತ್ಯ ಸಾವಿರಾರು ಸಂಖ್ಯೆಯಲ್ಲಿ ಪ್ರಯಾಣಿಕರು ಪ್ರಯಾಣ ಬೆಳೆಸುತ್ತಾರೆ, ವ್ಯಾಪಾರೋದ್ಯಮಿಗಳು ಸಹ ದಿನನಿತ್ಯ ತಮ್ಮ ವ್ಯಾಪಾರ-ವಹಿವಾಟು ಉದ್ದೇಶದಿಂದ ಮುಂಬಯಿಗೆ ತೆರಳುತ್ತಾರೆ, ಹಿಂದೆ ಮುಂಬಯಿಗೆ ನೇರ ರೈಲು ಸಂಪರ್ಕವಿಲ್ಲದೇ ಪ್ರಯಾಣಿಕರು ಪರದಾಡುವಂತಹ ಪರಿಸ್ಥಿತಿ ನಿರ್ಮಾಣವಾಗಿತ್ತು, ಸೊಲ್ಲಾಪೂರಕ್ಕೆ ತೆರಳಿ ಅಲ್ಲಿಂದ ಮುಂಬಯಿ ಟ್ರೇನ್‌ ಹಿಡಿಯುವ ಅನಿವಾರ್ಯತೆ ಇತ್ತು.","ನೆಟ್ಟಗಿರುವಿಕೆ, ಡೊಂಕಿಲ್ಲದಿರುವಿಕೆ","Erect, not bent",Yes,a,2025-02-07 21:18:59
ನೇರ,ಹಾಗಾಗಿ ಸೂರ್ಯನ ನೇರ ಬೆಳಕಿನಿಂದ ದೂರವಿಡುವುದು ಉತ್ತಮ.,"ನೆಟ್ಟಗಿರುವಿಕೆ, ಡೊಂಕಿಲ್ಲದಿರುವಿಕೆ","Erect, not bent",Yes,a,2025-02-07 21:18:59
ನೇರ,"ಕೇಸ್ ರೂಪದಲ್ಲಿ ನೇರ ಶೈಲಿಗಳಂತೆ ಉತ್ತಮವಾಗಿ ನೋಡಿ, ಮತ್ತು ಭುಗಿಲೆದ್ದಿತು.","ನೆಟ್ಟಗಿರುವಿಕೆ, ಡೊಂಕಿಲ್ಲದಿರುವಿಕೆ","Erect, not bent",Yes,a,2025-02-07 21:18:59
ನೇರ,ನೇರ ಸಂಚಾರ ಸ್ಥಗಿತ: ಪ್ರಯಾಣಿಕರ ಪರದಾಟ,"ನೆಟ್ಟಗಿರುವಿಕೆ, ಡೊಂಕಿಲ್ಲದಿರುವಿಕೆ","Erect, not bent",Yes,a,2025-02-07 21:18:59
ನೇರ,"ಈ ಸಂದರ್ಭದಲ್ಲಿ, ಹಲವಾರು ಗಂಟೆಗಳು ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ, ಚಂದ್ರನ ಮೇಲ್ಮೈಗೆ ತಲುಪಲು ಭೂಮಿಯು ನೇರ ಸೂರ್ಯನ ಬೆಳಕನ್ನು ನಿರ್ಬಂಧಿಸುತ್ತದೆ, ಆದರೂ ಚಂದ್ರನನ್ನು ಇನ್ನೂ ಮಸುಕಾದ ಪ್ರತಿಬಿಂಬದ ಬೆಳಕಿನಲ್ಲಿ ಕಾಣಬಹುದು.","ನೆಟ್ಟಗಿರುವಿಕೆ, ಡೊಂಕಿಲ್ಲದಿರುವಿಕೆ","Erect, not bent",Yes,a,2025-02-07 21:18:59
ನೇರ,ಹಿಂದಿನ ಉದ್ವಿಗ್ನದಲ್ಲಿ ನೇರ ವಸ್ತು ಸರ್ವನಾಮಗಳನ್ನು ಬಳಸುವುದಕ್ಕೆ ನಾಲ್ಕು ಚಲಿಸುವ ಭಾಗಗಳು ಇವೆ.,"ನೆಟ್ಟಗಿರುವಿಕೆ, ಡೊಂಕಿಲ್ಲದಿರುವಿಕೆ","Erect, not bent",Yes,a,2025-02-07 21:18:59
ನೇರ,"ಸಹಜವಾಗಿ, ಡೆನಿಮ್ ಸ್ಕರ್ಟ್ ಅನ್ನು ಹೊಲಿಯಲು ಸಾಕಷ್ಟು ಆಯ್ಕೆಗಳಿವೆ - ಡೆನಿಮ್ ಮತ್ತು ಚಿಫನ್ ಅಥವಾ ಸ್ಯಾಟಿನ್ಗಳನ್ನು ಸಂಯೋಜಿಸುವ ಸರಳ ನೇರ ಕಟ್ನಿಂದ ಮಾದರಿಗಳು.","ನೆಟ್ಟಗಿರುವಿಕೆ, ಡೊಂಕಿಲ್ಲದಿರುವಿಕೆ","Erect, not bent",Yes,a,2025-02-07 21:18:59
