word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಪೂರ್ವ,"ಸೋಮವಾರ ಜಿಲ್ಲಾಧಿಕಾರಿ ಕಚೇರಿಯಲ್ಲಿ ಮುಂಗಾರು ಮಳೆ ಕುರಿತು ಪೂರ್ವ ಸಿದ್ಧತೆಗಳ ಪರಿಶೀಲನೆ ಸಭೆಯ ಅಧ್ಯಕ್ಷತೆ ವಹಿಸಿ ಮಾತನಾಡಿದ ಅವರು, ಮರಳುಗಾರಿಕೆ ನಿಷೇಧ ಹಿನ್ನೆಲೆಯಲ್ಲಿ ಅಗತ್ಯವಿರುವ ಮರಳನ್ನು ಸಂಗ್ರಹಿಸಿಟ್ಟುಕೊಳ್ಳಬೇಕು.",ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,ಇದು ಪೂರ್ವ ಯೋಜಿತ ಕೃತ್ಯ.,ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,ಪ್ರೌಢ ಶಿಕ್ಷಣ ಪರೀಕ್ಷಾ ಮಂಡಳಿ ಪೂರ್ವ ಸಿದ್ಧತಾ ಪರೀಕ್ಷೆ ನಡೆಸುವುದಾಗಿ ಹೇಳುತ್ತಿದೆ.,ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,"ವೈದ್ಯರ ಕನಿಷ್ಠ ಇಲ್ಲ ಕಾರನ್ನು ಚಲಾಯಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತದೆ ಚಾಲಕ ಪೂರ್ವ ಟ್ರಿಪ್ ವೈದ್ಯಕೀಯ ಪರೀಕ್ಷೆ ಸಮಯದಲ್ಲಿ ಅನುಮಾನಗಳನ್ನು ವೇಳೆ, ಇದು ಕರ್ತವ್ಯದಿಂದ ಅಮಾನತುಗೊಳಿಸಲಾಗಿದೆ.",ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,"ನಿಮ್ಮ ಮಣಿಕಟ್ಟಿನ ಮೇಲೆ cleanser ಮೂಲಕ ಅರ್ಜಿ ಮತ್ತು ಅರ್ಧ ಗಂಟೆ ನಿರೀಕ್ಷಿಸಿ: ಆದ್ದರಿಂದ, ಇದು ಪೂರ್ವ ಪರೀಕ್ಷೆ ನಡೆಸಲು ಅಗತ್ಯ.",ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,ಇನ್ನೂ ವಿದ್ಯಾವಂತ ಯುವತಿ ವಿವಾಹ ಪೂರ್ವ ಲೈಂಗಿಕತೆ ವಿಷಯದಲ್ಲಿ ಜವಾಬ್ದಾರಿ ವಹಿಸಬೇಕು.,ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,"ಪೂರ್ವ ಸಿದ್ಧತೆ ಸರಿಯಾಗಿದ್ದು, ದಿನಾಂಕವನ್ನು ಪ್ರಕಟಿಸಲಾಗಿದೆ ಎಂದು ಫೀಫಾ ಅಂಡರ್ 17 ವಿಶ್ವಕಪ್ ಇವೆಂಟ್ ಮ್ಯಾನೇಜರ್ ಎಂಎಸ್ ಮಾರಿಯಾನ್ ಹೇಳಿದ್ದಾರೆ.",ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,ಇದಕ್ಕೆ ಪೂರ್ವ ಸಿದ್ಧತೆ ಮಾಡಿಕೊಳ್ಳಲಾಗುತ್ತಿದೆ.,ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,"ಈ ವಾದವನ್ನು ಒಪ್ಪಿದರೆ, ವಸಾಹತು ಪೂರ್ವ ಯುಗದಲ್ಲಿ, ಇಂತಹ ವಿಸ್ಮೃತಿ ಇರಲಿಲ್ಲ; ಮತ್ತು ಆ ಯುಗದಲ್ಲಿ ಅವೈದಿಕ ಚಿಂತನೆಗೂ ಪ್ರಮುಖ ಸ್ಥಾನವಿತ್ತು ಎಂದು ಒಪ್ಪಬೇಕಾಗುತ್ತದೆ.",ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,"ಬೆಂಗಳೂರು ಪೂರ್ವ ತಾಲ್ಲೂಕು ಸೀಗೇಹಳ್ಳಿ ಗ್ರಾಮ ಪಂಚಾಯಿತಿ ಅಧ್ಯಕ್ಷ, 2007ರಿಂದ 2012ರವರೆಗೆ ಕೆಪಿಸಿಸಿ ರಾಜ್ಯ ಸಂಚಾಲಕರಾಗಿ ಸೇವೆ ಸಲ್ಲಿಸಿದ್ದಾರೆ.",ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,"ಸತ್ಯನಾರಾಯಣರಾವ್ ಅವರು ಹಿಂದೆ ಪೂರ್ವ ವಲಯದ ಐಜಿಪಿಯಾಗಿದ್ದಾಗ, ಅವರ ಅಧೀನದಲ್ಲಿ ರೂಪಾ ಹೆಚ್ಚುವರಿ ಪೊಲೀಸ್ ವರಿಷ್ಠಾಧಿಕಾರಿಯಾಗಿ ಕೆಲಸ ಮಾಡಿದ್ದರು.",ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,7: ಕೆಲವೇ ದಿನಗಳಲ್ಲಿ ಘೋಷಣೆಯಾಗುವ ಸಾರ್ವತ್ರಿಕ ಲೋಕಸಭಾ ಚುನಾವಣೆಗೆ ಸಂಬಂಧಿಸಿದಂತೆ ಉಡುಪಿ ಜಿಲ್ಲೆಯಲ್ಲಿ ಎಲ್ಲಾ ಪೂರ್ವ ಸಿದ್ಧತೆಗಳನ್ನು ಮಾಡಲಾಗಿದೆ ಎಂದು ಉಡುಪಿ ಜಿಲ್ಲಾಧಿಕಾರಿ ಹೆಪ್ಸಿಬಾ ರಾಣಿ ಕೊರ್ಲಪಾಟಿ ತಿಳಿಸಿದ್ದಾರೆ.,ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,ಪೂರ್ವ ಸಿದ್ಧತಾ ಪರಿಕ್ಷೆಯಲ್ಲಿಯೇ ಈ ಪರಿಸ್ಥಿತಿಯಾದರೇ ಅಂತಿಮ ಪರೀಕ್ಷೆಯಲ್ಲಿ ಏನಾಗಬಹುದು ಎಂಬ ಆತಂಕ ಪೋಷಕರನ್ನು ಇದೀಗ ಕಾಡಲು ಆರಂಭಿಸಿದೆ.,ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,"ಕ್ಷಣದಲ್ಲಿ, ಕಾರಣ ಉಕ್ರೇನ್ ಪೂರ್ವ ಅಮಾನತುಗೊಳಿಸಲಾಗಿದೆ ರಲ್ಲಿ ಕರಿಕು ಕಲ್ಲಿದ್ದಲಿನ ರಾಜಕೀಯ ಅಸ್ಥಿರತೆಯ.",ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,"ಅಲ್ಲದೇ, ಈ ಒಪ್ಪಂದಕ್ಕೆ ರಕ್ಷಣಾ ಸಂಪುಟ ಸಮಿತಿಯ ಪೂರ್ವ ಅನುಮೋದನೆಯನ್ನು ಪಡೆದುಕೊಂಡಿರಲಿಲ್ಲ.",ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,"ಅವಧಿ ಪೂರ್ವ ವರ್ಗಾವಣೆ ಪ್ರಶ್ನಿಸಿ ರೋಹಿಣಿ, ಮೊದಲು ಸಿಎಟಿ, ಬಳಿಕ ಹೈಕೋರ್ಟ್ ಮೆಟ್ಟಿಲೇರಿ ಎರಡು ಸುತ್ತಿನ ಹೋರಾಟ ನಡೆಸಿದ್ದರು.",ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,ಪೂರ್ವ ಯುರೋಪ್ ಅಭಿವೃದ್ಧಿಗೆ ಬಲವಾಗಿ ಬೆಳಕಿನ ಭೌಗೋಳಿಕ ಸ್ಥಾನವನ್ನು ಪ್ರಭಾವಿತಗೊಂಡಿದೆ.,ಹಿಂದೆ,Before,No,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,"ಡಿಸೆಂಬರ್ 5 ರಂದು ಜರ್ಮನಿ ಮತ್ತು ಬವೇರಿಯಾದ ಕೆಲವು ಪ್ರದೇಶಗಳು ಕ್ರಾಂಪ್ಸ್ನಾಚ್ಟ್ನ್ನು ಆಚರಿಸುತ್ತಾರೆ, ಇದು ಕ್ರಿಶ್ಚಿಯನ್ ಪೂರ್ವ ಸಂಪ್ರದಾಯಕ್ಕೆ ಥ್ರೋಬ್ಯಾಕ್ ಆಗಿರುತ್ತದೆ.",ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,"ಪಟ್ಟದ ಚಾವಡಿಯಲ್ಲಿ ನಡೆಯುತ್ತಿರುವ ನೇಮ ನಡಾವಳಿಗಳು ಪ್ರಕೃತ ಯಥೋಚಿತವಾಗಿ ನಡೆಯುತ್ತಿದ್ದು, ಪೂರ್ವ ಸಂಪ್ರದಾಯದಂತೆ ಮೂರು ಮುಡಿ ಗದ್ದೆಗೆ ದೀಪೋತ್ಸವ, ಅರಿಯಡ್ಕ ಬೀಡಿನಿಂದ ಎರುಮಾನಿ ವಿಜೃಂಭಣೆಯಿಂದ ಬರುವುದು, ಎಳೆಯುವ ಬಂಡಿಯಲ್ಲಿ ಗದ್ದೆಗೆ ಪೂಕರೆ ಹಾಕುವುದು, ನೇಮ ನಡಾವಳಿ, ಕೆದಂಬಾಡಿ ಗ್ರಾಮ ಜಾತ್ರೆಯು ಊರ ಪರವೂರವರ ಭಾಗವಹಿಸುವಿಕೆಯಿಂದ ನಡೆಯುತ್ತಿದೆ.",ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,"ಹುಡುಗಿಯರಿಗೆ ಮಕ್ಕಳ ಕೊಠಡಿಗಳನ್ನು ಆವರಣ ಆಯ್ಕೆ ಮಾಡುವಾಗ, ಪೋಷಕರು ಖಾತೆಗೆ ನೈಸರ್ಗಿಕ predilections ಸ್ವಲ್ಪ ರಾಜಕುಮಾರಿಯರು ತೆಗೆದುಕೊಳ್ಳಬೇಕು - ಅವರು ಬಹಳ ಪೂರ್ವ ವಯಸ್ಸಿನ ಒಂದು, ಪ್ರಣಯ ಸೊಗಸಾದ ಮತ್ತು ಅಸಾಧಾರಣ ವಿಷಯಗಳನ್ನು ಬಯಸುತ್ತಾರೆ.",ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,ಆದರೂ ರೈಲ್ವೆ ತನ್ನ ಪೂರ್ವ ತಯಾರಿಯನ್ನು ಪತ್ರಿಕೆಗಳಿಗೆ ತಿಳಿಸುತ್ತದೆ.,ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,"ಇತ್ತೀಚಿನ ಕೈಸರ್ ಫ್ಯಾಮಿಲಿ ಫೌಂಡೇಷನ್ ಡೇಟಾವು ಅಮೆರಿಕದಲ್ಲಿ 27 ವರ್ಷ ವಯಸ್ಕರ ವಯಸ್ಕರ ವಯಸ್ಕರಲ್ಲಿ ಪೂರ್ವ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವ ಪರಿಸ್ಥಿತಿಗಳನ್ನು ಹೊಂದಿದ್ದು ಅದು ವೈಯಕ್ತಿಕ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಅಸಮರ್ಪಕವಾಗಬಹುದು ಎಂದು ನಾವು ಸೂಚಿಸುತ್ತೇವೆ, ನಾವು ವೈದ್ಯಕೀಯ ಅಂಡರ್ರೈಟಿಂಗ್ ಮಾನದಂಡಗಳಿಗೆ ಹಿಂತಿರುಗಿದರೆ ಅದು 2014 ಕ್ಕೂ ಮುಂಚೆಯೇ ಪ್ರತಿಯೊಂದು ರಾಜ್ಯದಲ್ಲಿದೆ.",ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,"ಹೇಗೆ ತಂಪಾದ, ಆದರೆ ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ಈ ಅಸಂಗತ ಕಾರಣ ಮಾತ್ರ ಪೂರ್ವ ನಿರ್ಮಿತ ಪ್ರಯೋಗಾಲಯದ ಅಧ್ಯಯನಗಳ ಆಧಾರದ ಮೇಲೆ ಜ್ಞಾನವನ್ನು ತಜ್ಞ ಮಾಡಬಹುದು.",ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,ಪೂರ್ವ ಮಹಾಭಾರತ ಕಾಲದಲ್ಲಿ ಪಾಂಡವರು ಅರಣ್ಯವಾಸ ಮಾಡುವ ಸಮಯದಲ್ಲಿಇಲ್ಲಿ ಕೆಲವು ದಿನಗಳು ಕಳೆದ್ದಿದ್ದರಂತೆ ಎಂದು ಮಲ್ಲರೆಡ್ಡಿ ಪ್ರದೇಶವುಗುರುತಿಸಿಕೊಂಡಿದೆ.,ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
ಪೂರ್ವ,"ಆದ್ದರಿಂದ ಅವುಗಳನ್ನು ನಿರೀಕ್ಷಣಾ ಚಿಂತನೆ, ಹಾಗೂ ಪೂರ್ವ ಸಂಶೋಧನೆ ಯೋಜನೆಗೆ.",ಹಿಂದೆ,Before,Yes,Darshan R K,2025-02-08 09:54:17
