word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಬಂಡವಾಳ,ಇದನ್ನೇ ಬಂಡವಾಳ ಮಾಡಿಕೊಂಡಿರುವ ಇಂತಹ ಕೆಲವೊಂದು ಕೋಮುವಾದಿ ನಾಯಕರುಗಳು ಒಬ್ಬರಿಗಿಂತ ಒಬ್ಬರು ಮುಸ್ಲಿಂ ಸಮುದಾಯದ ವಿರುದ್ಧ ವಿವಾದಾತ್ಮಕ ಹೇಳಿಕೆಗಳನ್ನು ನೀಡಿ ರಾಜಕೀಯ ಲಾಭವನ್ನು ಪಡೆಯಲು ಎಲ್ಲಾ ರೀತಿಯ ಪ್ರಯತ್ನಗಳನ್ನು ಮಾಡುತ್ತಿದ್ದಾರೆ.,"ಸತ್ವ, ತಿರುಳು","Essence, core",Yes,Darshan R K,2025-02-08 14:54:56
ಬಂಡವಾಳ,ಬಂಡವಾಳ ಮೀಸಲು (ಅನಿಶ್ಚಯತೆ ಫಾರ್ ಉದ್ಯಮದ ಲಾಭ ಶಾಶ್ವತ ತೀರ್ಮಾನಗಳನ್ನು ಪರಿಣಾಮವಾಗಿ ರಚಿಸಿದರು).,"ಸತ್ವ, ತಿರುಳು","Essence, core",Yes,Darshan R K,2025-02-08 14:54:56
ಬಂಡವಾಳ,"ಸಂತ್ರಸ್ತ ಮಹಿಳೆ ಪತಿ ಅನಾರೋಗ್ಯ ಪೀಡಿತರಾಗಿದ್ದು, ಇದನ್ನೇ ಬಂಡವಾಳ ಮಾಡಿಕೊಂಡಿದ್ದಾರೆ.","ಸತ್ವ, ತಿರುಳು","Essence, core",Yes,Darshan R K,2025-02-08 14:54:56
ಬಂಡವಾಳ,"ರಮೇಶ್ ಮಧುಗಿರಿ ಬಂಡವಾಳ ಹಾಕಿರುವ ಈ ಚಿತ್ರದಲ್ಲಿ ನಾಯಕರಾಗಿ ವಸಂತ್ ಕಲ್ಯಾಣ ಕಾಣಿಸಿಕೊಂಡ್ರೆ, ವಸಂತ್‌ ಗೆ ಜೋಡಿಯಾಗಿ ಅರ್ಪಿತ ಗೌಡ ಸ್ಕ್ರೀನ್ ಶೇರ್ ಮಾಡಿದ್ದಾರೆ.","ಸತ್ವ, ತಿರುಳು","Essence, core",No,Darshan R K,2025-02-08 14:54:57
ಬಂಡವಾಳ,"ಇವರು ತಮ್ಮ ಬಂಡವಾಳ ಬಯಲಿಗೆ ಬರಬಾರದು ಎಂಬ ನಿಟ್ಟಿನಲ್ಲಿ ಮುಸ್ಲಿಮರು, ಕ್ರೈಸ್ತರು ಹಿಂದೂಗಳ ಶತ್ರುಗಳು ಎಂಬಂತೆ ಬಿಂಬಿಸಲು ಹೊರಟಿದ್ದಾರೆ ಎಂದು ನುಡಿದರು.","ಸತ್ವ, ತಿರುಳು","Essence, core",Yes,Darshan R K,2025-02-08 14:54:57
ಬಂಡವಾಳ,ಇನ್ನು ಬಂಡವಾಳ ಬಯಲಾಗುತ್ತದೆ ಎಂದುಕೊಂಡರು ರಾಜೀವ್.,"ಸತ್ವ, ತಿರುಳು","Essence, core",Yes,Darshan R K,2025-02-08 14:54:57
ಬಂಡವಾಳ,ಅನಗತ್ಯ ಬಂಡವಾಳ ಹೂಡಬೇಕಿಲ್ಲ.,"ಸತ್ವ, ತಿರುಳು","Essence, core",Yes,Darshan R K,2025-02-08 14:54:57
ಬಂಡವಾಳ,ರಾಜೇಶ್‌ ಭಾಟಿಯ ಮತ್ತು ಕಿರಣ್ ಭಾಟಿಯ ಬಂಡವಾಳ ಹೂಡುತ್ತಿರುವ ಈ ಚಿತ್ರಕ್ಕೆ ನವಾಜುದ್ದೀನ್‌ ಸಹೋದರ ಶಮಾಸ್‌ ಸಿದ್ದಿಕಿ ಆ್ಯಕ್ಷನ್ ಕಟ್‌ ಹೇಳಲಿದ್ದಾರೆ.,"ಸತ್ವ, ತಿರುಳು","Essence, core",Yes,Darshan R K,2025-02-08 14:54:57
ಬಂಡವಾಳ,"ಅದರ ಮೂಲ ಬಂಡವಾಳ ಭಕ್ತಿ, ಜ್ಞಾನ, ಕರ್ಮ, ವೈಚಾರಿಕತೆ, ಶರಣರು ತಮ್ಮ ಸಾಧನೆಯಿಂದ ಅನುಭಾವ, ಭಕ್ತಿ, ಜ್ಞಾನ, ವಿಚಾರ ಮುಂತಾದ ಮೌಲ್ಯಗಳನ್ನು ಗಳಿಸಿ ಅನುಭವ ಮಂಟಪದಲ್ಲಿ ಒಟ್ಟು ಕೂಡಿಸುತ್ತಿದ್ದರು; ಅಲ್ಲಿಂದ ಆ ಮೌಲ್ಯಗಳನ್ನು ವಚನಗಳ ರೂಪದಲ್ಲಿ ರಾಷ್ಟ್ರದ ತುಂಬ ಪ್ರಸಾರಗೊಳಿಸುತ್ತಿದ್ದರು.","ಸತ್ವ, ತಿರುಳು","Essence, core",Yes,Darshan R K,2025-02-08 14:54:57
ಬಂಡವಾಳ,"ಒಂದು ಮಹಾನ್ ಸಾಮರ್ಥ್ಯವನ್ನು ಮಾರಾಟ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಅಗ್ಗದ ದುಡಿಮೆಯ ಲಭ್ಯತೆ ಸಂಯೋಜಿಸಲ್ಪಟ್ಟ ಮತ್ತು ಕಚ್ಚಾ ವಸ್ತುಗಳ ಮೂಲ, ಜಪಾನೀಸ್ ಬಂಡವಾಳ ಹೂಡಿಕೆ ಮಾಡುವ ಭರವಸೆಯ ವಸ್ತು ಆಗ್ನೇಯ ಏಷ್ಯಾದ ದೇಶಗಳಲ್ಲಿ ಎಂದು.","ಸತ್ವ, ತಿರುಳು","Essence, core",Yes,Darshan R K,2025-02-08 14:54:57
