word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಬದಿ,ಹಬ್ಬಕ್ಕೆ ಒಂದು ತಿಂಗಳು ಇರುವಂತೆಯೇ ಗಣೇಶ ಮೂರ್ತಿಗಳನ್ನು ರಸ್ತೆ ಬದಿ ಯಲ್ಲಿ ತಾತ್ಕಾಲಿಕ ಶೆಡ್‌ ಹಾಕಿ ಮಾರಾಟಕ್ಕೆ ಸಜ್ಜುಗೊಳಿ ಸುವುದು ವಾಡಿಕೆ.,"ಪಕ್ಕ, ಮಗ್ಗಲು",Beside,Yes,a,2025-02-07 14:36:04
ಬದಿ,"ಅಸ್ಸಾಂ ರಾಜ್ಯದ ಗುವಾಹಟಿಯಲ್ಲಿ ಬೆಳೆದು ಆಂಧ್ರದ ನೆಲ್ಲೂರಿನಲ್ಲಿ ಬಳುಕಿ, ಬಾಗಿ, ಸುಂದರ ರೂಪ ಪಡೆದ ಬೆತ್ತಗಳು ತುಳುನಾಡಿನ ರಸ್ತೆ ಬದಿ ಪ್ರಪ್ರಥಮವಾಗಿ ಕುರ್ಚಿಯ ರೂಪದಲ್ಲಿ ಸಾರ್ವಜನಿಕರನ್ನು ತನ್ನತ್ತ ಸೆಳೆಯುತ್ತಿವೆ.","ಪಕ್ಕ, ಮಗ್ಗಲು",Beside,Yes,a,2025-02-07 14:36:04
ಬದಿ,20ರಂದು ಬೆಟ್ಟದ ಮೇಲೆ ನಿರ್ಮಿಸಿರುವ ಮಲ್ಟಿಲೆವೆಲ್ ಪಾರ್ಕಿಂಗ್ ಕಟ್ಟಡ ಉದ್ಘಾಟನೆ ಹಾಗೂ ವಾಣಿಜ್ಯ ಸಂಕಿರ್ಣಕ್ಕೆ ಬೀದಿ ಬದಿ ವ್ಯಾಪಾರಿ ಗಳನ್ನು ಸ್ಥಳಾಂತರ ಮಾಡಲು ಕ್ರಮ ಕೈ ಗೊಳ್ಳಲಾಗಿದೆ ಎಂದು ಮೈಸೂರು ಜಿಲ್ಲಾ ಉಸ್ತು ವಾರಿ ಸಚಿವ ವಿ.,"ಪಕ್ಕ, ಮಗ್ಗಲು",Beside,Yes,a,2025-02-07 14:36:04
ಬದಿ,"ಕಚೇರಿ ಬಳಿ, ಹೊರಪೇಟೆ ಮೊದಲಾದ ಸ್ಥಳಗಳಿಗೆ ಅನಿರೀಕ್ಷಿತ ಭೇಟಿ ನೀಡಿ, ರಸ್ತೆ ಬದಿ ಬೆಳಗಿನ ಉಪಹಾರ ಮಾರಾಟ ಮಾಡುತ್ತಿದ್ದವರನ್ನು ಪರಿಶೀಲನೆ ನಡೆಸಿದ್ದಾರೆ.","ಪಕ್ಕ, ಮಗ್ಗಲು",Beside,Yes,a,2025-02-07 14:36:04
ಬದಿ,ಪುತ್ತೂರು:ಬಲ್ನಾಡು ಗ್ರಾಮದ ಮುದಲಾಜೆ ಎಂಬಲ್ಲಿ ರಸ್ತೆ ಬದಿ ನಡೆದುಕೊಂಡು ಹೋಗುತ್ತಿದ್ದ ವಿವಾಹಿತ ಮಹಿಳೆಯ ಮಾನಭಂಗಕ್ಕೆ ಯತ್ನಿಸಿರುವ ಆರೋಪಿಯನ್ನು ನ್ಯಾಯಾಲಯ ಜಾಮೀನಿನ ಮೇಲೆ ಬಿಡುಗಡೆಗೊಳಿಸಿದೆ.,"ಪಕ್ಕ, ಮಗ್ಗಲು",Beside,Yes,a,2025-02-07 14:36:04
ಬದಿ,"ಮಂಗಳೂರು : ನಗರದ ಬೀದಿ ಬದಿ ವ್ಯಾಪಾರಸ್ಥರಿಗೆ ಪ್ರಥಮ ಹಂತವಾಗಿ ಮಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆ ವತಿಯಿಂದ 208 ಮಂದಿಗೆ ಗುರುತಿನ ಚೀಟಿಯನ್ನು ವಿತರಿಸಲಾಗಿದ್ದು, ಈ ಸಂಬಂಧ ಮಂಗಳವಾರ ಸಿಐಟಿಯು ಬೆಂಬಲಿತ ಬೀದಿಬದಿ ವ್ಯಾಪಾರಸ್ಥರ ಸಂಘದಿಂದ ಸಂಭ್ರಮಾಚರಿಸಲಾಯಿತು.","ಪಕ್ಕ, ಮಗ್ಗಲು",Beside,Yes,a,2025-02-07 14:36:04
ಬದಿ,ರಸ್ತೆ ಬದಿ ಮಾರಾಟಗಾರರ ಮೇಲೂ ನಿಗಾವಹಿಸಲಾಗಿದೆ.,"ಪಕ್ಕ, ಮಗ್ಗಲು",Beside,Yes,a,2025-02-07 14:36:04
ಬದಿ,ಇತ್ತೀಚೆಗೆ ಲಾಲ್‌ಭಾಗ್‌ ಸಮೀಪ ಕೆಎಸ್ಸಾರ್ಟಿಸಿ ಕಡೆಗೆ ಹೋಗುವ ಬಲ ಭಾಗದ ರಸ್ತೆ ಬದಿ ಕೂಡ ಇದೇ ರೀತಿ ಫ‌ುಟ್‌ಪಾತ್‌ ನಿರ್ಮಿಸಲಾಗಿದೆ.,"ಪಕ್ಕ, ಮಗ್ಗಲು",Beside,Yes,a,2025-02-07 14:36:04
ಬದಿ,ರಸ್ತೆ ಬದಿ ಅಂದರ್- ಬಾಹರ್ ಆಡುತ್ತಿದ್ದ ಖಚಿತ ಮಾಹಿತಿ ಮೇರೆಗೆ ಸಿಇಎನ್ ಪಿಐ ಮಹದೇವ ಶೆಟ್ಟಿ ನೇತೃತ್ವದ ತಂಡ ದಾಳಿ ನಡೆಸಿ ಜೂಜುಕೋರರನ್ನು ಬಂಧಿಸಿ ಹನೂರು ಪೊಲೀಸರ ವಶಕ್ಕೆ ನೀಡಿದ್ದಾರೆ.,"ಪಕ್ಕ, ಮಗ್ಗಲು",Beside,Yes,a,2025-02-07 14:36:04
ಬದಿ,"ವೃತ್ತ, ಪೇಟೆ ಬೀದಿಯ ಇಕ್ಕೆಲ ಸೇರಿದಂತೆ ಮೈಸೂರು ಬೆಂಗಳೂರು ಹೆದ್ದಾರಿ ಬದಿ ಯಲ್ಲಿ ರೈತರು ಎಂದಿನ ಉತ್ಸಾಹದಲ್ಲಿ ತಮ್ಮ ಜಾನುವಾರುಗಳನ್ನು ಕಟ್ಟಿದ್ದಾರೆ.","ಪಕ್ಕ, ಮಗ್ಗಲು",Beside,Yes,a,2025-02-07 14:36:04
ಬದಿ,ರಸ್ತೆ ಬದಿ ವ್ಯಾಪಾರಿಗಳಿಗೂ ಇದರ ಬಿಸಿ ತಟ್ಟಿದೆ.,"ಪಕ್ಕ, ಮಗ್ಗಲು",Beside,Yes,a,2025-02-07 14:36:04
ಬದಿ,"ಸಲ್ಲಿಸಬೇಕಾದ ದಾಖಲೆಗಳು:-ಬೀದಿ ಬದಿ ವ್ಯಾಪಾರಿ ಗುರುತಿನ ಚೀಟಿ, ಪಂಚಾಯತ್ ಅಭಿವೃಧ್ಧಿ ಅಧಿಕಾರಿಗಳ ದೃಢೀಕರಣ, ಆಧಾರ್ ಕಾರ್ಡ್, ಬಿಪಿಎಲ್ ಕಾರ್ಡ್, ಚುನಾವಣಾ ಗುರುತಿನ ಚೀಟಿ, ಬ್ಯಾಂಕ್ ಪಾಸ್‍ಪುಸ್ತಕದ ಪ್ರತಿ, ಚಟುವಟಿಕೆ ಮಾಡುತ್ತಿರುವ ಪೋಟೋ, 2 ಪಾಸ್‍ಪೋರ್ಟ್ ಅಳತೆಯ ಭಾವಚಿತ್ರ.","ಪಕ್ಕ, ಮಗ್ಗಲು",Beside,Yes,a,2025-02-07 14:36:04
ಬದಿ,"ಹೀಗಾಗಿ ಜನ ರಸ್ತೆ ಬದಿ ಗೋಡೆ, ಬಯಲಲ್ಲೇ ಮೂತ್ರ ವಿಸರ್ಜಿಸುವಂತಾಗಿದೆ.","ಪಕ್ಕ, ಮಗ್ಗಲು",Beside,Yes,a,2025-02-07 14:36:04
ಬದಿ,ಹೆದ್ದಾರಿ ಬದಿ ಮದ್ಯದಂಗಡಿ ನಿಷೇಧ ವಿಫಲ: ಶೇ 70ರಷ್ಟು ವಹಿವಾಟು ಅಬಾಧಿತ,"ಪಕ್ಕ, ಮಗ್ಗಲು",Beside,Yes,a,2025-02-07 14:36:04
ಬದಿ,"ಆಚೆ ಬದಿ ಮತ್ತು ಈಚೆ ಬದಿ ಎತ್ತರದ ಪ್ರದೇಶವಾಗಿದ್ದು, ಈ 4 ಮನೆಗಳಿರುವುದು ತಗ್ಗು ಪ್ರದೇಶದಲ್ಲಿ.","ಪಕ್ಕ, ಮಗ್ಗಲು",Beside,Yes,a,2025-02-07 14:36:04
