word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಬೆಳೆ,ಬಳ್ಳಿ ವೇಗವಾಗಿ ಬೆಳೆಯುತ್ತಿರುವ ಮತ್ತು 2-3 ವರ್ಷದ ಬೆಳೆ ನೀಡುತ್ತದೆ ಬುಷ್ ಪ್ರಬಲ ಬೆಳೆಯುತ್ತಿರುವ.,ದೊಡ್ಡದಾಗು,to grow,Yes,qwerty,2025-02-07 06:16:14
ಬೆಳೆ,"ಬಳೆ ಎಂದರೆ ಬೆಳೆ ಎಂದೂ, ಹೌದು ಹೆಣ್ಣೋ ಗಂಡೋ ಹುಟ್ಟಿದ ಮೇಲೆ ಬೆಳೆಯಬೇಕು ತಾನೆ?",ದೊಡ್ಡದಾಗು,to grow,Yes,qwerty,2025-02-07 06:16:14
ಬೆಳೆ,"ಆದರೆ, ಇದು ಒಂದು ಉತ್ತಮ ಬೆಳೆ ಬೆಳೆಯಲು, ಆದರೆ ಚಳಿಗಾಲದಲ್ಲಿ ತಮ್ಮ ಅದನ್ನು ಸಂರಕ್ಷಿಸುವ ಮುಖ್ಯ.",ದೊಡ್ಡದಾಗು,to grow,Yes,qwerty,2025-02-07 06:16:14
ಬೆಳೆ,"ಇಳಿಜಾರಿನಲ್ಲಿ ಬೆಳೆಯುವಿಕೆಯನ್ನು ಕೈಗೊಳ್ಳುವುದರಿಂದ, ರಾಗಿಯ ಸಸಿಗಳು ಹತ್ತಿರವಿರುವ ಕಾರಣ,ಮಣ್ಣಿನ ಸವಕಳಿ ಕಡಿಮೆಯಾಗುತ್ತದೆ.",ದೊಡ್ಡದಾಗು,to grow,Yes,qwerty,2025-02-07 06:16:14
ಬೆಳೆ,"ವಿದ್ಯಾರ್ಥಿಗಳ ಜ್ಞಾನ, ಅರ್ಹತೆ ಬೆಳೆ ಸುವ ಸಲುವಾಗಿ ಈ ಹೆಚ್ಚುವರಿ ಪರೀಕ್ಷೆಗಳನ್ನು ಮಾಡಲಾಗುತ್ತದೆ.",ದೊಡ್ಡದಾಗು,to grow,Yes,qwerty,2025-02-07 06:16:14
ಬೆಳೆ,ಬರ ಪರಿಸ್ಥಿತಿಗೂ ಎದೆಗುಂದದೆ ಬೆಳೆ ಬೆಳೆಯುತ್ತಿದ್ದಾರೆ.,ದೊಡ್ಡದಾಗು,to grow,Yes,qwerty,2025-02-07 06:16:14
ಬೆಳೆ,ರೈತರಿಗೆ ಸಕಾಲದಲ್ಲಿ ಬಿತ್ತನೆ ಬೀಜ ಹಾಗೂ ರಸಗೊಬ್ಬರ ಸೇರಿದಂತೆ ಅಗತ್ಯ ಸೌಲಭ್ಯ ಕಲ್ಪಿಸಿದರೆ ಉತ್ತಮ ಬೆಳೆ ಬೆಳೆಯಲು ಅನುಕೂಲವಾಗಲಿದೆ ಎಂದು ಕೃಷಿ ಇಲಾಖೆ ನಿರ್ದೇಶಕ ಬಿ.,ದೊಡ್ಡದಾಗು,to grow,Yes,qwerty,2025-02-07 06:16:14
ಬೆಳೆ,ನೀರು ಹರಿಸುವ ವೇಳೆಗೆ ಅನುಗುಣವಾಗಿ ಬೆಳೆ ಬೆಳೆಯುವ ಆಲೋಚನೆಯಿದೆ.,ದೊಡ್ಡದಾಗು,to grow,Yes,qwerty,2025-02-07 06:16:14
ಬೆಳೆ,"ಈ ಪರಿಹಾರ ಕ್ಯಾರೆಟ್ ಹೆಚ್ಚು ಸ್ಥಳವನ್ನು ತೆಗೆದುಕೊಳ್ಳುವುದಿಲ್ಲ ಜೊತೆಗೆ, ಸಂಪೂರ್ಣವಾಗಿ ಪೂರಕವಾಗಿದೆ ನೋಟ ಹೂವಿನ ಹಾಸಿಗೆಗಳು ಮತ್ತು ತುಂಬಾ ಸಾಮಾನ್ಯವಾಗಿ ಒಂದು ಘನ ಹಾಸಿಗೆಯ ರೂಪದಲ್ಲಿ ಬಿತ್ತನೆಯ ಮಾಡಿದಾಗ ಸಾಮಾನ್ಯವಾಗಿ ಸಂಭವಿಸುತ್ತದೆ ಎಂದು ಬೆಳೆಯುತ್ತದೆ ಏಕೆಂದರೆ ಅತ್ಯುತ್ತಮ ಬೆಳೆ ಒದಗಿಸುತ್ತದೆ.",ದೊಡ್ಡದಾಗು,to grow,Yes,qwerty,2025-02-07 06:16:14
ಬೆಳೆ,ಇದರಿಂದ ಬೆಳೆ ಬೆಳೆಯುವ ಲೆಕ್ಕಾಚಾರದಲ್ಲಿ ರೈತ ಗೊಂದಲಕ್ಕೀಡಾಗಿದ್ದಾನೆ.,ದೊಡ್ಡದಾಗು,to grow,Yes,qwerty,2025-02-07 06:16:14
