word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಭಾವ,ಅಂಥ ಅಧಿಕಾರಿಗಳ ಊಟ-ವಸತಿಗಳ ವ್ಯವಸ್ಥೆ ನೈತಿಕ ಹೊಣೆ ಎಂಬ ಭಾವ ಕರ್ನಾಟಕದ ಗೌಡರಲ್ಲಿ ಸಾಮಾನ್ಯವಾಗಿತ್ತು.,ಅಭಿಪ್ರಾಯ,Feeling,Yes,Darshan R K,2025-02-02 18:31:24
ಭಾವ,ಜ್ಯೋತೊಷ್ಯ ಶಾಸ್ತ್ರದ ಪ್ರಕಾರ ಎಲ್ಲಾ ರಾಶಿಚಕ್ರದವರಲ್ಲಿಯೂ ನಿರಾಶೆಯ ಭಾವ ಎನ್ನುವುದು ಇದ್ದೇ ಇರುತ್ತದೆ.,ಅಭಿಪ್ರಾಯ,Feeling,Yes,Darshan R K,2025-02-02 18:31:24
ಭಾವ,"ಬಹುಷಃ, ನಾವು ಅಷ್ಟು ಚಿಕ್ಕವರಿದ್ದಾಗಲೇ ನಮ್ಮ ಪಾಲಿಗೆ ರೈತಾಪಿ ಎಂಬುದು ಅಕ್ಷರವಿದ್ಯೆ ಕಲಿಯಲಾಗದವರ ಪಾಲಿನ ಕೊನೆಯ ಆಯ್ಕೆಯ ವೃತ್ತಿ ಎಂಬ ಭಾವ ಗಟ್ಟಿಯಾಗಿ ಮನೆಮಾಡಿತ್ತು.",ಅಭಿಪ್ರಾಯ,Feeling,Yes,Darshan R K,2025-02-02 18:31:24
ಭಾವ,ತಾನು ಏನೆ ಸಾಧಿಸಿದರೂ ಅದು ಕೇವಲ ತಾತ್ಕಾಲಿಕವಷ್ಟೆ ಎಂಬ ಭಾವ ಯಾಕೊ ಅವನನ್ನು ಮಾನಸಿಕವಾಗಿ ಕುಗ್ಗಿಸಿ ಅಸಂತುಷ್ಟನನ್ನಾಗಿಸಿತ್ತು.,ಅಭಿಪ್ರಾಯ,Feeling,Yes,Darshan R K,2025-02-02 18:31:24
ಭಾವ,ಅದ್ದರಿಂದ ನನ್ನ ಮಾತನ್ನು ನಂಬಿ ನಾವು ಬೇಧ ಭಾವ ತೋರಿಸುತ್ತಿಲ್ಲ.,ಅಭಿಪ್ರಾಯ,Feeling,Yes,Darshan R K,2025-02-02 18:31:24
ಭಾವ,ಅಂದಿನ ದಿನಗಳಲ್ಲಿ ಗುರುಗಳ ಕುರಿತು ಅಷ್ಟೊಂದು ಧನ್ಯತೆಯ ಭಾವ ಮನೆ ಮಾಡಿತ್ತು.,ಅಭಿಪ್ರಾಯ,Feeling,Yes,Darshan R K,2025-02-02 18:31:24
ಭಾವ,ಇನ್ನೂ ಮೂಕ ಪ್ರೇಕ್ಷಕರಾಗಿ ನಾವುಳಿದರೆ -ಆ ಅಪರಾಧಗಳಿಗೆ -ಅನ್ಯಾಯಕ್ಕೆ ನಾವೂ ಕಾರಣರು ಎಂಬ ಭಾವ ನನ್ನಲ್ಲಿ ಮೂಡುತಿದೆ.,ಅಭಿಪ್ರಾಯ,Feeling,Yes,Darshan R K,2025-02-02 18:31:24
ಭಾವ,ಮತ್ತೊಮ್ಮೆ ಆ ಕ್ಷಣದಲ್ಲಿ ಅಲ್ಲಿದ್ದ ಎಲ್ಲರಿಗೂ ಮಗುವಾಗಬೇಕೆಂದ ಭಾವ ಒಮ್ಮೆಲೆ ಅಡಿಯಿಡುತ್ತದೆ.,ಅಭಿಪ್ರಾಯ,Feeling,Yes,Darshan R K,2025-02-02 18:31:24
ಭಾವ,ಎಂಜಿಆರ್‍ ಅವರ ನಿಧನ ನಂತರ ಏಕಾಂಗಿ ಎಂಬ ಭಾವ ಮೂಡಿ ಜಯಾ ಮಂಕಾಗಿದ್ದ ದಿನಗಳಲ್ಲಿ ಆಕೆಗೆ ಧೈರ್ಯ ತುಂಬಿದ ಗೆಳತಿ ಈ ಶಶಿಕಲಾ.,ಅಭಿಪ್ರಾಯ,Feeling,Yes,Darshan R K,2025-02-02 18:31:24
ಭಾವ,ಬಸವಣ್ಣ ಈ ಲೋಕಕ್ಕೆ ಅತೀ ಅಗತ್ಯವಾದ ಕ್ಷಮೆಯ ಭಾವ ಬಿತ್ತಿದರು.,ಅಭಿಪ್ರಾಯ,Feeling,Yes,Darshan R K,2025-02-02 18:31:24
