word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಭೂತ,ಕೆಲ ಸ್ಥಳಗಳು ಭೂತ ಪಿಶಾಚಗ್ರಸ್ಥವಾದವುಗಳು ಎಂದು ಕುಖ್ಯಾತಿ ಪಡೆದಿದ್ದರೆ ಇನ್ನೂ ಹಲವು ದೈವಿಕ ಅಚ್ಚರಿಗಳನ್ನು ಒಳಗೊಂಡಿರುವುದನ್ನು ಕಾಣಬಹುದು.,"ದೆವ್ವ, ಪಿಶಾಚಿ",Devil,Yes,Darshan R K,2025-02-08 07:45:32
ಭೂತ,ಗಂಗೂಲಿಗೆ ಕಾಡಿದ್ದ ಭೂತ ವಿರಾಟ್ ಕೊಹ್ಲಿಗೂ ಕಾಡಿತಾ?,"ದೆವ್ವ, ಪಿಶಾಚಿ",Devil,Yes,Darshan R K,2025-02-08 07:45:32
ಭೂತ,ಅದರ ದರ ಕಂಡು ಕೆಲವರು ಭೂತ ಹಿಡಿದಂತೆ ನಡುಗುತ್ತಾರೆ.,"ದೆವ್ವ, ಪಿಶಾಚಿ",Devil,Yes,Darshan R K,2025-02-08 07:45:32
ಭೂತ,ಹಾಗಂತ ಅಲ್ಲಿ ಭೂತ ಇದಿಯೋ ಇಲ್ವೋ ಅಂತ ಇನ್ವೆಸ್ಟಿಗೇಶನ್‌ ಮಾಡೋವಷ್ಟು ಧೈರ್ಯಾನೂ ಇಲ್ಲ.,"ದೆವ್ವ, ಪಿಶಾಚಿ",Devil,Yes,Darshan R K,2025-02-08 07:45:32
ಭೂತ,ಅಥವಾ ದಕ್ಷಿಣ ಕನ್ನಡದ ಭೂತ ಕೋಲಕ್ಕೆ ಇರುವ ಸಾಮಾಜಿಕ ಆಯಾಮವನ್ನು ಬೆಂಗಳೂರಿನಿಂದ ಬಂದಿದ್ದ ಉತ್ಸಾಹಿಗಳ ಗುಂಪು ಅರ್ಥ ಮಾಡಿಕೊಳ್ಳಲಿಲ್ಲವೇನೋ?,"ದೆವ್ವ, ಪಿಶಾಚಿ",Devil,Yes,Darshan R K,2025-02-08 07:45:32
ಭೂತ,ಅಲ್ಲಿನ 10 ಹುಡುಗರು ಭೂತ ಹುಡುಕಲು ಸ್ಮಶಾನಕ್ಕೆ ಬಂದಿದ್ದಾರೆ.,"ದೆವ್ವ, ಪಿಶಾಚಿ",Devil,Yes,Darshan R K,2025-02-08 07:45:32
ಭೂತ,"ಹೇಗಾದರೂ, ಒಂದು ಪುಟ್ಟ ತುಂಟ ಭೂತ ಹಿಡಿಯುವಿಕೆಯು ತೋರುತ್ತದೆ ಎಂದು ಸುಮಾರು ಸುಲಭ ಅಲ್ಲ.","ದೆವ್ವ, ಪಿಶಾಚಿ",Devil,Yes,Darshan R K,2025-02-08 07:45:32
ಭೂತ,ಇಷ್ಟೇ ಅಲ್ಲ ಭೂತ ಬಿಡಿಸುವ ಪ್ರಯತ್ನ ಕೂಡ ನಡೆಯುತ್ತದೆ.,"ದೆವ್ವ, ಪಿಶಾಚಿ",Devil,Yes,Darshan R K,2025-02-08 07:45:32
ಭೂತ,ಮಹಾವೀರ ಹನುಮನ ನಾಮ ಕೇಳದರೆ ಭೂತ ಪ್ರೇತಗಳು ಹತ್ತಿರ ಸುಳಿಯುವುದಿಲ್ಲ ನೀವು ಇಲ್ಲಿ ಬಂದು ಕೇಳಿಕೊಂಡಿರುವುದು ನೆರವೇರಿದಲ್ಲಿ ಪುನಃ ಬಂದು ದೇವಸ್ಥಾನಕ್ಕೆ ಭೇಟಿಕೊಡಬೇಕು ಎಂಬುದು ಕಡ್ಡಾಯವಾಗಿದೆ.,"ದೆವ್ವ, ಪಿಶಾಚಿ",Devil,Yes,Darshan R K,2025-02-08 07:45:32
ಭೂತ,ಭೂತ ಪ್ರೇತ ಪಿಶಾಚ ಗಣಕು ಅರಿವಿಲ್ಲ,"ದೆವ್ವ, ಪಿಶಾಚಿ",Devil,Yes,Darshan R K,2025-02-08 07:45:32
