word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಭೂತ,ವರ್ತಮಾನ ಕಾಲ ಭೂತ ಕಾಲದ ನೆಲೆಗಟ್ಟಿನ ಮೇಲೆ ನಿಂತಿದೆ.,"ಹಿಂದೆ ಆದುದು, ಕಳೆದುದು",Past,Yes,Darshan R K,2025-02-08 07:16:34
ಭೂತ,ಪಾತ್ರ ಮಾಡುವ ವೇಳೆ ಅವಳ ಶರೀರವನ್ನು ನಿಜವಾದ ಭೂತ ಆವರಿಸಿದೆ ಎನ್ನಲಾಗಿದೆ.,"ಹಿಂದೆ ಆದುದು, ಕಳೆದುದು",Past,No,Darshan R K,2025-02-08 07:16:34
ಭೂತ,"ಇಂದು ಭೂತ ಬಂಗಲೆಯಾಗಿ ಅಕ್ರಮ, ಅನೈತಿಕ, ಕುಡುಕರ ತಾಣವಾಗಿ ಮಾರ್ಪಟ್ಟಿದೆ.","ಹಿಂದೆ ಆದುದು, ಕಳೆದುದು",Past,No,Darshan R K,2025-02-08 07:16:35
ಭೂತ,"ಇದು ಪದಾದಿಯ ಸ್ಟ್ ಧ್ವನಿಮಾಕ್ಕೆ ಉದಾಹರಣೆಗಳುಕ, ಹಾಗೆಯೇ ಭೂತ ಕಾಲಸೂಚಕವಾಗಿಯೂ ಅದರ ಬಳಕೆಯಿದೆ –","ಹಿಂದೆ ಆದುದು, ಕಳೆದುದು",Past,Yes,Darshan R K,2025-02-08 07:16:35
ಭೂತ,ಬಿಇಓ ಎಲ್ ಜಯಪ್ಪ ಮಾತನಾಡಿ ಪರಿಸರ ಸಂರಕ್ಷಣೆ ಮೂಲ ಭೂತ ಕರ್ತವ್ಯವಾಗಿದೆ.,"ಹಿಂದೆ ಆದುದು, ಕಳೆದುದು",Past,Yes,Darshan R K,2025-02-08 07:16:35
ಭೂತ,"ನಾಟಕದ ಸ್ಟೇಜು ಕಟ್ಟುವವನಿಂದ ಹಿಡಿದು, ಕಲಾವಿದರು ತಂತ್ರಜ್ಞರವರೆಗೆ ಒಂದು ರೀತಿಯ ಬದ್ಧತೆ, ಹುಮ್ಮಸ್ಸು ತುಂಬಿರುತ್ತಿತ್ತು ಎಂದು ರಾಜ್‌ ಭೂತ ಹಾಗೂ ವರ್ತಮಾನವನ್ನು ಬೆಸೆಯುವ ಪ್ರಯತ್ನ ನಡೆಸಿದರು.","ಹಿಂದೆ ಆದುದು, ಕಳೆದುದು",Past,Yes,Darshan R K,2025-02-08 07:16:35
ಭೂತ,ಕೊಸಾಂಬಿಯವರ ವ್ಯಾಖ್ಯಾನವನ್ನು ಉಲ್ಲೇಖಿಸಬೇಕು: ಚರಿತ್ರೆಕಾರನ ಕೆಲಸ ಕೇವಲ ಭೂತಕಾಲವನ್ನು ಪ್ರೀತಿಸುವುದು ಅಥವಾ ಭೂತ ಕಾಲದಿಂದ ದೂರವಾಗುವುದಲ್ಲ.,"ಹಿಂದೆ ಆದುದು, ಕಳೆದುದು",Past,Yes,Darshan R K,2025-02-08 07:16:35
ಭೂತ,ಭೂತ ಎನ್ನುವುದು ವರ್ತಮಾನದ ನಡುಗೆಯೊಂದಿಗೆ ಬೆಸೆದುಕೊಂಡಿದೆ.,"ಹಿಂದೆ ಆದುದು, ಕಳೆದುದು",Past,Yes,Darshan R K,2025-02-08 07:16:35
ಭೂತ,ಅವೆಲ್ಲ ದೂರದ ಭೂತ ಹಾಗೂ ನಿಗೂಢ ಭವಿಷ್ಯ.,"ಹಿಂದೆ ಆದುದು, ಕಳೆದುದು",Past,Yes,Darshan R K,2025-02-08 07:16:35
ಭೂತ,ರಾಜಕಾರಣಿಗಳ ತರಹ ಇತರರ ಭೂತ ದಹನ ಮಾಡಿಲ್ಲ.,"ಹಿಂದೆ ಆದುದು, ಕಳೆದುದು",Past,Yes,Darshan R K,2025-02-08 07:16:35
ಭೂತ,ಸಮೀಪದ ಹೆಗ್ಗೋಡಿನಲ್ಲಿ ನಡೆಯುತ್ತಿರುವ ನೀನಾಸಂ ಸಂಸ್ಕೃತಿ ಶಿಬಿರದಲ್ಲಿ ಸೋಮವಾರ ಗಾಂಧಿ ಕಲ್ಪನೆ ಶಿಕ್ಷಣ ಮಾರ್ಗದ ಭೂತ ಮತ್ತು ಭವಿಷ್ಯ ವಿಷಯ ಕುರಿತು ಅವರು ಮಾತನಾಡಿದರು.,"ಹಿಂದೆ ಆದುದು, ಕಳೆದುದು",Past,Yes,Darshan R K,2025-02-08 07:16:35
ಭೂತ,ಅಳಿದ ಭೂತ ಕಾಲ,"ಹಿಂದೆ ಆದುದು, ಕಳೆದುದು",Past,Yes,Darshan R K,2025-02-08 07:16:35
