word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಮಂಡಿ,"ಶಿಮ್ಲಾ: ಕಾರು ಹೊಂಡಕ್ಕೆ ಬಿದ್ದು ಐವರು ಬಿಜೆಪಿ ಕಾರ್ಯಕರ್ತರು ಸಾವನ್ನಪ್ಪಿದ್ದ ಘಟನೆ ಹಿಮಾಚಲ ಪ್ರದೇಶದ, ಮಂಡಿ ಜಿಲ್ಲೆಯಲ್ಲಿ ನಡೆದಿದೆ.",ಭಾರೀ ಪ್ರಮಾಣದ ವ್ಯಾಪಾರ ನಡೆಯುವ ಸ್ಥಳ,Market,No,Darshan R K,2025-02-08 14:28:56
ಮಂಡಿ,"ಈ ಮಧ್ಯೆ ಕೋಲಾರದಲ್ಲಿ ಟೊಮೆಟೊ ದರ ಕುಸಿತದ ಮಧ್ಯೆಯೂ ವ್ಯಾಪಾರದ ನಿರ್ಧಾರವನ್ನು ಬದಿಗಿಟ್ಟು, ದೇಶದ ಹಿತಕ್ಕಾಗಿ ಪಾಕಿಸ್ತಾನದೊಂದಿಗಿನ ಸಂಬಂಧ ಕಡಿದುಕೊಳ್ಳುವ ಎಪಿಎಂಸಿ ಮಂಡಿ ಮಾಲೀಕರ ನಿರ್ಧಾರ ಎಲ್ಲರ ಮೆಚ್ಚುಗೆಗೆ ಪಾತ್ರವಾಗಿದೆ.",ಭಾರೀ ಪ್ರಮಾಣದ ವ್ಯಾಪಾರ ನಡೆಯುವ ಸ್ಥಳ,Market,Yes,Darshan R K,2025-02-08 14:28:56
ಮಂಡಿ,"ಉಳಿದ 14 ಮಂಡಿ ನಾಪತ್ತೆಯಾಗಿದ್ದು, ಅವರಿಗಾಗಿ ಹುಡುಕಾಟ ನಡೆಸಲಾಗುತ್ತಿದೆ ಎಂದು ಎಕ್ಮಾ ಪೊಲೀಸ್ ಠಾಣೆಯ ಮುಖ್ಯಾಧಿಕಾರಿ ಅನುಜ್ ಕುಮಾರ್ ಸಿಂಗ್ ಹೇಳಿದ್ದಾರೆ.",ಭಾರೀ ಪ್ರಮಾಣದ ವ್ಯಾಪಾರ ನಡೆಯುವ ಸ್ಥಳ,Market,Yes,Darshan R K,2025-02-08 14:28:57
ಮಂಡಿ,"ತಮ್ಮ ಕಚೇರಿಯಲ್ಲಿ ನಡೆದ ಸುದ್ದಿಗೋಷ್ಠಿಯಲ್ಲಿ ಮಾತನಾಡಿದ ಅವರು ಬಂಧಿತರನ್ನು ಬನ್ನಿಮಂಟಪ ಬಡಾವಣೆಯ ಹನುಮಂತನಗರದ ನಿವಾಸಿಗಳಾದ ರಿಯಾಜ್ ಷರೀಪ್ ಬಿನ್ ಇಸ್ಮಾಯಿಲ್ ಷರೀಪ್(42), ಫಯಾಜ್ ಷರೀಪ್ ಅಲಿಯಾಸ್ ಫಯಾಜ್ ಬಿನ್ ರಿಯಾಜ್ ಷರೀಫ್ (22)ಎಂದು ಗುರುತಿಸಲಾಗಿದ್ದು, ಇವರು ಮಂಡಿ ಠಾಣಾ ವ್ಯಾಪ್ತಿಯ 3ನೇ ಕ್ರಾಸ್ ನಲ್ಲಿರುವ ಮನೆಯನ್ನು ಡಿ.",ಭಾರೀ ಪ್ರಮಾಣದ ವ್ಯಾಪಾರ ನಡೆಯುವ ಸ್ಥಳ,Market,Yes,Darshan R K,2025-02-08 14:28:57
ಮಂಡಿ,ನವದೆಹಲಿ: ಇಲ್ಲಿನ ಮಂಡಿ ಹೌಸ್‌ನಲ್ಲಿರುವ ಎಫ್‌ಐಸಿಸಿಐ ಕಟ್ಟಡದಲ್ಲಿ ಸೋಮವಾರ ರಾತ್ರಿ 1.,ಭಾರೀ ಪ್ರಮಾಣದ ವ್ಯಾಪಾರ ನಡೆಯುವ ಸ್ಥಳ,Market,Yes,Darshan R K,2025-02-08 14:28:57
ಮಂಡಿ,ತಮಗೆ ಮಂಡಿ ನೋವಿನಿಂದ ನರಳುವಿರಿ.,ಭಾರೀ ಪ್ರಮಾಣದ ವ್ಯಾಪಾರ ನಡೆಯುವ ಸ್ಥಳ,Market,No,Darshan R K,2025-02-08 14:28:57
ಮಂಡಿ,"ಬಹುತೇಕ ಮಹಿಳೆಯರು ಗ್ಯಾಸ್ಟಿಕ್ ಸಮಸ್ಯೆ, ಮಂಡಿ ಹಾಗೂ ಸೊಂಟ ನೋವಿನ ಸಮಸ್ಯೆಯನ್ನು ಎದುರಿಸುತ್ತಿದ್ದಾರೆ.",ಭಾರೀ ಪ್ರಮಾಣದ ವ್ಯಾಪಾರ ನಡೆಯುವ ಸ್ಥಳ,Market,No,Darshan R K,2025-02-08 14:28:57
ಮಂಡಿ,"ಈ ಹಣ್ಣು ಒಂದು ವಾರದವರೆಗೂ ಕೆಡದ ಕಾರಣ ತಳ್ಳುವ ಗಾಡಿ ಮೇಲೆ ಹಣ್ಣು ಮಾರಾಟ ಮಾಡುವವರು, ಜ್ಯೂಸ್ ಅಂಗಡಿಯವರು ಪೈನಾಪಲ್ ಹಣ್ಣುಗಳನ್ನು ಮಂಡಿ ವ್ಯಾಪಾರಸ್ಥರಿಂದ ಕ್ವಿಂಟಲ್‌ಗಟ್ಟಲೇ ಖರೀದಿಸಿ, ಸೈಜುಗಳ ಮೇಲೆ 100 ರೂಪಾಯಿಗೆ ಎರಡು ಮೂರು ಹಣ್ಣು ಮಾರಾಟ ಮಾಡುತ್ತಾರೆ.",ಭಾರೀ ಪ್ರಮಾಣದ ವ್ಯಾಪಾರ ನಡೆಯುವ ಸ್ಥಳ,Market,Yes,Darshan R K,2025-02-08 14:28:57
ಮಂಡಿ,ಖಚಿತ ಮಾಹಿತಿ ಮೇರೆಗೆ ಸಿಸಿಬಿ ಪೊಲೀಸರು ನಗರದ ಮಂಡಿ ಪ್ರದೇಶದಲ್ಲಿರುವ ರೆಡ್ ರೋಜ್ ಮಸಾಜ್ ಪಾರ್ಲರ್ ಮೇಲೆ ದಾಳಿ ಮಾಡಿ ವೇಶ್ಯಾವಟಿಕೆಯಲ್ಲಿ ತೊಡಗಿದ್ದ ಶಿವರಾಜ್ ಹಾಗೂ ಮಹದೇವ ಎಂಬುವರನ್ನು ಬಂಧಿಸಿದ್ದು ಒಬ್ಬ ನೇಪಾಳಿ ಮಹಿಳೆಯನ್ನು ರಕ್ಷಿಸಿದ್ದಾರೆ.,ಭಾರೀ ಪ್ರಮಾಣದ ವ್ಯಾಪಾರ ನಡೆಯುವ ಸ್ಥಳ,Market,Yes,Darshan R K,2025-02-08 14:28:57
ಮಂಡಿ,"ಹೆಚ್ಚಿನ ಸಂಖ್ಯೆಯ ರೈತರು, ಮಾವಿನ ಮಂಡಿ ಮಾಲೀಕರಿಂದ ಸಾಲ­ವಾಗಿ ಔಷಧಿ ಪಡೆದುಕೊಳ್ಳುತ್ತಾರೆ.",ಭಾರೀ ಪ್ರಮಾಣದ ವ್ಯಾಪಾರ ನಡೆಯುವ ಸ್ಥಳ,Market,Yes,Darshan R K,2025-02-08 14:28:57
