word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಮತ,ಮತ ವಿಭಜನೆಯಾದರೆ ಕುತೂಹಲ ಫಲಿತಾಂಶ,caste,caste,Yes,a,2025-02-04 19:18:23
ಮತ,"ಇದಕ್ಕಾಗಿ ದೇಶದ ಎಲ್ಲಾ ಭಾಗದ ಜನರು ಜಾತಿ, ಮತ ಭೇದವಿಲ್ಲದೆ ಕಾರ್ಯಪ್ರವೃತ್ತರಾಗಬೇಕಿದೆ.",caste,caste,Yes,a,2025-02-04 19:18:23
ಮತ,"ಆದರೆ, ಇಂದು, ನೆಹರೂ ಪಕ್ಷದ ನಾಯಕರು, ಚುನಾವಣೆಯ ಹೊತ್ತಿಗೆ ಮತ ಧರ್ಮ ದೇವಸ್ಥಾನಗಳ ವಿಚಾರದಲ್ಲಿ ನಡೆದುಕೊಳ್ಳುತ್ತಿರುವ ರೀತಿಯಂತೂ ಬೃಹನ್ನಾಟಕದಂತೆ ಕಾಣುತ್ತದೆ!",caste,caste,Yes,a,2025-02-04 19:18:23
ಮತ,"ಆದರೆ ಇಸ್ಲಾಂ ಈಥರದ್ದಲ್ಲ, ಅದರ ಸಂಸ್ಥಾಪಕ ಹಾಗೂ ಅದರ ಪರಿಪಾಲಕರು ಹಿಂಸಾಮಾರ್ಗವನ್ನು, ಬೇಟೆಗಾರತನವನ್ನು ತಮ್ಮ ಮತ ಗ್ರಂಥಗಳಲ್ಲಿಯೇ ಹುದುಗಿಸಿದ್ದಾರೆ, ಆಡಿ ತೋರಿಸಿದ್ದಾರೆ, ಮಾಡಿಯೂ ತೋರಿಸಿದ್ದಾರೆ ಮಾದರಿಯಾಗಿ ನಿಂತಿದ್ದಾರೆ.",caste,caste,Yes,a,2025-02-04 19:18:23
ಮತ,ಮುಸ್ಲಿಮರಲ್ಲಿ ಇರುವ ಪಾಕಿಸ್ತಾನದ ಪರವಾದ ಗುಂಪುಗಳ ಮತ ಬೆಂಬಲವನ್ನು ಕಳೆದುಕೊಳ್ಳುವ ಭಯದಿಂದಾಗಿ ವ್ಯಕ್ತಿಗಳೂ ಪಕ್ಷಗಳೂ ಭಾರತ ಸರ್ಕಾರವು ಪಾಕಿಸ್ತಾನದ ಬಗ್ಗೆ ತೋರುವ ತುಷ್ಟೀಕರಣ ನೀತಿಯನ್ನು ವಿರೋಧಿಸುವ ಧೈರ್ಯ ತೋರುವುದಿಲ್ಲ; ಅವರಾಗಲೇ ಕೇಂದ್ರ ಮತ್ತು ಪಶ್ಚಿಮ ಬಂಗಾಳಗಳ ನಡುವೆ ಬೆಳೆಯುತ್ತಿರುವ ಸ್ನೇಹಭಂಗದ ಕುರುಹೆಂದು ಈ ಇಡೀ ವಿದ್ಯಮಾನವನ್ನು ಅರ್ಥೈಸಲು ಪ್ರಾರಂಭ ಮಾಡಿದ್ದಾರೆ.,caste,caste,Yes,a,2025-02-04 19:18:24
ಮತ,"12ರಂದು ನಡೆಯಲಿದ್ದು, ಇದರ ಅಂಗವಾಗಿ ಏಕದಿನ ಧಾರ್ಮಿಕ ಮತ ಪ್ರಭಾಷಣ ನಡೆಯಲಿದೆ ಎಂದು ಕಾರ್ಯಕ್ರಮದ ಸ್ವಾಗತ ಸಮಿತಿ ಅಧ್ಯಕ್ಷ ಬಿ.",caste,caste,Yes,a,2025-02-04 19:18:24
ಮತ,ನವದೆಹಲಿ: ಹಿಂದುಳಿದ ಹಲವು ಜಾತಿಗಳ ಮತ ಪಡೆದು ಬಿಜೆಪಿಯನ್ನು ಸೋಲಿಸಬಹುದು ಎಂಬ ಲೆಕ್ಕಾಚಾರದಲ್ಲಿ ಕಾಂಗ್ರೆಸ್ ಇದೆ.,caste,caste,Yes,a,2025-02-04 19:18:24
ಮತ,"ಮನುಕುಲ ಒಂದೇ ಜಾತಿ ಎಂದು ಜಾತಿ, ಮತ ಭೇದ -ಭಾವಗಳನ್ನು ಸಮಾಜದಿಂದ ಕಿತ್ತೊಗೆಯಲು ಹೋರಾಟ ನಡೆಸಿದ್ದಾರೆ.",caste,caste,Yes,a,2025-02-04 19:18:24
ಮತ,"ಹೀಗೆ ಬೇಡರಿಗೆ ಒಂದು ಧರ್ಮ, ಮತ ಮತ್ತು ಒಬ್ಬ ನೇತಾರನ ಮೂಲಕ ವೀರನ ಅಥವಾ ಸಂತನ ಆರಾಧನೆ ಇಲ್ಲ.",caste,caste,Yes,a,2025-02-04 19:18:24
ಮತ,ಹೀಗೆ ಮತಿಹೀನವಾದ ಮತ ಜ್ಞಾನದ ಪ್ರಗತಿಗೆ ಅಡಚಣೆಯಾಗಿರುವುದಕ್ಕೆ ಸಾವಿರಾರು ನಿದರ್ಶನಗಳು ಹಿಂದೆಯೂ ಸಿಕ್ಕುತ್ತವೆ; ಇಂದೂ ದೊರೆಯುತ್ತವೆ.,caste,caste,Yes,a,2025-02-04 19:18:24
