word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಮತ,"ಮೋದಿ ಮಾತ್ರವೇ ಮುಖ್ಯ, 2014 ರ ಚುನಾವಣೆಯಲ್ಲಿ ಅಭ್ಯರ್ಥಿಗಳನ್ನು ಪಕ್ಕಕ್ಕಿಟ್ಟು, ಮೋದಿಯನ್ನು ಗಮನದಲ್ಲಿರಿಸಿಕೊಂಡು ಮತ ಹಾಕಿದ್ದರು ಎಂದು ಬಿಜೆಪಿ ನಾಯಕರೊಬ್ಬರು ಹೇಳಿದ್ದಾರೆ.","ಅಭಿಪ್ರಾಯ, ಚುನಾವಣೆಗಳಲ್ಲಿ ಜನರು ತಮ್ಮ ಆಯ್ಕೆಯನ್ನು ಕುರಿತು ಸೂಚಿಸುವ ಅಭಿಪ್ರಾಯ","Opinon, Vote",Yes,a,2025-02-04 18:57:14
ಮತ,ಆದರೆ ಈ ಬಾರಿ 2014 ರ ಚುನಾವಣೆ ವೇಳೆಗೆ 12 ಕೋಟಿ ಯುವ ಮತದಾರರು ಮತ ಚಲಾಯಿಸುವ ಹಕ್ಕನ್ನು ಪಡೆಯಲಿದ್ದಾರೆ.,"ಅಭಿಪ್ರಾಯ, ಚುನಾವಣೆಗಳಲ್ಲಿ ಜನರು ತಮ್ಮ ಆಯ್ಕೆಯನ್ನು ಕುರಿತು ಸೂಚಿಸುವ ಅಭಿಪ್ರಾಯ","Opinon, Vote",Yes,a,2025-02-04 18:57:14
ಮತ,ಐದೂ ಮುಕ್ಕಾಲು ಲಕ್ಷ ಜನರು ನಿಖಿಲ್ ಕುಮಾರಸ್ವಾಮಿ ಅಥವಾ ಜನತಾದಳದ ಪರವಾಗಿ ಮತ ಹಾಕಿದ್ದೀರಿ.,"ಅಭಿಪ್ರಾಯ, ಚುನಾವಣೆಗಳಲ್ಲಿ ಜನರು ತಮ್ಮ ಆಯ್ಕೆಯನ್ನು ಕುರಿತು ಸೂಚಿಸುವ ಅಭಿಪ್ರಾಯ","Opinon, Vote",Yes,a,2025-02-04 18:57:14
ಮತ,ಪುತ್ತೂರು: ಕಬಕ ಹಾಗೂ 34 ನೆಕ್ಕಿಲಾಡಿ ಗ್ರಾಮ ಪಂಚಾಯತ್ ಗಳಲ್ಲಿ ತೆರವಾದ ತಲಾ ಒಂದೊಂದು ಸ್ಥಾನಗಳಿಗೆ ನಡೆದ ಚುವಾವನೆಯ ಮತ ಎಣಿಕೆ ಕಾರ್ಯ ಮೇ.,"ಅಭಿಪ್ರಾಯ, ಚುನಾವಣೆಗಳಲ್ಲಿ ಜನರು ತಮ್ಮ ಆಯ್ಕೆಯನ್ನು ಕುರಿತು ಸೂಚಿಸುವ ಅಭಿಪ್ರಾಯ","Opinon, Vote",Yes,a,2025-02-04 18:57:14
ಮತ,ಇದೇ ವೇಳೆ ಅವರು ಮಾರ್ಚ್ 21ಕ್ಕೂ ಮುನ್ನ ನಿರ್ಣಯದ ಪರ ಮತ ಹಾಕುವ ಗೊತ್ತುವಳಿಯನ್ನು ಸಂಸತ್ತಿನಲ್ಲಿ ಅಂಗೀಕರಿಸುವುದಾದರೆ ಡಿಎಂಕೆ ತನ್ನ ನಿರ್ಧಾರವನ್ನು ಪುನಃ ಪರಿಶೀಲಿಸಲು ಸಿದ್ಧವಿದೆ ಎಂದು ತಿಳಿಸಿದರು.,"ಅಭಿಪ್ರಾಯ, ಚುನಾವಣೆಗಳಲ್ಲಿ ಜನರು ತಮ್ಮ ಆಯ್ಕೆಯನ್ನು ಕುರಿತು ಸೂಚಿಸುವ ಅಭಿಪ್ರಾಯ","Opinon, Vote",Yes,a,2025-02-04 18:57:14
ಮತ,ರಾಹುಲ್​ ಜೋಶಿ: ಮಹಾಮೈತ್ರಿಗೆ ಮತ ಹಾಕುವಂತೆ ಮಾಯಾವತಿ ಮುಸ್ಲಿಮರಿಗೆ ಮನವಿ ಮಾಡಿದ್ದಾರೆ.,"ಅಭಿಪ್ರಾಯ, ಚುನಾವಣೆಗಳಲ್ಲಿ ಜನರು ತಮ್ಮ ಆಯ್ಕೆಯನ್ನು ಕುರಿತು ಸೂಚಿಸುವ ಅಭಿಪ್ರಾಯ","Opinon, Vote",Yes,a,2025-02-04 18:57:14
ಮತ,"ಬ್ರಿಟನ್ ಜನತೆ ಬ್ರೆಕ್ಸಿಟ್ ಪರವಾಗಿ ಮತ ಚಲಾಯಿಸಿದ ಬೆನ್ನಲ್ಲೇ ಚಿನ್ನದ ಬೆಲೆ 30,000 ಗಡಿ ದಾಟಿದೆ.","ಅಭಿಪ್ರಾಯ, ಚುನಾವಣೆಗಳಲ್ಲಿ ಜನರು ತಮ್ಮ ಆಯ್ಕೆಯನ್ನು ಕುರಿತು ಸೂಚಿಸುವ ಅಭಿಪ್ರಾಯ","Opinon, Vote",Yes,a,2025-02-04 18:57:14
ಮತ,ಬೆಳಿಗ್ಗೆಯಿಂದಲೇ ಜನ ಮತಗಟ್ಟೆಗಳಿಗೆ ಬಂದು ಉತ್ಸಾಹದಿಂದ ಮತ ಚಲಾಯಿಸಿದರು.,"ಅಭಿಪ್ರಾಯ, ಚುನಾವಣೆಗಳಲ್ಲಿ ಜನರು ತಮ್ಮ ಆಯ್ಕೆಯನ್ನು ಕುರಿತು ಸೂಚಿಸುವ ಅಭಿಪ್ರಾಯ","Opinon, Vote",Yes,a,2025-02-04 18:57:14
ಮತ,ಪ್ರಜೆಗಳು ಚುನಾವಣೆಗಳಲ್ಲಿ ಆಳುವವರ ವಿರುದ್ಧ ಮತ ನೀಡುತ್ತಾರೆ.,"ಅಭಿಪ್ರಾಯ, ಚುನಾವಣೆಗಳಲ್ಲಿ ಜನರು ತಮ್ಮ ಆಯ್ಕೆಯನ್ನು ಕುರಿತು ಸೂಚಿಸುವ ಅಭಿಪ್ರಾಯ","Opinon, Vote",Yes,a,2025-02-04 18:57:14
ಮತ,ಸಂಜೆ 5 ಗಂಟೆಯಿಂದ ಮತ ಎಣಿಕೆ ಆರಂಭಗೊಂಡಿದ್ದು ಮೊದಲ ಸುತ್ತಿನಿಂದಲೇ ಅಜಿತ್‌ ಕುಮಾರ್‌ ರೈ ಮಾಲಾಡಿ ಮುನ್ನಡೆ ಕಾಯ್ದುಕೊಂಡಿದ್ದರು.,"ಅಭಿಪ್ರಾಯ, ಚುನಾವಣೆಗಳಲ್ಲಿ ಜನರು ತಮ್ಮ ಆಯ್ಕೆಯನ್ನು ಕುರಿತು ಸೂಚಿಸುವ ಅಭಿಪ್ರಾಯ","Opinon, Vote",Yes,a,2025-02-04 18:57:14
