word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಮೃಗ,ಗುರುವಾರ ಸೂರ್ಯ ನಗರಿ ಕಲಬುರ್ಗಿಯಲ್ಲಿ ಕಾಡಿನಿಂದ ನಾಡಿಗೆ ಬಂದ ಕೃಷ್ಣ ಮೃಗ ಜನರಿಗೆ ಅಚ್ಚರಿ ಮುಡಿಸಿತು.,ಒಂದು ಬಗೆಯ ಜಿಂಕೆ,A kind of deer,Yes,a,2025-02-02 18:50:15
ಮೃಗ,ಕಲಬುರ್ಗಿ ನಗರದ ಲಾಲಗೆರಿ ಕ್ರಾಸ್ ಬಳಿ ಜನಬಿಡು ಪ್ರದೇಶದಲ್ಲಿ ಕೃಷ್ಣ ಮೃಗ ದಿಢೀರನೆ ಪ್ರತ್ಯಕ್ಷವಾಗಿದೆ.,ಒಂದು ಬಗೆಯ ಜಿಂಕೆ,A kind of deer,Yes,a,2025-02-02 18:50:15
ಮೃಗ,"ಸಲ್ಮಾನ್​ ಖಾನ್​ರನ್ನು ಕೃಷ್ಣ ಮೃಗ ಬೇಟೆ ಪ್ರಕರಣದಲ್ಲಿ ದೋಷಿ ಎಂದು ಪರಿಗಣಿಸಲಾಗಿದ್ದು, ಪ್ರಕರಂಣಕ್ಕೆ ಸಂಬಂಧಿಸಿದಂತೆ ವೀಗಾಗಲೇ 5 ವರ್ಷಗಳ ಶಿಕ್ಷೆಯನ್ನು ಘೋಷಿಸಿದೆ.",ಒಂದು ಬಗೆಯ ಜಿಂಕೆ,A kind of deer,Yes,a,2025-02-02 18:50:15
ಮೃಗ,ವರ್ಷಗಳಷ್ಟು ಹಿಂದಿನ ಕೃಷ್ಣ ಮೃಗ ಬೇಟೆ ಪ್ರಕರಣದಲ್ಲಿ ಕೋರ್ಟ್ Read more…,ಒಂದು ಬಗೆಯ ಜಿಂಕೆ,A kind of deer,Yes,a,2025-02-02 18:50:15
ಮೃಗ,ಕರಡಿ ಸಾವು: ಕೃಷ್ಣ ಮೃಗ ರಕ್ಷಣೆ,ಒಂದು ಬಗೆಯ ಜಿಂಕೆ,A kind of deer,Yes,a,2025-02-02 18:50:15
ಮೃಗ,Home ಕನ್ನಡ ವಾರ್ತೆಗಳು ಕರ್ನಾಟಕ ಕೃಷ್ಣ ಮೃಗ ಚರ್ಮ ಮಾರಾಟ : ಇಬ್ಬರ ಸೆರೆ,ಒಂದು ಬಗೆಯ ಜಿಂಕೆ,A kind of deer,Yes,a,2025-02-02 18:50:15
ಮೃಗ,ಎರಡು ದಶಕಗಳ ಹಿಂದಿನ ಕೃಷ್ಣ ಮೃಗ ಬೇಟೆ ಪ್ರಕರಣಕ್ಕೆ ಸಂಬಂಧಿಸಿದಂತೆ ಸಲ್ಮಾನ್ ಖಾನ್‍ಗೆ 5 ವರ್ಷಗಳ ಜೈಲು ಶಿಕ್ಷೆ ಮತ್ತು 10 ಸಾವಿರ ದಂಡವನ್ನು ವಿಧಿಸಿ ಜೋಧಪುರ ಸಿಜೆಎಂ ಕೋರ್ಟ್ ಶಿಕ್ಷೆಯನ್ನುನಿನ್ನೆ ಪ್ರಕಟಮಾಡಿತ್ತು.,ಒಂದು ಬಗೆಯ ಜಿಂಕೆ,A kind of deer,Yes,a,2025-02-02 18:50:15
ಮೃಗ,ಸಲ್ಮಾನ್ ಖಾನ್ ಅವರು ಕೃಷ್ಣ ಮೃಗ ಬೇಟೆ ಪ್ರಕರಣದಲ್ಲಿ ಐದು ವರ್ಷಗಳ ಜೈಲು ಶಿಕ್ಷೆ ಒಳಗಾಗಿದ್ದಾರೆ.,ಒಂದು ಬಗೆಯ ಜಿಂಕೆ,A kind of deer,Yes,a,2025-02-02 18:50:15
ಮೃಗ,ಹಿಮಾಲಯದಲ್ಲಿ ವಿಶೇಷವಾಗಿ ಚಮರಿ ಮೃಗ ಎಂಬ ಪ್ರಾಣಿಸಂಕುಲವು ವಾಸವಾಗಿದ್ದು ಅವುಗಳು ಚಂದ್ರಕಿರಣದಂತಿರುವ ತನ್ನ ಬಾಲದಿಂದ ಪರ್ವತರಾಜನಾದ ಹಿಮಾಲಯಕ್ಕೆ ಚಾಮರಸೇವೆಯನ್ನು ನಡೆಸುತ್ತವೆ.,ಒಂದು ಬಗೆಯ ಜಿಂಕೆ,A kind of deer,Yes,a,2025-02-02 18:50:15
ಮೃಗ,ಕೃಷ್ಣ ಮೃಗ ಚರ್ಮ ಮಾರಾಟ : ಇಬ್ಬರ ಸೆರೆ,ಒಂದು ಬಗೆಯ ಜಿಂಕೆ,A kind of deer,Yes,a,2025-02-02 18:50:15
ಮೃಗ,"ಕ್ಯಾನ್ಸರ್ನಂತಹ ಬೀವರ್ಗಳು, ಆದರೆ, ಉದಾಹರಣೆಗೆ, ಕಸ್ತೂರಿ ಮೃಗ ಮಾತ್ರವಲ್ಲ.",ಒಂದು ಬಗೆಯ ಜಿಂಕೆ,A kind of deer,Yes,a,2025-02-02 18:50:15
ಮೃಗ,ಹೇಗೆ ಪುರುಷ ಮೃಗ ಬ್ರೌಸರ್ ಸ್ವಚ್ಛಗೊಳಿಸಲು,ಒಂದು ಬಗೆಯ ಜಿಂಕೆ,A kind of deer,Yes,a,2025-02-02 18:50:15
ಮೃಗ,ಅವರು ಪುರುಷ ಮೃಗ ಮೂಲಕ ಕೇವಲ ಸಂದರ್ಭದಲ್ಲಿ ಸಹಾಯ ಮಾಡುತ್ತದೆ.,ಒಂದು ಬಗೆಯ ಜಿಂಕೆ,A kind of deer,Yes,a,2025-02-02 18:50:15
ಮೃಗ,ಕೃಷ್ಣ ಮೃಗ ಬೇಟೆ ಪ್ರಕರಣದಲ್ಲಿ ಜಾಮೀನು ಸಿಕ್ಕ ನಂತರ ಮತ್ತೆ ಸುದ್ದಿಯಲ್ಲಿದ್ದಾರೆ.,ಒಂದು ಬಗೆಯ ಜಿಂಕೆ,A kind of deer,Yes,a,2025-02-02 18:50:16
ಮೃಗ,ಕಸ್ತೂರಿ ಮೃಗ ಒಂದು ತನ್ನೊೊಳಗೇ ಇರುವ ಕಸ್ತೂರಿಯ ಸುಗಂಧಕ್ಕಾಾಗಿ ಕಾಡೆಲ್ಲ ಅಲೆಯುತ್ತದೆ.,ಒಂದು ಬಗೆಯ ಜಿಂಕೆ,A kind of deer,Yes,a,2025-02-02 18:50:16
