word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಯಜಮಾನ,ಜೊತೆಗೆ ಮನೆಯ ಯಜಮಾನ ನಿಧನ ಹೊಂದಿದರೆ ಆ ಕುಟುಂಬಕ್ಕೆ ರಾಷ್ಟ್ರೀಯ ಕುಟುಂಬ ಯೋಜನೆಯಡಿ 25 ಸಾವಿರದಿಂದ 50 ಸಾವಿರ ರೂ.,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family,Yes,Darshan R K,2025-02-02 17:26:11
ಯಜಮಾನ,"ಹೀಗಾಗಿ ಇದೀಗ ಬಯೋ ಮೆಟ್ರಿಕ್ ದಾಖಲಾತಿಯ ಸಂದರ್ಭದಲ್ಲಿ ಆಹಾರ ಮತ್ತು ನಾಗರೀಕ ಪೂರಕೇ ಇಲಾಖೆಯ ಅಧಿಕಾರಿಗಳು ಸೂಚಿಸಿದಂತೆ, ಕುಟುಂಬದ ಯಜಮಾನ ತಂದೆ, ಮಗನಿದ್ದ ಸ್ಥಾನಕ್ಕೆ, ಯಜಮಾನಿಯಾಗಿ ಮಹಿಳೆಯನ್ನು ಸೂಚಿಸಲಾಗುತ್ತಿದೆ.",ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family,Yes,Darshan R K,2025-02-02 17:26:11
ಯಜಮಾನ,ಈ ಪ್ರಕರಣದಲ್ಲಿ ಮನೆಯ ಯಜಮಾನ ಮತ್ತು ಈ ಸಾಮೂಹಿಕ ಆತ್ಮಹತ್ಯೆ ಪ್ರಕರಣದ ರೂವಾರಿ ಎನ್ನಲಾಗುತ್ತಿರುವ ಲಲಿತ್ ಭಾಟಿಯಾ ತಮ್ಮ ನಂಬಿಕೆಗಳನ್ನು ಕುಟುಂಬದ ಇತರ ಸದಸ್ಯರಿಗೆ ವರ್ಗಾಯಿಸಿದ್ದಾರೆ ಎನ್ನಲಾಗುತ್ತಿದೆ!,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family,Yes,Darshan R K,2025-02-02 17:26:11
ಯಜಮಾನ,ಯಜಮಾನ ಚಿತ್ರ ಶುರುವಾದಾಗಿನಿಂದ ಚಿತ್ರದ ಪ್ರತಿ ಹಂತದಲ್ಲೂ ವಿ.,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family,No,Darshan R K,2025-02-02 17:26:11
ಯಜಮಾನ,ಈ ಬಗೆಯ ಪ್ಯಾನ್ ಕಾರ್ಡ್ ಗೆ ಅರ್ಜಿ ಸಲ್ಲಿಸುವವರು ಅಥವಾ ಕುಟುಂಬದ ಯಜಮಾನ ಎಲ್ಲ ದಾಖಲೆಗಳನ್ನು ನೀಡಬೇಕಾಗುತ್ತದೆ.,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family,Yes,Darshan R K,2025-02-02 17:26:11
ಯಜಮಾನ,": ನಗರ ಪ್ರತಿಷ್ಠಿತ ಬಡಾವಣೆಗಳಲ್ಲಿ ಗಣತಿದಾರು ಹೋದಾಗ ಬಹುತೇಕ ಮನೆಗಳಲ್ಲಿ ಮಹಿಳೆಯರು, ಮಕ್ಕಳು ಮಾತ್ರ ಇದ್ದು, ಮನೆಯ ಯಜಮಾನ ಇರುತ್ತಿರಲಿಲ್ಲ.",ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family,Yes,Darshan R K,2025-02-02 17:26:11
ಯಜಮಾನ,ಯಜಮಾನ ಹೇಳಿದ ಮೇಲೆ ಒಪ್ಪಲೇಬೇಕು ಅಲ್ಲವೇ ?,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family,Yes,Darshan R K,2025-02-02 17:26:11
ಯಜಮಾನ,ಚಾಲೆಂಜಿಂಗ್ ಸ್ಟಾರ್ ದರ್ಶನ್ ನಟಿಸುತ್ತಿರುವ ಯಜಮಾನ ಚಿತ್ರಕ್ಕೆ ಬ್ರೇಕ್!,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family,No,Darshan R K,2025-02-02 17:26:11
ಯಜಮಾನ,ಯಜಮಾನ ಹಾಡುಗಳ ಮೂಲಕ ಸೌಡು ಜೊತೆ ಬ್ಯಾಂಡ್ ಕ್ರಿಯೇಟ್ ಮಾಡ್ತಿದ್ದು.,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family,No,Darshan R K,2025-02-02 17:26:11
ಯಜಮಾನ,"ನಿಯತಿಯ ಆಣತಿಗೆ ತಲೆಬಾಗುವ ನಂಬಿಕೆ ಇಲ್ಲದೆ ದೈವತ್ವದ ಕಲ್ಪನೆ ಉಳಿಯುವುದು ಸಾಧ್ಯವಿಲ್ಲವಾದಂತೆ, ಪಿತೃಭಕ್ತಿ ಇಲ್ಲದೆ ಪಿತೃಪ್ರಧಾನ ಕೌಟುಂಬಿಕೆ ವ್ಯವಸ್ಥೆ ಉಳಿಯುವುದು ಕಷ್ಟಸಾಧ್ಯ; ಭಾರತದಲ್ಲಿ ಇಂದಿಗೂ ಚಾಲತಿಯಲ್ಲಿರುವ ಹಿರಿಯ ಗಂಡು ಮಗ ಪ್ರಧಾನವಾದ ಯಜಮಾನ ಸಂಸ್ಕೃತಿಯ ಆಗಮನ ಕಾಲದ ಸಂಘರ್ಷವನ್ನು ರಾಮಾಯಣ ತನ್ನ ವಸ್ತುವನ್ನಾಗಿ ಆರಿಸಿಕೊಂಡಂತೆ ಕಾಣುತ್ತದೆ; ಅಥವಾ ಅದರ ಪ್ರತಿಫಲನವನ್ನು ಅಲ್ಲಿ ಕಾಣಬಹುದಾಗಿದೆ.",ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family,Yes,Darshan R K,2025-02-02 17:26:11
