word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಯಜಮಾನ,ನನ್ನ ಯಜಮಾನ ನನ್ನನ್ನು ರಾಣಿಯ ಹಾಗೆ ಇರಿಸಿದ್ದಾನೆ.,"ಗಂಡ, ಪತಿ, ಮದುವೆಯಾದವ, ಇನಿಯ",Husband,Yes,Darshan R K,2025-02-02 17:31:29
ಯಜಮಾನ,ನನಗೆ ಭಾವನಾಗಿರತಕ್ಕಂಥವರು ತಂದೆ ಸಮಾನವಲ್ಲವೇ ಯಜಮಾನ,"ಗಂಡ, ಪತಿ, ಮದುವೆಯಾದವ, ಇನಿಯ",Husband,Yes,Darshan R K,2025-02-02 17:31:29
ಯಜಮಾನ,"ಇದು ದರ್ಶನ್ ಅಭಿಮಾನಿಗಳೇ ಮಾಡಿರುವುದು ಎಂದು ಸುದೀಪ್ ಫ್ಯಾನ್ಸ್ ಆರೋಪ ಮಾಡಿದ್ದರೆ, ದರ್ಶನ್ ಅಭಿನಯದ ಕುರುಕ್ಷೇತ್ರ ಮತ್ತು ಯಜಮಾನ ಚಿತ್ರಗಳೂ ಪೈರಸಿ ಆಗಿತ್ತು ಆಗ ನಾವು ನಿಮ್ಮ ಮೇಲೆ ಆರೋಪ ಮಾಡಿದ್ದೇವೆಯೇ ಎಂದು ಒಬ್ಬರ ಮೇಲೊಬ್ಬರು ಕೆಂಡ ಕಾರುತ್ತಿದ್ದಾರೆ.","ಗಂಡ, ಪತಿ, ಮದುವೆಯಾದವ, ಇನಿಯ",Husband,No,Darshan R K,2025-02-02 17:31:29
ಯಜಮಾನ,ಆದರೆ ಆ ಮನೆಯ ಯಜಮಾನ ನಿಝಾರ್ ಕನಸು ಕಂಡು ಕಟ್ಟಿದ ಮನೆ ಬಿಟ್ಟು ಹೊರಟಿದ್ದಾರೆ.,"ಗಂಡ, ಪತಿ, ಮದುವೆಯಾದವ, ಇನಿಯ",Husband,No,Darshan R K,2025-02-02 17:31:29
ಯಜಮಾನ,ಚಾಲೆಂಜಿಂಗ್ ಸ್ಟಾರ್ ದರ್ಶನ್ ಅಭಿನಯದ ಯಜಮಾನ ಚಿತ್ರ ರಾಜ್ಯಾದ್ಯಂತ ಭರ್ಜರಿ ಕಲೆಕ್ಷನ್ ಮಾಡುತ್ತಿದ್ದು ಈ ಮಧ್ಯೆ ಚಿತ್ರದ ಆನ್ ಲೈನ್ ನಲ್ಲಿ ಸೋರಿಕೆಯಾಗಿದ್ದು ಚಿತ್ರದ ಕಲೆಕ್ಷನ್ ಮೇಲೆ ದೊಡ್ಡ ಹೊಡೆತ ಬಿದ್ದಿದೆ.,"ಗಂಡ, ಪತಿ, ಮದುವೆಯಾದವ, ಇನಿಯ",Husband,No,Darshan R K,2025-02-02 17:31:29
ಯಜಮಾನ,ಒಂದು ದಿನ ಇದ್ದಕ್ಕಿದ್ದಂತೆ ಪಾಂಡವರು ವಾಸವಾಗಿದ್ದ ಬ್ರಾಹ್ಮಣರ ಮನೆಯ ಯಜಮಾನ ಗಟ್ಟಿಯಾಗಿ ಅಳುತ್ತಿದ್ದುದನ್ನು ಕೇಳಿ ಕುಂತಿಯು ಆ ಅಳುವಿಗೆ ಕಾರಣವನ್ನು ವಿಚಾರಿಸಿದಳು.,"ಗಂಡ, ಪತಿ, ಮದುವೆಯಾದವ, ಇನಿಯ",Husband,No,Darshan R K,2025-02-02 17:31:29
ಯಜಮಾನ,ಹೊಸದರಲ್ಲಿ ಯಜಮಾನ ನನ್ನನ್ನು ಚೆನ್ನಾಗಿಯೇ ನೋಡಿಕೊಂಡ.,"ಗಂಡ, ಪತಿ, ಮದುವೆಯಾದವ, ಇನಿಯ",Husband,Yes,Darshan R K,2025-02-02 17:31:29
ಯಜಮಾನ,"ಸಾವಿನ ನಂತರವೂ ಯಜಮಾನ ಅದೇ ಪ್ರೀತಿ ತೋರಿದ್ದು, ಸಕಲ ವಿಧಿ ವಿಧಾನಗಳ ಮೂಲಕ ಅಂತ್ಯಕ್ರಿಯೆ ನೆರವೇರಿಸಿದ್ದಾರೆ.","ಗಂಡ, ಪತಿ, ಮದುವೆಯಾದವ, ಇನಿಯ",Husband,Yes,Darshan R K,2025-02-02 17:31:29
ಯಜಮಾನ,"ಬಿಳಿಬಣ್ಣದ ಒಂಟಿ ಕೊಕ್ಕರೆಯನ್ನಿರಿಸಿದರೆ ಅದು ಕುಟುಂಬ ಸದಸ್ಯರ ನಡುವೆ ಹಿತ ಕಾಪಾಡುವದು,ಜೋಡಿ ಬಿಳಿ ಕೊಕ್ಕರೆಗಳನ್ನಿರಿಸಿದರೆ ಮನೆ ಯಜಮಾನ ಯಜಮಾನಿಯ ನಡುವೆ ಒಗ್ಗಟ್ಟು ಇದ್ದು ಕುಟುಂಬ ಸಲೀಸಾಗಿ ಸಾಗುತ್ತದೆ.","ಗಂಡ, ಪತಿ, ಮದುವೆಯಾದವ, ಇನಿಯ",Husband,No,Darshan R K,2025-02-02 17:31:29
ಯಜಮಾನ,ಒಳಗಿದ್ದ ಮನೆಯ ಯಜಮಾನ ಬನ್ನಿ ಬನ್ನಿ ಎಂದು ಗಂಡನನ್ನು ಒಳಗೆ ಕರೆದರು.,"ಗಂಡ, ಪತಿ, ಮದುವೆಯಾದವ, ಇನಿಯ",Husband,Yes,Darshan R K,2025-02-02 17:31:29
