word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಯಜಮಾನ,ಹೊರಗೆ ಮನೆ ಯಜಮಾನ ಆಕಳಿಸುತ್ತಾ ಬಂದು ಬಾತ್ರೂಂ ಗೆ ಹೋದ.,ಮಾಲೀಕ,Owner,No,Darshan R K,2025-02-02 17:54:29
ಯಜಮಾನ,"ಈ ರೂಮ್ ಬಾಯ್ ಯಾವಾಗ ಬಂದ ಗೊತ್ತಾಗದು) ಗೌಡರ ಬ್ರಾಂದಿ ದಾಹವನ್ನೂ, ನಡತೆಯನ್ನೂ ಖಂಡಿಸಿ ನಿಂದಿಸಿ ಯೋಚಿಸಿದನಂತೆ – ಯಜಮಾನ ಆ ಹೋಟಲಿಗೆ ಯಜಮಾನ ತಮಗೆ ಅನ್ನ ಕೊಟ್ಟವರು, ಅವರ ಬಗ್ಗೆ ದುರಾಲೋಚನೆ ನಡೆಸುವುದೆ ತಪ್ಪು.",ಮಾಲೀಕ,Owner,Yes,Darshan R K,2025-02-02 17:54:29
ಯಜಮಾನ,"ಬಳಿಕ ಮನೆಯ ಯಜಮಾನ ಸುದರ್ಶನ್ ಅವರು ಬೆಳಗ್ಗೆ ಬಂದು ನೋಡಿದಾಗ ಅಪರಿಚಿತ ವ್ಯಕ್ತಿ ನಿದ್ರಿಸಿದ್ದನ್ನು ಕಂಡು, ಬಳಿಕ ಈತ ಕಳ್ಳ ಎಂದು ಧೃಡಪಟ್ಟ ಬಳಿಕ ಧರ್ಮದೇಟು ನೀಡಿ ಸ್ಥಳೀಯ ಪೊಲೀಸರಿಗೆ ಒಪ್ಪಿಸಿದ್ದಾರೆ.",ಮಾಲೀಕ,Owner,No,Darshan R K,2025-02-02 17:54:29
ಯಜಮಾನ,ಅವನು ಯಜಮಾನ ಹೇಳಿದ ಸುದ್ದಿಯನ್ನು ಕೇರಿಯಲ್ಲಿ ಸಾರುವುದು ಮತ್ತು ಬೇಕಾದವರನ್ನು ಕರೆದುಕೊಂಡು ಬರುವ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದನು.,ಮಾಲೀಕ,Owner,Yes,Darshan R K,2025-02-02 17:54:29
ಯಜಮಾನ,"ಘಟನೆಯ ಬಗ್ಗೆ ಇಂಡಿಯನ್ ಎಕ್ಸ್‌ಪ್ರೆಸ್ ಪತ್ರಿಕೆ ಜೊತೆ ಮಾತನಾಡಿದ ಮನೆಯ ಯಜಮಾನ ಮುಹಮ್ಮದ್ ಸಾಜಿದ್, ನಾವು ನಮ್ಮ ಹಳ್ಳಿಗೆ ಅಥವಾ ದಿಲ್ಲಿಗೆ ತೆರಳಲು ಯೋಚಿಸುತ್ತಿದ್ದೇವೆ.",ಮಾಲೀಕ,Owner,No,Darshan R K,2025-02-02 17:54:29
ಯಜಮಾನ,ಮನೆಯ ಯಜಮಾನ ಹಸನ್ ಅವರು ಗಲ್ಫ್‌ನಲ್ಲಿದ್ದಾರೆ.,ಮಾಲೀಕ,Owner,No,Darshan R K,2025-02-02 17:54:29
ಯಜಮಾನ,ಈ ದೃಶ್ಯ ಕಂಡು ಕೆಂಡಾಮಂಡಲನಾದ ಕಾರಿನ ಯಜಮಾನ ರಂಗಾಯಣರಘು ಮೇಲೆ ಹೌಹಾರುತ್ತಾನೆ.,ಮಾಲೀಕ,Owner,Yes,Darshan R K,2025-02-02 17:54:29
ಯಜಮಾನ,"ಇಲ್ಲಿ ಎಸ್ಟೇಟ್ ಸಂಸ್ಕೃತಿ ಯಜಮಾನ ಸಂಸ್ಕೃತಿ, ಹೈಟೆಕ್ ಸಂಸ್ಕೃತಿ ಮುಂತಾದ ಮಾತುಗಳು ಬಂದವು.",ಮಾಲೀಕ,Owner,Yes,Darshan R K,2025-02-02 17:54:29
ಯಜಮಾನ,"ಚಿತ್ರದಲ್ಲಿ ಯಜಮಾನ ಹಾಗೂ ವಾಹನ ಚಾಲಕನ ಸಂಬಂಧ ನಿತ್ಯ ಜೀವನದಲ್ಲಿ ಹೇಗಿರುತ್ತದೆ ಎಂದು ಪ್ರಸ್ತಾಪಿಸುತ್ತಾ, ಜೀವನದ ಅನೇಕ ಸ್ತರಗಳ ಪರಿಚಯ ಮಾಡಿ ಕೊಡಲಾಗುತ್ತಿದೆ.",ಮಾಲೀಕ,Owner,Yes,Darshan R K,2025-02-02 17:54:29
ಯಜಮಾನ,ಸಹಕಾರಿ ಸಂಘವು ಯಜಮಾನ ಕೊಡುವ ದರಕ್ಕಿಂತ ಹೆಚ್ಚಿನದರ ಕೊಡುವ ಪದ್ಧತಿ ಮುಂದುವರೆಯಬೇಕು.,ಮಾಲೀಕ,Owner,Yes,Darshan R K,2025-02-02 17:54:29
