word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ರಾಶಿ,"ಈ ಎಲ್ಲ ಹೊಂದಾಣಿಕೆಯ ಸಂಬಂಧಗಳೊಂದಿಗೆ, ಧನು ರಾಶಿ ಒಂದನ್ನು ರಾಶಿಚಕ್ರ ಸ್ನೇಹಿತ ಎಂದು ಕರೆಯುತ್ತಾರೆ.","ಜ್ಯೋತಿಷ್ಚಕ್ರದಲ್ಲಿರುವ) ಮೇಷ, ವೃಷಭ ಮೊ. ಹನ್ನೆರಡು ವಿಭಾಗಗಳು",Astrology Sign,Yes,a,2025-02-06 20:53:29
ರಾಶಿ,2019ರ ರಾಶಿ ಭವಿಷ್ಯವನ್ನು ಆಧರಿಸಿದರೆ ಈ ವರ್ಷ ನಿಮ್ಮ ಆರ್ಥಿಕ ಸ್ಥಿತಿಯು ಅತ್ಯುತ್ತಮವಾದ ಬದಲಾವಣೆಯನ್ನು ಪಡೆದುಕೊಳ್ಳುವುದು.,"ಜ್ಯೋತಿಷ್ಚಕ್ರದಲ್ಲಿರುವ) ಮೇಷ, ವೃಷಭ ಮೊ. ಹನ್ನೆರಡು ವಿಭಾಗಗಳು",Astrology Sign,Yes,a,2025-02-06 20:53:29
ರಾಶಿ,ಇಂದಿನ ರಾಶಿ ಭವಿಷ್ಯ : ಶುಕ್ರವಾರದ ನಿಮ್ಮ ಸಂಪೂರ್ಣ ರಾಶಿ ಭವಿಷ್ಯ ಇಲ್ಲಿದೆ ನೋಡಿ.,"ಜ್ಯೋತಿಷ್ಚಕ್ರದಲ್ಲಿರುವ) ಮೇಷ, ವೃಷಭ ಮೊ. ಹನ್ನೆರಡು ವಿಭಾಗಗಳು",Astrology Sign,Yes,a,2025-02-06 20:53:29
ರಾಶಿ,ಶುಭ ಶನಿವಾರ ರಾಶಿ ಭವಿಷ್ಯ ಮಹಾನ್ ದೈವತಜ್ಞರು ಪ್ರಚಂಡ ಜ್ಯೋತಿಷ್ಯ ಪಾಂಡಿತ್ಯ ಹೊಂದಿರುವ ಕೃಷ್ಣ ಭಟ್ ಅವರು ಆದ್ಯಾತ್ಮಿಕ ಚಿಂತಕರು ನಿಮ್ಮ ಸಮಸ್ಯೆಗಳಿಗೆ ಪರಿಹಾರ ತಿಳಿಯಲು ಹಾಗು ನಿಮ್ಮ ಮನಸಿನಲ್ಲಿ ಅಡಚಣೆ ಉಂಟಾಗುವ ಯಾವುದೇ ಪ್ರಶ್ನೆ ಅಥವಾ ಸಮಸ್ಯೆ ಇದ್ದಲ್ಲಿ ಅದರ ಉತ್ತರ ತಿಳಿಯಲು ಪ್ರಯತ್ನ ಪಡೆಯುತ್ತೀರಾ?,"ಜ್ಯೋತಿಷ್ಚಕ್ರದಲ್ಲಿರುವ) ಮೇಷ, ವೃಷಭ ಮೊ. ಹನ್ನೆರಡು ವಿಭಾಗಗಳು",Astrology Sign,Yes,a,2025-02-06 20:53:29
ರಾಶಿ,ಇಂದಿನ ಸಂಪೂರ್ಣ ರಾಶಿ ಭವಿಷ್ಯ : ಗುರುವಾರದ ನಿಮ್ಮ ರಾಶಿಫಲಗಳು ಇಲ್ಲಿವೆ ನೋಡಿ‌.,"ಜ್ಯೋತಿಷ್ಚಕ್ರದಲ್ಲಿರುವ) ಮೇಷ, ವೃಷಭ ಮೊ. ಹನ್ನೆರಡು ವಿಭಾಗಗಳು",Astrology Sign,Yes,a,2025-02-06 20:53:29
ರಾಶಿ,"ಧನು ರಾಶಿ ಭೂಮಿಯ ಯಾವುದೇ ಚಿಹ್ನೆಗಳೊಂದಿಗೆ (ಮಕರ ಸಂಕ್ರಾಂತಿ, ಕನ್ಯಾರಾಶಿ, ಅಥವಾ ತಾರಸ್) ಮಾತನಾಡದ ತಿಳುವಳಿಕೆಯನ್ನು ಕಾಣಬಹುದು.","ಜ್ಯೋತಿಷ್ಚಕ್ರದಲ್ಲಿರುವ) ಮೇಷ, ವೃಷಭ ಮೊ. ಹನ್ನೆರಡು ವಿಭಾಗಗಳು",Astrology Sign,Yes,a,2025-02-06 20:53:30
ರಾಶಿ,"ನೈಸರ್ಗಿಕ ಮೊಂಡುತನ ನಿಖರವಾಗಿ ಮತ್ತು ಸಮಯಕ್ಕೆ ಕರ್ತವ್ಯಗಳನ್ನು ಪೂರೈಸಲು ಸಹಾಯ, ಆದ್ದರಿಂದ ಈ ರಾಶಿ ಪ್ರತಿನಿಧಿಗಳು ಅಪ್ರತಿಮ ಕಾರ್ಮಿಕರ-ಪ್ರದರ್ಶನ ಇವೆ.","ಜ್ಯೋತಿಷ್ಚಕ್ರದಲ್ಲಿರುವ) ಮೇಷ, ವೃಷಭ ಮೊ. ಹನ್ನೆರಡು ವಿಭಾಗಗಳು",Astrology Sign,Yes,a,2025-02-06 20:53:30
ರಾಶಿ,ಅತೀವವಾದ ಅತೀಂದ್ರಿಯ ಲೇಹ್ ಸಲಹೆ ಕುಂಭ ರಾಶಿ ಆರೆಗಳು ಜ್ಯೋತಿಷ್ಯಶಾಸ್ತ್ರ ಕ್ಯಾನ್ಸರ್ ಕ್ಯಾಪಿರಿಕನ್ ಸ್ಫಟಿಕ ಮಕ್ಕಳ ಮಾನಸಿಕ ಪುಸ್ತಕಗಳು ಮುನ್ಸೂಚನೆ ಉಚಿತ ಆನ್ಲೈನ್ ​​ಅತೀಂದ್ರಿಯ ಚಾಟ್ ಉಚಿತ ಮಾನಸಿಕ ಪ್ರಶ್ನೆ ಜೆಮಿನಿ ಜಾತಕ ಐಪ್ಯಾಡ್ ಪೌಂಡ್ ಅತೀಂದ್ರಿಯ ಬದುಕು ಮಾನಸಿಕ ಆನ್ಲೈನ್ ​​ಲೈವ್ ಮಾನಸಿಕವಾಗಿ ಬದುಕು ಪ್ರೀತಿ ಮಾನಸಿಕ ಓದುವಿಕೆ ಪ್ರೀತಿ ಮಾನಸಿಕ ರೀಡಿಂಗ್ಸ್ ಪ್ರೀತಿಸುತ್ತೇನೆ ಮಧ್ಯಮ ಆನ್ಲೈನ್ ​​ಮಾನಸಿಕ ಫೋನ್ ಮಾನಸಿಕ ಮೀನ ಅತೀಂದ್ರಿಯ ಅತೀಂದ್ರಿಯ ಲೇಹ್ ಮಾನಸಿಕ ಓದುವಿಕೆ ಅತೀಂದ್ರಿಯ ವಾಚನಗೋಷ್ಠಿಗಳು ಅತೀಂದ್ರಿಯ ಓದುವುದು ಧನು ರಾಶಿ ಸ್ಕಾರ್ಪಿಯೋ ಸೈನ್ ಆತ್ಮ ಆಧ್ಯಾತ್ಮಿಕ ಮಾನಸಿಕ ವಾಚನಗೋಷ್ಠಿಗಳು ಟ್ಯಾರೋ ಟಾರಸ್ ನಿಮ್ಮ ಅತೀಂದ್ರಿಯ ಪರೀಕ್ಷೆ ಸ್ಫಟಿಕ ಮಕ್ಕಳು ಮಾನಸಿಕ ಕನ್ಯಾರಾಶಿ ಸಾಪ್ತಾಹಿಕ ರಾಶಿಚಕ್ರ,"ಜ್ಯೋತಿಷ್ಚಕ್ರದಲ್ಲಿರುವ) ಮೇಷ, ವೃಷಭ ಮೊ. ಹನ್ನೆರಡು ವಿಭಾಗಗಳು",Astrology Sign,Yes,a,2025-02-06 20:53:30
ರಾಶಿ,ನಿಮ್ಮ ರಾಶಿ ಚಕ್ರದ ಪ್ರಕಾರ ಮೇ ತಿಂಗಳಲ್ಲಿ ನಿಮ್ಮ ವೇಗಕ್ಕೆ ಸ್ವಲ್ಪ ತಡೆಯಾಗುವ ಸಾಧ್ಯತೆಗಳು ಇವೆ.,"ಜ್ಯೋತಿಷ್ಚಕ್ರದಲ್ಲಿರುವ) ಮೇಷ, ವೃಷಭ ಮೊ. ಹನ್ನೆರಡು ವಿಭಾಗಗಳು",Astrology Sign,Yes,a,2025-02-06 20:53:30
ರಾಶಿ,ಮೂರನೆಯದು ತುಲಾ ರಾಶಿ ಈ ರಾಶಿಯವರು ಜೀವನದಲ್ಲಿ ತುಂಬಾ ಕಷ್ಟಗಳನ್ನು ಅನುಭವಿಸಿಕೊಂಡು ಬಂದಿರುವವರು ಆದರೆ ಹೊಸ ವರ್ಷದಲ್ಲಿ ಶನಿ ದೇವರ ಆಶೀರ್ವಾದ ಈ ರಾಶಿಯವರ ಮೇಲೆ ಇರುವುದರಿಂದ ಎಲ್ಲ ಕಷ್ಟಗಳು ನಿವಾರಣೆ ಆಗಲಿವೆ ಈ ವರ್ಷದಲ್ಲಿ,"ಜ್ಯೋತಿಷ್ಚಕ್ರದಲ್ಲಿರುವ) ಮೇಷ, ವೃಷಭ ಮೊ. ಹನ್ನೆರಡು ವಿಭಾಗಗಳು",Astrology Sign,Yes,a,2025-02-06 20:53:30
