word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ರಾಶಿ,"ಈ ಮೊದಲ ಮತ್ತು ಎರಡನೇ - ಒಂದು ವೈಯಕ್ತಿಕ ಸಭೆಯಲ್ಲಿ ನೀವು, ಕಾರ್ಪೊರೇಟ್ ಒಂದು ಛಾಯಾಗ್ರಾಹಕನಾಗಿ, ಪತ್ತೆ ಮಾಡಬೇಕು - ಭವಿಷ್ಯದ ಚಿತ್ರಗಳಿಂದ ಗ್ರಾಹಕ ರಾಶಿ ನಿಖರವಾಗಿ, ಮತ್ತು ನಿಮ್ಮ ಗ್ರಾಹಕರ ಫೋಟೋಗಳನ್ನು ಮೂಲಭೂತ ಕಲಿಸಲು ಅಲ್ಲ.",ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,"ದೇವರಜೀವನಹಳ್ಳಿ ಮುಖ್ಯ ರಸ್ತೆಯಲ್ಲಿ ರಾಶಿ ರಾಶಿಯಾಗಿ ಬಿದ್ದಿದ್ದ ಕಸವನ್ನು ಗಮನಿಸಿದ ಅವರು, ಕಸ ವಿಲೇವಾರಿಗಾಗಿ ಏನು ಕ್ರಮ ಕೈಗೊಂಡಿದ್ದೀರಿ?",ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,ಈ ನೀರಿಗೆ ಯಾರೋ ಕಿಡಿಗೇಡಿಗಳು ತ್ಯಾಜ್ಯಗಳನ್ನು ತಂದು ಹಾಕುತ್ತಿದ್ದು ನೀರು ಕಲುಷಿತಗೊಂಡಿದ್ದು ಸುತ್ತಮುತ್ತಲು ತ್ಯಾಜ್ಯಗಳ ರಾಶಿ ಇದ್ದು ದುರ್ನಾತ ಬೀರುತ್ತಿದೆ.,ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,"ಅನೂಪ್‌ ಜನಾರ್ಧನ್‌ ಮಾತನಾಡಿ, ಪಶ್ಚಿಮಘಟ್ಟದಲ್ಲಿ ನಡೆಯುತ್ತಿರುವ ಅವೈಜ್ಞಾನಿಕ ಕಾಮಗಾರಿಗಳಿಂದಾಗಿ ಅಸಂಖ್ಯಾತ ವೃಕ್ಷ ರಾಶಿ ಸರ್ವನಾಶವಾಗುತ್ತಿದೆ.",ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,"ಮುಂಡಗೋಡ: ಭತ್ತದ ಗದ್ದೆಗಳಿಗೆ ದಾಳಿ ಮಾಡಿರುವ ಕಾಡಾನೆಗಳ ಹಿಂಡು ಕೊಯ್ಲಿಗೆ ಬಂದ ಭತ್ತ ಹಾಗೂ ರಾಶಿ ಮಾಡಲು ಹಾಕಿದ ಬಣವೆಯಲ್ಲಿನ ಭತ್ತವನ್ನು ತಿಂದು, ತುಳಿದು ಹಾನಿ ಮಾಡಿದ ಘಟನೆ ತಾಲ್ಲೂಕಿನ ಗುಂಜಾವತಿ ಗ್ರಾಮ ಪಂಚಾಯ್ತಿ ವ್ಯಾಪ್ತಿಯ ಕಳಕಿಕೇರಾ ಗ್ರಾಮದಲ್ಲಿ ಮಂಗಳವಾರ ರಾತ್ರಿ ಸಂಭವಿಸಿದೆ.",ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,"ಶನಿವಾರ ತಡ ರಾತ್ರಿ ವೇಳೆ ಮತ್ತೆ ಇಂತಹದ್ದೇ ಪ್ರಕರಣವೊಂದು ನಡೆದಿದ್ದು, ಕೋಳಿ ಸಾಗಾಟದ ಮಿನಿ ಟೆಂಪೋವೊಂದು ಇಲ್ಲಿನ ಜಲ್ಲಿ ಹಾಗೂ ಮರಳು ರಾಶಿ ಚಾಲಕನ ಗಮನಕ್ಕೆ ಬಾರದೆ ನಿಯಂತ್ರಣ ಮೀರಿ ರಸ್ತೆಯಲ್ಲೇ ಪಲ್ಟಿಯಾಗಿದೆ.",ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,ನಗರದ ಸ್ಯೂಯೇಜ್ ಫಾರಂನಲ್ಲಿನ ಕಸದ ರಾಶಿ,ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,ಮಸ್ಕಿ 23: ಪಟ್ಟಣದ ಮಟ್ಟೂರು ಗ್ರಾಮದಲ್ಲಿ ರೈತನಾದ ತೂಗಪ್ಪ ಬಸಣ್ಣ ಸೇರಿದ್ದ 3 ಎಕರೆ ಜಮೀನುನಲ್ಲಿ ರಾಶಿ ಮಾಡಲು ಕ್ಯೋಯಿದಿದ ತೋಗರಿ ಬೇಳೆಗೆ ಯಾರು ಕೀಡಿಗೇಡಿಗಳು ಬೆಂಕಿ ಹಂಚಿದರು.,ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,"ಮುಂಗಡವಾಗಿ ಊಟದ ಜೋಳ ಬಿತ್ತನೆ ಮಾಡಿದ್ದ ಬೆರಳೆಣಿಕೆಯ ರೈತರು ತೆನೆ ಕೊಯ್ದು ರಾಶಿ ಮಾಡಿಕೊಂಡಿದ್ದರೇ, ಬೆಳೆ ಕಳೆದುಕೊಂಡ ರೈತರು ಕೈಸುಟ್ಟು ಕೊಳ್ಳುವಂತಾಗಿದೆ.",ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,"ಮಹೋದಯಾ, ನಾನು ಇಷ್ಟು ದೊಡ್ಡ ಕಾರ್ಖಾನೆಗಳಿಂದ, ಇಷ್ಟೊಂದು ಸಿಬ್ಬಂದಿಯಿಂದ, ರಾಶಿ ದುಡ್ಡಿನಿಂದ ಸಾಧಿಸಲಾಗದ್ದನ್ನು ನೀನು ಈ ಒಂದು ತೋಳುದ್ದದ ಮರದ ಕೊಳವೆಯಿಂದ ಸಾಧಿಸಿಬಿಟ್ಟಿದ್ದೀಯಲ್ಲಪ್ಪಾ!",ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,"ಮಾನವ ಸೃಷ್ಟಿಸುವ ರಾಶಿ ರಾಶಿ ಕಸವು ಮುಗ್ದ ಜೀವಿಗಳ ಜೀವಕ್ಕೆ ಕುಂದು ತರುತ್ತಿದೆ, ಎಂದು ಪ್ರವೀಣ್ ಕಸ್ವಾನ್ ಟ್ವೀಟ್ ಮಾಡಿದ್ದಾರೆ.",ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,ಈ ಸಸ್ಯ ಶೀತ ಹವಾಮಾನ ರವರೆಗೆ ಬೃಹತ್ ಹಸಿರು ರಾಶಿ ನಿರ್ಮಿಸಲು ಸಮಯ ಹೊಂದಿದೆ.,ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,ಕುಮಟಾ ತಾಲ್ಲೂಕಿನ ಖೈರೆ ಗ್ರಾಮದ ಸರ್ಕಾರಿ ಶಾಲೆಯ ಸಮೀಪ ಅನಧಿಕೃತ ಗುಜರಿ ಸಾಮಗ್ರಿ ರಾಶಿ,ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,"ಪೇಟೆಗಳಲ್ಲಿ ಅಂಗಡಿ ಮಾಲಿಕರು ತಮ್ಮ ಅಂಗಡಿ ಬಾಗಿಲುಗಳಲ್ಲಿ ಗುಡಿಸಿ ಒಟ್ಟು ಮಾಡಿದ ಕಸ, ಪ್ಲಾಸ್ಟಿಕ್‌ ತ್ಯಾಜ್ಯವನ್ನು ನಾಶಗೊಳಿಸಲು ಮರಗಳ ಬುಡದಲ್ಲಿ ರಾಶಿ ಹಾಕಿ ಬೆಂಕಿ ಇಡುತ್ತಾರೆ.",ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,ಹೀಗೆ ಕುಯ್ದ ನಂತರ ಕಣದಲ್ಲಿ ಧಾನ್ಯವನ್ನು ಬೇರ್ಪಡಿಸಿ ರಾಶಿ ಕಟ್ಟುತ್ತಾರೆ.,ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,ತೋಟಗಳಿಂದ ಹಣ್ಣುಗಳನ್ನು ತಂದು ರಾಶಿ ಹಾಕಲಾಗುತ್ತದೆ.,ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,ಈ ಬನದಲ್ಲಿ ರಾಶಿ ಬಿದ್ದ ಮಣ್ಣ ಹರಕೆಗಳನ್ನು ನೋಡುತ್ತಿದ್ದರೆ ದಂಗಾಗಿ ನಿಲ್ಲುತ್ತೇವೆ.,ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,"ರಸ್ತೆಯ ಇಕ್ಕೆಲಗಳು ಮತ್ತು ಪಾದಚಾರಿ ಮಾರ್ಗಗಳಲ್ಲಿ ಮಾರಾಟವಾಗದೆ ಉಳಿದ ಬಾಳೆಕಂಬ, ಬೂದುಗುಂಬಳ, ಮಾವಿನಸೊಪ್ಪುಮತ್ತು ಬಾಡಿದ ಹೂವುಗಳು ರಾಶಿ ಬಿದ್ದಿದ್ದು, ಬಿಡದೆ ಸುರಿಯುತ್ತಿರುವ ಮಳೆಯಿಂದಾಗಿ ಕೊಳೆತು ದುರ್ವಾಸನೆ ಬೀರುತ್ತಿವೆ.",ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,ಕುಮಾರಿ ಭೇಟಿ ನೀಡಿದ್ದಾಗ ಕ್ಷೇತ್ರದಲ್ಲಿ ವರ್ಷಗಳಿಂದಲೂ ತ್ಯಾಜ್ಯವಸ್ತುಗಳ ರಾಶಿ ಹಾಗೆಯೇ ಉಳಿದುಕೊಂಡಿತ್ತು.,ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,ರಾಶಿ ಎಳೆದೆಳೆದು ಹಾಕಿ,ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
ರಾಶಿ,ಮದ್ಯದ ಬಾಟಲಿಗಳು ರಾಶಿ ಬದ್ದಿವೆ.,ಸಮೂಹ,Heap,Yes,a,2025-02-06 20:47:51
