word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಲಿಂಗ,"ಕೈಲಾಶ ಕ್ಷೇತ್ರದಲ್ಲಿ ದ್ವಾದಶ ಜ್ಯೋತಿರ್ಲಿಂಗವಾದ ಸೌರಾಷ್ಟ್ರದ ಸೋಮನಾಥ ಲಿಂಗ ,ಶ್ರೀ ಶೈಲದ ಮಲ್ಲಿಕಾರ್ಜುನ ಲಿಂಗ ,ಉಜ್ಜೇನಿಯ ಮಹಾಕಾಳೇಶ್ವರ ಲಿಂಗ ಈಗೇ 12 ಲಿಂಗಗಳನ್ನು ಇಲ್ಲಿ ಸ್ಥಾಪಿಸಲಾಗಿದೆ .",ಶಿವನ ಒಂದು ಪ್ರತೀಕ,A symbol of Shiva,Yes,a,2025-02-06 12:58:51
ಲಿಂಗ,ಲಿಂಗ ಶರೀರಕ್ಕೆ ಬಿಲ್ವ ಪತ್ರೆ ಸಮರ್ಪಣೆ :,ಶಿವನ ಒಂದು ಪ್ರತೀಕ,A symbol of Shiva,Yes,a,2025-02-06 12:58:51
ಲಿಂಗ,ಸಾಧಾರಣವಾಗಿ ಪ್ರತಿ ಶಿವಾಲಯದಲ್ಲಿ ಶಿವನು ಲಿಂಗ ರೂಪದಲ್ಲಿ ಪೂಜಿಸಲಾಗುತ್ತಿರುವುದನ್ನು ಗಮನಿಸಬಹುದು.,ಶಿವನ ಒಂದು ಪ್ರತೀಕ,A symbol of Shiva,Yes,a,2025-02-06 12:58:51
ಲಿಂಗ,ಮುಗ್ಧ ಸಂಗಯ್ಯ ಸೂಳೆ ಸಾವಂತ್ರಿಯನ್ನು ಅರಸುತ್ತಾ ಬಂದು ಕೊನೆಗೆ ಕಾಮಿನಿ ಕಾಮಾಕ್ಷಿಯ ಎದುರಲ್ಲಿ ಲಿಂಗ ಪೂಜೆಯನ್ನು ಮಾಡಿಕೊಳ್ಳುವ ತುಡಿತ ಶರಣರಲ್ಲಿ ಮಡಿವಂತಿಕೆ ಇಲ್ಲ ಎಂಬುದರ ಅರಿವನ್ನು ತೋರಿಸುತ್ತದೆ.,ಶಿವನ ಒಂದು ಪ್ರತೀಕ,A symbol of Shiva,Yes,a,2025-02-06 12:58:51
ಲಿಂಗ,"ಅವರಲ್ಲಿ ಗಣಾಯತಮ್‌ವರ್ಗದವರು ಸರಳ ಗಂಟೆಯನ್ನು ಹಿಡಿದಿದ್ದರೆ, ಲಿಂಗಾಯತಮ್‌ವರ್ಗದವರು ಲಿಂಗ ಸಮೇತ ಗಂಟೆಯನ್ನು (ಲಿಂಗ ಗಂಟ) ಹಿಡಿದಿರುತ್ತಾರೆ.",ಶಿವನ ಒಂದು ಪ್ರತೀಕ,A symbol of Shiva,Yes,a,2025-02-06 12:58:51
ಲಿಂಗ,ತಿರುಗಿ ಬಂದನು ಲಿಂಗ ದೊರೆ ರುದ್ರರಾಯನ ಬಳಿಗೆ | ಇರನೆಂದ ತರಳ ರಾಮಯ್ಯ |,ಶಿವನ ಒಂದು ಪ್ರತೀಕ,A symbol of Shiva,Yes,a,2025-02-06 12:58:51
ಲಿಂಗ,ಜಾರಿ ಬಿದ್ದ ಲಿಂಗ ಮತ್ತೇಕೆ?,ಶಿವನ ಒಂದು ಪ್ರತೀಕ,A symbol of Shiva,Yes,a,2025-02-06 12:58:51
ಲಿಂಗ,ಅದಕ್ಕೂ ಕಟ್ಟುವೆವು ಲಿಂಗ !,ಶಿವನ ಒಂದು ಪ್ರತೀಕ,A symbol of Shiva,Yes,a,2025-02-06 12:58:51
ಲಿಂಗ,ಶ್ರೀನಗರ ಜು 18: ಅಮರನಾಥ್ ಯಾತ್ರೆ 2011ರ ಪವಿತ್ರ ಲಿಂಗ ದರ್ಶನಕ್ಕೆ ತೆರಳುತ್ತಿದ್ದ ಮೂವರು ಯಾತ್ರಾರ್ಥಿಗಳು ಇಂದು ಹೃದಯಾಘಾತದಿಂದ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ.,ಶಿವನ ಒಂದು ಪ್ರತೀಕ,A symbol of Shiva,Yes,a,2025-02-06 12:58:51
ಲಿಂಗ,ರಾಯ ರಾಮಗೆ ಲಿಂಗ ತೋರುತ ಆ ಪುರದ | ಆಯ ವರ್ಣದ ಬೀದಿಗಳನು |,ಶಿವನ ಒಂದು ಪ್ರತೀಕ,A symbol of Shiva,Yes,a,2025-02-06 12:58:51
ಲಿಂಗ,"ತಾನು ಬಟ್ಟೆ ತೊಳೆದುಕೊಂಡು ಬರುವಾಗ ದಾರಿಯಲ್ಲಿ ವಿಭೂತಿ, ರುದ್ರಾಕ್ಷಿ, ಲಿಂಗ ಧರಿಸದವರು ಭೇಟಿಯಾಗಬಾರದೆಂದು ಜಾಗಟೆ ಬಾರಿಸುತ್ತ ಬರುತ್ತಿದ್ದ ೩).",ಶಿವನ ಒಂದು ಪ್ರತೀಕ,A symbol of Shiva,Yes,a,2025-02-06 12:58:51
ಲಿಂಗ,ಅಂದು ನನಗೆ ಶ್ರೀಗಳು ಕೊಟ್ಟ ಲಿಂಗ ಹಾಕಿಕೊಂಡ ಬಳಿಕ ಪವಾಡ ಎಂಬಂತೆ ಚೇತರಿಸಿಕೊಂಡೆ.,ಶಿವನ ಒಂದು ಪ್ರತೀಕ,A symbol of Shiva,Yes,a,2025-02-06 12:58:51
ಲಿಂಗ,ಇಲ್ಲಿ ಶಿವ ಲಿಂಗ ಮತ್ತು ಸೀತಾ ರಾಮ ದೇವಾಲಯವಿದೆ.,ಶಿವನ ಒಂದು ಪ್ರತೀಕ,A symbol of Shiva,Yes,a,2025-02-06 12:58:51
ಲಿಂಗ,"ಅವರು ಪರೀಕ್ಷಿಸಿ, ಲಿಂಗದೊಳಗೆ ಇನ್ನೊಂದು ಲಿಂಗ ಉದ್ಭವವಾಗುತ್ತಿದೆ ಎಂದು ಹೇಳಿದರು.",ಶಿವನ ಒಂದು ಪ್ರತೀಕ,A symbol of Shiva,Yes,a,2025-02-06 12:58:51
ಲಿಂಗ,ಅಂಗದ ಮೇಲೆ ಲಿಂಗ ಇಲ್ಲದಿದ್ದರೆ ಅಂಗಾಂಗ ಸಾಮರಸ್ಯ ಬರುವುದಿಲ್ಲ.,ಶಿವನ ಒಂದು ಪ್ರತೀಕ,A symbol of Shiva,Yes,a,2025-02-06 12:58:51
ಲಿಂಗ,ಶಿವರಾತ್ರಿಯಂದು ಲಿಂಗ ಸ್ಪರ್ಶ ಮಾಡೋದು ಹೇಗೆ?,ಶಿವನ ಒಂದು ಪ್ರತೀಕ,A symbol of Shiva,Yes,a,2025-02-06 12:58:51
