word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ವಿಧಿ,ಮಕ್ಕಳಿಗೆ ಸ್ವಚ್ಛತೆ ಕುರಿತು ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸಲಾಯಿತು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,ವಿಟ್ಲ ವಲಯ ಅಧ್ಯಕ್ಷ ಅಶ್ರಫ್ ಕಬಕ ಅವರು ಸ್ವಾತಂತ್ರ್ಯ ಸಂರಕ್ಷಣೆಯ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸಿದರು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,"ನಗರ ಚೇಂಬರ್ ಆಫ್ ಕಾಮರ್ಸ್‌ನ ಮೊಂತಿ ಗಣೇಶ್ ಮಾತನಾಡಿ, ಭ್ರಷ್ಟಾಚಾರ ವಿರುದ್ಧದ ಹೋರಾಟದ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸಿದರು.",ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,ಪ್ರಕಾಶ ಭಟ್ ಗ್ರಾಮಸ್ಥರಿಗೆ ಪ್ರತಿ ವರ್ಷ ಕನಿಷ್ಟ ಹತ್ತು ಗಿಡಗಳನ್ನು ನೆಡುತ್ತೇವೆಂಬ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸಿದರು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,ಅಷ್ಟೇ ಅಲ್ಲದೇ ತಾಯಿಯ ಮುಂದೆ ನಿಂತು ಕೈಚಾಚಿ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಸ್ವೀಕರಿಸಿದರು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,ಜಿಲ್ಲಾ ಪೊಲೀಸ್ ವರಿಷ್ಠಾಧಿಕಾರಿ ಸುಧೀರ್‌ಕುಮಾರ್ ರೆಡ್ಡಿ ಅವರು ಯುವ ಮತದಾರರಿಗೆ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸಿದರು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,ಕಾರ್ಯಕ್ರಮಕ್ಕೆ ಬಂದಿದ್ದ 350 ಮಹಿಳೆಯರಿಗೂ ಸಸಿ ವಿತರಿಸಿ ಅವುಗಳನ್ನು ಬೆಳಸುವಂತೆ ಮತ್ತು ಸ್ವಚ್ಛತೆ ಕಾಪಾಡುವಂತೆ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸಲಾಯಿತು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,ಪ್ರಭಾರ ಡಿಸಿಪಿ ಹರಿಶ್ಚಂದ್ರ ನಾಯಕ ಕ್ರೀಡಾಪಟುಗಳ ಪರವಾಗಿ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಸ್ವೀಕರಿಸಿದರು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,"ಮೋದಿ ಅವರು ಸಂಸತ್ ಪ್ರವೇಶಿಬೇಕಾದರೆ ಹೆಬ್ಬಾಲಿಗೆ ನಮಸ್ಕಾರ ಮಾಡಿದ ವಿಡಿಯೊ ತುಣುಕು, ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಸ್ವೀಕರಿಸಿದ, ಅಪನಗದೀಕರಣ ಭಾಷಣ, ಬ್ಯಾಂಕ್ ಮುಂದಿನ ಕ್ಯೂ ವಿಡಿಯೋ ತುಣುಕುಗಳನ್ನು ಬಳಸಲಾಗಿದೆ.",ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,"ಉದಾಹರಣೆಗೆ, ಟಿಎಂಸಿ ಸಂಸದ ಕಾಕೋಲಿ ಘೋಶ್ ದಸ್ತಿದಾರ್ ತಮ್ಮ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಕೊನೆಗೊಳಿಸುವಾಗ ಕೈ ಮಾ ಕಾಳಿ ಎಂದು ಕೂಗಿದರು.",ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,ಬೇಟಿ ಬಚಾವ ಬೇಟಿ ಪಡಾವ ಹಾಗೂ ಬಾಲ್ಯ ವಿವಾಹ ನಿಷೇಧ ಕುರಿತು ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಭೋದಿಸಲಾಯಿತು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,ವಿದ್ಯಾರ್ಥಿನಿ ಸಂಜಿತಾ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಭೋದಿಸಿದರು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,"ಮುಖ್ಯಮಂತ್ರಿ ಎಚ್ ಡಿ ಕುಮಾರಸ್ವಾಮಿ ನೇತೃತ್ವದ ಕಾಂಗ್ರೆಸ್ -ಜೆಡಿಎಸ್ ಮೈತ್ರಿ ಸರ್ಕಾರದ ಸಂಪುಟ ವಿಸ್ತರಣೆ ಸಮಾರಂಭ ಬುಧವಾರ (ಜೂನ್ 06) ದಂದು ರಾಜಭವನದಲ್ಲಿ ನಡೆದಿದ್ದು, ನೂತನ ಸಚಿವರುಗಳಿಗೆ ರಾಜ್ಯಪಾಲ ವಜುಭಾಯಿ ವಾಲ ಅವರು ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸಿದರು.",ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,ನಗರದ ಸಹಾಯಕ ಕೃಷಿ ನಿರ್ದೇಶಕರ ಕಾರ್ಯಾಲಯದ ಆವರಣದಲ್ಲಿ ಸರ್ಕಾರದ ವಿರುದ್ದ ಪ್ರತಿಭಟನೆ ನಡೆಸಲಾಗಿಮಿಸಿದ್ದ ರೈತ ಸಮುದಾಯಕ್ಕೆ ಪರಿಹಾರ ಒದಗಿಸುವ ಭರವಸೆ ನೀಡಿದ ಅಧಿಕಾರಿ ವರ್ಗ ರೈತರ ಮನಲವಲಿಸಿ ಮತದಾನ ಬಹಿಷ್ಕಾರದ ವಿಚಾರವನ್ನು ಕೈಬಿಡುವಂತೆ ತಿಳಿಸಿದ್ದಲ್ಲದೆ ಎಲ್ಲಾ ರೈತರಿಗೂ ಮತದಾನದ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋದಿಸಲಾಯಿತು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,"ಯಡಿಯೂರಪ್ಪ, ಬಳಿಕ ಕಾಂಗ್ರೆಸ್‌ ಶಾಸಕಾಂಗ ಪಕ್ಷದ ನಾಯಕ ಸಿದ್ದರಾಮಯ್ಯ ಶಾಸಕರಾಗಿ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಸ್ವೀಕರಿಸಿದರು.",ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,ಷಂಶುದ್ದೀನ್ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸಿದರು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,ಮಹಾದೇವ್‌ ಅವರು ವಿವಿಧ ಅಧಿಕಾರಿಗಳು ಮತ್ತು ಸಿಬ್ಬಂದಿಗೆ ಮತದಾರರ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸಿದರು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,"ಸಂಸತ್ತಿನ ಕಾರ್ಯದರ್ಶಿ ಶಿಕ್ಷಕ ಸುರೇಶ್ ಪೈ ಸ್ವಾಗತಿಸಿ, ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸಿದರು.",ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,"ದೇವೇಗೌಡಾ, ಕುಮಾರಸ್ವಾಮಿ, ಅನಂತ್ ಕುಮಾರ್, ಖರ್ಗೆ, ನಳಿನ್ ಕುಮಾರ್ ಕಟೀಲ್, ಮಹಾಲಿಂಗೇಶ್ವರ ಅವರು ದೇವರ ಹೆಸರಿನಲ್ಲಿ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಸ್ವೀಕರಿಸಿದರು.",ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,"ಇದೇ ಸಮಯದಲ್ಲಿ ಹೆಣ್ಣು ಮಗುವನ್ನು ಉಳಿಸಿ, ಹೆಣ್ಣು ಮಗುವನ್ನು ರಕ್ಷಿಸಿ ಎಂಬ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಸ್ವೀಕರಿಸಲಾಯಿತು.",ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,ತುಮಕೂರು: ನಗರದ ಹೊರವಲಯದ ವರಿನ್ ಪದವಿಪೂರ್ವ ಕಾಲೇಜಿನಲ್ಲಿ ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಸದ್ಭಾವನಾ ದಿನಾಚರಣೆ ಅಂಗವಾಗಿ ಸದ್ಭಾವನಾ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸಲಾಯಿತು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,"ನೆರೆದ ಸಾವಿರಾರು ವಿದ್ಯಾರ್ಥಿಗಳು, ಯುವಜನರು ಹಾಗೂ ಸಾರ್ವಜನಿಕರಿಗೆ ಮತದಾರರ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸಿದರು.",ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:13
ವಿಧಿ,"ಇತರರಿಗೂ ಅರಿವು ಮೂಡಿಸುತ್ತೇವೆ ಎಂಬ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸಿದ ಕುಲಪತಿಗಳು, ಅನು ಕರಣೆ ಹಾಗೂ ಕುತೂಹಲಕ್ಕಾಗಿ ಯುವ ಕರು ತಂಬಾಕು ಸೇವನೆಯತ್ತ ಆಸಕ್ತಿ ತೋರುವುದರಿಂದ ಹಿರಿಯರು ಮೊದಲು ಈ ಅಭ್ಯಾಸವನ್ನು ಬಿಡಬೇಕು.",ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:14
ವಿಧಿ,ಪ್ರಾರ್ಥನೆ ಸಂದರ್ಭದಲ್ಲಿ ಮಕ್ಕಳಿಂದ ತಾವು ಯಾವುದೇ ಕಾರಣಕ್ಕೂ ಬಾಲ್ಯ ವಿವಾಹಕ್ಕೆ ಒಳಗಾಗುವುದಿಲ್ಲ ಎಂಬುದಾಗಿ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಸ್ವೀಕಾರ ನಡೆಯಬೇಕು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:14
ವಿಧಿ,ಶಾಲಾ ಮಕ್ಕಳ ಮೂಲಕ ಜಾಗೃತಿ ಮೂಡಿಸಲು ಪ್ರತಿದಿನ ಶಾಲಾ ಆವರಣದಲ್ಲಿ ನಡೆಯುವ ಪ್ರಾರ್ಥನೆ ವೇಳೆ ಬಾಲ್ಯ ವಿವಾಹ ನಿರ್ಮೂಲನೆ ಕುರಿತು ಶಿಕ್ಷಕರು ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸುವುದನ್ನು ಅಭ್ಯಾಸ ಮಾಡಿ ಎಂದು ಜಿಲ್ಲಾಧಿಕಾರಿ ಸೂಚಿಸಿದರು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:14
ವಿಧಿ,"ಕನ್ನಡ ವಿಭಾಗದ ಮುಖ್ಯಸ್ಥರು ಹಾಗೂ ರೆಡ್ ಕ್ರಾಸ್ ಕಾರ್ಯಕ್ರಮ ಆಯೋಜಕರು ಶ್ರೀನಿವಾಸ್ ಪ್ರಾಸ್ತಾವಿಕ ನುಡಿಗಳನ್ನಾಡಿ, ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸಿದರು.",ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:14
ವಿಧಿ,ಅಶೋಕ್ ಹೆಗ್ಡೆ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸಿದರು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:14
ವಿಧಿ,"ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಬ್ಯಾಡ್ಜ್‌ಗಳನ್ನು ನೀಡಿ, ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸಲಾಯಿತು.",ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:14
ವಿಧಿ,ಇನ್ನೋರ್ವ ಮುಖ್ಯ ಅತಿಥಿ ಲಿಯೋ ಜಿಲ್ಲಾಧ್ಯಕ್ಷರಾದ ಲಯನ್ ಸ್ಯಾಮಿಯುಲ್ ಡಯಾಸ್ ಗೋವಾ ಅವರು ಲಿಯೋ ಕ್ಲಬ್ ಪದಾಧಿಕಾರಿಗಳಿಗೆ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋದಿಸುತ್ತಾ ಲಿಯೋ ಕ್ಲಬ್ ಸದಸ್ಯರು ಮುಂದಿನ ನಾಯಕರುಗಳು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:14
ವಿಧಿ,ಇಬ್ಬರಿಗೂ ರಾಜ್ಯಪಾಲ ವಜುಬಾಯಿ ವಾಲ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸಿದರು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:14
ವಿಧಿ,ಇದೇ ಸಂದರ್ಭದಲ್ಲಿ ಸ್ವಚ್ಛಮೇವ ಜಯತೆ ಹಾಗೂ ಜಲಾಮೃತ ಕುರಿತಂತೆ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಸ್ವೀಕರಿಸಲಾಯಿತು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:14
ವಿಧಿ,ಸದ್ಭಾವನಾ ದಿನಾಚರಣೆಯ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೊಧಿಸಿದ ಅಪರ ಜಿಲ್ಲಾಧಿಕಾರಿ ಡಾ.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:14
ವಿಧಿ,ಸಾಹಿತಿ ದೇವನೂರು ಮಹಾದೇವ ಪ್ರಮಾಣ ವಚನ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಭೋದಿಸಿದರು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:14
ವಿಧಿ,ಇದೇ ಸಂದರ್ಭ ವಿದ್ಯಾರ್ಥಿಗಳಿಂದ ಮತದಾನ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಸ್ವೀಕರಿಸಲಾಯಿತು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:14
ವಿಧಿ,26: ಸಂವಿಧಾನ ದಿನದ ಅಂಗವಾಗಿ ವಿಧಾನಸೌಧದ ಬ್ಯಾಂಕ್ವೆಟ್ ಸಭಾಂಗಣದಲ್ಲಿ ಆಯೋಜಿಸಿದ್ದ ಸಮಾರಂಭದಲ್ಲಿ ಮುಖ್ಯಮಂತ್ರಿ ಸಿದ್ದ್ಧರಾಮಯ್ಯ ಸಚಿವಾಲಯದ ಅಧಿಕಾರಿಗಳು ಹಾಗೂ ಸಿಬ್ಬಂದಿಗೆ ಪ್ರತಿಜ್ಞಾ ವಿಧಿ ಬೋಧಿಸಿದರು.,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,Oath,Yes,Darshan R K,2025-02-08 18:36:14
