word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ವಿಧಿ,"ಜಮ್ಮು ಮತ್ತು ಕಾಶ್ಮೀರಕ್ಕೆ ಸಂವಿಧಾನದ 370ನೇ ವಿಧಿ ಅನ್ವಯ ನೀಡಿದ್ದ ವಿಶೇಷ ಸ್ಥಾನಮಾನ ರದ್ದಾದಾಗಿನಿಂದ ಸಂಪರ್ಕ ವ್ಯವಸ್ಥೆ ಇಲ್ಲದೆ ಯಾತನೆ ಅನುಭವಿಸುತ್ತಿರುವ ಕಾಶ್ಮೀರಿಗರ ಬಗ್ಗೆ ಗಂಭೀರ ಚರ್ಚೆ, ಚಿಂತನೆಗಳು ನಡೆಯಬೇಕಾಗಿರುವ ಸಂದರ್ಭ ಇದು.",ಸಂವಿಧಾನದ ವಿಧಿ,Article,Yes,Darshan R K,2025-02-08 18:45:32
ವಿಧಿ,ಮುಸ್ಲಿಮರಿಗೆ ಐದು ಎಕರೆ ಸ್ಥಳವನ್ನು ನೀಡಲು ಸಂವಿಧಾನದ ವಿಧಿ 142ರಡಿ ವಿಶೇಷ ಅಧಿಕಾರವನ್ನು ಬಳಸಿಕೊಂಡಿರುವುದು ಅತ್ಯಂತ ಹತಾಶಕರವಾಗಿರುವಂತಿದೆ.,ಸಂವಿಧಾನದ ವಿಧಿ,Article,Yes,Darshan R K,2025-02-08 18:45:32
ವಿಧಿ,ಪ್ರಮುಖ ಸಂವಿಧಾನಾತ್ಮಾಕ ಕ್ರಮವಾಗಿ ಪ್ರಧಾನಿ ನರೇಂದ್ರ ಮೋದಿ ನೇತೃತ್ವದ ಸರ್ಕಾರ ಸಂವಿಧಾನದ ವಿಧಿ 370 ರದ್ಧು ಪಡಿಸುವ ಸಂಬಂಧ ರಾಜ್ಯಸಭೆಯಲ್ಲಿ ಶಾಸನ ಬದ್ಧ ನಿರ್ಣಯ ಮಂಡಿಸಿದೆ.,ಸಂವಿಧಾನದ ವಿಧಿ,Article,Yes,Darshan R K,2025-02-08 18:45:32
ವಿಧಿ,ಸಂವಿಧಾನದ ವಿಧಿ 370 ರದ್ದತಿ ಹಿನ್ನೆಲೆಯಲ್ಲಿ ಪ್ರವಾಸಿಗರಿಗೆ ನಿಷೇಧ ಹೇರಲಾಗಿತ್ತು.,ಸಂವಿಧಾನದ ವಿಧಿ,Article,Yes,Darshan R K,2025-02-08 18:45:32
ವಿಧಿ,1: ಜಮ್ಮು ಹಾಗೂ ಕಾಶ್ಮೀರಕ್ಕೆ ವಿಶೇಷ ಸ್ಥಾನಮಾನ ನೀಡುವ ವಿಧಿ 370ನ್ನು ರದ್ದುಗೊಳಿಸಿದ ಕೇಂದ್ರ ಸರಕಾರದ ನಿರ್ಧಾರ ಪ್ರಶ್ನಿಸಿ ಸಲ್ಲಿಸಲಾದ ಮನವಿಗಳಿಗೆ ಪ್ರತಿಕ್ರಿಯೆ ನೀಡಲು ಕೇಂದ್ರ ಸರಕಾರಕ್ಕೆ ಐವರು ಸದಸ್ಯರ ಸಂವಿಧಾನಿಕ ಪೀಠ ಮಂಗಳವಾರ ನಾಲ್ಕು ವಾರಗಳ ಕಾಲಾವಕಾಶ ನೀಡಿದೆ.,ಸಂವಿಧಾನದ ವಿಧಿ,Article,Yes,Darshan R K,2025-02-08 18:45:32
ವಿಧಿ,"ಆದರೆ, ನ್ಯಾಯಪೀಠವು ಸಂವಿಧಾನದ 142ನೇ ವಿಧಿ ಅಡಿಯಲ್ಲಿ ತನಗಿರುವ ಅಧಿಕಾರವನ್ನು ಬಳಸಿಕೊಂಡು ಸೇವೆಯಿಂದ ವಜಾ ಮಾಡಿದ್ದನ್ನು ಕಡ್ಡಾಯ ನಿವೃತ್ತಿಯಾಗಿ ಪರಿವರ್ತಿಸಿದೆ.",ಸಂವಿಧಾನದ ವಿಧಿ,Article,Yes,Darshan R K,2025-02-08 18:45:32
ವಿಧಿ,"ಕೆನಡಾದ-ಅಮೇರಿಕನ್ ಮಾಧ್ಯಮ ಸಂಸ್ಥೆಯಾದ ವೈಸ್ ನ್ಯೂಸ್‌ಗೆ ಶನಿವಾರ ನೀಡಿದ ಸಂದರ್ಶನದಲ್ಲಿ, ಈ ವಿಷಯ ತಿಳಿಸಿದ ಅವರು, ಭಾರತ ಸರ್ಕಾರವು ತನ್ನ ಸಂವಿಧಾನದ 370 ಮತ್ತು 35-ಎ ವಿಧಿ ಅನ್ವಯ ನೀಡಿದ್ದ ವಿಶೇಷ ಸ್ಥಾನ ಮಾನ ರದ್ದುಪಡಿಸುವ ಮೂಲಕ ಕಾಶ್ಮೀರದ ಪರಿಸ್ಥಿತಿಯನ್ನು ಸುಧಾರಿಸಬಹುದೆಂದು ಭಾವಿಸಿದರೆ ಅದು ಮೂರ್ಖತನ ಎಂದು ಅವರು ದೂರಿದರು.",ಸಂವಿಧಾನದ ವಿಧಿ,Article,Yes,Darshan R K,2025-02-08 18:45:32
ವಿಧಿ,6- ನಮ್ಮ ಪ್ರದೇಶ ಹಿಂದುಳಿಯಲು ಕಾಂಗ್ರೆಸ್ ಮತ್ತು ಸಂವಿಧಾನದ 370ನೇ ವಿಧಿ ಕಾರಣ ಎಂದು ಲಡಾಖ್ ಬಿಜೆಪಿ ಸಂಸದ ತ್ಸೆರಿಂಗ್ ನಮ್‍ಗ್ಯಾಲ್ ಅಭಿಪ್ರಾಯಪಟ್ಟಿದ್ದಾರೆ.,ಸಂವಿಧಾನದ ವಿಧಿ,Article,Yes,Darshan R K,2025-02-08 18:45:32
ವಿಧಿ,ಶ್ರೀನಗರ: ಜಮ್ಮು- ಕಾಶ್ಮೀರಕ್ಕೆ ವಿಶೇಷ ಸ್ಥಾನಮಾನ ಒದಗಿಸುವ ಸಂವಿಧಾನದ 370ನೇ ವಿಧಿ ರದ್ಧತಿ ಬಗ್ಗೆ ದೇಶದೆಲ್ಲೆಡೆ ಉತ್ತಮ ಪ್ರತಿಕ್ರಿಯೆ ವ್ಯಕ್ತವಾಗುತ್ತಿದೆ.,ಸಂವಿಧಾನದ ವಿಧಿ,Article,Yes,Darshan R K,2025-02-08 18:45:32
ವಿಧಿ,ಸಂವಿಧಾನದ 35ಎ ವಿಧಿ ಅಥವಾ ಕ್ಷೇತ್ರಗಳ ಪುನರ್‌ ವಿಂಗಡನೆ ಕೆಲಸ ಶೀಘ್ರ ಆರಂಭವಾಗಲಿದೆಯೇ?,ಸಂವಿಧಾನದ ವಿಧಿ,Article,Yes,Darshan R K,2025-02-08 18:45:32
