word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಸರಿ,"ಸದ್ಯ ಮುಂಬೈನಲ್ಲಿ ನೆಲೆಸಿರುವ ಅನಾ, ಭಾಷೆ ಯಾವುದಾದರೂ ಸರಿ ಒಳ್ಳೆಯ ಸಿನಿಮಾಗಳು ಬೇಕು ಎನ್ನುವುದನ್ನು ಮರೆಯುವುದಿಲ್ಲ.",ಒಪ್ಪಿಗೆಯನ್ನೂ ಸಾಕೆಂಬುದನ್ನೂ ಸೂಚಿಸಲು ಬಳಸುವ ಶಬ್ದ,Right/not wrong/Okay,Yes,a,2025-02-03 18:33:44
ಸರಿ,"ಆದರೂ ಕೆಲವೊಮ್ಮೆ ಮತ್ತೆ ಎಲ್ಲವೂ ಸರಿ ಹೋಗಲಿದೆ, ಕ್ರೌರ್ಯ ಕಳೆದು ಶಾಂತಿ ನೆಲೆಸಲಿದೆ ಎನಿಸುತ್ತದೆ.",ಒಪ್ಪಿಗೆಯನ್ನೂ ಸಾಕೆಂಬುದನ್ನೂ ಸೂಚಿಸಲು ಬಳಸುವ ಶಬ್ದ,Right/not wrong/Okay,Yes,a,2025-02-03 18:33:44
ಸರಿ,"ಮತ್ತು ನಾವು ಗ್ರೌಂಡಿಂಗ್ ವಿಷಯದಲ್ಲಿರುವಾಗ, ರೆಸೆಪ್ಟಾಕಲ್ ಅಡಾಪ್ಟರ್ ಅನ್ನು ಸರಿ ಬಳಸುತ್ತಿದ್ದರೆ ನಾವು ಹೆಚ್ಚಾಗಿ ಕೇಳುತ್ತೇವೆ.",ಒಪ್ಪಿಗೆಯನ್ನೂ ಸಾಕೆಂಬುದನ್ನೂ ಸೂಚಿಸಲು ಬಳಸುವ ಶಬ್ದ,Right/not wrong/Okay,Yes,a,2025-02-03 18:33:44
ಸರಿ,"ಮತದಾರರು, ಬೆಂಬಲಿಗರು ನನ್ನ ತೀರ್ಮಾನ ಸರಿ ಎಂದಿದ್ದಾರೆ, ಎಂದು ಹೇಳಿದರು.",ಒಪ್ಪಿಗೆಯನ್ನೂ ಸಾಕೆಂಬುದನ್ನೂ ಸೂಚಿಸಲು ಬಳಸುವ ಶಬ್ದ,Right/not wrong/Okay,Yes,a,2025-02-03 18:33:44
ಸರಿ,ಸರಿ ಅಲ್ಲಿಗೆ ಬಂದು ನೋಡಿದಾಗ ನನ್ನ ಮೆಚ್ಚಿನ ಮೇಜು ನಾಚುವ ಲಲನೆಯಂತೆ ಗೋಚರಿಸಿದಳು ನನಗೆ.,ಒಪ್ಪಿಗೆಯನ್ನೂ ಸಾಕೆಂಬುದನ್ನೂ ಸೂಚಿಸಲು ಬಳಸುವ ಶಬ್ದ,Right/not wrong/Okay,Yes,a,2025-02-03 18:33:44
ಸರಿ,ಅವರು ದಾಖಲೆಗಳನ್ನು ನೋಡಿದರು ಮತ್ತು ಅವರ ಸರಿ ನೀಡಿದರು.,ಒಪ್ಪಿಗೆಯನ್ನೂ ಸಾಕೆಂಬುದನ್ನೂ ಸೂಚಿಸಲು ಬಳಸುವ ಶಬ್ದ,Right/not wrong/Okay,Yes,a,2025-02-03 18:33:44
ಸರಿ,"ನಷ್ಟವನ್ನು ಅಂಗೀಕರಿಸಿ: ಇತರ ದುಃಖದ ಪ್ರಕ್ರಿಯೆಗಳಂತೆ, ನಿಮ್ಮ ಪ್ರೀತಿಪಾತ್ರರಲ್ಲಿ ಈ ಕುಸಿತವನ್ನು ನೀವು ದುಃಖಿಸಲು ಅವಕಾಶ ನೀಡುವುದು ಸರಿ ಮತ್ತು ಕೆಲವೊಮ್ಮೆ ಅಗತ್ಯವಾಗಿರುತ್ತದೆ.",ಒಪ್ಪಿಗೆಯನ್ನೂ ಸಾಕೆಂಬುದನ್ನೂ ಸೂಚಿಸಲು ಬಳಸುವ ಶಬ್ದ,Right/not wrong/Okay,Yes,a,2025-02-03 18:33:44
ಸರಿ,ಇದನ್ನು ಸರಿ ದಾರಿಗೆ ತರುವುದಕ್ಕೆ ಸರಕಾರ ಬದ್ಧವಾಗಿದೆ ಎಂದು ಮೋದಿ ಹೇಳಿದರು.,ಒಪ್ಪಿಗೆಯನ್ನೂ ಸಾಕೆಂಬುದನ್ನೂ ಸೂಚಿಸಲು ಬಳಸುವ ಶಬ್ದ,Right/not wrong/Okay,Yes,a,2025-02-03 18:33:44
ಸರಿ,"ಬಡೀರಣ್ಣ, ಮೊದಲಿನ ರೈತ ಸರಿ ಹೇಳು ತ್ತಿದ್ದಾನೆ~ ಎಂದು ವಿವರಿಸಲು ಯತ್ನಿಸಿದರು.",ಒಪ್ಪಿಗೆಯನ್ನೂ ಸಾಕೆಂಬುದನ್ನೂ ಸೂಚಿಸಲು ಬಳಸುವ ಶಬ್ದ,Right/not wrong/Okay,Yes,a,2025-02-03 18:33:44
ಸರಿ,"ಎಲ್ಲವನ್ನೂ ಸರಿ ಪರಿಶೀಲಿಸಿದರೆ, ನೀವು ಮೂಲ ಐಟ್ಯೂನ್ಸ್ ಮೀಡಿಯಾ ಫೋಲ್ಡರ್ (ಅಥವಾ ಸಂಗೀತ ಫೋಲ್ಡರ್) ಅಳಿಸಬಹುದು.",ಒಪ್ಪಿಗೆಯನ್ನೂ ಸಾಕೆಂಬುದನ್ನೂ ಸೂಚಿಸಲು ಬಳಸುವ ಶಬ್ದ,Right/not wrong/Okay,Yes,a,2025-02-03 18:33:44
