word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಸೀಮೆ,ಶಿವಾಜಿ ಮಹಾರಾಜರ ಪರಾಕ್ರಮದಿಂದಾಗಿ ಸ್ವರಾಜ್ಯದ ಸೀಮೆ ವಿಸ್ತರಿಸತೊಡಗಿತು.,"ಗಡಿ, ಸರಹದ್ದು",territory,Yes,ವಿಟ್ಲ ಸೀಮೆ ಅಂದರೆ ತುಳುನಾಡ ಪರಂಪರೆಯ ರಾಜಮನೆತನದ ಆಳ್ವಿಕೆಯ ಸಾಕ್ಷಿಯಾಗಿರುವ ಎರಡು ಸಾವಿರ ಸೀಮೆಯೆಂದು ಕರೆಯಲ್ಪಡುತ್ತಿದ್ದ ೧೭ ಗ್ರಾಮಗಳನ್ನೊಳಗೊಂಡಿದ್ದ ಭೂಭಾಗ.,2025-02-03 17:01:44
ಸೀಮೆ,ಖಾರವೇಲ ಪಟ್ಟಕ್ಕೆ ಬಂದಾಗ ಕಳಿಂಗರಾಜ್ಯದ ಸೀಮೆ ಚಿಕ್ಕದಾಗಿತ್ತು.,"ಗಡಿ, ಸರಹದ್ದು",territory,No,ವಿಟ್ಲ ಸೀಮೆ ಅಂದರೆ ತುಳುನಾಡ ಪರಂಪರೆಯ ರಾಜಮನೆತನದ ಆಳ್ವಿಕೆಯ ಸಾಕ್ಷಿಯಾಗಿರುವ ಎರಡು ಸಾವಿರ ಸೀಮೆಯೆಂದು ಕರೆಯಲ್ಪಡುತ್ತಿದ್ದ ೧೭ ಗ್ರಾಮಗಳನ್ನೊಳಗೊಂಡಿದ್ದ ಭೂಭಾಗ.,2025-02-03 17:01:44
ಸೀಮೆ,"ನಮ್ಮ ನಾಡಿನ ಬಯಲು ಸೀಮೆ ನೆಲದ ಕಲೆಯಾದ ಇದು, ಇಂದು ಎಲ್ಲೆಡೆ ಪ್ರದರ್ಶನ ಗೊಳ್ಳುತ್ತಾ, ಹೆಚ್ಚು ಜನಪ್ರಿಯಗೊಳ್ಳುತ್ತಿದೆ.","ಗಡಿ, ಸರಹದ್ದು",territory,Yes,ವಿಟ್ಲ ಸೀಮೆ ಅಂದರೆ ತುಳುನಾಡ ಪರಂಪರೆಯ ರಾಜಮನೆತನದ ಆಳ್ವಿಕೆಯ ಸಾಕ್ಷಿಯಾಗಿರುವ ಎರಡು ಸಾವಿರ ಸೀಮೆಯೆಂದು ಕರೆಯಲ್ಪಡುತ್ತಿದ್ದ ೧೭ ಗ್ರಾಮಗಳನ್ನೊಳಗೊಂಡಿದ್ದ ಭೂಭಾಗ.,2025-02-03 17:01:44
ಸೀಮೆ,ಬಯಲು ಸೀಮೆ ಕಡೆ ಒಂದು ಕೊಳವೆಬಾವಿ ಹಾಕಿಸಿದರೆ ಸಾವಿರ ಮತಗಳಿಗೆ ಮೋಸ ಇಲ್ಲ.,"ಗಡಿ, ಸರಹದ್ದು",territory,Yes,ವಿಟ್ಲ ಸೀಮೆ ಅಂದರೆ ತುಳುನಾಡ ಪರಂಪರೆಯ ರಾಜಮನೆತನದ ಆಳ್ವಿಕೆಯ ಸಾಕ್ಷಿಯಾಗಿರುವ ಎರಡು ಸಾವಿರ ಸೀಮೆಯೆಂದು ಕರೆಯಲ್ಪಡುತ್ತಿದ್ದ ೧೭ ಗ್ರಾಮಗಳನ್ನೊಳಗೊಂಡಿದ್ದ ಭೂಭಾಗ.,2025-02-03 17:01:44
ಸೀಮೆ,ಸರ್ಕಾರ ಬಯಲು ಸೀಮೆ ಜಿಲ್ಲೆಗಳಿಗೆ ನೀರು ಕೊಡದೆ ಹಲವಾರು ರೈತ ಕುಟುಂಬಗಳು ಆತ್ಮಹತ್ಯೆ ಮಾಡಿಕೊಂಡಿವೆ.,"ಗಡಿ, ಸರಹದ್ದು",territory,Yes,ವಿಟ್ಲ ಸೀಮೆ ಅಂದರೆ ತುಳುನಾಡ ಪರಂಪರೆಯ ರಾಜಮನೆತನದ ಆಳ್ವಿಕೆಯ ಸಾಕ್ಷಿಯಾಗಿರುವ ಎರಡು ಸಾವಿರ ಸೀಮೆಯೆಂದು ಕರೆಯಲ್ಪಡುತ್ತಿದ್ದ ೧೭ ಗ್ರಾಮಗಳನ್ನೊಳಗೊಂಡಿದ್ದ ಭೂಭಾಗ.,2025-02-03 17:01:44
ಸೀಮೆ,ಇದ್ಯಾವ ಸೀಮೆ ಜನ ಇವರು ಎಂದಿದ್ದಾರೆ.,"ಗಡಿ, ಸರಹದ್ದು",territory,Yes,ವಿಟ್ಲ ಸೀಮೆ ಅಂದರೆ ತುಳುನಾಡ ಪರಂಪರೆಯ ರಾಜಮನೆತನದ ಆಳ್ವಿಕೆಯ ಸಾಕ್ಷಿಯಾಗಿರುವ ಎರಡು ಸಾವಿರ ಸೀಮೆಯೆಂದು ಕರೆಯಲ್ಪಡುತ್ತಿದ್ದ ೧೭ ಗ್ರಾಮಗಳನ್ನೊಳಗೊಂಡಿದ್ದ ಭೂಭಾಗ.,2025-02-03 17:01:44
ಸೀಮೆ,ಇದುವರೆಗೂ 684 ಸೀಮೆ ಹಸುಗಳನ್ನು ಶಾಸಕರು ದಾನ ಮಾಡಿದ್ದಾರೆ ಪ್ರಶಂಸಿಸಿದರು.,"ಗಡಿ, ಸರಹದ್ದು",territory,Yes,ವಿಟ್ಲ ಸೀಮೆ ಅಂದರೆ ತುಳುನಾಡ ಪರಂಪರೆಯ ರಾಜಮನೆತನದ ಆಳ್ವಿಕೆಯ ಸಾಕ್ಷಿಯಾಗಿರುವ ಎರಡು ಸಾವಿರ ಸೀಮೆಯೆಂದು ಕರೆಯಲ್ಪಡುತ್ತಿದ್ದ ೧೭ ಗ್ರಾಮಗಳನ್ನೊಳಗೊಂಡಿದ್ದ ಭೂಭಾಗ.,2025-02-03 17:01:44
ಸೀಮೆ,ಅಗಲದ ಅಂಚುಳ್ಳ ಪೇಟ್ ಸೀಮೆ ಸುಣ್ಣದ ತುಂಡು (ಛಿಚಿಟಞ) ಈ ವಿದಾವದ ಮೂಲಕ ನಿಮ್ಮ ಮನೆಂುುಲ್ಲಿ ಜೇನನ್ನು ಬಹಳಷ್ಟು ಕಾಲ ಇರುವೆಗಳು ಬರದಂತೆ ಸಂರಕ್ಷಿಸಬಹುದು.,"ಗಡಿ, ಸರಹದ್ದು",territory,Yes,ವಿಟ್ಲ ಸೀಮೆ ಅಂದರೆ ತುಳುನಾಡ ಪರಂಪರೆಯ ರಾಜಮನೆತನದ ಆಳ್ವಿಕೆಯ ಸಾಕ್ಷಿಯಾಗಿರುವ ಎರಡು ಸಾವಿರ ಸೀಮೆಯೆಂದು ಕರೆಯಲ್ಪಡುತ್ತಿದ್ದ ೧೭ ಗ್ರಾಮಗಳನ್ನೊಳಗೊಂಡಿದ್ದ ಭೂಭಾಗ.,2025-02-03 17:01:44
ಸೀಮೆ,"ಮಲೆನಾಡು, ಕರಾವಳಿ, ಬಯಲು ಸೀಮೆ ಹೀಗೆ ಮೂರು ವಿಧದ ಪ್ರದೇಶಗಳನ್ನೂ ತನ್ನ ಒಡಲಿನಲ್ಲಿಟ್ಟುಕೊಂಡಿರುವ ಉತ್ತರ ಕನ್ನಡ ಜಿಲ್ಲೆಯ ದಾಂಡೇಲಿ, ಕಾಳಿ ನದಿಯ ದಡದಲ್ಲಿರುವ ಚಿಕ್ಕ ನಗರ.","ಗಡಿ, ಸರಹದ್ದು",territory,Yes,ವಿಟ್ಲ ಸೀಮೆ ಅಂದರೆ ತುಳುನಾಡ ಪರಂಪರೆಯ ರಾಜಮನೆತನದ ಆಳ್ವಿಕೆಯ ಸಾಕ್ಷಿಯಾಗಿರುವ ಎರಡು ಸಾವಿರ ಸೀಮೆಯೆಂದು ಕರೆಯಲ್ಪಡುತ್ತಿದ್ದ ೧೭ ಗ್ರಾಮಗಳನ್ನೊಳಗೊಂಡಿದ್ದ ಭೂಭಾಗ.,2025-02-03 17:01:44
ಸೀಮೆ,ಸಿಡಿಲಿಗೆ ಸೀಮೆ ಹಸುವಿನ ಕರು ಸಜೀವ ದಹನ,"ಗಡಿ, ಸರಹದ್ದು",territory,Yes,ವಿಟ್ಲ ಸೀಮೆ ಅಂದರೆ ತುಳುನಾಡ ಪರಂಪರೆಯ ರಾಜಮನೆತನದ ಆಳ್ವಿಕೆಯ ಸಾಕ್ಷಿಯಾಗಿರುವ ಎರಡು ಸಾವಿರ ಸೀಮೆಯೆಂದು ಕರೆಯಲ್ಪಡುತ್ತಿದ್ದ ೧೭ ಗ್ರಾಮಗಳನ್ನೊಳಗೊಂಡಿದ್ದ ಭೂಭಾಗ.,2025-02-03 17:01:44
