word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಸೀಮೆ,"ಬಯಲು ಸೀಮೆ ಮತ್ತು ಮಲೆನಾಡುಗಳನ್ನು ತೌಲನಿಕವಾಗಿ ನೋಡಿದಾಗ, ಭೌಗೋಳಿಕವಾಗಿ ಬಹಳಷ್ಟು ವ್ಯತ್ಯಾಸ ಕಂಡು ಬರುತ್ತವೆ.","ವ್ಯತ್ಯಾಸ, ಭೇದ",Difference,Yes,a,2025-02-03 17:51:32
ಸೀಮೆ,ಹೋರಾಟಗಾರ ನಾರಾಯಣಗೌಡರ ಬಿಚ್ಚುಮಾತುಗಳು(ಭಾಗ-3)ಇವರೆಲ್ಲರೂ ಯಾವ ಸೀಮೆ ಜ್ಞಾನಪೀಠಿಗಳು?,"ವ್ಯತ್ಯಾಸ, ಭೇದ",Difference,Yes,a,2025-02-03 17:51:32
ಸೀಮೆ,ಯಾವುದೇ ಸೀಮೆ ಇಲ್ಲದೇ ಮನುಷ್ಯತ್ವ ಇರುವ,"ವ್ಯತ್ಯಾಸ, ಭೇದ",Difference,Yes,a,2025-02-03 17:51:32
ಸೀಮೆ,ಕೆಲವರು ಸೀಮೆ ಹಸುಗಳ ಮೇವಿಗಾಗಿ ಹನಿನೀರಾವರಿ ಪದ್ಧತಿಯಲ್ಲಿ ಜೋಳ ಬೆಳೆದಿದ್ದಾರೆ.,"ವ್ಯತ್ಯಾಸ, ಭೇದ",Difference,Yes,a,2025-02-03 17:51:32
ಸೀಮೆ,ಸೀಮೆ ತೋರಿಸಿದರೆ ಸಾಕು || ||೧೦೧||,"ವ್ಯತ್ಯಾಸ, ಭೇದ",Difference,Yes,a,2025-02-03 17:51:32
ಸೀಮೆ,"ಸೀಮೆ ಹಸುಗಳ ಸಂಖ್ಯೆ ಶೇ 32ರಷ್ಟು ಹೆಚ್ಚಳವಾಗಿದ್ದು, ದೇಸಿ ಹಸುಗಳ ಸಂಖ್ಯೆ ಶೇ 20ರಷ್ಟು ಕಡಿಮೆಯಾಗಿದೆ","ವ್ಯತ್ಯಾಸ, ಭೇದ",Difference,Yes,a,2025-02-03 17:51:32
ಸೀಮೆ,ಇದ್ಯಾವ ಸೀಮೆ ನ್ಯಾಯ ಸ್ವಾಮಿ?,"ವ್ಯತ್ಯಾಸ, ಭೇದ",Difference,Yes,a,2025-02-03 17:51:32
ಸೀಮೆ,ಕನಸುಗಳಿಗೆ ಸೀಮೆ ಇಲ್ಲ.,"ವ್ಯತ್ಯಾಸ, ಭೇದ",Difference,Yes,a,2025-02-03 17:51:32
ಸೀಮೆ,"ಹೀಗಾಗಿ ಜಮೀನುಗಳಿಗೆ ಭೇಟಿ ನೀಡಿದ ರಾಜ್ಯ ಮಾಲಿನ್ಯ ನಿಯಂತ್ರಣ ಮಂಡಳಿ ಹಾಗೂ ಕೋಚಿಮುಲ್‌ ಅಧಿಕಾರಿಗಳನ್ನು ಭೇಟಿಯಾದ ರೈತರು, ಕೋಚಿಮುಲ್‌ನಿಂದ ಹರಿದು ಬರುತ್ತಿರುವ ತ್ಯಾಜ್ಯ ನೀರು ಬಳಸಿಕೊಂಡು ರಾಗಿ, ಸೀಮೆ ಹುಲ್ಲು, ಹಿಪ್ಪು ನೇರಳೆ, ಜೋಳ ಬೆಳೆಯುತ್ತಿದ್ದೇವೆ.","ವ್ಯತ್ಯಾಸ, ಭೇದ",Difference,Yes,a,2025-02-03 17:51:32
ಸೀಮೆ,ಮಾದೇವಿಗೆ ನವಿಲಿನ ಕುಣಿತದಿಂದ ನಿಸ್ಸೀಮದ ಸೀಮೆ ಗೋಚರಿಸಿತು.,"ವ್ಯತ್ಯಾಸ, ಭೇದ",Difference,Yes,a,2025-02-03 17:51:32
ಸೀಮೆ,ಯಾವ ಸೀಮೆ ಪೈಪೋಟಿ?,"ವ್ಯತ್ಯಾಸ, ಭೇದ",Difference,Yes,a,2025-02-03 17:51:32
