word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಹಸಿ,ಹತ್ತಾರು ಕಿಲೋ ಮೀಟರ್ ನಡೆದು ಹಸಿ ಹಸಿ ಮರಗಳನ್ನು ಕಡಿದು ಕಟ್ಟಿಗೆ ತರುವವರು ಮನೆ ಸನಿಹ ಮುಳ್ಳಿನ ಮರ ಉಳಿಸಿದ್ದಾದರೂ ಏಕೆ?,"ಹೊಸದು, ತಾಜಾ",Fresh,Yes,Darshan R K,2025-02-05 19:03:57
ಹಸಿ,"ಬೀನ್ಸ್‌ 100ರಿದ 120, ಹಿರೇಕಾಯಿ, ಬೆಂಡೆ, ನವಿಲುಕೋಸು, ಹಸಿ ಮೆಣಸಿನಕಾಯಿ, ಕ್ಯಾರೆಟ್‌ ಕೆಜಿಗೆ ತಲಾ ರೂ.","ಹೊಸದು, ತಾಜಾ",Fresh,Yes,Darshan R K,2025-02-05 19:03:57
ಹಸಿ,ಕೆಲವು ಮಕ್ಕಳು ಹಸಿ ಕ್ಯಾರೆಟ್ ಕೊರಕು ಸಿದ್ಧರಿದ್ದಾರೆ - ಇದು ಒಂದು ಆಟಿಕೆ ಮತ್ತು ಹಲ್ಲುಗಳು ಸಿಮ್ಯುಲೇಟರ್ ಮಾಹಿತಿ ನೀಡಬಹುದು.,"ಹೊಸದು, ತಾಜಾ",Fresh,Yes,Darshan R K,2025-02-05 19:03:57
ಹಸಿ,"ಆಹಾರದಲ್ಲಿ ಹಸಿ ತರಕಾರಿ, ಹಣ್ಣುಗಳ ಸೇವನೆ ಇರಲಿ.","ಹೊಸದು, ತಾಜಾ",Fresh,Yes,Darshan R K,2025-02-05 19:03:57
ಹಸಿ,ಹಸಿ ಪಪ್ಪಾಯಿ ಸೇವನೆ ಮಾಡುವುದು ಒಳ್ಳೆಯದು.,"ಹೊಸದು, ತಾಜಾ",Fresh,Yes,Darshan R K,2025-02-05 19:03:57
ಹಸಿ,ಅನ್ನಾಹಾರವನ್ನು ತೊರೆದ ಆಕೆ ಪರ್ಣಕುಟಿಯಲ್ಲಿ ನೆಲೆಸಿ ಬದುಕಲು ದಿನ ಒಂದು ಹಸಿ ಎಲೆಯನ್ನಷ್ಟೆ ತಿಂದಳು.,"ಹೊಸದು, ತಾಜಾ",Fresh,Yes,Darshan R K,2025-02-05 19:03:57
ಹಸಿ,ಪರಿಸರ ಶುಚಿತ್ವ ಕಾಪಾಡುವುದು ಹಾಗೂ ಘನತ್ಯಾಜ್ಯವನ್ನು ಸಮರ್ಪಕವಾಗಿ ವಿಲೇವಾರಿ ಮಾಡುವಲ್ಲಿ ಹಸಿ ಹಾಗೂ ಒಣಕಸವನ್ನು ಬೇರ್ಪಡಿಸಿ ನೀಡುವ ವೈಜ್ಞಾನಿಕ ರೂಪವನ್ನು ಅನುಸರಿಸುವ ನಿಟ್ಟಿನಲ್ಲಿ ಎಲ್ಲರೂ ಕೈಜೋಡಿಸಬೇಕೆಂದು ಎಂದು ಜಿಲ್ಲಾಧಿಕಾರಿ ಅನೀಸ್ ಕಣ್ಮಣಿ ಜಾಯ್ ಅವರು ಮನವಿ ಮಾಡಿದ್ದಾರೆ.,"ಹೊಸದು, ತಾಜಾ",Fresh,Yes,Darshan R K,2025-02-05 19:03:57
ಹಸಿ,ಹಸಿ ಮೊಟ್ಟೆಯನ್ನು ಕೂಡ ಸೇವನೆ ಮಾಡುವುದು ಒಳ್ಳೆಯದಲ್ಲ ಕೆಲವು ವ್ಯಕ್ತಿಗಳು ತಮ್ಮ ದೇಹದಾರ್ಡತೆ ಸಾಮರ್ಥ್ಯವನ್ನು ಪ್ರದರ್ಶಿಸಲು ಹಸಿ ಮೊಟ್ಟೆ ಒಡೆದು ನೇರವಾಗಿ ಬಾಯಿಗೆ ಹಾಕಿಕೊಳ್ಳುತ್ತಾರೆ ಆದರೆ ಒಳ್ಳೆಯದಲ್ಲ ಮೊಟ್ಟೆಯಲ್ಲಿ ಕೆಲವು ಮಾರಕ ಬ್ಯಾಕ್ಟೀರಿಯಾಗಳು ಇರುತ್ತವೆ ಹಾಗಾಗಿ ಹಸಿಯಾಗಿ ಮೊಟ್ಟೆ ಸೇವಿಸಿದರೆ ಈ ಬ್ಯಾಕ್ಟೀರಿಯಾಗಳು ಅನಾರೋಗ್ಯವನ್ನು ತರುತ್ತವೆ.,"ಹೊಸದು, ತಾಜಾ",Fresh,Yes,Darshan R K,2025-02-05 19:03:57
ಹಸಿ,* 1000 ಗ್ರಾಮ ಪಂಚಾಯಿತಿಗಳಲ್ಲಿ ಘನತ್ಯಾಜ್ಯ ವಿಲೇವಾರಿಗಾಗಿ ಒಣ ಮತ್ತು ಹಸಿ ತ್ಯಾಜ್ಯವನ್ನು ವಿಂಗಡಿಸಿ ಒಣ ಕಸ ಮರುಬಳಕೆ ಹಾಗೂ ಹಸಿ ಕಸವನ್ನು ಗೊಬ್ಬರವಾಗಿ ಪರಿವರ್ತಿಸುವ ಸ್ವಚ್ಛಮೇವ ಜಯತೆ ಆಂದೋಲನ.,"ಹೊಸದು, ತಾಜಾ",Fresh,Yes,Darshan R K,2025-02-05 19:03:57
ಹಸಿ,ಹಸಿ ಮೆಣಸಿನಕಾಯಿಯಲ್ಲಿ ಸಿಲಿಕಾನ್ಸ್ ಅಂಶವಿದ್ದು ಇದು ತಲೆಬುಡದಲ್ಲಿ ರಕ್ತ ಸಂಚಾರ ಚೆನ್ನಾಗಿ ನಡೆಯುವಂತೆ ಮಾಡುವುದರಿಂದ ಕೂದಲಿನ ಬುಡ ಬಲವಾಗುವುದು.,"ಹೊಸದು, ತಾಜಾ",Fresh,Yes,Darshan R K,2025-02-05 19:03:57
ಹಸಿ,"ಒಂದು ಬಾಣಲೆಯಲ್ಲಿ ಸ್ವಲ್ಪ ಎಣ್ಣೆ, ಸಾಸಿವೆ, ಹಸಿ ಮೆಣಸು ಹಾಗೂ ಕರಿಬೇವು ಹಾಕಿ ಒಗ್ಗರಣೆ ಸಿದ್ಧಪಡಿಸಿಕೊಂಡು, ಅದನ್ನು ರುಬ್ಬಿಟ್ಟುಕೊಂಡ ಮಿಶ್ರಣಕ್ಕೆ ಹಾಕಬೇಕು.","ಹೊಸದು, ತಾಜಾ",Fresh,Yes,Darshan R K,2025-02-05 19:03:57
ಹಸಿ,"ರೊಟ್ಟಿ, ಉದರಬ್ಯಾಳಿ ಪಲ್ಲೇ, ಜುಣಕದ ಚಕಳಿ, ಶೇಂಗಾ ಚಟ್ನಿ, ಕೆನಿ ಮೊಸರಾ, ಕಡ್ಕೊಳ್ಳಾಕ ಗಜ್ಜರಿ, ಸೌತಿಕಾಯಿ, ಉಳ್ಳೆಗಡ್ಡಿ, ಕರಿದ ಹಸಿ ಮೆಣಿಸಿನ ಕಾಯಿ, ಅನ್ನ, ಖಾರಬ್ಯಾಳಿ, ಭರಟಿ ಒಳಗಿನ ಮಾವಿನ ಉಪ್ಪಿನಕಾಯಿ, ಮೊಸರನ್ನ, ಬಾನಾ, ನುಚ್ಚ ಎಲ್ಲಾ ಜಬರದಸ್ತ ಊಟಾ ಹೊಡದ ಮುಗಿಸಿದಿವಿ.","ಹೊಸದು, ತಾಜಾ",Fresh,Yes,Darshan R K,2025-02-05 19:03:57
ಹಸಿ,ಪ್ರಸ್ತುತ ಇರುವ ಹಸಿ ಮೀನು ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಮೂಲ ಸೌಕರ್ಯಗಳಿಲ್ಲದೇ ಮೀನು ವ್ಯಾಪಾರ ನಡೆಯುತ್ತಿಲ್ಲ.,"ಹೊಸದು, ತಾಜಾ",Fresh,Yes,Darshan R K,2025-02-05 19:03:57
ಹಸಿ,"ಸೆಕ್ಸ್ ಗೂ ಮೊದಲು ತೆಗೆದುಕೊಳ್ಳುವ ಆಹಾರದಲ್ಲಿ ಹಸಿ ತರಕಾರಿ, ಕಹಿ, ವಗರು ರುಚಿ ಇರುವ ಆಹಾರ ತೆಗೆದುಕೊಳ್ಳುವುದಕ್ಕಿಂತ ಸ್ವೀಟ್ಸ್ ತೆಗೆದುಕೊಳ್ಳುವುದು ಉತ್ತಮ ಎನ್ನುತ್ತಿದ್ದಾರೆ ವೈದ್ಯರು.","ಹೊಸದು, ತಾಜಾ",Fresh,Yes,Darshan R K,2025-02-05 19:03:57
ಹಸಿ,"ಅಶ್ವತ್ಥಕಟ್ಟೆ ಮೇಲಿನ ಅರಳಿ ಮರ, ನಾಗರಕಲ್ಲಿಗೆ ಹಸಿ ದಾರ ಕಟ್ಟುವುದು, ಹುತ್ತದ ಕೋವಿಗಳಿಗೆ ಹಾಲು ಬಿಡುವುದು, ನಾಗರಕಲ್ಲುಗಳಿಗೆ ಅರಿಶಿನ ಕುಂಕುಮ ಹಚ್ಚಿ ಪೂಜೆ ಮಾಡುತ್ತಿದ್ದ ದೃಶ್ಯಗಳು ಅಲ್ಲಲ್ಲಿ ಕಂಡು ಬಂತು.","ಹೊಸದು, ತಾಜಾ",Fresh,Yes,Darshan R K,2025-02-05 19:03:57
ಹಸಿ,ಅಪ್ಪಿತಪ್ಪಿಯೂ ಇಂತಹ ಹಸಿ ಆಹಾರಗಳನ್ನು ತಿನ್ನಬೇಡಿ-ಇವೆಲ್ಲಾ ಆರೋಗ್ಯಕ್ಕೆ ಬಹಳ ಅಪಾಯಕಾರಿ!,"ಹೊಸದು, ತಾಜಾ",Fresh,Yes,Darshan R K,2025-02-05 19:03:57
ಹಸಿ,ಹಸಿ ತರಕಾರಿಗಳು ಆರೋಗ್ಯ ವೃದ್ಧಿಗೆ ಬಹಳ ಪೂರಕ ಹಾಗೂ ಅವುಗಳನ್ನು ಸೇವಿಸಲು ಯಾವುದೇ ಕಾಲ ಎಂಬುದಿಲ್ಲ.,"ಹೊಸದು, ತಾಜಾ",Fresh,Yes,Darshan R K,2025-02-05 19:03:57
ಹಸಿ,ದಿನಕ್ಕೆ ಮೂರು ಬಾರಿ ಹಸಿ ಕ್ಯಾರೆಟ್ ಅಥವಾ ಕ್ಯಾರೆಟ್ ಜ್ಯೂಸ್ ಅನ್ನು ಸೇವಿಸುವುದು ನಿಮ್ಮ ಮುಟ್ಟನ್ನು ನಿಯಮಿತ ಗೊಳಿಸುತ್ತದೆ.,"ಹೊಸದು, ತಾಜಾ",Fresh,Yes,Darshan R K,2025-02-05 19:03:57
