word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಹುಟ್ಟು,ಟಾಲಿವುಡ್ ಮೋಸ್ಟ್ ಹ್ಯಾಂಡ್ಸಮ್ ನಟ ವಿಜಯ್ ದೇವರಕೊಂಡ ಇದೇ ತಿಂಗಳ ಮೇ 9 ರಂದು ಹುಟ್ಟು ಹಬ್ಬವನ್ನು ಆಚರಿಸಿಕೊಂಡರು.,ಜನನ,be born,Yes,a,2025-02-07 21:25:45
ಹುಟ್ಟು,ಮದರಸಾ ಶಿಕ್ಷಣವನ್ನು ಪಡೆಯುತ್ತಿರುವ ಅಸಂಖ್ಯಾತ ಮುಸಲ್ಮಾನರು ತಮ್ಮ ಮದರಸಾ ಶಿಕ್ಷಣಗಳನ್ನೇ ತಿರುಚಿ ಕೆಲವು ಮದರಸಾಗಳು ಜಿಹಾದ್ ಪಾಠವನ್ನು ಹೇಳಿಕೊಡುವ ಮೂಲಕ ಉಗ್ರರನ್ನು ಹುಟ್ಟು ಹಾಕುತ್ತಿದೆ.,ಜನನ,be born,Yes,a,2025-02-07 21:25:45
ಹುಟ್ಟು,"ಎಡ ಪಂಥವು ಹಲವು ಹತ್ತು ದೇಶಗಳಲ್ಲಿ ಮರು ಹುಟ್ಟು ಪಡೆಯುವಂತಹ ಸ್ಪೂರ್ತಿ ತುಂಬುವ ಭರವಸೆ ಇತರರಲ್ಲಿ ಮೂಡಲು ಕಾರಣವಾಗಿದ್ದ ಎಡ ಪಕ್ಷಗಳು ಇತ್ತೀಚಿನವರೆಗೆ ಅಧಿಕಾರದಲ್ಲಿದ್ದ ಲ್ಯಾಟಿನ್ ಅಮೇರಿಕಾದಲ್ಲಿ, ಒಂದರ ನಂತರ ಮತ್ತೊಂದು ದೇಶದಲ್ಲಿ ಬಲ ಪಂಥೀಯ ಸರ್ಕಾರಗಳು ಅಧಿಕಾರಕ್ಕೆ ಬಂದಿವೆ.",ಜನನ,be born,Yes,a,2025-02-07 21:25:45
ಹುಟ್ಟು,ಈ ಶಾಸಕರ ಜೊತೆ ಶ್ರೀಮಂತ್ ಬಾಳಾಸಾಹೇಬ್ ಪಾಟೀಲ್ ಕಾಣಿಸಿಕೊಂಡಿರುವುದು ಹಲವು ಪ್ರಶ್ನೆಗಳನ್ನು ಹುಟ್ಟು ಹಾಕಿದೆ.,ಜನನ,be born,Yes,a,2025-02-07 21:25:45
ಹುಟ್ಟು,ಕೊಕ್ಕರ್ಣೆ ಸರಕಾರಿ ಶಾಲೆಯ ಹುಟ್ಟು ಯಾವಾಗ ಎನ್ನುವ ನಿಖರವಾದ ಮಾಹಿತಿ ದೊರೆತಿಲ್ಲ.,ಜನನ,be born,Yes,a,2025-02-07 21:25:45
ಹುಟ್ಟು,ಪ್ರಕಾಶ್ ರೈ ಹುಟ್ಟು ಕಲಾವಿದ.,ಜನನ,be born,Yes,a,2025-02-07 21:25:45
ಹುಟ್ಟು,"ಕಾರ್ಯಕ್ರಮ ಉದ್ಘಾಟಿಸಿ ಮಾತನಾಡಿದ ಫಾ ಇಸಾಕ್, ದೇವ ಒಬ್ಬ ನಾಮಗಳು ಹಲವು ದುಷ್ಟರನ್ನು ಶಿಕ್ಷಿಸಲು ಸಿಸ್ಟರನ್ನು ರಕ್ಷಿಸಲು ದೇವರು ಜನಿಸಿದರು ಮಾನವ ಹುಟ್ಟುವ ಮೊದಲು ಬರಿ ಸೂನ್ಯ ಮಾನವನ ಜೀವನಕ್ಕೆ ಅರ್ಥ ಸಿಗುವುದು ಈ ಹುಟ್ಟು ಸಾವಿನ ಮದ್ಯ ನೆಡೆಸುವ ಜೀವನದ ಪರಿಯಲ್ಲಿ ಅಡಕವಾಗಿರುತ್ತದೆ ಎಂದರು.",ಜನನ,be born,Yes,a,2025-02-07 21:25:45
ಹುಟ್ಟು,ಸ್ವಾತಂತ್ರ್ಯ ಸಂಗ್ರಾಮದಲ್ಲಿ ಭಾಗವಹಿಸಿದ ಮಕ್ಕಳ ವಾನರಸೇನೆ ಯನ್ನು ಹುಟ್ಟು ಹಾಕಿದವರಾರು?,ಜನನ,be born,Yes,a,2025-02-07 21:25:45
ಹುಟ್ಟು,- ಮಗು ನೋವು ಹುಟ್ಟು ತಿನ್ನಲು ಆರಂಭವಾಗುತ್ತದೆ.,ಜನನ,be born,Yes,a,2025-02-07 21:25:45
ಹುಟ್ಟು,370ನೇ ವಿಧಿಯ ವಿರುದ್ಧ ಮೊದಲು ಧ್ವನಿ ಎತ್ತಿಿದವರು ಮತ್ತು ಜನಾಂದೋಲನವನ್ನು ಹುಟ್ಟು ಹಾಕಿದವರು ಇವರೇ.,ಜನನ,be born,Yes,a,2025-02-07 21:25:45
