word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಹೃದಯ,ಮಯೋಕಾರ್ಡಿಟಿಸ್ ಎಂಬುದು ಹೃದಯ ಸ್ನಾಯುವಿನ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರುವ ಉರಿಯೂತದ ರೋಗವಾಗಿದೆ.,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,ಮತ್ತು ಈ ಹೃದಯ ಅಥವಾ ರಕ್ತನಾಳಗಳ ಅಸ್ವಸ್ಥತೆಗಳ ಒಂದು ಲಕ್ಷಣ.,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,"ಬೆಂಗಳೂರು: ಮಾಜಿ ಮುಖ್ಯಮಂತ್ರಿ, ಜೆಡಿಎಸ್ ನಾಯಕ ಎಚ್ ಡಿ ಕುಮಾರಸ್ವಾಮಿ ಸೆಪ್ಟೆಂಬರ್ 23 ರಂದು ಹೃದಯ ಶಸ್ತ್ರಚಿಕಿತ್ಸೆಗೊಳಗಾಗಲಿದ್ದಾರೆ.",ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,ನಿಂಗಪ್ಪ ಹೃದಯ ಸಂಬಂಧಿ ಕಾಯಿಲೆಯಿಂದ ಬಳಲುತ್ತಿದ್ದರು.,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,ನಿಕೋಟಿನ್ ಹೃದಯ ಬಡಿತವನ್ನು ಹೆಚ್ಚಿಸುತ್ತದೆ ಮತ್ತು ರಕ್ತದ ಒತ್ತಡವನ್ನು ಹೆಚ್ಚಿಸುತ್ತದೆ.,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,"ಸಾವಿಗೆ ಕಾರಣ, ಆರಂಭಿಕ ಹೆಸರಿಡಲಾಗಿದೆ - ಒಂದು ಹೃದಯ ದೋಷದ.",ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,ಕಾರ್ಡಿಯೊಮಿಯೊಪತಿ- ಹೃದಯ ಸ್ನಾಯುವಿನ ರೋಗ,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,"ಪಿ, ಶುಗರ್ ಇರುವವರಿಗೆ, ಕೊಲೆಸ್ಟ್ರಾಲ್ ಜಾಸ್ತಿ ಇರುವವರಿಗೆ, ಹೃದಯ ಸಮಸ್ಯೆ, ವಯಸ್ಸಾದವರಿಗೆ ಸ್ಟ್ರೋಕ್ ರಿಸ್ಕ್ ಹೆಚ್ಚಿರುತ್ತೆ.",ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,ಹೃದಯ ಸ್ನಾಯುವಿನ ಜೀವಕೋಶಗಳಲ್ಲಿನ ಚಯಾಪಚಯ ಕ್ರಿಯೆಯ ಉಲ್ಲಂಘನೆ;,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,ಹೃದಯ ವಿವಿಧ ತೊಂದರೆಗಳು - ಅನೇಕ ಜನರಿಗೆ ಸಮಸ್ಯೆ.,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,"ಹೃದಯ ಹೃದಯ ಕಂಪನವು, ಹೃದಯ ಬಡಿತದ ಅಸಾಮಾನ್ಯ ಜಾಗೃತಿಯಾಗಿದ್ದು ಇದು ತೀರಾ ಸಾಮಾನ್ಯ ಲಕ್ಷಣವಾಗಿರುತ್ತದೆ.",ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,ಕೆಲವೊಂದು ಸಮಯದಲ್ಲಿ ಹೃದಯ ಕೆಲಸ ಆರಂಭಿಸಿ ನಂತರ ಮೆದುಳೂ ಕೆಲಸ ಆರಂಭಿಸುತ್ತದೆ.,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,ಮತ್ತು ಮಾರಕ ಫಲಿತಾಂಶಕ್ಕೆ ಹೆಚ್ಚಾಗಿ ಹೃದಯ ಕಾಯಿಲೆಗೆ ಕಾರಣವಾಗುತ್ತದೆ.,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,ಹೆಚ್ಚಾಗಿ ಅವರು ಹೃದಯ ಕಾಯಿಲೆಯ ಬಗ್ಗೆ ಮಾತನಾಡುತ್ತಾರೆ.,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,ಹೃದಯ ಬಡಿತ ಮತ್ತು ಉಸಿರಾಟವು ನಿಧಾನವಾಗಿ ನಿಧಾನವಾಗಿ ಸಹಾಯ ಮಾಡುತ್ತದೆ,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,"ಇಂದು, ಹೃದಯ ರೋಗಗಳು ಒಂದು ದೊಡ್ಡ ಸಂಖ್ಯೆಯ ಇವೆ.",ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,ಈ ರೋಗಲಕ್ಷಣಗಳು ಯಾವಾಗಲೂ ಹೃದಯ ರೋಗಲಕ್ಷಣಗಳನ್ನು ಸೇರಿಸಲಾಗುತ್ತದೆ.,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,"ಔಷಧ ಸ್ನಾಯುಗಳಲ್ಲಿ ಅನ್ಬೌಂಡ್ ರೂಪ, ಪಿತ್ತಜನಕಾಂಗ, ಮಿದುಳು, ನರ, ಹೃದಯ ಅಂಗಾಂಶ, ರಕ್ತ ಕಂಡುಬರುತ್ತದೆ.",ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,ನಿಮ್ಮ ಶರೀರದಲ್ಲಿನ ಎಲೆಕ್ಟ್ರೋಲೈಟ್ ಸಮತೋಲನ ವ್ಯತ್ಯಯಗೊಂಡಿದ್ದರೆ ನಿಮ್ಮ ಹೃದಯ ಬಡಿತದ ದರ ಹೆಚ್ಚಾಗಬಹುದು.,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,ಹೃದಯ ಸಾರ್ಕೋಯಿಡೋಸಿಸ್ ಎಂದರೇನು?,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,ಆಯುರ್ವೇದ ಚಿಕಿತ್ಸಕರಾಗಿ ಹೃದಯ ಸಂಬಂಧಿ ರೋಗಗಳಿಗೆ ನೀಡಿದ ಚಿಕಿತ್ಸೆ.,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:24
ಹೃದಯ,ಹೃದಯ ವೈಫಲ್ಯವನ್ನು ತಡೆಗಟ್ಟುವುದು ಹೇಗೆ?,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:25
ಹೃದಯ,ಸೆಳೆತ ಹೃದಯ ಸ್ನಾಯುವಿನ ಭಾಗವನ್ನು ರಕ್ತದ ಪೂರೈಕೆಯಿಂದ ವಂಚಿತಗೊಳಿಸುತ್ತದೆ ಮತ್ತು ಆಂಜಿನಾ ಸಂಭವಿಸುತ್ತದೆ.,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:25
ಹೃದಯ,"ನಮ್ಮ ತಂದೆಗೆ ಹೃದಯ ಸಂಬಂಧಿ ಕಾಯಿಲೆಗಳಿದ್ದು, ಚಪಾತಿ ಬದಲಾಗಿ ಅನ್ನವನ್ನು ನೀಡಿ ಎಂದು ಪುತ್ರ ತೇಜಸ್ವಿ ಯಾದವ್ ಜೈಲಧಿಕಾರಿಗಳಿಗೆ ಮನವಿ ಮಾಡಿಕೊಂಡಿದ್ದಾರೆ.",ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:25
ಹೃದಯ,ಜೊತೆಗೇ ಹೃದಯ ತೊಂದರೆ ಮತ್ತು ಕ್ಯಾನ್ಸರ್ (ಥೈರಾಯ್ಡ್ ಗ್ರಂಥಿಯ ಕ್ಯಾನ್ಸರ್) ಬರುವ ಸಾಧ್ಯತೆಯೂ ಹೆಚ್ಚು.,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:25
ಹೃದಯ,"ಹೃದಯ ಸ್ಕಾಟ್ ಒಂದು ಲಘು, ಚೆನ್ನಾಗಿದೆ ಹೊಂದಲು ಮತ್ತು ವಿಸ್ಕಿಯ ಮಿಶ್ರಣ ಮಾಡಲು ಎಲ್ಲರೂ ತಿಳಿದಿರುವ ಮೂರು ಅಲಿಖಿತ ನಿಯಮಗಳಿವೆ.",ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:25
ಹೃದಯ,ಹೃದಯ ರೋಗದ ಪ್ರತಿರೋಧ ತರಬೇತಿ ಪಾತ್ರ.,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:25
ಹೃದಯ,ವಿಶ್ರಾಂತಿ ಹೃದಯ ಬಡಿತವು 90 ಬಿ.,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,Heart,Yes,k,2025-02-02 07:57:25
