word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಹೊಳೆ,ಕಾಂಗ್ರೆಸ್-ಬಿಜೆಪಿ ಪಕ್ಷಗಳು ಉಪಚುನಾವಣೆಯಲ್ಲಿ ಒಳ ಒಪ್ಪಂದ ಮಾಡಿಕೊಂಡು ಹಣದ ಹೊಳೆ ಹರಿಸಿದ ಕಾರಣ ಜೆಡಿಎಸ್‌ ಪಕ್ಷಕ್ಕೆ ಸೋಲಾಗಿದೆ ಎಂದು ಎಚ್‌.,"ಕಾಂತಿ, ಹೊಳಪು",Shine,Yes,a,2025-02-07 22:02:34
ಹೊಳೆ,ಆಷಾಢದ ಮೋಡದ ಹೊಳೆ ಮೇಲೆ ಹರಿಯುತಿದ್ದಿತು,"ಕಾಂತಿ, ಹೊಳಪು",Shine,Yes,a,2025-02-07 22:02:34
ಹೊಳೆ,"ಓಹ್, ಎಂಥ ನಿರ್ಮಲವಾದ ಪರಿಶುದ್ಧವಾದ ಸೂರ್ಯನ ಕಿರಣಗಳಿಗೆ ಹೊಳೆ ಹೊಳೆಯುವ ಕನ್ನಡಿಯಂಥ ಸರಸ್ಸಾಗಿತ್ತು ಅದು.","ಕಾಂತಿ, ಹೊಳಪು",Shine,Yes,a,2025-02-07 22:02:34
ಹೊಳೆ,ಈ ಬಾರಿಯ ವಿಶೇಷವೆಂದರೆ ಇದೇ ಮೊದಲ ಬಾರಿಗೆ ಇಷ್ಟೊಂದು ಮಂದಿ ಹಾಸ್ಯ ಕಲಾಕಾರರನ್ನು ಕಲೆ ಹಾಕಿ ಇಡೀ ದಿನ ಹಾಸ್ಯದ ಹೊಳೆ ಹರಿಸಿದ್ದು.,"ಕಾಂತಿ, ಹೊಳಪು",Shine,Yes,a,2025-02-07 22:02:34
ಹೊಳೆ,ಗೆಳೆಯರಿಬ್ಬರು ಬೌಂಡರಿ ಗೆರೆಯ ಹೊರಗಿದ್ದ ಕೋಚ್ ರಮಾಕಾಂತ್ ಆಚ್ರೇಕರ್ ಅವರ ಕಡೆ ತಲೆ ಹಾಕದೇ ಮೈದಾನದೊಳಗೆ ರನ್‌ಗಳ ಹೊಳೆ ಹರಿಸುತ್ತಾ ಸಾಗಿದ್ದನ್ನು ದಾಖಲಿಸಿದ ವ್ಯಕ್ತಿ ಮಾರ್ಕಸ್.,"ಕಾಂತಿ, ಹೊಳಪು",Shine,Yes,a,2025-02-07 22:02:34
ಹೊಳೆ,ಗಣಿಗಾರಿಕೆಯಿಂದ ಜಿಲ್ಲೆಯಲ್ಲಿ ಹಣದ ಹೊಳೆ ಹರಿದಿತ್ತು.,"ಕಾಂತಿ, ಹೊಳಪು",Shine,Yes,a,2025-02-07 22:02:34
ಹೊಳೆ,ನನ್ನ ಬದುಕಿನ ಹೊಳೆ ಕನ್ನಡ ಸಾಹಿತ್ಯದ ನವೋದಯದ ನದಿಗೆ ಬಹಳ ದೂರದಲ್ಲಿಯೆ ಹರಿಯುತ್ತಿತ್ತು.,"ಕಾಂತಿ, ಹೊಳಪು",Shine,Yes,a,2025-02-07 22:02:34
ಹೊಳೆ,ನಿತ್ಯ ಹಸಿರು ನೋಡುವವರ ಮನಸ್ಸು ಸದಾ ಪ್ರಸನ್ನವಾಗಿರುವುದರ ಜೊತೆಗೆ ಅವರ ಕಣ್ಣುಗಳು ಆರೋಗ್ಯವಾಗಿದ್ದು ಫಳಾ ಫಳಾ~ ಹೊಳೆ ಯುತ್ತಿರುತ್ತವೆ.,"ಕಾಂತಿ, ಹೊಳಪು",Shine,Yes,a,2025-02-07 22:02:34
ಹೊಳೆ,ಒಂದೊಮ್ಮೆ ಅವರು ಹಿಂದಿನ ಲಯದಲ್ಲಿ ಆಡಿದ್ದೇ ಆದರೆ ವಾಂಖೆಡೆ ಕ್ರೀಡಾಂಗಣದಲ್ಲಿ ರನ್ ಹೊಳೆ ಹರಿಯುವುದು ಸುಳ್ಳಲ್ಲ.,"ಕಾಂತಿ, ಹೊಳಪು",Shine,Yes,a,2025-02-07 22:02:34
ಹೊಳೆ,ಪರಿಶುದ್ಧ ಮನಸ್ಸು ಸದಾಚಾರತೆಯನ್ನು ಮೈಗೂಡಿಸಿಕೊಂಡು ಬಾಳಿದ ವ್ಯಕ್ತಿ ಅವರ ಕಾವ್ಯಗಳು ಕನ್ನಡ ಕಾವ್ಯಲೋಕಕ್ಕೆ ಒಂದು ಮಿಂಚಿನ ಹೊಳೆ ಹರಿಸಿವೆ.,"ಕಾಂತಿ, ಹೊಳಪು",Shine,Yes,a,2025-02-07 22:02:35
ಹೊಳೆ,"ಹೊಳೆ ಹೊಳೆಯುವ ಕಣ್ಣುಗಳು, ಪುಟ್ಟ ಮೂಗು, ಹಾಲಿನ ಕೆನೆಯಂತಹ ಮೆತ್ತಗಿರುವ ಕೆನ್ನೆ, ಹಣೆಯಲ್ಲಿ ಮಿನುಗುವ ತಿಲಕ, ತುಟಿಯಲ್ಲಿ ಕುಲುಕುಲು ನಗೆ!","ಕಾಂತಿ, ಹೊಳಪು",Shine,Yes,a,2025-02-07 22:02:35
ಹೊಳೆ,ನನ್ನ ಮೊಬೈಲ್ ಲೈಟಲ್ಲೇ ಹೊಳೆ ಹುಡುಕ್ತಾ ನಾನು ಪಕ್ಯ ಹೆಜ್ಜೆ ಹಾಕಿದ್ವಿ.,"ಕಾಂತಿ, ಹೊಳಪು",Shine,Yes,a,2025-02-07 22:02:35
ಹೊಳೆ,"ಎಲ್ಲಿ ಮುಗಿಲಲಿ ಮಿಂಚಿನೋಲ್ ಕಾವೇರಿ ಹೊಳೆ ಹೊಳೆ ಹೊಳೆವಳೋ,","ಕಾಂತಿ, ಹೊಳಪು",Shine,Yes,a,2025-02-07 22:02:35
ಹೊಳೆ,ಕರುನಾಡಲಿ ಹರಿಯಲಿ ಕಾಂಚಾಣದ ಹೊಳೆ,"ಕಾಂತಿ, ಹೊಳಪು",Shine,Yes,a,2025-02-07 22:02:35
ಹೊಳೆ,ಹೊಳೆ ಹೊಳೆವ ಪಂಜರದಲಿ,"ಕಾಂತಿ, ಹೊಳಪು",Shine,Yes,a,2025-02-07 22:02:35
