word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಹೊಳೆ,"ಹೆಮ್ಮಾಡಿ: ಹೊಸಾಡು ಗ್ರಾಪಂ ವ್ಯಾಪ್ತಿಯ ಹೊಸಾಡು-ಬಂಟ್ವಾಡಿ ಸಂಪರ್ಕ ಸೇತುವೆ ಸಮೀಪ ಕೆಲವರು ಚಟ್ಲಿಕೆರೆ ನಿರ್ಮಾಣಕ್ಕಾಗಿ ಹೊಳೆ ಪರಂಬೋಕು ಜಾಗ ಅತಿಕ್ರಮಿಸಿ ರಸ್ತೆ ನಿರ್ಮಿಸುತ್ತಿದ್ದು, ಹೊಳೆಬದಿಯಲ್ಲಿನ ಅಪಾರ ಕಾಂಡ್ಲಾ ವೃಕ್ಷಗಳನ್ನು ನಾಶಪಡಿಸಿದ್ದಾರೆ.","ನದಿ, ತೊರೆ","river, stream",Yes,a,2025-02-07 22:14:39
ಹೊಳೆ,ಪರಮಶಿವಯ್ಯ ವರದಿ ಆಧಾರಿತ ಯೋಜನೆಯ ಒಂದು ಭಾಗಕ್ಕೆ ಎತ್ತಿನ ಹೊಳೆ ಎಂದು ಹೆಸರಿಸಿ ಯೋಜನೆ ಜಾರಿಗೊಳಿಸಲಾಯಿತು.,"ನದಿ, ತೊರೆ","river, stream",Yes,a,2025-02-07 22:14:39
ಹೊಳೆ,ಅದರಾಚೆಗೆ ಹೊಳೆವ ಹೊಳೆ.,"ನದಿ, ತೊರೆ","river, stream",Yes,a,2025-02-07 22:14:39
ಹೊಳೆ,ಬಡ ಕೂಲಿಕಾರರೇ ಹೆಚ್ಚಾಗಿರುವ ಈ ಊರಿನಲ್ಲಿ ಊರು ತುಂಬಾ ಹೊಳೆ ಕೋಡಿಗಳಲ್ಲಿ ನೀರಿದ್ದರೂ ಕುಡಿಯಲು ನೀರಿಲ್ಲ.,"ನದಿ, ತೊರೆ","river, stream",Yes,a,2025-02-07 22:14:39
ಹೊಳೆ,ತಿರುಗಾಟದ ಕೊನೆಗೆ ಹೊಳೆ ಹಾದು ಎದುರು ಕಾಣುವ ಕುದುರಿಗೆ ಹೋಗಬೇಕೆನಿಸಿತು.,"ನದಿ, ತೊರೆ","river, stream",Yes,a,2025-02-07 22:14:39
ಹೊಳೆ,"ಮುಂದೆ ಶಿರಸಿ ಪಟ್ಟಣ ಸೇರುವಾಗ ತನ್ನ ಹೆಸರನ್ನು ಶಂಕರ ಹೊಂಡ, ಬಕುರ ಹೊಳೆ, ದೋಣಿ ಹೊಳೆ ಎಂದೆಲ್ಲ ಬದಲಾಯಿಸಿಕೊಳ್ಳುತ್ತದೆ.","ನದಿ, ತೊರೆ","river, stream",Yes,a,2025-02-07 22:14:39
ಹೊಳೆ,ಮೊರೆಯದಿರಲಿ ಹೊಳೆ ನದಿಗಳು ಉಕ್ಕಿ,"ನದಿ, ತೊರೆ","river, stream",Yes,a,2025-02-07 22:14:39
ಹೊಳೆ,"ಭಟ್ಕಳ: ಸದ್ಯ ತಾಲೂಕಿನಲ್ಲಿ ಚಿಪ್ಪಿಕಲ್ಲಿನ ವ್ಯಾಪಾರ ಹಾಗೂ ಖರೀದಿ ಕಡಿಮೆಯಾಗಿದ್ದ ಬೆನ್ನಲ್ಲೆ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಕಲಗಾ(ಕಳಿನಾಡು) ಎಂಬ ಬಹುಬೇಡಿಕೆಯ ರುಚಿಯಾದ ಜಲಚರಗಳು ಸಿಗುತ್ತಿದ್ದು, ತಾಲೂಕಿನ ಹೊಳೆ ಭಾಗದಲ್ಲಿನ ಮೀನುಗಾರ ಮಹಿಳೆಯರು ಬೆಳ್ಳಂಬೆಳಗ್ಗೆ ಹೊಳೆಯಲ್ಲಿ ಇಳಿದು ಕಲಗಾ(ಕಳಿನಾಡು) ತೆಗೆಯುವ ಕಾರ್ಯದಲ್ಲಿ ನಿರತರಾಗಿದ್ದಾರೆ.","ನದಿ, ತೊರೆ","river, stream",Yes,a,2025-02-07 22:14:39
ಹೊಳೆ,ಜಿಲ್ಲೆಯ ವಿವಿಧ ಹೊಳೆ ಹಾಗೂ ಸಮುದ್ರದಿಂದ ಅಕ್ರಮವಾಗಿ ಮರಳು ಸಾಗಾಟದ ಹಿಂದೆ ಬೃಹತ್ ಮಾಫಿಯಾಗಳು ಕಾರ್ಯಾಚರಿಸುತ್ತಿದೆ ಎನ್ನಲಾಗಿದೆ.,"ನದಿ, ತೊರೆ","river, stream",Yes,a,2025-02-07 22:14:39
ಹೊಳೆ,"ಬಿಸಿಲ ತಾಪ ಹೆಚ್ಚಾಗುತ್ತಿರುವು ದರಿಂದ ಭೂಮಿಯ ಬಾಷ್ಪೀಕರಣ ಪ್ರಕ್ರಿಯೆ ಇನ್ನಷ್ಟು ತೀವ್ರಗೊಂಡಿದ್ದು, ಹೀಗೆ ಮುಂದುವರಿದಲ್ಲಿ ರಾಜ್ಯದಲ್ಲಿ ಬಾವಿ, ಕೆರೆ, ಹೊಳೆ ಇತ್ಯಾದಿಗಳಲ್ಲಿ ನೀರಿನ ಮಟ್ಟ ಕುಸಿದು ಮುಂದೆ ನೀರಿನ ಕೊರತೆಗೆ ಸಾಧ್ಯತೆ ಇದೆ ಎಂದು ಹವಾಮಾನ ಇಲಾಖೆ ತಿಳಿಸಿದೆ.","ನದಿ, ತೊರೆ","river, stream",Yes,a,2025-02-07 22:14:39
