word,wordtype,meaning
ಅಂಕಣಿ,ಹೆಸರುಪದ,(ದೇ) ಕುದುರೆಯ ರಿಕಾಪು
ಅಂಕನ,ಹೆಸರುಪದ,(ಸಂ) ೧ ಗುರುತು ಮಾಡುವುದು ೨ ಬರೆ ಹಾಕುವುದು ೩ ಗುರುತು
ಅಂಕಿ,ಹೆಸರುಪದ,(<ಸಂ. ಅಂಕ) ಸಂಖ್ಯೆಯನ್ನು ಬರಹ ರೂಪದಲ್ಲಿ ತೋರಿಸುವ ಚಿಹ್ನೆ
ಅಂಕಿತ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಗುರುತು ೨ ರುಜು, ಸಹಿ"
ಅಂಕು,ಹೆಸರುಪದ,(ದೇ) ಸೊಟ್ಟು
ಅಂಕುಡೊಂಕು,ಹೆಸರುಪದ,ವಕ್ರತೆ
ಅಂಕುರ,ಹೆಸರುಪದ,(ಸಂ) ೧ ಮೊಳಕೆ ೨ ಕೂದಲು ೩ ರಕ್ತ ೪ ನೀರು ೫ ಊತ
ಅಂಕುರಾರ್ಪಣ,ಹೆಸರುಪದ,"ಪ್ರಾರಂಭ, ಮೊದಲು"
ಅಂಕುಶ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಆನೆಯನ್ನು ಹದ್ದಿನಲ್ಲಿ ಇಡಲು ಉಪಯೋಗಿಸುವ ಒಂದು ಸಾಧನ ೨ ಒಂದು ಆಯುಧ ೩ ಹಿಡಿತ, ಹತೋಟಿ"
ಅಂಕೆ,ಹೆಸರುಪದ,"(<ಸಂ. ಅಂಕ) ೧ ಅಪ್ಪಣೆ ೨ ಹತೋಟಿ ೩ ದರ್ಪ ೪ ಎಣಿಕೆ ೫ ಗುರುತು ೬ ಸಂಖ್ಯೆಯ ಚಿಹ್ನೆ, ನಂಬರು"
ಅಂಗ,ಹೆಸರುಪದ,"(ಸಂ) ೧ ಅಂಶ ೨ ದೇಹ, ಶರೀರ ೩ ಅವಯವ ೪ ಭಾಗ ೫ ಒಂದು ದೇಶ"
ಅಂಗಚಿತ್ತ,ಹೆಸರುಪದ,"ಉಡುಗೊರೆಯಾಗಿ ತನ್ನ ಮೈ ಮೇಲಿನಿಂದ ತೆಗೆದು ಕೊಡುವ ವಸ್ತ್ರ, ಆಭರಣ ಇತ್ಯಾದಿ"
ಅಂಗಜ,ಹೆಸರುಪದ,"(ಸಂ) ಮನ್ಮಥ, ಕಾಮ"
ಅಂಗಣ,ಹೆಸರುಪದ,"(ದೇ) ಮನೆಗೆ ಸೇರಿರುವ ಆವರಣದ ಬಯಲು, ಅಂಗಳ"
ಅಂಗದ,ಹೆಸರುಪದ,(ಸಂ) ೧ ತೋಳುಬಳೆ ೨ ವಾಲಿಯ ಮಗನ ಹೆಸರು
ಅಂಗನವಾಡಿ,ಹೆಸರುಪದ,"(ಹಿಂ) ಸರ್ಕಾರದ ಯೋಜನೆಯಡಿಯಲ್ಲಿ, ಗ್ರಾಮೀಣ ಪ್ರದೇಶಗಳಲ್ಲಿ ನಡೆಸಲಾಗುವ ಶಿಶು ಸಂರಕ್ಷಣಾ ಕೇಂದ್ರ"
ಅಂಗನೆ,ಹೆಸರುಪದ,"(ಸಂ) ಹೆಂಗಸು, ಸ್ತ್ರೀ"
ಅಂಗಭೋಗ,ಹೆಸರುಪದ,"ದೇವರ ವಿಗ್ರಹಕ್ಕೆ ಪರಿಮಳ ದ್ರವ್ಯಗಳನ್ನು ಲೇಪಿಸುವ ಉಪಚಾರ, ವಿಲೇಪನ"
ಅಂಗಮರ್ದ,ಹೆಸರುಪದ,ಮೈಯನ್ನು ಒತ್ತುವವನು
ಅಂಗಮುದ್ರೆ,ಹೆಸರುಪದ,"ಶರೀರದ ರೀತಿ, ಭಂಗಿ"
ಅಂಗರಕ್ಷಕ,ಹೆಸರುಪದ,ಮೈಗಾವಲಿನವನು
ಅಂಗರಾಗ,ಹೆಸರುಪದ,೧ ಮೈಗೆ ಸುಗಂಧ ಲೇಪಿಸಿಕೊಳ್ಳುವುದು ೨ ಸುಗಂಧ ಲೇಪನ ದ್ರವ್ಯ
ಅಂಗಲಾಚು,ಎಸಕಪದ,"(ದೇ) ಬೇಡು, ಮೊರೆಯಿಡು"
ಅಂಗವಸ್ತ್ರ,ಹೆಸರುಪದ,"ಹೊದೆಯುವ ವಸ್ತ್ರ, ವಲ್ಲಿ"
ಅಂಗವಿಕಲ,ಹೆಸರುಪದ,"ಶರೀರದ ಯಾವುದಾದರೊಂದು ಅವಯವ ಊನವಾಗಿರುವ ವ್ಯಕ್ತಿ, ಅಂಗಹೀನ"
ಅಂಗಸಂಗ,ಹೆಸರುಪದ,ಶಾರೀರಿಕ ಸಂಬಂಧ
ಅಂಗಸಾಧನೆ,ಹೆಸರುಪದ,ವ್ಯಾಯಾಮ
ಅಂಗಾತ,ಅವ್ಯಯ,"(ದೇ) ಬೆನ್ನು ಕೆಳಗಾಗಿ, ಮುಖಮೇಲಾಗಿ"
ಅಂಗಾರ,ಹೆಸರುಪದ,(ಸಂ) ೧ ಕೆಂಡ ೨ ಇದ್ದಿಲು ೩ ದೇವರ ಧೂಪಾರತಿಯ ಕೆಂಡವನ್ನು ನೀರಿನಲ್ಲಿ ಆರಿಸಿ ಅದನ್ನು ಹಣೆಯಲ್ಲಿ ಧರಿಸುವ ಲಾಂಛನ (ಊರ್ಧ್ವರೇಖೆ)
ಅಂಗಾರಕ,ಹೆಸರುಪದ,"(ಸಂ) ಮಂಗಳಗ್ರಹ, ಕುಜಗ್ರಹ"
ಅಂಗಾಲು,ಹೆಸರುಪದ,(ದೇ) ಕಾಲಿನ ಅಡಿ
ಅಂಗೀಕರಣ,ಹೆಸರುಪದ,"(ಸಂ) ಒಪ್ಪಿಗೆ, ಸಮ್ಮತಿ"
ಅಂಗೀಕಾರ,ಹೆಸರುಪದ,"(ಸಂ) ಒಪ್ಪಿಗೆ, ಸಮ್ಮತಿ"
ಅಂಗುಟ,ಹೆಸರುಪದ,(<ಸಂ. ಅಂಗುಷ್ಠ) ಪಾದದ ಹೆಬ್ಬೆರಳು
ಅಂಗುಲ(ಳ),ಹೆಸರುಪದ,(ಸಂ) ೧ ಬೆರಳು ೨ ಒಂದು ಇಂಚು
ಅಂಗುಲಿ(ಳಿ),ಹೆಸರುಪದ,(ಸಂ) ಬೆರಳು
ಅಂಗುಲೀಯಕ,ಹೆಸರುಪದ,(ಸಂ) ಬೆರಳಿಗೆ ತೊಡುವ ಉಂಗುರ
ಅಂಗುಳು,ಹೆಸರುಪದ,"(ದೇ) ಬಾಯಿಯ ಅಟ್ಟ ಪ್ರದೇಶ, ತಾಲು"
