word,wordtype,origin,meaning_number,meaning
ಅಂಕನ,noun,ಸಂ ,1,ಗುರುತು ಮಾಡುವುದು
ಅಂಕಿತ,noun,ಸಂ ,1,ಗುರುತು
ಅಂಕುರ,noun,ಸಂ ,1,ಮೊಳಕೆ
ಅಂಕುಶ,noun,ಸಂ ,1,ಆನೆಯನ್ನು ಹದ್ದಿನಲ್ಲಿ ಇಡಲು ಉಪಯೋಗಿಸುವ ಒಂದು ಸಾಧನ
ಅಂಕೆ,noun,<ಸಂ. ಅಂಕ ,1,ಅಪ್ಪಣೆ
ಅಂಗ,noun,ಸಂ ,1,ಅಂಶ
ಅಂಗದ,noun,ಸಂ ,1,ತೋಳುಬಳೆ
ಅಂಗರಾಗ,noun,ಸಂ ,1,ಮೈಗೆ ಸುಗಂಧ ಲೇಪಿಸಿಕೊಳ್ಳುವುದು
ಅಂಗಾರ,noun,ಸಂ ,1,ಕೆಂಡ
ಅಂಗುಲ(ಳ),noun,ಸಂ ,1,ಬೆರಳು
ಅಂಗುಷ್ಠ,noun,ಸಂ ,1,"ಪಾದದ ಹೆಬ್ಬೆರಳು, ಅಂಗುಟ"
ಅಂಗೂಷ,noun,ಸಂ ,1,ಮುಂಗುಸಿ
ಅಂಘ್ರಿ,noun,ಸಂ ,1,"ಹೆಜ್ಜೆ, ಪಾದ"
ಅಂಚು,noun,<ಸಂ. ಅಂಶು ,1,"ಕೊನೆ, ತುದಿ"
ಅಂಡಜ,noun,ಸಂ ,1,"ಮೊಟ್ಟೆಯಿಂದ ಹುಟ್ಟಿ ಬರುವ ಹಕ್ಕಿ, ಹಾವು, ಮೀನು, ಮುಂ. ಜೀವಿಗಳು"
ಅಂಡಲೆ,noun,ದೇ ,1,ಪೀಡೆ
ಅಂಡು,noun,ದೇ ,1,"ನಿತಂಬ, ಪಿರ್ರೆ"
ಅಂಡೆ,noun,ದೇ ,1,ಟೊಳ್ಳಾದ ಬಿದಿರಿನ ಪಾತ್ರೆ
ಅಂತ,noun,ಸಂ ,1,"ಕೊನೆ, ತುದಿ"
ಅಂತಃಕರಣ,noun,ಸಂ ,1,ಮನಸ್ಸು
ಅಂತಕ,noun,ಸಂ ,1,"ಯಮ, ಮೃತ್ಯುದೇವತೆ"
ಅಂತರ,noun,ಸಂ ,1,"ವ್ಯತ್ಯಾಸ, ಭೇದ"
ಅಂತರಂಗ,noun,ಸಂ ,1,ಒಳಭಾಗ
ಅಂತರಾತ್ಮ,noun,ಸಂ ,1,ಜೀವಾತ್ಮ
ಅಂತರಾಳ,noun,ಸಂ ,1,ನಡುವಿನ ಜಾಗ
ಅಂತರಿಕ್ಷ,noun,ಸಂ ,1,"ಆಕಾಶ, ನಭ, ಬಾನು"
ಅಂತರೀಯ,noun,ಸಂ ,1,ಒಳ ಉಡುಪು
ಅಂತಸ್ತು,noun,<ಸಂ. ಅಂತಸ್ಥ ,1,ಮಹಡಿ
ಅಂತು,noun,ದೇ ,1,"ಕೊನೆ, ತುದಿ"
ಅಂತ್ಯ,noun,ಸಂ ,1,"ಕೊನೆ, ತುದಿ"
ಅಂದು,noun,ದೇ ,1,ಆ ದಿನ
ಅಂದುಕ,noun,ಸಂ ,1,"ಕಾಲಸರಪಳಿ, ನೂಪುರ"
ಅಂಬರ,noun,ಸಂ ,1,ಬಟ್ಟೆ
ಅಂಬರೀಷ,noun,ಸಂ ,1,ವಿಷ್ಣು
ಅಂಬಾರ,noun,ಪಾರ ,1,ಹುಲ್ಲಿನ ಬಣವೆ
ಅಂಬು,noun,ಸಂ ,1,ಬಾಣ
ಅಂಬುಜ,noun,ಸಂ ,1,ನೀರಿನಲ್ಲಿ ಹುಟ್ಟಿದುದು
