word,wordtype,origin,meaning_number,meaning
ಅಂಕನ,ಹೆಸರುಪದ,ಸಂ ,1,ಗುರುತು ಮಾಡುವುದು
ಅಂಕನ,ಹೆಸರುಪದ,ಸಂ ,2,ಬರೆ ಹಾಕುವುದು
ಅಂಕನ,ಹೆಸರುಪದ,ಸಂ ,3,ಗುರುತು
ಅಂಕಿತ,ಹೆಸರುಪದ,ಸಂ ,1,ಗುರುತು
ಅಂಕಿತ,ಹೆಸರುಪದ,ಸಂ ,2,"ರುಜು, ಸಹಿ"
ಅಂಕುರ,ಹೆಸರುಪದ,ಸಂ ,1,ಮೊಳಕೆ
ಅಂಕುರ,ಹೆಸರುಪದ,ಸಂ ,2,ಕೂದಲು
ಅಂಕುರ,ಹೆಸರುಪದ,ಸಂ ,3,ರಕ್ತ
ಅಂಕುರ,ಹೆಸರುಪದ,ಸಂ ,4,ನೀರು
ಅಂಕುರ,ಹೆಸರುಪದ,ಸಂ ,5,ಊತ
ಅಂಕುಶ,ಹೆಸರುಪದ,ಸಂ ,1,ಆನೆಯನ್ನು ಹದ್ದಿನಲ್ಲಿ ಇಡಲು ಉಪಯೋಗಿಸುವ ಒಂದು ಸಾಧನ
ಅಂಕುಶ,ಹೆಸರುಪದ,ಸಂ ,2,ಒಂದು ಆಯುಧ
ಅಂಕುಶ,ಹೆಸರುಪದ,ಸಂ ,3,"ಹಿಡಿತ, ಹತೋಟಿ"
ಅಂಕೆ,ಹೆಸರುಪದ,<ಸಂ. ಅಂಕ ,1,ಅಪ್ಪಣೆ
ಅಂಕೆ,ಹೆಸರುಪದ,<ಸಂ. ಅಂಕ ,2,ಹತೋಟಿ
ಅಂಕೆ,ಹೆಸರುಪದ,<ಸಂ. ಅಂಕ ,3,ದರ್ಪ
ಅಂಕೆ,ಹೆಸರುಪದ,<ಸಂ. ಅಂಕ ,4,ಎಣಿಕೆ
ಅಂಕೆ,ಹೆಸರುಪದ,<ಸಂ. ಅಂಕ ,5,ಗುರುತು
ಅಂಕೆ,ಹೆಸರುಪದ,<ಸಂ. ಅಂಕ ,6,"ಸಂಖ್ಯೆಯ ಚಿಹ್ನೆ, ನಂಬರು"
ಅಂಗ,ಹೆಸರುಪದ,ಸಂ ,1,ಅಂಶ
ಅಂಗ,ಹೆಸರುಪದ,ಸಂ ,2,"ದೇಹ, ಶರೀರ"
ಅಂಗ,ಹೆಸರುಪದ,ಸಂ ,3,ಅವಯವ
ಅಂಗ,ಹೆಸರುಪದ,ಸಂ ,4,ಭಾಗ
ಅಂಗ,ಹೆಸರುಪದ,ಸಂ ,5,ಒಂದು ದೇಶ
ಅಂಗದ,ಹೆಸರುಪದ,ಸಂ ,1,ತೋಳುಬಳೆ
ಅಂಗದ,ಹೆಸರುಪದ,ಸಂ ,2,ವಾಲಿಯ ಮಗನ ಹೆಸರು
ಅಂಗರಾಗ,ಹೆಸರುಪದ,ಸಂ ,1,ಮೈಗೆ ಸುಗಂಧ ಲೇಪಿಸಿಕೊಳ್ಳುವುದು
ಅಂಗರಾಗ,ಹೆಸರುಪದ,ಸಂ ,2,ಸುಗಂಧ ಲೇಪನ ದ್ರವ್ಯ
ಅಂಗಾರ,ಹೆಸರುಪದ,ಸಂ ,1,ಕೆಂಡ
ಅಂಗಾರ,ಹೆಸರುಪದ,ಸಂ ,2,ಇದ್ದಿಲು
ಅಂಗಾರ,ಹೆಸರುಪದ,ಸಂ ,3,ದೇವರ ಧೂಪಾರತಿಯ ಕೆಂಡವನ್ನು ನೀರಿನಲ್ಲಿ ಆರಿಸಿ ಅದನ್ನು ಹಣೆಯಲ್ಲಿ ಧರಿಸುವ ಲಾಂಛನ ಊರ್ಧ್ವರೇಖೆ
ಅಂಗುಲ(ಳ),ಹೆಸರುಪದ,ಸಂ ,1,ಬೆರಳು
