word,wordtype,origin,meaning_number,meaning
ಅಂಕನ,noun,ಸಂ ,1,ಗುರುತು ಮಾಡುವುದು
ಅಂಕನ,noun,ಸಂ ,2,ಬರೆ ಹಾಕುವುದು
ಅಂಕನ,noun,ಸಂ ,3,ಗುರುತು
ಅಂಕಿತ,noun,ಸಂ ,1,ಗುರುತು
ಅಂಕಿತ,noun,ಸಂ ,2,"ರುಜು, ಸಹಿ"
ಅಂಕುರ,noun,ಸಂ ,1,ಮೊಳಕೆ
ಅಂಕುರ,noun,ಸಂ ,2,ಕೂದಲು
ಅಂಕುರ,noun,ಸಂ ,3,ರಕ್ತ
ಅಂಕುರ,noun,ಸಂ ,4,ನೀರು
ಅಂಕುರ,noun,ಸಂ ,5,ಊತ
ಅಂಕುಶ,noun,ಸಂ ,1,ಆನೆಯನ್ನು ಹದ್ದಿನಲ್ಲಿ ಇಡಲು ಉಪಯೋಗಿಸುವ ಒಂದು ಸಾಧನ
ಅಂಕುಶ,noun,ಸಂ ,2,ಒಂದು ಆಯುಧ
ಅಂಕುಶ,noun,ಸಂ ,3,"ಹಿಡಿತ, ಹತೋಟಿ"
ಅಂಕೆ,noun,<ಸಂ. ಅಂಕ ,1,ಅಪ್ಪಣೆ
ಅಂಕೆ,noun,<ಸಂ. ಅಂಕ ,2,ಹತೋಟಿ
ಅಂಕೆ,noun,<ಸಂ. ಅಂಕ ,3,ದರ್ಪ
ಅಂಕೆ,noun,<ಸಂ. ಅಂಕ ,4,ಎಣಿಕೆ
ಅಂಕೆ,noun,<ಸಂ. ಅಂಕ ,5,ಗುರುತು
ಅಂಕೆ,noun,<ಸಂ. ಅಂಕ ,6,"ಸಂಖ್ಯೆಯ ಚಿಹ್ನೆ, ನಂಬರು"
ಅಂಗ,noun,ಸಂ ,1,ಅಂಶ
ಅಂಗ,noun,ಸಂ ,2,"ದೇಹ, ಶರೀರ"
ಅಂಗ,noun,ಸಂ ,3,ಅವಯವ
ಅಂಗ,noun,ಸಂ ,4,ಭಾಗ
ಅಂಗ,noun,ಸಂ ,5,ಒಂದು ದೇಶ
ಅಂಗದ,noun,ಸಂ ,1,ತೋಳುಬಳೆ
ಅಂಗದ,noun,ಸಂ ,2,ವಾಲಿಯ ಮಗನ ಹೆಸರು
ಅಂಗರಾಗ,noun,ಸಂ ,1,ಮೈಗೆ ಸುಗಂಧ ಲೇಪಿಸಿಕೊಳ್ಳುವುದು
ಅಂಗರಾಗ,noun,ಸಂ ,2,ಸುಗಂಧ ಲೇಪನ ದ್ರವ್ಯ
ಅಂಗಾರ,noun,ಸಂ ,1,ಕೆಂಡ
ಅಂಗಾರ,noun,ಸಂ ,2,ಇದ್ದಿಲು
ಅಂಗಾರ,noun,ಸಂ ,3,ದೇವರ ಧೂಪಾರತಿಯ ಕೆಂಡವನ್ನು ನೀರಿನಲ್ಲಿ ಆರಿಸಿ ಅದನ್ನು ಹಣೆಯಲ್ಲಿ ಧರಿಸುವ ಲಾಂಛನ ಊರ್ಧ್ವರೇಖೆ
ಅಂಗುಲ(ಳ),noun,ಸಂ ,1,ಬೆರಳು
ಅಂಗುಲ(ಳ),noun,ಸಂ ,2,ಒಂದು ಇಂಚು
ಅಂಗುಷ್ಠ,noun,ಸಂ ,1,"ಪಾದದ ಹೆಬ್ಬೆರಳು, ಅಂಗುಟ"
ಅಂಗುಷ್ಠ,noun,ಸಂ ,2,ಹೆಬ್ಬೆರಳಿನ ಅಗಲದ ಅಳತೆ.
ಅಂಗೂಷ,noun,ಸಂ ,1,ಮುಂಗುಸಿ
ಅಂಗೂಷ,noun,ಸಂ ,2,"ಬಾಣ, ಶರ"
ಅಂಘ್ರಿ,noun,ಸಂ ,1,"ಹೆಜ್ಜೆ, ಪಾದ"
ಅಂಘ್ರಿ,noun,ಸಂ ,2,ಬೇರು
ಅಂಘ್ರಿ,noun,ಸಂ ,3,ಕಾಲು
ಅಂಚು,noun,<ಸಂ. ಅಂಶು ,1,"ಕೊನೆ, ತುದಿ"
ಅಂಚು,noun,<ಸಂ. ಅಂಶು ,2,"ಸೀರೆ, ಧೋತ್ರಗಳ ದಡಿ"
ಅಂಡಜ,noun,ಸಂ ,1,"ಮೊಟ್ಟೆಯಿಂದ ಹುಟ್ಟಿ ಬರುವ ಹಕ್ಕಿ, ಹಾವು, ಮೀನು, ಮುಂ. ಜೀವಿಗಳು"
ಅಂಡಜ,noun,ಸಂ ,2,ಬ್ರಹ್ಮ
ಅಂಡಲೆ,noun,ದೇ ,1,ಪೀಡೆ
ಅಂಡಲೆ,noun,ದೇ ,2,ಹಿಂಸೆ
ಅಂಡಲೆ,verb,ದೇ ,1,"ಕಾಡು, ಪೀಡಿಸು"
ಅಂಡಲೆ,verb,ದೇ ,2,ಕಷ್ಟಕ್ಕೆ ಒಳಗು ಮಾಡು
ಅಂಡು,noun,ದೇ ,1,"ನಿತಂಬ, ಪಿರ್ರೆ"
ಅಂಡು,noun,ದೇ ,2,ಆಸರೆ
ಅಂಡು,noun,ದೇ ,3,"ಅಡಿ, ತಳಭಾಗ."
ಅಂಡೆ,noun,ದೇ ,1,ಟೊಳ್ಳಾದ ಬಿದಿರಿನ ಪಾತ್ರೆ
ಅಂಡೆ,noun,ದೇ ,2,ಬಿದಿರಿನಿಂದ ಮಾಡಿದ ಜೀರ್ಕೊಳವೆ
ಅಂತ,noun,ಸಂ ,1,"ಕೊನೆ, ತುದಿ"
ಅಂತ,noun,ಸಂ ,2,ಅಂಚು
ಅಂತ,noun,ಸಂ ,3,ಮುಗಿವು
ಅಂತ,noun,ಸಂ ,4,"ಕೊನೆಗಾಲ, ಸಾವು"
ಅಂತ,noun,ಸಂ ,5,"ಕೀಳು, ಹೀನ"
ಅಂತ,noun,ಸಂ ,6,"ಉಳಿಕೆ, ಶೇಷ"
ಅಂತ,noun,ಸಂ ,7,"ಹತ್ತಿರ, ಸಮೀಪ"
ಅಂತ,noun,ಸಂ ,8,ಒಳಗು
ಅಂತಃಕರಣ,noun,ಸಂ ,1,ಮನಸ್ಸು
ಅಂತಃಕರಣ,noun,ಸಂ ,2,ಚಿತ್ತವೃತ್ತಿ
ಅಂತಃಕರಣ,noun,ಸಂ ,3,"ದಯೆ, ಕನಿಕರ"
ಅಂತಕ,noun,ಸಂ ,1,"ಯಮ, ಮೃತ್ಯುದೇವತೆ"
ಅಂತಕ,noun,ಸಂ ,2,"ಸಾವು, ಮೃತ್ಯು"
ಅಂತರ,noun,ಸಂ ,1,"ವ್ಯತ್ಯಾಸ, ಭೇದ"
ಅಂತರ,noun,ಸಂ ,2,ನಡುವಣ ಭಾಗ
ಅಂತರ,noun,ಸಂ ,3,ಸಮೀಪ
ಅಂತರ,noun,ಸಂ ,4,ದೂರ
ಅಂತರ,noun,ಸಂ ,5,ಮೆಟ್ಟಿಲು ಮೆಟ್ಟಿಲಾಗುವ ಸ್ಥಿತಿ
ಅಂತರ,noun,ಸಂ ,6,ಬಿಡುವು
ಅಂತರ,noun,ಸಂ ,7,ಕಾಲಾವಕಾಶ
ಅಂತರ,noun,ಸಂ ,8,ಮನಸ್ಸು
ಅಂತರ,noun,ಸಂ ,9,ಆತ್ಮ; ಪಿಶಾಚಿ ಸಂ
ಅಂತರ,noun,ಸಂ ,10,ಸದ್ಗತಿ ಕಾಣದ ಜೀವ
ಅಂತರ,noun,ಸಂ ,11,ನೆಲೆಯಿಲ್ಲದೆ ತೊಳಲಾಡುವ ವ್ಯಕ್ತಿ
ಅಂತರಂಗ,noun,ಸಂ ,1,ಒಳಭಾಗ
ಅಂತರಂಗ,noun,ಸಂ ,2,"ಮನಸ್ಸು, ಹೃದಯ"
ಅಂತರಂಗ,noun,ಸಂ ,3,ಒಳಗಿನ ಅಭಿಪ್ರಾಯ
ಅಂತರಾತ್ಮ,noun,ಸಂ ,1,ಜೀವಾತ್ಮ
ಅಂತರಾತ್ಮ,noun,ಸಂ ,2,ಪರಮಾತ್ಮ
ಅಂತರಾಳ,noun,ಸಂ ,1,ನಡುವಿನ ಜಾಗ
ಅಂತರಾಳ,noun,ಸಂ ,2,ಅಂತ ರಂಗದ ಭಾವ
ಅಂತರಾಳ,noun,ಸಂ ,3,ಆಕಾಶ
